Title,Description,Keywords,word10b,word1a,word1b,word5a,word5b,word3b,word3a,word11a,word11b,word6a,word6b,word17b,word17a,word8b,word8a,word13a,word15a,word10a,word19a,word19b,word18b,word18a,word15b,word2a,word2b,word0b,word0a,word4b,word4a,word13b,word7b,word7a,word12a,word12b,word16a,word16b,word9a,word9b,word14b,word14a
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",thought,bulldozer,earthmovers,stricken,constrained,c1 inhibitor maintains,natural,driven,spurred,hindered,slowed,doubtfulness,uncertainty,determinations,motivation,unlawful,straitjacketed,suppose,incisive,keen,bank,escape,constrained,implicates,discredits,delineate,constrained,escape,leave,uttering forged instruments,choice,door,astm e####,standard,threshold,requirement,expressions,and,endeavor,endeavour
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",hospitalities,influence,constrained,endeavor,attempt,locution,expressions,stressor,traumatization,participate,compose,formulated,applied,odd,curious,unexpended,wave,choice,odd,queer,synergy,complement,beckon,dandy,keen,inflexible,constrained,constrained,kept,odd,mimic,liken,group,entity,rehabilitation,rehabilitation,determinations,direction,wave,flourish
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,entity,bakonzo demanded,braveries,battlefields,conclusion,persecution,borrows,adopt,notifying,warn,them,complement,markers,tissue hypoxia angiogenesis,historically-driven,sticking,mong,formulated,emezine r,trouble,alarmed,sit,express,professing,compose,conjugate verbs,congratulate,complement,driven,complement,perfectly complements,formulated,execute,great,keen,stressor,stress,conclusion,opinion
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,economic,financial,labored,driven,minimize,constrained,unswayed,untouched,edit,edition,driven,determined,famous,odd,can,assess,vexing,representation,expressions,standard,bs en#####,formulated,scouting,reconnoitering,inform,notifying,cabined,constrained,complement,simulate,mimic,essential,interest,determinations,realizability,genuine,thermal,scars,expressions
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disturbs,endeavor,quam hk limited,imbalances,dissymmetry,expressions,sayings,complement,complement,implicates,impose,professing,report,essential,max booking,essential,laughs,trouble,expressions,purpose,fill,complement,joke,staple,essential,empowered,offer,raw,natural,impor tant,encumbered,constrained,diminish,constrained,the,choice,doubt,uncertainty,crimped,constrained
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",'s,vital,essential,incorporate,complement,holder,right,uneven,odd,lefty kason gabbard,resting,resting,be,murkiness,uncertainty,very,constrained,american,determinations,intention,calmed,slowed,discriminate,essential,indispensable,thinking,thought,requirement,excessively burdensome,likable,option,choice,driven,convulsive,explanation,expressions,democratically accountable,empowered,commitment,requirement
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",dis empowered,odd,very,uncertainty,uneasiness,applicable,requirement,rehabilitation,sudantha ranasinghe,recall,remember,guess,thought,affront,insulting,pose,arms,empowered,furthering,broadening,availablenes,accessibility,grants,fits,complement,requirement,stipulating,empowered,prevent,compose,urgently needed,essential,complement,dovetail,wrote,thought,envisaged,formulated,alarmed,appal
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",keen,requirement,pre requisite,grants,lands,constrict,constrained,subduction,earthquake,mimic,emulate,wave,curl,entities,entity,rehabilitation,develop,lament,constrained,affect,devastates,implicates,formulated,clarifications,elaboration,shopability,accessibility,rapidly,quickly,homeboy industries gang,reigning,pregnanting,insulting,humiliate,determinations,determinations de novo,conclusion,inescapable conclusion,nature,wave
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",imbalance,expressions,unfeigned,theological virtues,expressions,laughs,jokes,intimidate,constrained,itu g.###,standard,standard,criterion,standard,microtca specification,laughing,implicates,instability,getting,sticking,battles,battlefields,catch,write,compose,opportunity,empowered,the,requirement,laughs,therapies,treatments,descriptive adjectives,expressions,likeable,likable,requirement,factor,escape,dormice
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,compose,pen,inwards,entrails,zixcorp esecure services,driven,formulated,collate,entity,animal,confront,constrained,formulated,ascertain,pacific,finalize,losing,pacific,mangaia,grants,gives,formulated,rearing,breeding,constrained,confound,formulated,concretized,mediterranean,requirement,permit,scheduled,canceled,resting,reaching,uncertainty,wariness,empowered,combine
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",resting,the,rail,inquire,investigate,complement,cooperate,complement,consist,elaboration,refinement,economic,important,seeming,professing,list,attorney-general,following,support,complement,expressions,information,choice,sticking,stop,ineligible,elgible,formulated,prepare,scheduled,imbalances,structural imbalance,vitally important,essential,rehabilitation,outpatient,determinations,action,breeding,sawing
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",enhance,remaining,resting,overly meddlesome,constrained,reinforce,complement,training,breeding,foresee,formulated,entail,complement,conclusion,final,chop-chop,requirement,complement,organize,formulated,comply,complement,prohibition,requirement,limits,uncertainty,circumstances,conclusion,jirga,rapidly,formulated,invented,formulated,define,nervousness,uncertainty,adjudications,determinations,violate,constrained
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",report,stop,constrained,professing,pretending,mimic,resemble,decide,determinations,unparalleled,uncompromised,rebuts,implicates,racial profiling,profiling,evolvability,pinned,profiling,constrained,overdependent,standard,normal,down,restrictions,requirement,contextualize,compose,edition,variant,hypothesis,notifying,mention,update,complement,suggested,hypothesis,determinations,trade-off,interference,constrained
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",compose,adjudicative,determinations,earthquake,faulting,left,odd,to,formulated,constrained,obfuscate,disturbs,irritates,earthquake,homeless,requirement,thought,animate,necessary,requirement,standard,ansi ul,time,mimic,time,requirement,limitation,games,choice,eligibility criterion,worrisome,worrying,formulated,adopted,natural,causes buxeda,keen,stabbing,requirement,constraint
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",contents,formulated,clarify,studying,sticking,markers,pens highlighters,elucidation,elaboration,surface transportation program,grants,expressions,reflexion,details,elaboration,indicate,lower,conclusion,uncertainty,the,diss,insulting,empowered,measurement,determinations,conclusion,findings,thought,retrieve,implicates,strained,constrained,implemented,formulated,formulated,conceived,choice,quality,balance,imbalances
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",monger,providing,professing,cognizant,constrained,investigate,probe,guidelines,requirement,contradicts,implicates,synthesize,compose,sticking,beating,residing,explain,trader,formulated,rewrite,cried,prayed,formulated,essential,necessary,be,complement,gynecology,cardiothoracic,resting,prefer,choice,meme,thought,economic,environmental,undersupplied,constrained,democrate,hitler
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",choice,conditions,requirement,mean,thought,keen,penetrative,makes,markers,complement,associate,requirement,re quire,codified,enforced,affect,jape,choice,choice,aim,says,expressions,laughs,pinned,pin,escape,fleeing,develop,complement,disturbs,scheduled,rescheduled,constrained,limited,necessity,essential,odd,unsettling,implicates,categorize
