Title,Description,Keywords,obs1,obs2,generatedHyp,model,Answer.grammatical,Answer.understandable,Answer.o1_h_coherence,Answer.h_o2_coherence,Answer.overall_coherence,Answer.overall_informativeness,Answer.not-understandable-reason
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ryan never wanted to go to summer camp but his parents made him.,Ryan couldn't wait to go next year to see his buddies.,He was a good student and a good athlete.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ryan never wanted to go to summer camp but his parents made him.,Ryan couldn't wait to go next year to see his buddies.,He was a good student and a good athlete.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ryan never wanted to go to summer camp but his parents made him.,Ryan couldn't wait to go next year to see his buddies.,He was a good student and a good athlete.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sal liked magic.,The people watching him congratulated him.,He liked to use it.,delorean_x_only,2,2,2,-2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sal liked magic.,The people watching him congratulated him.,He liked to use it.,delorean_x_only,2,2,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sal liked magic.,The people watching him congratulated him.,He liked to use it.,delorean_x_only,2,1,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Riley went to the store with her mother.,Riley wore her cowboy boots to school the next day.,She bought a bottle of water and a bottle of milk.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-1,-1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Riley went to the store with her mother.,Riley wore her cowboy boots to school the next day.,She bought a bottle of water and a bottle of milk.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Riley went to the store with her mother.,Riley wore her cowboy boots to school the next day.,She bought a bottle of water and a bottle of milk.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tiffany loves browsing etsy stores.,Tiffany soon after open up her very own etsy shop.,She loves to find unique and unique items and she loves to shop.,delorean_x_only,1,1,1,-1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tiffany loves browsing etsy stores.,Tiffany soon after open up her very own etsy shop.,She loves to find unique and unique items and she loves to shop.,delorean_x_only,-1,2,2,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tiffany loves browsing etsy stores.,Tiffany soon after open up her very own etsy shop.,She loves to find unique and unique items and she loves to shop.,delorean_x_only,1,1,1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Gina's phone died as they drove on the highway.,Gina doesn't care about electronics.,"She was on the phone with her mother electronics store manager, who was in the store.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Gina's phone died as they drove on the highway.,Gina doesn't care about electronics.,"She was on the phone with her mother electronics store manager, who was in the store.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-2,1,1,-1,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Gina's phone died as they drove on the highway.,Gina doesn't care about electronics.,"She was on the phone with her mother electronics store manager, who was in the store.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-2,-2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Timmy was running fast to class.," Timmy later found out that the exam was to be on time, he failed.",He was running to get to class.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,-2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Timmy was running fast to class.," Timmy later found out that the exam was to be on time, he failed.",He was running to get to class.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Timmy was running fast to class.," Timmy later found out that the exam was to be on time, he failed.",He was running to get to class.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,1,1,-2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Joan hadn't been feeling like herself lately.,She and her partner were very excited.,"She was tired like little bit like a zombie, and she was not sure why.",delorean_x_only,-1,2,2,-2,-2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Joan hadn't been feeling like herself lately.,She and her partner were very excited.,"She was tired like little bit like a zombie, and she was not sure why.",delorean_x_only,2,2,2,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Joan hadn't been feeling like herself lately.,She and her partner were very excited.,"She was tired like little bit like a zombie, and she was not sure why.",delorean_x_only,-1,1,1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense","One morning, Jim was admiring his crush, Michaela."," Later, Jim picked Michaela up for their date.","She was a beautiful girl, with a perfect body, and a beautiful face.",delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense","One morning, Jim was admiring his crush, Michaela."," Later, Jim picked Michaela up for their date.","She was a beautiful girl, with a perfect body, and a beautiful face.",delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense","One morning, Jim was admiring his crush, Michaela."," Later, Jim picked Michaela up for their date.","She was a beautiful girl, with a perfect body, and a beautiful face.",delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob had never tried coffee.,He decided to get a black coffee with one sugar.,He had never even heard of it.,delorean_x_only,2,2,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob had never tried coffee.,He decided to get a black coffee with one sugar.,He had never even heard of it.,delorean_x_only,2,2,2,-2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob had never tried coffee.,He decided to get a black coffee with one sugar.,He had never even heard of it.,delorean_x_only,2,2,2,-2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Dominick use to hate school.,He realized school was good for his brain.,He hated school because the teachers would good- brain him and make him do things he didn't want to do.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-2,-2,1,-2,-2,,"I don't know what ""good- brain"" means."
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Dominick use to hate school.,He realized school was good for his brain.,He hated school because the teachers would good- brain him and make him do things he didn't want to do.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-2,-2,1,2,-1,,It is barely coherent.
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Dominick use to hate school.,He realized school was good for his brain.,He hated school because the teachers would good- brain him and make him do things he didn't want to do.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,1,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I wanted some cabinets to put in my bedroom.,After two months of work I had crafted some beautiful cabinets!,"I found a few that were a little too small for my room, but I wanted something that was a little more modern.",delorean_x_only,2,2,1,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I wanted some cabinets to put in my bedroom.,After two months of work I had crafted some beautiful cabinets!,"I found a few that were a little too small for my room, but I wanted something that was a little more modern.",delorean_x_only,-2,-2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I wanted some cabinets to put in my bedroom.,After two months of work I had crafted some beautiful cabinets!,"I found a few that were a little too small for my room, but I wanted something that was a little more modern.",delorean_x_only,2,1,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ray hung a tire on a rope to make his daughter a swing.,Ray laughed at the crazy situation.,"""I've always wanted a child crazy enough to do something like this,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ray hung a tire on a rope to make his daughter a swing.,Ray laughed at the crazy situation.,"""I've always wanted a child crazy enough to do something like this,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ray hung a tire on a rope to make his daughter a swing.,Ray laughed at the crazy situation.,"""I've always wanted a child crazy enough to do something like this,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ginny was playing ball in the house.,Ginny's mom grounded her.,She was playing with the other mommy and daddy.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ginny was playing ball in the house.,Ginny's mom grounded her.,She was playing with the other mommy and daddy.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ginny was playing ball in the house.,Ginny's mom grounded her.,She was playing with the other mommy and daddy.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Cindy was given a glass angel for Christmas.,Cindy has never been so devastated.,She was so excited to have devastated the glass that she had to be carried out of the room.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-1,-2,-2,-1,-2,,devastated the glass
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Cindy was given a glass angel for Christmas.,Cindy has never been so devastated.,She was so excited to have devastated the glass that she had to be carried out of the room.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,-1,-1,-1,-1,,"the phrase ""devastated the glass"" is unclear and does not seem to fit with the rest of the sentence"
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Cindy was given a glass angel for Christmas.,Cindy has never been so devastated.,She was so excited to have devastated the glass that she had to be carried out of the room.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-1,1,1,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tim wanted to learn astronomy.,Tim worked hard in school to become one.,So he bought a telescope and started taking pictures of the night sky.,delorean_x_only,2,2,2,-2,-2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tim wanted to learn astronomy.,Tim worked hard in school to become one.,So he bought a telescope and started taking pictures of the night sky.,delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tim wanted to learn astronomy.,Tim worked hard in school to become one.,So he bought a telescope and started taking pictures of the night sky.,delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Allan hated gym class.,Allan never hated gym class again!,He hated gym class because he was too fat to fit in the locker room.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,1,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Allan hated gym class.,Allan never hated gym class again!,He hated gym class because he was too fat to fit in the locker room.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,1,1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Allan hated gym class.,Allan never hated gym class again!,He hated gym class because he was too fat to fit in the locker room.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Anna's roots were growing out.,Now her dark roots were gone!,She was getting taller and taller.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Anna's roots were growing out.,Now her dark roots were gone!,She was getting taller and taller.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Anna's roots were growing out.,Now her dark roots were gone!,She was getting taller and taller.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Music was Kat's life.," She completed her studies with honors, and is now a renowned pianist.","She was a pianist, a pianist, a pianist.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-2,2,2,1,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Music was Kat's life.," She completed her studies with honors, and is now a renowned pianist.","She was a pianist, a pianist, a pianist.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-1,1,1,1,1,-2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Music was Kat's life.," She completed her studies with honors, and is now a renowned pianist.","She was a pianist, a pianist, a pianist.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-2,1,1,1,1,-1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ned had always been shy.,Ned is now more shy than ever before.,He had never been able to tell a girl that he loved her.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,2,-1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ned had always been shy.,Ned is now more shy than ever before.,He had never been able to tell a girl that he loved her.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ned had always been shy.,Ned is now more shy than ever before.,He had never been able to tell a girl that he loved her.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Brian had a crush on Teresa.,He spent the rest of the day moping.,He was a little jealous of the relationship.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Brian had a crush on Teresa.,He spent the rest of the day moping.,He was a little jealous of the relationship.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Brian had a crush on Teresa.,He spent the rest of the day moping.,He was a little jealous of the relationship.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-2,2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Jordan took every AP Course possible.,Jordan finished with A's thanks to her anxiety pills.,"He took the AP Physics and Chemistry courses, the AP English and History courses, and the AP Biology and Physics courses.",delorean_x_only,1,2,2,-1,-1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Jordan took every AP Course possible.,Jordan finished with A's thanks to her anxiety pills.,"He took the AP Physics and Chemistry courses, the AP English and History courses, and the AP Biology and Physics courses.",delorean_x_only,2,2,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Jordan took every AP Course possible.,Jordan finished with A's thanks to her anxiety pills.,"He took the AP Physics and Chemistry courses, the AP English and History courses, and the AP Biology and Physics courses.",delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Brian had a crush on Teresa.,He spent the rest of the day moping.,"He was a bit nervous about it, but he was also good-looking guy, and she was a beautiful girl.",delorean_x_only,1,1,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Brian had a crush on Teresa.,He spent the rest of the day moping.,"He was a bit nervous about it, but he was also good-looking guy, and she was a beautiful girl.",delorean_x_only,2,2,1,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Brian had a crush on Teresa.,He spent the rest of the day moping.,"He was a bit nervous about it, but he was also good-looking guy, and she was a beautiful girl.",delorean_x_only,2,2,2,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Micah was at work.,He was never able to find it.,He was in the middle of a project that he had working on for a past few months.,delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Micah was at work.,He was never able to find it.,He was in the middle of a project that he had working on for a past few months.,delorean_x_only,-1,2,2,-2,-2,,{}
