Title,Description,Keywords,concept_1,premise_1,hypothesis_1,concept_2,premise_2,hypothesis_2,concept_3,premise_3,hypothesis_3,concept_4,premise_4,hypothesis_4,concept_5,premise_5,hypothesis_5
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",water vapour,"Generally, water vapour can be used to cool a building.","Generally, water vapour should be present in the air.",tigers,"Generally, tigers may be killed for their meat.","Generally, tigers are found only in the wild.",sandwich maker,"Typically, a sandwich maker can be made.","Typically, a sandwich maker has to be able to make a sandwich from scratch every single day.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring is born to a mother who was already pregnant.",sailor,"Generally, a sailor can consist of any number of crewmen.","Generally, a sailor can be attached to a ship's crew."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",topic,"Typically, a topic is assigned to a student's class.","Typically, topics are chosen based on their relevance.",buttercup,"Typically, a buttercup may be seen in the wild only during spring.","Typically, a buttercup can be found in the wild.",assembly line,"Generally, an assembly line can be considered to be the process by which an object is made.","Typically, an assembly line can be composed of a single machine.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles have been used to heat water for centuries.",milkweed,"Typically, a milkweed has a flower.","Typically, a milkweed may be found growing on a tree, shrub, herbaceous plant, woody plant, grass, grassy shrub"
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",baseball player,"Generally, a baseball player should be able to hit a curveball.","Generally, a baseball player has to hit.",melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin may have a beneficial effect.",yeast,"Typically, yeasts have the ability to metabolize alcohol.","Typically, yeasts have the ability to reproduce.",genome,"Typically, a genome can consist of thousands of genes.","Typically, a genome can be removed from a cell.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, a herbivorous animal can eat a plant."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",locker room,"Generally, locker rooms are segregated by gender.","Generally, locker rooms are meant to be a place where people come together.",playroom,"Generally, playrooms have been built.","Generally, a playroom is a large room.",mountain,"Generally, a mountain can be considered to be a large hill.","Generally, a mountain can only be reached by climbing it.",baritone,"Generally, a baritone can be considered to be a male voice.","Typically, a baritone has a higher pitch range.",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy may be caused by damage to the cerebellum.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",hive,"Generally, a hive can be composed of many different types of bees.","Typically, hives may be infected by a virus, bacteria.",congress,"Congress can be used to change the law, but only Congress can make laws.","Generally, a congress can be composed of any number of people.",stimulant,Stimulants are stimulants that are used to treat ADHD.,Stimulants may have beneficial effects.,imposter,"Typically, an imposter can be spotted.","Typically, an imposter may be a person who appears to be someone else.",menu,"Generally, a menu may be made up of several items, each with its own name.","Generally, a menu may be set to display."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",malaria parasite,"Typically, a malaria parasite may be transmitted to humans by a bite from an infected animal.","Typically, a malaria parasite is transmitted to humans.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily can be considered to be a flowering plant.",suicide,"Generally, a suicide can consist of many different things.",Suicide can be composed of any number of factors.,microgreens,"Typically, microgreens produce their color.","Generally, microgreens are grown indoors.",gutter,"Generally, a gutter can consist of several layers of material.","Generally, a gutter can be used to drain water from a building."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.","Lowers cholesterol levels may have other health benefits, too.",stimulation,Stimulation can also be induced.,Stimulation should be applied to the skin.,bookmark,Bookmarks can be found in your bookmarks folder.,Bookmarks can be considered to be an extension of the browser itself.,parsnips,"Typically, parsnips may be eaten raw or cooked.","Generally, parsnips are eaten raw.",wire,"Typically, a wire is soldered to the circuit board.","Typically, a wire can be attached to a surface to create an electrical circuit."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",archer,"Generally, an archer should be able to shoot a bow.","Typically, an archer may have one or two arrows.",scottish terrier,"Typically, a scottish terrier may be neutered or spayed.","Generally, a scottish terrier is considered to be a medium sized dog.",stimulation,Stimulation can also be induced.,Stimulation produces changes in the brain's reward system.,knight,Knights can be made of any material.,Knights can be made of different materials.,parsnips,"Typically, parsnips may be eaten raw or cooked.","Typically, parsnips produce their own food."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",interference,"Generally, interferences have to do with something.","Generally, interferences can be considered to be anything that interferes with normal function.",bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes should be washed in cold water.",carnival,"Generally, a carnival is a celebration.","Generally, a carnival is a place where people gather to celebrate.",contribution,Contributions can be given.,Contributions have been gratefully received.,artichoke,Artichokes can be found in many parts of the world.,Artichokes can be used to add flavor.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",morning,"On a sunny morning, you can feel the sun on your face.","In the morning, you wake up, go to school.",microgreens,"Typically, microgreens produce their color.","Generally, microgreens should be washed.",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Generally, a wild cat is an animal.",commuter,Commuters are being urged to use public transport if possible.,Commuters may have to deal with delays.,bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes can be made from any material that is comfortable to wear."
