Title,Description,Keywords,SENTENCE1,QUESTION1,SENTENCE2,QUESTION2,SENTENCE3,QUESTION3,SENTENCE4,QUESTION4,SENTENCE5,QUESTION5,SENTENCE6,QUESTION6,SENTENCE7,QUESTION7,SENTENCE8,QUESTION8,SENTENCE9,QUESTION9,SENTENCE10,QUESTION10,SENTENCE11,QUESTION11,SENTENCE12,QUESTION12,SENTENCE13,QUESTION13,SENTENCE14,QUESTION14,SENTENCE15,QUESTION15
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",They pounce on toys and chase each other.,WHAT HELPS KITTENS TO LEARN TO BE BETTER PREDATORS?,"When the Algerian War began in 1954, Camus was confronted with a moral dilemma.",What was Camus' moral dilemma?,This increases air pressure inside the lungs.,"When you exhale, why does air leave your lungs?","They have short, cool summers.","Which zone has short, cool summers?","After ordering the Otis fighters to battle stations, Colonel Marr phoned Major General Larry Arnold, commanding general of the First Air Force and NORAD's Continental Region.",Which agency did NEEDS contact to authorize fighter?,"The Christians, however, could not hold the city.","During the Sixth Crusade, what city could the Christians not hold?",Some substances cannot be dissolved.,According to this passage how do salt and oil differ when mixed with water?,Many homes were under water.,How bad was the storm?,"More than nine months later, on October 12,2000, al Qaeda operatives in a small boat laden with explosives attacked a U.S. Navy destroyer, the USS Cole.","On October 12, 2000 attacked a US navy destroyer, how many people on the destroyer were injured?",The aircraft pushed back from the gate at 7:40.,How much time lapsed between American 11 and United 175 pushing back from their gates?,The quarrel had been antecedent to Margaret going to Brent's Rock.,Who were the characters in the story?,Timothy likes to play sports.,What did Mandy do for her teacher?,One form of energy is called mechanical.,What kind of energy is mechanical energy?,Charges move when they are not balanced.,Charges can move when they are unbalanced by what?,“What goes up must come down.”,Is the statement What comes up must go down no longer true?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",Shorter days signal the coming of winter.,What are the right conditions for plants to grow in?,"At the age of 21, Henry assembled a School of Navigation.",How old was Prince Henry when he assembled a school that resembled an informal modern-day think-tank?,Aleksandr II Nikolaevich; IPA: [aljI'ksandr fta'roj njIka'lajIvjItc]; 29 April [O.S. 17 April] 1818 in Moscow - 13 March [O.S. 1 March] 1881 in Saint Petersburg) was the Emperor of Russia from 2 March 1855 until his assassination in 1881.,How old was Alexander II when he freed the serfs?,"If you beat a dog in Schuylkill County, you'll probably get a $100 fine.",What kind of fine do you get for repeatedly beating a woman?,Sandy and Alexis came into the classroom screaming for help.,What did Sandy and Alexis do?,Smith and Sketchley helped Beatrice Jackson at the Smith Williams Center on Wednesday.,How did Richard help Beatrice Jackson?,What if the blowing pollen does not land on another flower?,Why might some plants hope the wind will blow?,Some fossils are better than others for this use.,How are index fossils useful?,"A fierce contest ensued with the Aspasioi in which Alexander was wounded in the shoulder by a dart, but eventually the Aspasioi lost.",What injuries did Alexander experience at the battles Aspasioi and Assakenoi?,"A fibrous root system has many smaller roots and no large, primary root.",Does a fibrous root system contain primary roots?,The population should be calm.,Why did Interior Minister Carlos Menocal say the public should be calm?,"John and his wife Sara knew that their son loved clowns, as did their daughter Jane.",What is the name of Sara's son?,She started to lose control of her scooter.,What did Michelle hit which caused her to begin to lose control?,"After El's car has a bump from a crossing train , the car falls apart .",How many times was El chased?,"Police officers survey the wreckage of Pan Am Flight 103 in Lockerbie, Scotland, in December 1988.","What connection does a Pan Am flight in Lockerbie, Scotland, have to Libya?"
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",He couldn't find anything to eat except for pie!,What happened before Joey went swimming in Aunt Julie's pond.,They engulf everything in their path.,What happens when landslides and mudslides occur?,"According to fossils, they once did.",Did Antarctica's climate change throughout history?,"If so, you may have noticed all the holes in the roads.",What are holes in the roads?,Tina Allen said she is disgusted and mortified at her role in bringing them together.,Who put him in contact with the little girl?,"Early tales of Madame White Snake appeared in China as early as the Song Dynasty, and initially her portrayal was fairly direct, as a villainous demon who drains the life force out of her human husband.",How does Whalen Lai describe Madame White Snake?,"They call for the famous Hungarian footballer , n di , and order him to organize a team .",Who did the Germans not want on the Hungarian team?,"One of the most effective ways of keeping a tight rein on the country was to cut it off from the outside world, to keep Japan Japanese.",Give an important date in Japanese history that marks the closing of Japan to the outside world and give three examples of this isolation policy.,"She decided also that Clarke should retain the title of national counterterrorism coordinator, although he would no longer be a de facto member of the Principals Committee on his issues.",What position was Clarke removed from by Rice that made Clarke feel disappointed?,This is where the snail's eyes are.,Where are snails' eyes?,Roberta Adams skipped the thick how-to guide on child-custody forms and sat down at a computer at the Lamoreaux Justice Center in Orange on Wednesday.,Where can the program be accessed from?,The wind could even blow the pollen over the ocean where it is wasted.,What problems could arise if a plant waits for the wind to help it?,"Sam counted as mom made the sandwiches, one for dad, one for mom and one for Sam.",What were Sam's words as mom made the Sandwich?,"She and her sister moved to Saratoga, California, with their mother in 1919 when her parents separated.",Which two countries did Fontaine live in?,It would be several days before communication could be established.,Why did he need a copy of the paper?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","It contained very complicated problems, deeply affecting the economic, social and political future of the nation.","Outside of posing the humanitarian question, what else did the emancipation serve?",Communities clustered around monasteries and castles.,"Since there were no towns, where were communities located?",Tim was sad.,How was Tim feeling right before he started opening presents?,"The British Nationality Act (1981) had in effect prevented Hong Kong citizens from acquiring British citizenship, and thousands of people, anxious about their future under China’s rule, were prompted to apply for citizenship elsewhere, notably in Canada and Australia.",Why were refugees from Hong Kong moving to places like Canada and Australia?,There are many forms of energy.,Do all forms of energy have the ability to do work?,We found no evidence that video teleconference participants had any prior information that American 77 had been hijacked and was heading directly toward Washington.,Why did the FAA and White House teleconferences fail to stop the plane from hitting the Pentagon?,"The officers unloaded 16 rounds in the shadow of the Empire State Building at a disgruntled former apparel designer, killing him after he engaged in a gunbattle with police, authorities said.",Who shot Jeffrey Johnson?,FAA personnel at both Reagan National and Dulles airports notified the Secret Service.,Who notified the secret service,One thing is to build bodies.,Describe this scenario of recycling nutrients in an example.,Thus developed the katakana system used as a vehicle for writing Buddhist names and concepts.,What lead to the development of katakana system?,The ancient Greeks called them the Cynetes (or Cunetes).,What did the Greeks call the early Stone Age inhabitants?,"TJ had been placed in charge of the children when the kids' grandmother, Katherine, left home on July 15 and will watch the children while the legal proceedings play out in a California court.",Who was convicted of murder and how long was their sentence?,Recycling stations like the one in Figure 2.24 are common.,What are some different recycling services available?,This type of change is called complete metamorphosis.,What is it called when an insect goes through a major change and does not look anything like it did when it was born?,So has a Swiss cottage or a French village.,"Why is possible to represent English town, Swiss cottage or a French village upon Christmas cards or the lids of chocolate-boxes without labeling them?"
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",The nervous system sends one type of signal.,Which system sends a chemical signal?,"The possibility of war with Spain was averted by an expeditious royal marriage, and by the end of the century a treaty with Spain drew up the boundaries of Portugal that stand today.",What was it that finally completed the Reconquista?,"A fibrous root system has many smaller roots and no large, primary root.",What makes up the roots system of a plant?,The fossils that are very distinct at certain times of Earths history are called index fossils.,How can extinction help to date rock layers?,"David Welch, the top U.S. diplomat for the Middle East, who negotiated the agreement, called Libya's rehabilitation from a terrorist nation to a U.S. ally historic.",Who are three Americans responsible for this agreement?,"Of those found guilty, the majority were ordered to pay court costs, plus a $100 fine.",Will everyone have to pay a fine for beating a woman or a dog in Schuylkill County?,There was food everywhere; they had had salad and there was lettuce on the ground.,What did MIke and his friends do at his party?,"Once stuck, the seeds are carried off to another location.",What do seeds stick to that carries them off?,"The four escape the liquid paper daleks , Which are scared off by the two-headed monster that El had an encounter with earlier , in a shoe car .",What is the name of the crew member who only goes through one Portal?,"His most important achievement was the emancipation of serfs in 1861, for which he became known as Alexander the Liberator (Russian: Aleksandr Osvoboditel', tr.",How old was Alexander II when he freed the serfs?,Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger.,Which two people told Mrs. Mustard about the incident with the stranger at the school?,"Government data shows cells of the drug gang known as Los Zetas are in the area to protect drug trafficking paths between Honduras and Mexico, intimidating the population with their heavy weapons and threatening farmers to give up their land for criminal activities, AGN reported.",What is Los Zetas operation doing?,"The fort of Massaga was reduced only after days of bloody fighting, in which Alexander was wounded seriously in the ankle.","During his winter campaign against the clans, Alexander sustained injuries to which body parts?",It allows them to survive the cold and dry winter.,What happens to plants when winter approaches?,A magnetic force does not require objects to touch.,How does the maglev train work?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","When you inhale, air enters the respiratory system through your nose and ends up in your lungs, where gas exchange with the blood takes place.","When you inhale, does air first go through your nose, then through your windpipe, and finally into your lungs?","No, you actually overcome gravity every day.",Can a person overcome gravity?,Timothy also plays pretend when he is alone.,Who does Timothy play with?,Properties can also include color and odor.,What are the properties of Chlorine?,"They built many impressive churches during the term of the first Latin Kingdom of Jerusalem, but in 1187 they were driven out by Muslim forces under the great warrior Saladin.",Who was driven out by Muslim forces under the great warrior Saladin in 1187?,"In these cases, they have only a potential to be in motion.",What kind of energy does a rock with the potential to move have?,"In addition to notifications within the FAA, Boston Center took the initiative, at 8:34, to contact the military through the FAA's Cape Cod facility.",Why did the Boston Center seek military assistance,"Financed by the money he received with his Nobel Prize, he adapted and directed for the stage Dostoyesvsky's Demons.",When did the play Dostoyesvsky's Demon open?,Play is one way they learn the skills that they will need as adults.,What other animals play?,The other has a negative charge.,What kind of charge is required for static electricity?,One toy that the boy really liked was a small blue toy truck.,Where was the blue truck found?,"In September 2000, Bin Ladin reportedly told Nashiri that he wanted to replace Khamri and Nibras.","In September 2000, Bin Ladin wanted to replace two people, who was angered by this?",This was his usual method of appearing after a long absence.,What is Brent's usual method of coming home after a long absence?,"Polar zones often have long, very cold winters.",Which climate zone has the largest temperature range?,Anyone who might have set off that detector would have been screened with a hand wand-a procedure requiring the screener to identify the metal item or items that caused the alarm.,Under what circumstances would a person be screened with a hand wand?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","As this was happening, passenger Daniel Lewin, who was seated in the row just behind Atta and Omari, was stabbed by one of the hijackers-probably Satam al Suqami, who was seated directly behind Lewin.",How many people were stabbed on the flight?,"The leaders of African countries have made education more of a priority, even for girls.",Do girls get an education now?,"Eventually , it is revealed that Jin Wu s father was not killed by his clan members ; he had died as a hero in a rebellion instead .",What does Jin Wu want with Fukuda?,"To make certain the U.S. was aware of the danger, in July 1939, a few months before the beginning of World War II in Europe, Szilard and Wigner visited Einstein to explain the possibility of atomic bombs, which Einstein, a pacifist, said he had never considered.",What was arguably the key stimulus for the U.S. adoption of serious investigations into nuclear weapons on the eve of the U.S. entry into World War II?,Some organisms may not be able to adapt.,What becomes extinct if it can not adapt?,Alice Adams is the youngest daughter of the Adams family .,Who did Walter's father use to work for?,"He did not understand the boy's peculiar and erratic nature, and was particularly displeased when he found that Edgar had run into debt at college.",Why did Edgar leave University?,"As a practical matter, in most cases there can be no access to justice without access to legal assistance, said Jack Londen, past commission chair and a partner with Morrison & Foerster in San Francisco.","Who made the following remark: Whether we like it or not, sometimes landlords illegally evict tenants, children with disabilities are denied proper care, veterans don't get services guaranteed to them, and elderly people need legal assistance to escape the abuse of a caregiver.","In response, the poet challenged Natalya's alleged lover, her brother in-law Georges d'Anthes, to a duel which left both men injured.",Was was Pushkin's fate after he founded his magazine The Contemporary in 1836?,"During this period, he came across as very religious, praying five times a day.",How religious was Marwan al Shehhi after he moved to Germany?,The general principles behind weather can be stated simply: The Sun heats Earths surface more in some places than others.,Can you name one general principal behind weather?,"The two eventually become engaged , to the delight of Allie's parents , but Allie sees Noah's face when Lon asks her to marry him .",Finally who was engaged to Allie?,The state has been first to pass major public health initiatives that have spread throughout the country.,What was the initial feeling about these major public health initiatives?,But it did not continue to swing in the same direction.,Why did the pendulum change its direction?,"(CNN) -- Declaring 2010 the best year in safety performance in our company's history, Transocean Ltd., owner of the Gulf of Mexico oil rig that exploded, killing 11 workers, has awarded its top executives hefty bonuses and raises, according to a recent filing with the U.S. Securities and Exchange Commission.",What is the name of the oil rig in the Gulf of Mexico
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","This is a large, sheet-like muscle below the lungs.",What is located below the lungs?,It is not clear how and when he became part of Atta's circle.,It is not clear when Jarrah became part of Atta's circle but who did he meet at Quds mosque where he began attending in 1997?,"The e-commerce free zone is situated in north Dubai, near the industrial free zone in Jebel Ali, the top regional and tenth international leading area in container transit.",Which two other things does Dubai already stand out for?,The King Street building appears to be vacant.,What building has notices at the entrance that direct visitors to the equal justice center on West Montague Avenue in North Charleston?,We do not know if these stereotypes match current reality; they may also be one more symptom of the civil-military misunderstandings we described in chapter 4.,The CIA is stereotyped for having what kind of reputation in operations?,"Meanwhile , the film cuts to Judith Grey , who has a nightmare about the events that happened in the previous film a year before .",Who experienced nightmares for a year and believes the toys are still alive?,"His drawings and engravings show the influence of others, notably Antonio Pollaiuolo with his interest in the proportions of the body, Mantegna, Lorenzo di Credi and others.",Which artists directly influenced Durer's work?,Her mommy asked the worker to take the puppy out so that Shelly could make sure.,What did Shelly say when she found a puppy she liked?,The quarrel had been antecedent to Margaret going to Brent's Rock.,Did Wykham and Margaret almost come to blows before or after she went to Brent's Rock?,"Porky is looking all over the big city for a hotel room , but due to a convention there are no vacancies .",What does Porky finally do in order to get a room?,"More than nine months later, on October 12,2000, al Qaeda operatives in a small boat laden with explosives attacked a U.S. Navy destroyer, the USS Cole.",How long was it between the failed suicide mission and the successful attack on the USS Cole?,One form of energy is called mechanical.,What are two examples of different forms of energy?,Temperate zones fall between the polar and the tropical zones.,What is a difference between polar and tropical zones?,"He admitted having made his customary report to his Holiness the preceding night, but knew nothing of any supernatural ratcatcher, and nothing of any midnight rendezvous at the Appartamento Borgia.",What was the cardinal's answer to the midnight rendezvous?,"When Andrew goes home after baseball, he likes to eat a snack.",Who plays baseball?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",They usually aren't as destructive as landslides and mudslides.,What type of mass movement occurs suddenly but not as dangerous as a landslide?,"With some difficulty he found it, with its wrapper still intact.",In what condition was the wrapper of the paper that Mr. Driggs gave to Mr. Steadman?,"Generally aware that terrorism had changed since the first Bush administration, they paid particular attention to the question of how counterterrorism policy should be coordinated.",What did Rice need advice on when she asked for professor Philip Zelikow's help?,Plants do not grow in Antarctica.,Did Antarctica's climate change throughout history?,Hoping the wind will blow is also risky for a plant.,Why is it risky for a plant to hope the wind will blow?,"She took on the virtues of a traditional Chinese female, particularly forbearance”.",How does Whalen Lai describe Madame White Snake?,"She wrote in her 1978 autobiography, No Bed of Roses, that her mother, who was an actress, began encouraging the rivalry with her older sister at an early age.",What were the occupations of Joan Fontaine's mother and father?,"Watch Allen describe her first impression of Stiles » Allen said she and Stiles had been in an on-again, off-again relationship for 10 years and that he was good with her children.",What is the relationship of the person referred to as Allen to Chester Stiles?,"The allegiance of this highly privileged and prestigious group was ensured by cementing their ethical principles in the code of bushido, “the way of the warrior”: loyalty to one’s master, defense of one’s status and honor, and fulfillment of all obligations.",What was one cruel way in which the Bushido Code was enforced?,The foot and eyes are unique features.,Where are the snails eyes?,"Usually, Joey would eat cereal, fruit (a pear), or oatmeal for breakfast.",What did Joey eat early in the morning?,These small pieces of rock are called sediment.,What does weathering do and create?,Roberta Adams skipped the thick how-to guide on child-custody forms and sat down at a computer at the Lamoreaux Justice Center in Orange on Wednesday.,Who thought that they would have all kinds of questions and have to take child-custody forms home?,At breakfast Sam was so excited he was wiggling in his seat!,Why was Sam excited?,"n di accepts , but in turn demands extra food , a ball with Which he and his team can train before the match , and asks that they be allowed to concentrate on training before the match and not work .",What demands did the Germans accept from n di?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",They imposed Islam and left an indelible influence on the countryside and the population of the Algarve.,"Under the Moors, Christianity was replaced by what religion?",Living things need non-living matter as well as energy.,Non-living matter in living things is called nutrients and a couple of these nutrients are what?,Some insects change only slightly during their change.,What is it called when some insects go through one of three types of change?,Tim put the bike together with his Dad's help.,Did Tim assemble a bike with his dad before or after guests arrived at the party?,"Police identified the gunman as Jeffrey Johnson, 58, who was apparently laid off from his job as a designer of women's accessories at Hazan Import Co. last year.",What was Steven's job at Hazan Import?,Even food scraps and lawn waste can be recycled.,What products can recycled materials be used for?,"In short, the status quo prevails.",What is the current economic condition of Hong Kong?,"As Indianapolis Center continued searching for the aircraft, two managers and the controller responsible for American 77 looked to the west and southwest along the flight's projected path, not east-where the aircraft was now heading.",How long did American 77 stay on the Indianapolis Center Radar?,or 'How sweetly Swiss!',"Why is it possible to represent these upon Christmas cards or the lids of chocolate-boxes without labeling them English, Swiss, or French?","The existence of serfdom was tackled boldly, taking advantage of a petition presented by the Polish landed proprietors of the Lithuanian provinces and, hoping that their relations with the serfs might be regulated in a more satisfactory way (meaning in a way more satisfactory for the proprietors), he authorized the formation of committees for ameliorating the condition of the peasants, and laid down the principles on which the amelioration was to be effected.",What significant event followed after a petition by Polish landed proprietors was presented to Tsar Alexander?,"The NMCC officer who participated told us that the call was monitored only periodically because the information was sporadic, it was of little value, and there were other important tasks.",Who confirmed that the teleconference was not important to the coordination of a response to the attack?,"TJ had been placed in charge of the children when the kids' grandmother, Katherine, left home on July 15 and will watch the children while the legal proceedings play out in a California court.",What is TJ's mother's name?,"In the absence of an indigenous alphabet, Japanese scholars had with the greatest difficulty tried to adapt the complex ideograms of monosyllabic Chinese to the essentially polysyllabic Japanese.",What lead to the development of katakana system?,The Vikings also introduced coinage and better ship-building techniques.,"After building a fort on the Liffey River, what did the Vikings introduce to Ireland?",The motion of the guitar players hands is a form of mechanical energy.,"When the guitarist plays the guitar, what form of energy does the chemical energy become?"
