Title,Description,Keywords,id,test_type,out_type,noise,idx,question,choice_0,choice_1,choice_2,choice_3,choice_4,answer,prediction,rationale,cvi
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",0,gen,RO,0,1417,What is a northern country where one might find a bald eagle preserve?,canada,colorado,mountain top,utah,in washington,canada,canada,A bald eagle preserve is located in a northern country.,-0.0071611702442169
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",400,gen,RO,0,632,"The professor spoke in a laconic tone, what kind of language was he avoiding?",dry,prolix,loquacious,verbose,bombastic,verbose,verbose,"The professor spoke in a laconic tone, he was avoiding verbatim language.",-1.3379700183868408
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",1,gen,OR,0,2026,"The cover was a hindrance to the diners, so what did they do with it?",underneath,opening,divert suspicion,leave open,landcover,leave open,landcover,"Landcover is a material used to cover land. The cover was hindrance to the diners, so they did leave open with it.",0.0617724992334842
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",2,gen,OR,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,rio de janeiro,Rio de Janeiro is a city in Brazil. A disco would be found in the city.,0.0321351420134305
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",401,gold,O,0,1797,Who is not likely to have sex?,children,orgasm,pregnancy,human,herpes,children,children,Children dont have sex. Children dont even understand sex.,2.5190768241882324
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",200,gen,RO,0,1009,"If a person is accused of committing murder, who must they face in court?",incarceration,imprisonment,prosecution,benedict cumberbatch,problems,prosecution,prosecution,"If a person is accused of committing murder, they must face prosecution in court.",2.512006938457489
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",3,gen,OR,0,1313,The cabinets were imported from the south. John bought they because he knew that they would look good.  Where might they be installed?,kitchen,pantry,containing pots and pans,in a flight,mexico,kitchen,kitchen,The cabinets were imported from the south. John bought them because he knew that they would look good in the kitchen.,2.553490400314331
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",402,gen,OR,0,1011,"If you aren't experiencing curiosity and want to ensure viewing enjoyment, what may you watch?",examine thing,stare into a mirror,go somewhere,hear news,see favorite show,see favorite show,see favorite show,"If you're not experiencing curiosity and want to ensure viewing enjoyment, you may watch a show.",-0.561213493347168
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",201,gen,R,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,Desk drawer is used to store glue when it's not in use.,0.1320118568837642
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",4,gen,OR,0,1640,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips,healthy body,healthy body,healthy body,Healthy body is the result of a season of successful skiing.,1.5527979992330074
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",403,gen,RO,0,620,Where do you hang a picture?,wall,desktop,table,newspaper,ceiling,wall,ceiling,Ceiling is used to hang a picture.,0.0150640849024057
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",5,gen,RO,0,1229,A court case with a tough judging might result in what?,being judged,responsibility,go to jail,feeling guilty,killing,go to jail,killing,A court case with a tough judging might result in killing.,0.0373257584869861
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",202,gen,OR,0,75,"The agricultural specialist walked from row to row, so where was he likely?",sequence of similar things,farmer's field,working field,auditorium,vegetable garden,farmer's field,farmer's field,"The agricultural specialist walked from row to row, so where was he likely?",0.0238678660243749
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",404,gen,OR,0,1493,Where do farmers keep toothpicks?,mouth,grocery store,constructing models,shed,box,mouth,shed,Farmers keep toothpicks in a shed.,-0.0082851592451334
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",6,gen,RO,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,A desk drawer is a place where you can store glue when it's not in use.,0.1296725198626518
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",203,gold,O,0,1063,"When the farmer was reproducing sheep, what did one sheep give later?",fun,wool,birth,larger family,problems,birth,birth,Birth is the result of reproduction One sheep can give birth to increase the number.,0.7024868130683899
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",7,gen,RO,0,295,John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?,tennessee,south carolina,louisiana,oklahoma,mountains,south carolina,tennessee,Mississippi is a state in the United States. Mississippi has the east coast.,0.6667616367340088
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",204,gen,RO,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,hotel,Hotel is a place where people stay. A disco can be found in hotel.,0.0140933543443679
