Title,Description,Keywords,id,test_type,out_type,noise,idx,question,choice_0,choice_1,choice_2,choice_3,choice_4,answer,prediction,rationale,cvi,Answer.me5_valid,Answer.q00_ans
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",0,gen,RO,0,1417,What is a northern country where one might find a bald eagle preserve?,canada,colorado,mountain top,utah,in washington,canada,canada,A bald eagle preserve is located in a northern country.,-0.00716117,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",0,gen,RO,0,1417,What is a northern country where one might find a bald eagle preserve?,canada,colorado,mountain top,utah,in washington,canada,canada,A bald eagle preserve is located in a northern country.,-0.00716117,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",0,gen,RO,0,1417,What is a northern country where one might find a bald eagle preserve?,canada,colorado,mountain top,utah,in washington,canada,canada,A bald eagle preserve is located in a northern country.,-0.00716117,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",400,gen,RO,0,632,"The professor spoke in a laconic tone, what kind of language was he avoiding?",dry,prolix,loquacious,verbose,bombastic,verbose,verbose,"The professor spoke in a laconic tone, he was avoiding verbatim language.",-1.337970018,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",400,gen,RO,0,632,"The professor spoke in a laconic tone, what kind of language was he avoiding?",dry,prolix,loquacious,verbose,bombastic,verbose,verbose,"The professor spoke in a laconic tone, he was avoiding verbatim language.",-1.337970018,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",400,gen,RO,0,632,"The professor spoke in a laconic tone, what kind of language was he avoiding?",dry,prolix,loquacious,verbose,bombastic,verbose,verbose,"The professor spoke in a laconic tone, he was avoiding verbatim language.",-1.337970018,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",1,gen,OR,0,2026,"The cover was a hindrance to the diners, so what did they do with it?",underneath,opening,divert suspicion,leave open,landcover,leave open,landcover,"Landcover is a material used to cover land. The cover was hindrance to the diners, so they did leave open with it.",0.061772499,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",1,gen,OR,0,2026,"The cover was a hindrance to the diners, so what did they do with it?",underneath,opening,divert suspicion,leave open,landcover,leave open,landcover,"Landcover is a material used to cover land. The cover was hindrance to the diners, so they did leave open with it.",0.061772499,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",1,gen,OR,0,2026,"The cover was a hindrance to the diners, so what did they do with it?",underneath,opening,divert suspicion,leave open,landcover,leave open,landcover,"Landcover is a material used to cover land. The cover was hindrance to the diners, so they did leave open with it.",0.061772499,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",2,gen,OR,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,rio de janeiro,Rio de Janeiro is a city in Brazil. A disco would be found in the city.,0.032135142,2.0,yes
