Title,Description,Keywords,generation,type,source
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much water do you waste to heat your home?,a_star_sample,waste | heat | water
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the major exports from Norman?,a_star_sample,Norman | major | exports
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the choice of measure to be adopted?,a_star_sample,measure | adopted | choice
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much oxygen is needed for cellular respiration?,a_star_sample,oxygen | cellular | respiration
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does math concept work?,a_star_sample,math | concept | work
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are the best responses to protect your lungs?,a_star_sample,responses | protect | lungs
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose organization is in charge of running it?,a_star_sample,organization | charge | running
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the point of having an observatory at Apache Point?,a_star_sample,Apache | point | observatory
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much water is waste heat?,neurologic,waste | heat | water
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do we waste so much water to heat our homes?,a_star_beam,waste | heat | water
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What activities are you doing to improve your knowledge of French?,a_star_sample,activities | French | knowledge
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the major exports from Norman?,neurologic,Norman | major | exports
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the major exports from Norman?,a_star_beam,Norman | major | exports
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which measure is adopted by choice?,neurologic,measure | adopted | choice
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do you feel about the changed state of the Rhine delta?,a_star_sample,changed | Rhine | delta
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the choice of measure to be adopted?,a_star_beam,measure | adopted | choice
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the difference between oxygen and carbon dioxide?,neurologic,oxygen | cellular | respiration
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much oxygen is needed for cellular respiration?,a_star_beam,oxygen | cellular | respiration
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,a_star_sample,military | power | Yuan
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does math concept work?,neurologic,math | concept | work
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does the math concept work?,a_star_beam,math | concept | work
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do I have cash flow problems?,a_star_sample,cash | flow | problems
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do I protect my lungs from responses?,neurologic,responses | protect | lungs
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What responses do you have to protect your lungs?,a_star_beam,responses | protect | lungs
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose ideas will accomplish these goals?,a_star_sample,ideas | accomplish | goals
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","Whom shall I fight, the tribesman or the khan?",a_star_sample,tribes | khan | fight
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you charge with running the organization?,a_star_beam,organization | charge | running
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you charge with running the organization?,neurologic,organization | charge | running
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do prime numbers have additional meaning?,a_star_sample,additional | meaning | prime
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who is the best point guard in the NBA?,neurologic,Apache | point | observatory
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the point of having an observatory at Apache Point?,a_star_beam,Apache | point | observatory
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose occupation is it that you want to alienate?,a_star_sample,
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much knowledge do you have about French activities?,neurologic,activities | French | knowledge
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What activities are you doing to improve your knowledge of French?,a_star_beam,activities | French | knowledge
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose interests are being protected by the long tentacles of the state?,a_star_sample,long | tentacles | protected
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","How do you feel about the current state of the game, and what do you want to see changed?",neurologic,changed | Rhine | delta
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why can't linear algebra be solved by a Turing machine?,a_star_sample,solved | linear | Turing
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What would you like to see changed in the future of the Rhine river delta?,a_star_beam,changed | Rhine | delta
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,neurologic,military | power | Yuan
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose faction is it that supplies Jacksonville?,a_star_sample,supplies | Jacksonville | faction
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,a_star_beam,military | power | Yuan
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are cash flow problems?,neurologic,cash | flow | problems
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the median winter temperature?,a_star_sample,median | temperature | winter
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why does Germany's central bank keep interest rates so low?,a_star_sample,Germany | central | interest
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What ideas do you have to accomplish your goals?,neurologic,ideas | accomplish | goals
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Where are the cash flow problems?,a_star_beam,cash | flow | problems
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose city is Phoenix and whose city is Warsaw?,a_star_sample,Warsaw | Phoenix | city
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose ideas will accomplish these goals?,a_star_beam,ideas | accomplish | goals
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you want to fight?,neurologic,tribes | khan | fight
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Where is the university of Warsaw established?,a_star_sample,university | Warsaw | established
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","Whom shall we fight, the tribes or the khan?",a_star_beam,tribes | khan | fight
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the meaning of the additional prime?,neurologic,additional | meaning | prime
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How many people are killed by the plague in Naples?,a_star_sample,killed | plague | Naples
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the difference between adult plankton and juvenile plankton?,a_star_sample,juvenile | plank | adult
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do prime numbers have additional meaning?,a_star_beam,additional | meaning | prime
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","What's your occupation, and what do you do for a living?",neurologic,
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you want to travel with on your next european Amazon trip?,a_star_sample,european | travel | Amazon
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How long do tentacles stay protected?,neurologic,long | tentacles | protected
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose occupation is it that you want to alienate?,a_star_beam,
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you list for transportation to the markets?,a_star_sample,list | transportation | markets
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose interests are being protected by the long tentacles of the state?,a_star_beam,long | tentacles | protected
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do you think Turing solved the linear programming problem?,neurologic,solved | linear | Turing
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How is linear algebra solved by a Turing machine?,a_star_beam,solved | linear | Turing
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who was the first band to receive universal acclaim?,a_star_sample,universal | band | receive
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you think supplies the Jacksonville faction?,neurologic,supplies | Jacksonville | faction
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How is memory acquired when the brain is active?,a_star_sample,active | memory | acquired
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you think supplies the faction in Jacksonville?,a_star_beam,supplies | Jacksonville | faction
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the median winter temperature?,neurologic,median | temperature | winter
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the presence of small projects?,a_star_sample,presence | small | projects
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the median winter temperature?,a_star_beam,median | temperature | winter
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does Germany's central bank manage interest rates?,neurologic,Germany | central | interest
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why does Germany's central bank keep interest rates so low?,a_star_beam,Germany | central | interest
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does schooling affect economic growth?,a_star_sample,economic | growth | schooling
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","Whose city is Phoenix, and whose city is Warsaw?",neurologic,Warsaw | Phoenix | city
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose city is Phoenix and whose city is Warsaw?,a_star_beam,Warsaw | Phoenix | city
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is believed to be the devastation of civilization?,a_star_sample,believed | devastation | civilization
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the percentage of households with children?,a_star_sample,percentage | households | children
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you think established the university of Warsaw?,a_star_beam,university | Warsaw | established
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose university is established in Warsaw?,neurologic,university | Warsaw | established
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who was victorious in the UK election?,a_star_sample,victorious | UK | election
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who was the first person killed by the plague in Naples?,a_star_beam,killed | plague | Naples
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who was killed in the plague in Naples?,neurologic,killed | plague | Naples
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the source of tumor antigen?,a_star_sample,source | tumor | antigen
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do you think Darwin published his theory of evolution?,a_star_sample,Darwin | evolution | published
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Where is the juvenile justice system in the United States?,neurologic,juvenile | plank | adult
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the difference between adult plankton and juvenile plankton?,a_star_beam,juvenile | plank | adult
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How many electors are there in each island of the archipelago?,a_star_sample,island | archipelago | electors
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","Why do you want to travel to the Amazon, and not the european continent?",a_star_beam,european | travel | Amazon
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What do you do when you have to travel to a foreign country?,neurologic,european | travel | Amazon
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the primary purpose of EU law?,a_star_sample,primary | law | EU
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Where is the list of transportation markets?,neurologic,list | transportation | markets
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Where can I find a list of markets and transportation options?,a_star_beam,list | transportation | markets
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who was the first band to receive universal acclaim?,a_star_beam,universal | band | receive
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do I receive a universal band?,neurologic,universal | band | receive
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How is memory acquired when the brain is active?,a_star_beam,active | memory | acquired
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose requests are made on behalf of the British people?,a_star_sample,requests | made | British
