Title,Description,Keywords,word5,word4,word7,word6,word1,word0,word3,word2,word9,word8,pmi14,pmi15,pmi16,pmi17,pmi10,pmi11,pmi12,pmi13,pmi18,pmi19,word15,word14,word17,word16,word11,word10,word13,word12,word19,word18,pmi8,pmi9,pmi6,pmi7,pmi4,pmi5,pmi2,pmi3,pmi0,pmi1
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",deputy,requests for,warfare,calling,we get,now in,a super,participate,skills,plot,-0.053652,0.006973,0.412438,0.294655,0.006973,0.476976,-0.07307,0.476976,0.517798,-1.09164,application,form of,", took",son,the appointment,economic development,investigation of,the nation 's,treatment of,trading,-0.216171,0.412438,-0.599163,-1.497105,0.70012,0.412438,-0.686174,0.294655,0.189294,-1.24579
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",selling,local,old,there is nothing,have never,war,a future,markets,length of,should,0.363648,-0.398492,-0.686174,-0.686174,0.006973,-0.037479,0.038721,-0.398492,0.268775,0.153576,"too much ,",and also,excessive,presidents,", so",three years ago,an idea,theater,social,school,-0.315801,-0.398492,-0.216171,-0.464867,0.395909,0.566589,-0.686174,-0.686174,-0.771697,0.294655
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",he wanted to,battle,decisions,of nuclear,speak to,"action ,",leaving,so that,ended,years of,0.70012,-1.497105,-0.478535,0.294655,0.70012,0.505964,-0.187183,-0.503853,-0.909318,-0.398492,effects,puppets,", over the",something,years in,prefer,shall be,continue to,consists of,a society,-0.329499,0.363648,-0.147178,0.006973,0.412438,0.412438,0.006973,-0.329499,0.189294,0.294655
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",catch,succeeds,countries .,join,as well,the panel,functions,lao,would like to,proceeds,0.071511,0.294655,-0.269281,-0.147178,-0.226642,0.006973,-0.398492,-0.552643,-0.337868,-0.686174,pressing,mean,thus far,the right,refer,have a,booked,bed,prevailed,much,0.189294,-0.147178,-0.06202,0.294655,0.412438,-0.686174,0.70012,-0.686174,0.70012,-0.147178
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",accepting,crisis,pension plan,plan for,missiles,describing,this case,stated that,extension,in addition,0.294655,-0.398492,-0.398492,0.476976,0.70012,-1.864829,-0.909318,-0.216171,-0.909318,-0.909318,", here",the creation of,reportedly,documentary,right to,impossible to,"will ,",chair,'s own,loss of,0.112333,0.70012,0.294655,0.70012,-1.132462,0.294655,0.70012,-0.216171,-0.398492,0.476976
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",king,any of,hearing .,movement,stems from,primary,"feet ,",has left,and without,danger,0.70012,-2.344403,-0.398492,0.428186,-0.311481,0.582337,0.412438,0.476976,0.70012,0.294655,article,branch,c.,a large,ballot,seemed to be,manager of the,assignment,take part in,elevated,-0.11081,-0.909318,-0.216171,0.294655,0.006973,-0.803957,-0.398492,0.294655,0.355279,0.006973
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",right .,the greatest,to appear,general,hearts,it was,county and,the coming,cope,services,0.406359,0.230116,0.70012,0.499449,-0.280709,0.214612,0.093984,-0.144068,0.294655,0.294655,offers,election,"later ,",will give,accept,method,long,integration,a country,a key,0.294655,0.006973,-0.0155,0.294655,0.006973,-0.280709,0.363648,-0.398492,0.013752,-1.09164
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",was out,after nearly,have shown,create,of,the committee,team to,of the president,if not,just the,0.053493,0.412438,0.458958,0.412438,-0.216171,-1.24579,0.381666,0.189294,-0.686174,-0.445012,will begin,around the,in favor,21,less than,of dr.,shortage of,raise,the public,devoted to,-0.909318,-0.552643,-0.07307,0.006973,0.294655,-0.216171,-0.11081,0.70012,0.626012,-0.07229
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",the emperor,the action,and asked,the most,present,to pay,moreover,mind,requested,suit,0.006973,0.70012,-0.11081,0.230116,-0.686174,-0.398492,0.476976,-0.398492,0.505964,0.093984,an official,reached the,effective,deny,you do,a free,a mistake,motions,was still,the republican,0.545969,0.294655,-0.450452,0.294655,0.412438,-0.398492,-0.11081,-0.398492,0.272676,-0.103375
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",majestic,respond,la,agricultural,collected,to effect,shooting,probably,shape,him to,0.476976,0.189294,-0.398492,0.294655,0.294655,0.093984,-0.07307,-0.398492,0.053493,0.006973,electronic,the president 's,and every,sign of,went on,to change,", ranging",greater,new york city,group of,0.006973,-0.840325,-0.552643,-0.037479,-0.398492,0.294655,0.006973,0.006973,0.70012,0.093984
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research","however , in",because,press conference,writing to,800,desired,lines .,to emphasize,opens,to it,0.70012,-0.532024,-0.485504,0.140504,-0.059719,-0.216171,0.207643,-0.216171,-0.398492,0.392635,the united nations,'s in,approximately,are not,fixed,the american,the expense,armed,single,very little,-0.280709,-0.216171,-0.398492,0.189294,-0.07167,0.294655,0.294655,-0.11081,-0.686174,0.70012
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",retired,setting up,fees,wells,the situation,has seen,band,"position ,","a.m. ,",a serious,-0.599163,-0.398492,0.499449,0.70012,0.006973,0.294655,-0.803957,0.363648,-0.686174,0.294655,this was,assured,the development,signed,anymore,mass,addition to the,a woman,one night,something of a,-0.11081,0.70012,0.294655,0.557019,0.140504,0.437756,-0.686174,-0.572846,-0.398492,-0.11081
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",", for a",we do,departed,the measure,normally,health,the plate,voting,arrived in,escape,-1.24579,0.071511,0.294655,-0.11081,0.363648,0.294655,-0.909318,0.600036,0.412438,0.517798,a lot,you know,to increase,sleeping,the education,conservation,prices,the meaning,servants,call for,0.140504,-0.398492,0.476976,-0.398492,-0.147178,0.006973,0.448806,0.70012,0.06104,0.412438
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",owner,fell,3 .,to be made,attract,longer,note,patients,10,factory,0.517798,0.006973,0.412438,0.294655,-2.133093,0.140504,-0.280709,0.294655,0.566589,0.412438,of two,of individual,on november,and therefore,is for,facts,in order .,proper,cooperation,", plus",0.006973,0.458958,0.189294,-0.398492,0.294655,-0.147178,-0.686174,-0.726996,-0.746799,-0.686174
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",it as,ben,amount,jobs,"fact ,",the ball,announced,pending,weary,damages,0.294655,0.006973,-0.909318,-0.552643,0.70012,0.70012,-1.497105,-0.398492,0.240588,-0.686174,data,the republican party,in order to,interests,the federal government,a possibility,"presently ,",literary,theatrical,while the,-0.398492,0.006973,-0.041817,0.064131,0.363648,-0.216171,0.294655,0.504375,0.609148,-0.734965
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",the road,adjustment,"hours ,",'s action,winner,", state",the work,were able,value of,co-operation,0.294655,0.006973,0.140504,0.70012,-0.223044,0.294655,0.230116,0.525767,-0.398492,-0.104253,the gulf,all right,festivities,suggested,allocated,the world,resolution,facilities,of them,change in,-0.909318,0.60481,0.294655,0.294655,-0.909318,-0.06202,0.70012,-0.398492,0.412438,0.476976
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",cover,9,"committee ,",us and,design,yet been,the officers,other hand,truly,absolutely,-0.276795,-0.398492,0.248135,-0.280709,0.294655,0.48571,0.189294,-0.216171,-0.981639,-0.686174,during this,come,elements,officials,education,experienced,almost all,suggestions,besides,"of course ,",-1.09164,-1.09164,0.294655,0.381666,0.176872,0.412438,-0.909318,0.70012,-0.686174,0.189294
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",monday,nature,more to,growth,getting the,reward,cited,meaningless,get a,hotel,0.458958,-0.503853,0.240588,0.452284,0.280266,-0.686174,-0.398492,0.517798,0.189294,0.412438,recording,fund,eight,reasons,heart of,effort,graduate of,opposite,n't get,the first time,0.633429,0.006973,0.04334,0.006973,-0.349702,0.682728,0.006973,0.294655,0.294655,0.189294
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",period,personal,done so,some,or not,depending on,saturday,a step,part,hot,-0.27444,0.70012,-0.909318,-0.552643,-0.231438,-0.686174,0.035144,-0.621636,0.476976,0.189294,asked for,times,seem to be,the risk,titled,friends,god,necessary,it back,he went,0.006973,-0.29671,-0.19651,0.294655,-0.311481,0.133724,-0.216171,0.323642,0.189294,-0.973857
