Title,Description,Keywords,Polite1,Rude1,Polite2,Rude2,Polite3,Rude3,Polite4,Rude4,Polite5,Rude5
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",How can I help you?,What do you want?,Excuse me.,You are in my way!,Would it be possible for you to please pick up the pace a bit?,Hurry Up!,Can you pass me the salt?,Pass me the salt now!,You are not that smart,You dummy you
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you like to take me to the store?,Take me to the store right now!,"I'm sorry, we don't take credit cards here.",Go elsewhere with your credit cards.,"I can't reach that, can you help?",Grab that and make yourself useful.,Are you ready to head home?,Go home!,Will you unload the dishwasher?,Unload the dishwasher lazy.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Let me know why I am selected for that.,Why should I?,"Hi, can you please help me?","Hey, I need some help here!",I tried to call were you busy?,You never answer your phone.,You are no longer welcome here.,Get the f**k out right now!,Do your best!,Don't fail this time!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can I borrow that?,I need to use that.,Can you help me find my missing dog?,My dos is missing you should help me out!,I need a light.,Give me a damn light.,What time is the party?,I need to know the time of the party.,"Excuse me, could you please move your car?","Your car is in my way, move it!"
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",You are not nice.,You are so damn stupid.,How're you feeling today?,Please tell me you're not going to be moping around again today.,Can you please move over?,Get out of my way.,What are you doing,What the hell you doing,Can you please make some big bubbles?,Make bubbles now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can I have seconds?,"Put me some more potatoes, I'm starving.",It's time for you to leave please.,Leave now!,Could you please hand me that cup?,Give me that cup now!,How long are your parents staying with us?,How long do I have to put up with your family?,"Let's part ways for tonight, would that be alright?",Get away from me.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can I see you out?,Get the hell out now!,Can you please go to the store and get some eggs?,I need some goddamn eggs!,Can you give me a ride to the mall?,Take me to the mall now.,Could you please close the door?,Shut the door!,Could you pass the salt?,Gimme the salt.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you please pass the butter?,What does a guy have to do to get some blasted butter?,Do you want to do this?,"You want to do this, right?",You look great!,You look so much better than you usually do!,Could you move please.,You breath too much,Can you help me with the direction?,Where is this?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you please put the milk in the fridge before it spoils?,"What, you want we should all die of salmonella?",Please hold the door open for me.,"Hey, hold the dam door open!",Could you hand me that fork?,Bring that fork over here.,Is it all right if you help me find my missing dog?,My dog is missing don't just sit there,"To be honest, this needs some improvement.",Your work isn’t good.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you lend me a hand?,Can you help me for a change?,Will you pass me a napkin?,Get me a napkin!,Will you please hand me the bag?,Hand me that bag now.,Can you clean up the table after you eat?,How do you make such a mess?,Will you please vacuum the dining room?,Vacuum the disgusting dining room!
