Title,Description,Keywords,facts,sentence,model,Answer.coverage,Answer.quality
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : city centre | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the city centre. It is not family - friendly.,neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : city centre | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the city centre. It is not family - friendly.,neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : city centre | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the city centre. It is not family - friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,a_star,3,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : less than £ 20 | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Punter is a Chinese restaurant near Raja Indian Cuisine in the riverside area. It is not family friendly and the price range is less than £ 20.,a_star,4,3
