Title,Description,Keywords,pairID1,premise1,hypothesis1,gold_label1,partial_neutral_entailment1,entailment_count1,neutral_count1,contradiction_count1,pairID2,premise2,hypothesis2,gold_label2,partial_neutral_entailment2,entailment_count2,neutral_count2,contradiction_count2
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",7000016959.jpg#0r1n,Three asian women are watching a man with a blue shirt and jeans do pottery.,Tall humans watching,neutral,False,0,1,0,4936315100.jpg#2r1n,"outside in a courtyard, people are walking by in the nighttime",There are stars in the sky.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5957177594.jpg#4r2n,A man is jumping over a pole like a hurdle.,A man is jumping over a tall pole,neutral,False,0,1,0,2865376471.jpg#2r1n,Two large dogs greet other while their owners watch.,the dogs talk in their own language,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4071750215.jpg#2r1n,A young girl smiles as she plays outside in the leaves.,A young girl is having fun playing in a pile of leaves with her brother.,neutral,False,0,1,0,7406123104.jpg#4r1n,A chef prepares food outdoors.,A chef works a catered picnic.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2941677924.jpg#1r1n,A businessman sits in front of a computer with is head down and his fingers on the bridge of his nose.,A businessman is stressed out at work.,neutral,False,0,1,0,184855171.jpg#0r1n,A fisherman with a white hat and dark pants lays his head on his lap while his fishing pole rests nearby.,A man is on a dock waiting for his poles to catch a fish.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3094629328.jpg#1r1n,A man digging through reinforced concrete with a hand tool.,A man is waiting with a hand tool,neutral,False,0,1,0,3473345355.jpg#3r1n,A woman and her dog are walking in the road.,The woman is wearing a beret.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3398788809.jpg#2r1n,A group of people are in the woods playing instruments.,A group of people wear fairy wings as they perform music.,neutral,False,0,1,0,4564468036.jpg#2r1n,"It is a party scene of mannequins, dressed in lavish clothing.",An art gallery displays mannequins,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",251792066.jpg#0r1n,The black dog in front of the tree has a green toy in its mouth.,A dog is in front of a tree at a park.,neutral,False,0,1,0,4515628939.jpg#0r1n,"As other people walk by, three children, each holding a bicycle tire, stand on a dirt road leading to two huts in a rural African village.",The children are black.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3773302802.jpg#0r3n,"A man in t-shirt and shorts kneels near a line of plastic crates containing duct tape, bags, and other supplies.",A man next to some crates is getting ready to set up trash containers for an event.,neutral,False,0,1,0,2837908308.jpg#3r1n,A dog jumping over an obstacle hurdle.,The dog is in the process of its show-winning course.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",96113759.jpg#4r1n,A geisha applies makeup to her face.,geisha loves makeup,neutral,True,2,3,0,3603116579.jpg#0r1n,"A baseball player in a black and orange shirt, and with a glove on, pitches the ball.",A player on the Tigers' team gets ready to strike his opponent out.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4934743347.jpg#0r1n,A woman wearing red flip-flops site on a wall while listening to something with headphones.,The woman closes her eyes as she listens.,neutral,False,0,1,0,4712369861.jpg#3r1n,A woman with a very serious expression swiftly walks down a sidewalk.,A woman is on her way to work,neutral,False,0,1,0
