Title,Description,Keywords,verb1,statement1,ppls1,source1,verb2,statement2,ppls2,source2,verb3,statement3,ppls3,source3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing genocide against the indigenous people,28.11517406722989,basic,requesting,requesting a different nurse,280.28074976741385,basic,supplying,supplying cash flow to get a new business running,105.12334899165378,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing suicide because it hurts many people,120.06020134420136,expanded,establishing,establishing discipline,322.59255124957195,basic,flushing,flushing your fish because it's the kind things to do,148.16662507446068,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing,915.3738853106984,basic,supplying,supplying a sufficient amount,61.99396541797257,basic,establishing,establishing boundaries,111.25648877266131,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able,727.1958872480039,basic,separating,separating a group,87.8930129588173,basic,referring,referring a teenager,276.67532202058,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from an event that they are interested in,43.582983444117126,expanded,requesting,requesting a refund,51.98413327452382,basic,discounting,discounting darwinian theory because you do not like humans,77.22066245925306,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries with your spouse,69.83412182631012,expanded,defrauding,defrauding people,38.836958414557074,basic,flushing,flushing when you are done using the urinal,46.63080715063412,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing your bike if you need one,60.00798600830129,expanded,discounting,discounting the ideas of others because of their gender,26.3055707199552,expanded,subjecting,subjecting others,103.56591235121196,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing good relations,46.47316897583938,basic,separating,separating a group from sitting together,162.9517852375653,expanded,masturbating,masturbating for several hours,28.58490988051077,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining help for a harmful addiction,265.8381459026725,expanded,obtaining,obtaining a lawyer before going to court,42.14984895372109,expanded,excluding,excluding family members from our children's lives,86.32897637001841,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing an event such as the holocaust,75.24748421438429,basic,considering,considering a career change,37.37554975621092,basic,sharing,sharing things with your buddies,104.1660808869064,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying cash flow,251.56779203915744,basic,separating,separating one work from their personal life,84.19356959380923,expanded,flushing,flushing,273.89930636397634,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",defrauding,defrauding your family into thinking that you are better in regards to your illness,35.57945778457257,expanded,committing,committing a crime in response to a crime,18.018897704462272,expanded,purchasing,purchasing your materials before starting a project,85.31880781029567,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing real addiction with frivolous remarks about liking a food,674.3801315412792,expanded,excluding,excluding members for their personal lifestyle,603.9028804887427,expanded,considering,considering yourself when you were born after 1995,149.83545073225065,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating a bully from you,169.4883632786117,expanded,sharing,sharing .'s partner with each other,328.52480322509217,expanded,flushing,flushing sanitary pads instead of throwing them away,36.13128284284621,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",considering,considering 90's kid,345.1156919167706,basic,referring,referring people when they need someone specific,122.5691996987292,expanded,excluding,excluding family members because we don't get along with them,28.700247501096044,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting no gifts at your party if that's how you want the event to be held,43.373319932131466,expanded,discounting,discounting darwinian theory of evolution,51.65687588844781,basic,flushing,flushing the toilet,25.052166208316525,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying an amount,175.6627124982128,basic,representing,representing them as real,61.50184608951476,expanded,bullying,bullying a person for not fitting in,31.795489115595515,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a nurse,292.6725069722381,basic,considering,considering a 90's kid when you were born after 1995,112.62919693205076,expanded,excluding,excluding family from events,3489.30546234412,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a nurse if you think the nurse you have is bring rude,131.91818254366456,expanded,committing,committing acts with relatives,519.3251072617484,expanded,scolding,scolding a couple for having multiple children,87.69720528310224,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",subjecting,subjecting your children,61.23606045499912,basic,scolding,scolding people if they are messy,162.79210930717446,expanded,flushing,flushing pads,2908.028658957342,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding your child for wrongdoing,184.92989487543224,expanded,supplying,supplying an amount when you receive a gift,90.8093596026375,expanded,referring,referring others when they need it,92.21090224141876,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying a sufficient amount when you receive a gift,80.12264195612676,expanded,subjecting,subjecting your animal,227.6041314224957,basic,requesting,requesting the lower bunk if you are afraid of heights,64.0087049366142,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding family from a special event,553.864721101322,expanded,scolding,scolding people when they've not acted maliciously but perhaps had circumstances beyond their control,52.54702829544362,expanded,masturbating,masturbating when you are turned on,24.70464285180913,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",masturbating,masturbating for several hours because that's lazy and unhealthy,61.97496327825528,expanded,trivializing,trivializing addictions,361.0401813481825,basic,discounting,discounting people,70.3608720453736,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying flow to get a new business running,267.60113408292654,expanded,separating,separating personal life from work,41.91383322547963,expanded,establishing,establishing boundaries with someone you are in a relationship with,18.506353211458705,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able to help them to other people and places,98.85837508945828,expanded,excluding,excluding family members from your life,229.56920452321825,expanded,establishing,establishing a museum,48.42155758567139,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding family members from your event,297.7818466737796,expanded,establishing,establishing clear boundaries,77.36859865894212,basic,sharing,sharing,,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from their lives,102.00958272973602,expanded,representing,representing women without feeling dumb,686.5917101139545,expanded,establishing,establishing discipline with your pets,232.39387874014125,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing suicide as it hurts many people,151.8497360610138,expanded,scolding,scolding children,1306.5970816446477,basic,committing,committing a crime,31.795643616538705,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding your child for getting their new shoes dirty,52.8432777197127,expanded,obtaining,obtaining agreements,6482.442243219302,basic,purchasing,purchasing a card,84.03420088096726,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",discounting,discounting the ideas of others,33.075494088439534,basic,subjecting,subjecting others when you're tired,102.42094808410076,expanded,flushing,flushing your fish when it dies,171.4507971273892,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing a gps,141.02387671940627,basic,considering,considering 90 kid,5906.326825209055,basic,excluding,excluding members,1436.84843181317,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining consent   before attempting to participate in your kinks,469.95196534040895,expanded,obtaining,obtaining consent,1530.2802640942714,basic,flushing,flushing the toilet after using the restroom,14.699129614326178,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",flushing,flushing the toilet after peeing,21.800585696426143,expanded,masturbating,masturbating to pictures because that's gross,83.92127764553243,expanded,flushing,flushing the toilet to make the person someone is talking to on the phone know that the person is in a bathroom,19.5483866988922,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding someone,830.3288149863845,basic,subjecting,subjecting your kids,97.09593285987528,basic,obtaining,obtaining help,2211.2473899537454,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able to help them,139.64055479593324,basic,separating,separating whites for the wash,482.3197026754832,expanded,committing,committing acts in front of your parents,71.27529627723446,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries with kids,205.0241437475885,expanded,obtaining,obtaining consent before attempting participation in your kinks,575.5362269799098,expanded,trivializing,trivializing an event,270.98063154785564,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating,21.359884697334778,basic,committing,committing acts on a child,150.4720785081476,expanded,bullying,bullying a spouse into seeing a doctor,70.1184985810131,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",discounting,discounting darwinian theory,88.64625132417137,basic,scolding,scolding someone for neglecting their blood pressure when they have a kidney disease,56.69738974281942,expanded,trivializing,trivializing an event by making bigoted claims,155.10727493362003,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating art,368.3102056768175,basic,defrauding,defrauding others,73.59824480360338,basic,sharing,sharing a baby shower with someone else,91.98730995124107,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",bullying,bullying someone for something they have no control,17.422219297137094,expanded,considering,considering your friends when giving stuff away,104.83839234230916,expanded,excluding,excluding members because we don't get along with them,45.681462119233856,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding members from your life,960.9009024792808,expanded,obtaining,obtaining consent before speaking about your desires to others,163.42368344011706,expanded,flushing,flushing the toilet when you're done,15.955484700037768,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",flushing,flushing pads instead of throwing them away,90.5325058552013,expanded,subjecting,subjecting your kids to a different lifestyle,39.8677008451206,expanded,excluding,excluding when you do not want to hang with them,44.06004674753851,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating clothes in the wash,66.20633199155354,expanded,considering,considering a career change if you are not feeling joy,51.49306133640884,expanded,masturbating,masturbating in private not in public,45.36210669458526,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",representing,representing them,81.16180847257661,basic,establishing,establishing clear boundaries with your siblings,114.87051844005718,expanded,obtaining,obtaining custody agreements during a divorce,425.8538541033405,expanded
