Title,Description,Keywords,sent0,id0,expected0,sent1,id1,expected1,sent2,id2,expected2,sent3,id3,expected3,sent4,id4,expected4,sent5,id5,expected5,sent6,id6,expected6,sent7,id7,expected7,sent8,id8,expected8,sent9,id9,expected9
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research","Economic activities of its 200,000 residents rely on _____ production , such as food crops , cash crops , fishing , cattle rearing and fruits and vegetables .",863,agricultural production,"Because that 's where we really are six years after losing her : We 're still in the shadow of the _____ rock , the rock that was Erma .",972,great rock,It emphasizes in _____ type the importance of eating at least five servings of fruits and vegetables daily .,128,bold type,"The Rangers first feared that Bure had torn the anterior cruciate ligament in his _____ knee last week , but a magnetic resonance imaging test was inconclusive .",30,left knee,"On a sunny day in late July , a wealthy _____ friend hired a taxi and took several of us to Buckinghamshire to see Cliveden , Lady Astor 's mansion , on its lofty perch above the Thames .",665,american friend,"Sinn Fein leaders Gerry Adams and his deputy Martin McGuinness , and Ferris , a Sinn Fein MP of the _____ parliament , were members of the IRA 's seven-member army council , Irish Justice Minister Michael McDowell said on the Irish national radio program Ireland Today .",629,irish parliament,This is not a _____ picture .,221,pretty picture,The reforms that the Monetary Authority has introduced over the _____ decade have proved themselves in practice .,674,past decade,This latest dispute between the countries pushed up December crude oil as much as 3.3 percent to $ 21.06 a barrel on the New York Mercantile Exchange amid concern it could threaten a U.N. agreement to let Iraq sell oil for _____ relief and might lead to a military confrontation .,568,humanitarian relief,The pandemic has proven so deadly to pregnant women that researchers say it may increase the nation 's overall _____ mortality for 2009 .,474,maternal mortality
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research","Vaughn hit just .216 for the Padres with 18 homers in 1997 , his first _____ season with the team .",1,full season,"Kam Air is the first privately-run _____ airline and was launched in November 2003 with a fleet comprising a Boeing 767 , a Boeing 727 , an Antonov 23 and the Boeing 737 missing since Thursday , Kamgar said .",941,afghan airline,"But so far in this race , New York has learned that perception is the _____ reality there is -- until July .",951,only reality,Britain is expected to stay out of the _____ union in 1999 for political reasons .,835,monetary union,"The White House said the _____ operation would report to Treasury Secretary Timothy Geithner and top presidential economic aide Lawrence Summers , confirming that no single `` car czar '' would shepherd the ailing industry .",784,multi-agency operation,"The idea of abandoning the Yucca Mountain project , a costly endeavor that caps four decades of federal work to find a _____ home for the deadliest types of atomic refuse , was alluded to in the balanced-budget resolution passed by the House last week and subsequently spelled out in a letter by the two chairmen , John Kasich of the Budget Committee and Robert S. Walker of the Science Committee .",745,permanent home,"The American Embassy in Bosnia accused Orao _____ month of selling spare parts and services to Iraq for its Soviet-era MIG-21 warplanes , continuing a longstanding trade that began when Bosnia was a republic in a larger , socialist Yugoslavia .",110,last month,"Hamilton was n't rattled , despite having experienced a _____ accident at Nurburgring last year .",402,similar accident,"Still , critics asked why the congressional probe actually wound up offering a legislative platform to a _____ panel of outrageous militia witnesses , one of them in full camouflage regalia .",227,full panel,"Just like a _____ hotel , it rents space and bedding to customers for the night for a base price .",250,real hotel
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research","Good thing for Collins that he was aware of that phenomenon before he took over the starting job , for it would have been a _____ lesson to learn in the aftermath of the Bills ' season-opening loss to Minnesota , in which the young quarterback had a fumble returned for a touchdown and threw two interceptions .",389,tough lesson,"The other Commerce Department report showed new home sales showed dropped 0.6 percent in May to a seasonally adjusted _____ rate of 342,000 , from a downwardly revised April rate of 344,000 .",85,annual rate,"BKN-NBA-ADVANCE _ The NBA 's Final Four begins Saturday with two smooth , athletic teams out west and a _____ team coached by a legend favored in the East .",200,veteran team,Twelve runs later and Harbhajan had Alex Tudor out for two when he edged to Rahul Dravid at _____ slip .,341,first slip,"It reaffirmed that OIC states , individually and collectively , will contribute to international efforts in implementing the Peace Agreement and to bring about the desired _____ balance and stability in the region , while maintaining their own capacity to provide the necessary assistance within the framework of the Dayton Agreement .",812,military balance,"The French plane reached the site where the balloon went down near the Chesterfield islands , about 500 miles -(- 800 km -)- off Australia 's east coast , at 8.40 a.m. _____ time -(- 2240 GMT Sunday -)- , said the French navy in Noumea , New Caledonia .",398,local time,The Australian government said Thursday it is to take legal action against Japan over its unilateral decision to override international quotas on threatened southern _____ tuna .,3,bluefin tuna,"An _____ man with big ears and a thick North Carolina drawl , he has done as many as 28 interviews in one day with the Japanese media .",800,impish man,"Bush is to meet on Thursday with the Saudi _____ minister , Prince Saud al-Faisal , and on Friday , Nabil Shaath , Yasser Arafat 's planning minister and one of his closest political aides , is due to meet with Powell , according to Palestinian officials in Washington .",192,foreign minister,The disappearing witness revelation came as prosecutors unveiled yet another piece of potentially damaging _____ evidence : DNA tests showing Simpson 's blood on a gate at the crime scene .,773,forensic evidence
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research","Forty-six people are dead after an explosion at a coal mine early Monday in Henan Province , the _____ government said .",841,local government,"This part of the brain is involved in certain aspects of speech , sensation and motor control on the right side of the body , so the decision to operate apparently means surgeons determined they had a _____ chance of removing a large part of the tumor without causing devastating damage .",491,good chance,"Mondesi was hardly the first pro ballplayer that liked to party , but many in baseball believe he allowed his _____ life to interfere with all he could have become .",203,social life,"U.S. officials in Iraq vowed an `` overwhelming '' response to the _____ killing of four American security contractors in Fallouja , but said a military strike was not imminent .",211,brutal killing,But it does mean that you now have _____ responsibility for keeping the computer safe .,336,sole responsibility,"The vote gave a _____ boost to Clinton at a time when his health care bill was slipping away from him , enabling the president to claim credit for the biggest crime bill in history at a time when polls show that few issues energize voters more than fear of violent crime-even though only about 5 percent of violent crime falls under federal jurisdiction .",67,big boost,"The democratic reform movement that followed eight years later fully overthrew the dictatorship of upper-class lamas and nobles who combined religion with politics and _____ serfdom , and former serfs became masters of their own destinies .",682,feudal serfdom,"For three weeks in March , New Frontier legislators held a _____ sit-in in front of a committee room to prevent the Budget Committee from conducting final deliberations on the budget .",319,round-the-clock sit-in,"With Simitis enjoying high approval ratings in public opinion polls , many senior Socialists believe this may be an _____ time for a re-election bid .",718,opportune time,"He said , _____ amount of resources available in 2005\/06 financial year are estimated at 3,799 billion shillings -(- 2,125 million dollars -)- , representing an increase of 9.7 percent on financial year 2004\/05 .",845,total amount
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research",Washington believes North Korea possesses one or two crude bombs and may have reprocessed enough plutonium from spent fuel rods at its Yongbyon _____ complex for half a dozen more .,586,nuclear complex,"Brennan authored other opinions that restricted loyalty oaths , recognized a broader freedom of association , supported a _____ wall of separation between church and state , and expanded federal judicial remedies for violations of the constitutional rights of those accused of crimes .",453,high wall,"Lee drove _____ court two times in a row , once dishing to Mark Madsen for a layup and then scoring on a lefthanded layup .",384,full court,"Prime Minister Junichiro Koizumi Monday sought public support for sending troops to help rebuild the war-torn country , telling a special _____ committee on Iraqi aid that Japan `` is not going to war '' .",980,parliamentary committee,"The International Monetary Fund , alarmed by a sharp fall in Moscow 's revenue from tax receipts , has postponed its monthly payment of $ 330 million to the Russian government -- the first _____ delay after four straight months of regular outlays .",795,such delay,He contended that the suits were `` without _____ merit '' and should be thrown out .,901,legal merit,"After 15 years of living in balmy Miami , _____ engineer and Chilean native Felix Oyarzo was ready to return home to Puerto Montt , his hometown .",356,aeronautical engineer,"When Gore rounded up his allies throughout the administration for a summer meeting in the ornate Indian Treaty Room of the Old Executive Office Building , it was , aides say , a combination thank-you and `` priming the pump '' _____ rally .",410,political rally,A Reuters\/Zogby _____ poll completed earlier last week gave Gore a 57 percent to 25 percent edge among Hispanics .,560,national poll,"Tina Thompson slips into the room , prettied up in a green hoodie , a Chanel bracelet and long , _____ necklace .",469,gold necklace
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research","Heading into this year 's vice presidential debate , Gore is believed to be following the _____ strategy .",205,same strategy,"If Tyler Houston is baffled why the Braves would dump him , a _____ member of the organization , and keep Danny Bautista , a one-month member hitting .150 : Me , too ...",252,seven-year member,"A clash of weather systems has caused heavy rains in the area over the past five days as a _____ wave merged with a broad area of low pressure , setting off torrential rains .",695,tropical wave,"He can zip the _____ pass in traffic and lob the soft , touch pass into the end zone .",406,tight pass,Vice President Taha Yassin Ramadan warned Friday that Iraq would teach the United States a `` _____ lesson '' if it invaded his country .,891,hard lesson,Britain 's Foreign Secretary Jack Straw on Tuesday said `` it would be the gravest possible error '' to back calls by Israeli Prime Minister Ariel Sharon for the _____ community to target Iran as soon as any war with Iraq is over .,938,international community,He could only watch as the ball landed inside the right post for Stoitchkov 's _____ goal of the tournament .,742,fifth goal,"Brolin , the only Swede named to FIFA 's All Star team after helping Sweden to third place in the World Cup , scored one goal and set up another as Sweden beat Hungary 2-0 in a Group 3 _____ qualifier Wednesday .",919,european qualifier,Spain recorded a deficit of 56.7 billion euros in the first 10 months of _____ year .,606,last year,"I 'm not sure he will be with us _____ season , '' Bento said .",817,next season
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research","Kanneh , who belongs to a _____ party that opposes the Liberian government , said he barely escaped a government attack in April .",535,political party,"Mills will begin his _____ term at the group which promotes and funds professional and non-governmental organizations in the former British colonies which make up the Commonwealth from January 1 , 1999 .",445,two-year term,Hundreds of Palestinians staged an _____ protest in southern Gaza on Tuesday demanding the reopening of the strip 's border crossing with Egypt where thousands have been stuck for a month .,868,angry protest,The Australian state of Victoria will provide a wide-ranging program of aid to Indonesia to help it weather the regional _____ crisis under a memorandum of understanding signed Friday .,385,economic crisis,Nigeria 's main militant group said it repelled military forces attacking one of its camps Thursday in the restive _____ region of Africa 's biggest petroleum producer .,774,southern region,I credit his _____ ability to membership in the technology generation .,169,intuitive ability,"A congressionally appointed commission chaired by Stanford University economist Michael Boskin concluded late _____ year that the U.S. consumer price index -(- CPI -)- , on which cost of living increases for Social Security and other entitlement programs are based , overstates inflation by at least 1.1 percentage points a year .",370,last year,It was the only the _____ time a team had hit three homers in an inning in postseason play .,489,fourth time,But the distribution of equity and profits among the partners is consistent across the _____ firm .,179,whole firm,Japan has some 600 troops in the southern Iraqi city of Samawah on a _____ mission in its largest overseas military deployment since World War II .,49,humanitarian mission
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research","We still face crumbling barrios and _____ legislation , and the temptation is great to withdraw into our time-honored , pent-up macho rage .",517,english-only legislation,"His last directing credit was in 1991 , for `` Curly Sue , '' and he wrote just a handful of scripts over the _____ decade .",350,past decade,Davydenko said he had a possible stress fracture in his _____ foot and retired as a precaution ahead of next week 's Australian Open .,937,right foot,"States were evaluated in eight areas : children 's readiness for school , graduation and dropout rates , academic achievement , teacher education , _____ standing in math and science , adult literacy , school safety and parental participation in schools .",710,international standing,"It is the first election held in France since a _____ recession sent unemployment soaring to its highest level in a decade , with nearly three million people now out of a job .",126,year-long recession,"Two Web sites announced Saturday that a radical _____ group had beheaded Hassoun , but the group said Sunday that those claims were untrue .",82,muslim group,The heavily armed militants barged into the homes of the committee members and took away the men to an _____ destination .,270,unknown destination,"Since the start of 2006 , all but two of the company 's directors have been replaced , including Thalheimer , who had been _____ executive .",959,chief executive,"In flat , _____ language , he acknowledged that his biggest pledges to Mexico _ promises that propelled his stunning rise to power _ have been deferred .",199,direct language,"There is a `` good chance of some modification '' of the _____ system , so an FCC hearing on the current system could be a waste of effort , said Taylor .",683,current system
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research",He remembered one low at Fenway a few years ago when Red Sox outfielder Kevin Romine hit a _____ homer to sink the Royals .,706,ninth-inning homer,A 22-year-old female passenger is in a `` serious but stable condition '' in a Perth hospital after suffering _____ head and chest injuries .,767,serious head,Vojislav Kostunica spoke just days before an expected debate and possible vote in the U.N. Security Council on the plan on the future of the southern province whose ethnic _____ majority demands to secede from Serbia .,969,albanian majority,"Yet , Churchill-Steele 's Bach and Spectrum 's _____ president , Arland Dunn , confirmed the trail of money .",71,former president,"The win sent No. 9 Kucera toward a quarterfinal match against top-seeded Pete Sampras , while No. 8 Agassi failed to advance beyond the _____ round in any Grand Slam tournament this year .",224,fourth round,"IRAQ-SCENE -- BAGHDAD , Iraq -- Joyful shouting and gunfire in the streets of the Iraqi capital on news that the _____ dictator was in custody ; reaction from Shiites and in Saddam 's own neighborhood , as well as the governing council .",958,former dictator,"It also vows to respect the rights of Iraq 's many ethnic groups , notably those of the Kurds , who have enjoyed autonomy from Saddam 's regime since 1991 due to a US and British enforced _____ zone over northern Iraq .",330,no-fly zone,"In early 2003 , 71 female employees filed a petition internally complaining about hostile working conditions , including _____ harassment and retaliation .",322,sexual harassment,"The ship 's biggest innovation : The six-day cruise , offering a convenient Sunday departure and Saturday return that allows guests an _____ day to relax before heading back to work .",582,extra day,"It is not planned to purchase large batches of new samples of weapons and _____ technology , the sources said .",613,military technology
Sentence Fill-In-The-Blank Task,Read a sentence with a missing word and try to fill in the blank,"language, English, research","I found some familiar names on the roster of 58,000 dead _ guys I 'd known in _____ school , one from college .",182,high school,The incredible freedom and opportunities you enjoy as a _____ teenager in the United States were nonexistent for Ben .,635,young teenager,"Stephen Bright , director of the Southern Center for Human Rights in Atlanta , said he thought the new rules would improve the quality of justice but would not solve the _____ problem of having innocent people end up on death row .",321,overall problem,"Some will get to work , head downtown to see the New York Giants ' _____ parade and vote in the presidential primaries in the evening .",157,ticker-tape parade,"This _____ measure will probably fail , but there will be others .",479,particular measure,Eight of the reported deaths cite _____ use of pressure cuffs .,436,improper use,"Sung Won Sohn , chief economist at Norwest Corp. in Minneapolis , agreed there were some signs of an _____ slowdown , but added that they were inconclusive .",542,economic slowdown,"Like millions of other Indians in a _____ plight , he had been a slave in all but name , working to defray debts his father had accumulated with the quarry owner .",176,similar plight,"Wranglers at the Platt ranch were marking calves the old-fashioned way _____ week , roping them from horseback and burning a brand onto their haunches .",139,last week,"An _____ machine sends probes throughout corporate networks or the Internet , looking for other computers with the same software flaw and infecting them .",235,infected machine
