Title,Description,Keywords,img_id,question,answer,rationale,img_fn,metadata_fn,model_name,NOUN1,NOUN2,NOUN3,NOUN4,NOUN5,NOUN6,NOUN7,NOUN8,NOUN9,NOUNPHRASE1,NOUNPHRASE2,NOUNPHRASE3,NOUNPHRASE4,NOUNPHRASE5,VERB1,VERB2,VERB3,VERB4,VERB5,VERB6
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",405051459,A woman is in a bikini .,contradiction,A woman can not be in a bikini and a dress at the same time.,405051459.jpg,-,e_snli_ve_text_situation_q_a_to_r,time,bikini,woman,dress,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2844654521,A lady is driving the car,contradiction,A lady can not be walking and driving simultaneously.,2844654521.jpg,-,e_snli_ve_text_situation_q_a_to_r,lady,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",158857536,There is a cowboy only wearing a hat talking to a woman .,contradiction,A cowboy can not be talking to a woman if he is holding a microphone.,158857536.jpg,-,e_snli_ve_text_objects_q_a_to_r,microphone,woman,cowboy,-,-,-,-,-,-,-,-,-,-,-,is holding microphone,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",129602216,A man sitting at a table has just eaten his food and drink .,contradiction,A man can not be eating and drinking at the same time.,129602216.jpg,-,e_snli_ve_text_objects_q_a_to_r,man,time,-,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3971415758,Two women are dancing with a band .,entailment,Two women are dancing with a band is a rephrasing of two women dancing with a band.,3971415758.jpg,-,e_snli_ve_text_situation_q_a_to_r,band,rephrasing,women,-,-,-,-,-,-,two women,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",1333788342,A young boy sits inside a plays a board game .,contradiction,A boy can not be sitting inside a plays board game and playing a game on a swing at the same time.,1333788342.jpg,-,e_snli_ve_text_objects_q_a_to_r,time,swing,game,boy,-,-,-,-,-,same time,plays board game,-,-,-,playing game,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4771216868,The Muslims are marching to Mecca .,entailment,Muslim men are Muslims.,4771216868.jpg,-,e_snli_ve_text_objects_q_a_to_r,muslims,men,-,-,-,-,-,-,-,muslim men,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2955083038,The camels are outside in the village .,entailment,Camels are in the village.,2955083038.jpg,-,e_snli_ve_text_situation_q_a_to_r,village,camels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2194167019,The woman is sitting in a chair .,contradiction,The woman can not be sitting in a chair and standing on a ladder at the same time.,2194167019.jpg,-,e_snli_ve_text_objects_q_a_to_r,ladder,woman,chair,time,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",7489648970,Four men play tubas in a park .,contradiction,The men can not be playing tubas in a park and playing a board game at the same time.,7489648970.jpg,-,e_snli_ve_text_objects_q_a_to_r,game,tubas,time,men,park,-,-,-,-,same time,board game,-,-,-,can not be playing tubas,playing game,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",111737806,There is a woman .,entailment,A woman is a woman.,111737806.jpg,-,e_snli_ve_text_objects_q_a_to_r,woman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3450087996,Two fat persons are found eating in the street,entailment,Two fat persons are found eating in the street is a rephrasing of two fat people eating in the street.,3450087996.jpg,-,e_snli_ve_text_objects_q_a_to_r,people,street,rephrasing,-,-,-,-,-,-,two fat people,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",416350089,A guy in a uniform is mopping the floor .,entailment,A guy is mopping the floor is a rephrasing of a guy in a uniform is mopping the floor.,416350089.jpg,-,e_snli_ve_text_situation_q_a_to_r,uniform,floor,rephrasing,guy,-,-,-,-,-,-,-,-,-,-,is mopping floor,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",15859665,A child is riding a play horse .,entailment,A child is riding a play horse is a rephrasing of a child is riding a play horse.,15859665.jpg,-,e_snli_ve_text_objects_q_a_to_r,horse,child,rephrasing,-,-,-,-,-,-,play horse,-,-,-,-,is riding horse,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4693817697,The woman is outdoor .,entailment,A woman is outdoors in a park.,4693817697.jpg,-,e_snli_ve_text_situation_q_a_to_r,woman,park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4827261484,There is a crowd .,entailment,A crowd is a crowd.,4827261484.jpg,-,e_snli_ve_text_objects_q_a_to_r,crowd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4685167138,The firefighters are wearing polo shirts and playing volleyball .,contradiction,The firefighters can not be wearing polo shirts and playing volleyball if they are wearing orange vests and helmets.,4685167138.jpg,-,e_snli_ve_text_objects_q_a_to_r,vests,firefighters,shirts,helmets,volleyball,-,-,-,-,polo shirts,orange vests,-,-,-,playing volleyball,can not be wearing shirts,are wearing vests,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",7767981942,The basketball players are women .,entailment,The women are playing basketball.,7767981942.jpg,-,e_snli_ve_text_objects_q_a_to_r,basketball,women,-,-,-,-,-,-,-,-,-,-,-,-,are playing basketball,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2194167019,A bald headed girl in a market .,contradiction,A girl can not have a ponytail and be bald headed at the same time.,2194167019.jpg,-,e_snli_ve_text_objects_q_a_to_r,girl,ponytail,time,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",7885411338,A tall human walking,contradiction,A man is not a tall human.,7885411338.jpg,-,e_snli_ve_text_objects_q_a_to_r,human,man,-,-,-,-,-,-,-,tall human,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4834131048,The two people in the alley are fighting .,contradiction,The people can not be walking and fighting at the same time.,4834131048.jpg,-,e_snli_ve_text_objects_q_a_to_r,time,people,-,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3459578742,Someone is in the water .,entailment,A person is someone.,3459578742.jpg,-,e_snli_ve_text_objects_q_a_to_r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",5135072759,A group playing music,entailment,A band is a group of people playing music.,5135072759.jpg,-,e_snli_ve_text_situation_q_a_to_r,band,group,people,music,-,-,-,-,-,-,-,-,-,-,playing music,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",254148000,Two men stand near the water at the beach .,entailment,The men are near the water because they are standing on the beach.,254148000.jpg,-,e_snli_ve_text_objects_q_a_to_r,beach,water,men,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3189307452,A dog is jumping,entailment,A dog jumping is a rephrasing of a dog is jumping.,3189307452.jpg,-,e_snli_ve_text_objects_q_a_to_r,jumping,dog,rephrasing,-,-,-,-,-,-,dog jumping,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4448923515,a dark haired person in a scarf and jacket stands in the light,entailment,A dark haired person is a rephrasing of a dark-haired person.,4448923515.jpg,-,e_snli_ve_embed_situ_q_a_to_r,rephrasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4459462025,The woman is standing outside .,entailment,A woman is standing outside in a city.,4459462025.jpg,-,e_snli_ve_text_situation_q_a_to_r,woman,city,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4958781334,two people wearing hats and gloves in a garden,entailment,A man and a woman are two people.,4958781334.jpg,-,e_snli_ve_text_objects_q_a_to_r,woman,man,people,-,-,-,-,-,-,two people,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",5444724,The pilot is in an airport .,entailment,A pilot in an airport is in an airport.,5444724.jpg,-,e_snli_ve_text_situation_q_a_to_r,airport,pilot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3259694057,A dog walks toward the camera .,entailment,A dog walks toward the camera is a rephrasing of a dog walks toward the camera.,3259694057.jpg,-,e_snli_ve_text_objects_q_a_to_r,dog,camera,rephrasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2969370354,A girl and boy are playing tennis,entailment,A girl and boy are playing tennis is a rephrasing of a girl and boy are playing tennis.,2969370354.jpg,-,e_snli_ve_text_objects_q_a_to_r,girl,tennis,boy,rephrasing,-,-,-,-,-,-,-,-,-,-,are playing tennis,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6718814177,Hockey players skating past each other .,entailment,Hockey players are skating past each other in a hockey game.,6718814177.jpg,-,e_snli_ve_text_situation_q_a_to_r,players,game,-,-,-,-,-,-,-,hockey game,hockey players,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3735158583,person rides horse,entailment,A person is a rider.,3735158583.jpg,-,e_snli_ve_text_objects_q_a_to_r,rider,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3103587323,A child holding on to a real penguin .,contradiction,A real penguin is not a toy.,3103587323.jpg,-,e_snli_ve_embed_situ_q_a_to_r,penguin,toy,-,-,-,-,-,-,-,real penguin,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4782619449,Two men are happy,entailment,Smiling is a sign of being happy.,4782619449.jpg,-,e_snli_ve_text_situation_q_a_to_r,sign,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4826988059,the young man is wearing the red speedos,contradiction,The man can not be wearing a blue shirt and a red Speedos at the same time.,4826988059.jpg,-,e_snli_ve_embed_situ_q_a_to_r,speedos,shirt,man,time,-,-,-,-,-,red speedos,same time,blue shirt,-,-,can not be wearing shirt,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",1733676900,a man inside of a sbarro eats pizza,contradiction,A man can not be inside a sbarro and outside of a building at the same time.,1733676900.jpg,-,e_snli_ve_text_objects_q_a_to_r,time,man,sbarro,building,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",185006469,A person with clothes .,entailment,A man is a person.,185006469.jpg,-,e_snli_ve_embed_objects_q_a_to_r,man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4706466713,People are inside having dinner .,contradiction,People can not be inside and outside at the same time.,4706466713.jpg,-,e_snli_ve_embed_situ_q_a_to_r,time,people,-,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",157308126,Three people are swimming in a race .,entailment,Three people are swimming in a race is the same as three people are swimming in a race.,157308126.jpg,-,e_snli_ve_text_situation_q_a_to_r,race,people,-,-,-,-,-,-,-,three people,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6848904367,A bartender is at home drinking water .,contradiction,A bartender can not be at home drinking water and at a bar at the same time.,6848904367.jpg,-,e_snli_ve_text_objects_q_a_to_r,home,water,time,bar,bartender,-,-,-,-,same time,drinking water,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",5415762131,Two men are playing basketball .,contradiction,Tennis and basketball are different sports.,5415762131.jpg,-,e_snli_ve_text_objects_q_a_to_r,sports,basketball,tennis,-,-,-,-,-,-,different sports,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",1478294229,A person on a bike .,entailment,A person on a bike is a rephrasing of a person on a bike.,1478294229.jpg,-,e_snli_ve_text_objects_q_a_to_r,bike,rephrasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4794460787,An octopus squirting out its ink .,contradiction,A woman is not an octopus.,4794460787.jpg,-,e_snli_ve_embed_situ_q_a_to_r,woman,octopus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4726652809,The people in the office only have a view of the river .,contradiction,The people can not be in an office and in a train station at the same time.,4726652809.jpg,-,e_snli_ve_text_objects_q_a_to_r,time,station,people,office,-,-,-,-,-,same time,train station,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4132372244,The choir is outside .,contradiction,The choir can not be outside and in a church at the same time.,4132372244.jpg,-,e_snli_ve_text_objects_q_a_to_r,choir,time,church,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",1197800988,A person wearing a purple jacket is outside next to a tree .,entailment,A person wearing a purple jacket is outside next to a tree is a rephrasing of a person wearing a purple jacket is outside next to a tree.,1197800988.jpg,-,e_snli_ve_embed_situ_q_a_to_r,tree,rephrasing,jacket,-,-,-,-,-,-,purple jacket,-,-,-,-,wearing jacket,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",1131800850,The dog is black with spots .,contradiction,The dog can not be both white and black.,1131800850.jpg,-,e_snli_ve_embed_objects_q_a_to_r,dog,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",1131804997,The guys are sitting on the lawn outside .,contradiction,The guys can not be sitting on the lawn outside and sitting on a bench outside at the same time.,1131804997.jpg,-,e_snli_ve_embed_situ_q_a_to_r,time,bench,lawn,guys,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2197552440,someone is playing a sport outside .,entailment,A baseball player is someone.,2197552440.jpg,-,e_snli_ve_text_objects_q_a_to_r,player,-,-,-,-,-,-,-,-,baseball player,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",6563231789,A man with a beard is holding a microphone .,entailment,A man with a beard is holding a microphone is a rephrasing of a bearded man with a beard is holding a microphone.,6563231789.jpg,-,e_snli_ve_embed_situ_q_a_to_r,microphone,beard,man,rephrasing,-,-,-,-,-,bearded man,-,-,-,-,is holding microphone,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4876859436,Someone is buying fruit .,contradiction,A fruit vendor is not someone buying fruit.,4876859436.jpg,-,e_snli_ve_text_situation_q_a_to_r,fruit,vendor,-,-,-,-,-,-,-,fruit vendor,-,-,-,-,buying fruit,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3460038273,A flustered woman is outside,entailment,A woman is flustered because she is unhappy.,3460038273.jpg,-,e_snli_ve_embed_objects_q_a_to_r,woman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4552785903,A crowd of people are outside looking towards the sky .,entailment,A crowd of people are outside looking towards the sky is a rephrasing of a crowd of people are outside looking towards the sky.,4552785903.jpg,-,e_snli_ve_text_objects_q_a_to_r,sky,rephrasing,people,crowd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2399665042,"A child sits very still so as not to upset what he carries , and another child is close by .",entailment,A child who sits very still is a child who sits very still.,2399665042.jpg,-,e_snli_ve_text_objects_q_a_to_r,child,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4037148542,A mime is talking to a group of people .,contradiction,A mime is not a band.,4037148542.jpg,-,e_snli_ve_embed_situ_q_a_to_r,band,mime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",4451335021,The woman is sitting on a bench .,contradiction,The woman can not be walking and sitting at the same time.,4451335021.jpg,-,e_snli_ve_embed_objects_q_a_to_r,woman,time,-,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3687250043,a boy watches a truck go by,entailment,A boy watches a truck go by is a rephrasing of a boy watches a truck go by.,3687250043.jpg,-,e_snli_ve_text_objects_q_a_to_r,truck,boy,rephrasing,-,-,-,-,-,-,-,-,-,-,-,watches truck,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",12974441,A man with a face problem .,entailment,A man with a face problem is a rephrasing of a man with a face problem.,12974441.jpg,-,e_snli_ve_embed_situ_q_a_to_r,problem,man,rephrasing,-,-,-,-,-,-,face problem,-,-,-,-,-,-,-,-,-,-
