Title,Description,Keywords,pair11,pair12,answer1,pair21,pair22,answer2,pair31,pair32,answer3,pair41,pair42,answer4,pair51,pair52,answer5,pair61,pair62,answer6,pair71,pair72,answer7,pair81,pair82,answer8,pair91,pair92,answer9,pair101,pair102,answer10,pair111,pair112,answer11,pair121,pair122,answer12
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP",Experts here and in the West attribute this willingness to encourage Soviet overtures as stemming from Teheran's desire to thwart Washington and to play one superpower against the other.,The surprise has been Iran's willingness to put aside its own hostility toward its northern neighbor.,False,"The seven officers assigned to the receiving room were also transferred to Rikers Island, effective yesterday.",Mr. Koehler said all knew or should have known about the alteration of the records.,True,"They would work out of the comfortable Venice, Calif., compound owned by Joe Pytka, the independent television-commercial director who did the John Hancock commercials.","Together, they started casting and scouting Los Angeles locations for the shooting.",True,The not-too-sweet plum sauce served on the side is a good accompaniment.,French peppercorn steak flamed with brandy also satisfied.,True,"Many view fly-fishing as an escape from the norm, a more polite way to catch bass than on a bait-casting rod of brute strength and with a lure full of hefty treble hooks.","Philip French of Cresson simply looks at fly-fishing as another fun way to outsmart Mr. Largemouth, a fish revered by Southern freshwater fly anglers.",TrueControl,Panasonic is selling even hot-pink headphones.,"Sharp displayed a 13-inch television available in pink, yellow, green, beige, white and black.",False,"Miniature horses, the pets of European royalty in centuries past, will be on display, along with Arabian stallions, appaloosas, Morgans and quarter horses.","He will be accompanied by Realeza, a brood mare, and her foal, Pandareta.",False,The bait for unsuspecting victims ranges from nonexistent trips to identification cards offering anyone the kind of discounts only travel agents can get legitimately.,"The vacation swindle business is booming, according to law enforcement agencies, consumer advocates and travel industry organizations.",FalseControl,"I believe that our disapproval of this bill would allow the public debate which has begun on the subject of ethics in government to continue, and that the result of this process will be a better, more comprehensive bill.","Given the urgent need to restore confidence in our government, half a loaf, or less, is not now sufficient.",True,"His attorney, Mr. Levin, stressed that he was not accusing anyone of intentionally killing the astronauts but rather of unintentional manslaughter or criminal homicide.","Under Utah's version of the racketeering act, the suit alleges, Thiokol ""committed acts of criminal homicide"" and securities fraud that ultimately led to the injuries suffered by Mr. Boisjoly.",False,Ecological common sense should be used in naming a national insect.,I recommend choosing a species native to both our continent and hemisphere.,True,A Pentagon spokesman said no Pentagon official would comment on any Iran arms dealings.,Calls to Colonel Caylor were not returned.,False
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","In Alford, they have the consummate guard, a leader, a gifted passer and shooter and a pressure player.","Indiana can be absolutely awesome offensively, because the Hoosiers have an excellent player, extremely well-suited for his particular position, at each spot in their starting lineup.",False,"Mr. Devine, 43, earned a doctoral degree in agricultural economics from Ohio State University before establishing his own 1,000-acre grain farm 70 miles west of Regina, the provincial capital.","One critic is Grant Devine, the Conservative who has been premier of Saskatchewan since 1982.",False,"Both artists have found their main support within the critical circles of post-modernism, where their appropriated pictures, ""borrowed"" from existing images via the camera, were seen to challenge the fundamental tenets of modernism, including authorship, originality and the possibility of pure feeling.",The issue is not so much that Levine and Kruger made their reputations with work that utilized photographs - photography remains a poor cousin to painting in marketplace terms - as it is the nature of their reputations.,False,"Four years ago, Mr. Jackson ran third in the primary, with 26 percent of the vote, just behind then Gary Hart.","Walter F. Mondale, who was backed by Mr. Cuomo and the state party, was first, with 45 percent.",True,"Make nonalcoholic drinks available to your guests to show your children that adults often drink other things, even on special occasions.","Explain that while alcohol should be drunk only by adults, drinking it does not make you an adult.",False,"Two thick squares of wood of equal size are stoutly clenched together, so that they cross each other's grain at right angles; a line of considerable length is then attached to the middle of this block, and the other end of the line being looped, it can in a moment be fastened to a harpoon.","All whaleboats carry certain curious contrivances, originally invented by the Nantucket Indians, called druggs.",FalseControl,"For the record, there is a Puccini Boys Wear and a Puccini Maternities and also a Bruckner Plumbing and Heating company in the Bronx.","The scan turned up, in addition to Mr. Mahler and Mr. Bach, four Richard Wagners and eight Richard Strausses (no suprises there), an S. Barber, a G. Handel, an A. Dvorak and a Franz Schuberts, which was too close to pass over.",False,"But "" 'C' "" by Anthony Cave Brown does not live up to that promise.",So a full biography of him by a reputable writer ought to be fascinating and enlightening.,False,But they said the offer was declined.,"In the months before the murder, Mr. Sheldon, an aide to Mr. Bhatipada, traveled to the West Coast several times and offered one longtime member of the church a contract to kill Mr. Bryant, according to Krishna sources, who asked not to be identified because they said they feared for their lives.",False,"The vacation swindle business is booming, according to law enforcement agencies, consumer advocates and travel industry organizations.",The bait for unsuspecting victims ranges from nonexistent trips to identification cards offering anyone the kind of discounts only travel agents can get legitimately.,TrueControl,The State and Justice Departments were opposed to the bill.,But on Sept. 15 the Administration capitulated to political pressure and itself ordered the information office to shut down.,True,"Philip Caputo's ""Indian Country"" is such a novel.","The story of a troubled Vietnam veteran, it is, at once, an earnest case study of someone suffering from post-traumatic stress disorder and an engaging fictional examination of the war's impact on an individual psyche.",True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","Ten conscientious objectors, ranging in age from 20 to 67, were jailed for contempt, two of them going on water-only fasts.",Construction of the project has resumed amidst more than 200 dramatic arrests of demonstrators violating court injunctions prohibiting interference at the construction sites.,False,"It presented Eden as a hardworking public servant of unquestioned integrity who, with many inadequacies, did his best for Britain according to his own lights.",But his book stopped short of indictment.,False,"Senior judges remain on the bench, but can reduce their caseloads.","The opening on the 13-member appeals court, which sits in Manhattan, was created last month when Judge Irving R. Kaufman took senior status.",False,"As Michael's absence stretches into weeks and months, the tensions become unbearable.","It is Jody who takes on the role of mediator and peacemaker, who tries to maintain some semblance of normalcy, to prevent Kay and her mother from savaging each other, to tone down the blaming, the guilt, the wounding cruelties.",True,I could almost smell the homemade chocolate candy she made for my teachers at Christmastime.,And I remembered the piano lessons she persuaded my reluctant father to give us and the summer camp she made possible by her savings.,True,No-trump produced 10 tricks in one room but only 6 in the other.,"This caution was also justified, for the contract failed by a trick after an opening club lead.",False,"The sports theme is reiterated on the menu, with the names of dishes and with a reprint of the Ernest Lawrence Thayer poem ""Casey at the Bat.""",The menu covers a number of currently popular bases.,True,She was upset about her son's picture in the paper.,Her complaint began in an ordinary enough fashion.,FalseControl,"Large public housing projects - Harlem River Houses, St. Nicholas Houses and Lincoln Houses - are nearby.","Ultimately, the New York City Housing Authority will manage the Harlem units, which lie within a broad stretch of land from West 139th to West 144th Street, between Lenox Avenue and Adam Clayton Powell Jr. Boulevard.",False,I wasn’t going to get out of the bathtub and leave puddles on the floor to listen to someone breathe; I would stay here with Sharon and Doctor Hunter.,"The phone rang, but I let it ring.",FalseControl,"Should the New Zealanders' challenge be accepted by the court, officials at the San Diego Yacht Club and its organizational arm, the Sail America Foundation, are prepared to wage a battle both on the water and off.","Fay has called for a race series next June, and he wants to bring a boat that is twice the size of a 12-Meter - the class designated by San Diego for 1991.",True,"On one of the central disputes between liberals and conservatives, the rights of criminal suspects, the survey indicated that public views had become more conservative in the last year.","In a Times/CBS News Poll taken in June 1986, 34 percent said the Supreme Court had ""gone too far in protecting the rights of people accused of crimes.""",True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","For their part, USX executives strongly deny that safety has been compromised.","Indeed, not only do company statistics show that injuries have declined, but USX officials say the number of serious accidents is lower than the industry average.",True,"In order that all citizens can lead a secure and happy life, crime against life and property, such as hooliganism, robbery and theft, must be stamped out, and deep-seated corruption and improprieties that still linger in our society must be eradicated.","Eighth, bold social reforms must be carried out to build a clean and honest society.",False,"This was in the face of the prime rate announcement, normally a good sign for stocks.",The gloom that pervaded Wall Street earlier in the week returned.,True,"Tofu was supposed to be a nutritious alternative to ice cream, but some tofu-based desserts, like yogurt before them, have more calories than ice cream.","But now most tofu is unrecognizable, especially in its frozen form.",False,Now I can manage to make myself understood sufficiently in your language to explain that you do not know that other girl's language.,Before that time I talked as that girl talks.,FalseControl,"They point, for example, to Detroit's two dailies, which are among the nation's 10 largest, and are seeking Government permission to merge all non-editorial departments into a joint operating arrangement because they say they cannot be profitable independently.","Some newspaper analysts are skeptical that these papers can survive in the long term, arguing that Mr. Singleton is fighting some strong evidence that only one paper can prosper in even the largest cities.",False,"In their views on budget policy, the Republican candidates differ mainly in the rigidity with which they oppose any tax increase.","The other candidates for the Republican Presidential nomination, who are running behind Mr. Bush and Mr. Dole in the national public opinion polls, make similar points.",False,"Mamma Leone's, the boisterous 1,250-seat Italian eatery - started by Louisa Leone 80 years ago - reports a decline in business of about 12 to 15 percent.",Not everyone is happy about this summer.,False,I wasn’t going to get out of the bathtub and leave puddles on the floor to listen to someone breathe; I would stay here with Sharon and Doctor Hunter.,"The phone rang, but I let it ring.",FalseControl,The Missouri State Police now use computers to detect highway trouble spots where more alcohol-related accidents occur.,Then they establish roadblocks nearby.,True,And God only knows what the rug hanging was doing on the summer porch of my grandparents' winter home.,"Maybe it was a minnow that he didn't eat, but stuffed when it got big enough to fit the plate.",False,Parents can tell a great deal about the financial condition of individual schools by studying their recent history.,"Because most independent private schools depend on tuition for the bulk of their income, declining enrollment can carry the school down an ever-steeper spiral.",True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","Last week, Senate Republicans blocked a major housing bill that also contained an extension of the grants.",President Reagan had earlier threatened to veto the bill if it passed.,True,"The vacation swindle business is booming, according to law enforcement agencies, consumer advocates and travel industry organizations.",The bait for unsuspecting victims ranges from nonexistent trips to identification cards offering anyone the kind of discounts only travel agents can get legitimately.,TrueControl,Suggesting that it was also the vehicle for his views on art as a whole are the images of flood-lighted interiors.,"It takes close looking indeed to distinguish the photographed versions from the drawn because all are equally effective as all but abstract compositions in black, gray and white.",True,"Altogether, 200 civilian satellites are to be launched in the next decade, according to Mr. d'Allest, and Arianespace intends to continue launching half of them.","Assuming four or five launchings in 1987 and 8 to 10 each year thereafter, Ariane, which can launch two satellites on one rocket, is booked up at least through 1990.",False,"He died at Maimonides, the police said.","The fourth victim was a passer-by, George Paskesz, 50, of 1829 53d Street in Brooklyn.",True,But he vehemently denied an assertion by the French newspaper Le Monde this afternoon that his Government paid a ransom to free Mr. Auque and Mr. Normandin.,"A somber Mr. Chirac confirmed that France engaged in talks with the Teheran Government, which he implied might lead to the release of another 3 French hostages left in Beirut.",False,"Watson won his fifth British Open title in 1983, with Hale Irwin and Andy Bean of the United States tied for second.","After that, American domination ended.",True,"When Martin Luther King Jr. attempted to lead a nonviolent march across the river and into the city, Police Commissioner ""Bull"" Connor and his men caused them to be met at the bridge and arrested.","There is a painting in the present show, dated 1973, called ""Confrontation at the Bridge,"" that is based upon an incident in Birmingham, Ala., in 1963.",False,She was upset about her son's picture in the paper.,Her complaint began in an ordinary enough fashion.,FalseControl,There was a five-minute delay at one point as McEnroe and Lendl waited for the crowd to settle down.,"He questioned a couple of calls by the linesmen on his serve, and was agitated by the ushers' inability to control the crowd strolling to their seats after the breaks between games.",False,"Extend the chalked lines to the edges of the cloth, then use metal-cutting shears to remove the waste areas at the corners, as shown in the diagram.","To make a spark arrester, chalk the inside dimensions of the flue opening in the center of a large square of half-inch mesh hardware cloth.",False,Then place the piece into the opening to test the fit.,"When you are finished, round over or bevel the bottom edges of the replacement section using a file.",False
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP",Before that time I talked as that girl talks.,Now I can manage to make myself understood sufficiently in your language to explain that you do not know that other girl's language.,TrueControl,Even the magnifying glass didn't help.,"We were in the background and the camera never focused on us, on my red blouse or Gene's glasses.",False,"Finally, we worry that students will not make as many changes as they write, which is the stuff of writing well.",They make more changes when using a computer.,True,"Where no precedents have been established, a board member or a special committee could be made responsibile for concerns for the elderly, suggested Roberta Spohn, deputy commissioner for the New York City Department for the Aging.",Appointees might organize a buddy system or compile a list of the social-service agencies that could be contacted.,True,Small amounts of each dish are eaten with the rice.,"Thai meals do not have a beginning, middle and end as we know them.",False,"In New York, the precedent has been to build higher on the corner, lower in midblock.",The major problem I have with it is in the R-10 sites in Manhattan.,False,"According to Jean Taylor Federico, a prominent scholar on the subject, not all quilts were for utilitarian purposes.","In fact, she has pointed out, because the utilitarian ones became worn from use, those that are found in museum collections are generally those made with conscious decorative intent by upper-class people.",True,"One, on Saturday, sponsored by the Marine Commerce and Development Committee of New London, is a free movie festival of full-length adaptations of O'Neill's plays.",Other area organizations are also planning activities.,False,"The original meaning of ""deadline"" was a line around a prison beyond which any prisoner would be shot.","The Congressional meaning carries no such peril, certainly not when it comes to budget bills.",True,"Many view fly-fishing as an escape from the norm, a more polite way to catch bass than on a bait-casting rod of brute strength and with a lure full of hefty treble hooks.","Philip French of Cresson simply looks at fly-fishing as another fun way to outsmart Mr. Largemouth, a fish revered by Southern freshwater fly anglers.",TrueControl,"Conservatives have focused much of their anger at Mr. Baker, the White House chief of staff, whom the Republican right wing has long considered too moderate.",They accuse him of not backing the Bork nomination vigorously enough and of trying to portray the judge as a mainstream jurist instead of a conservative.,True,"Something like the agricultural export program, which has a very high subsidy rate - a dollar in that lending program will be counted as equivalent to a dollar in the farmer loan program.",One of the big problems is you don't have an accurate account of what the subsidy is.,False
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","All of us were lifting (no one called it ""pumping iron"" then) in hopes of melding our bodies into some Platonic vision of the ideal male form.",Lifting was an act of male vanity.,True,Before that time I talked as that girl talks.,Now I can manage to make myself understood sufficiently in your language to explain that you do not know that other girl's language.,TrueControl,"These big colorful still lifes, interiors and two full-length portraits done in the 30's, Hofmann's first decade in America, may surprise even the most knowledgeable viewers.",These pictures look so unbelievably fresh they're almost glitzy.,True,"""They don’t do anything; they just have meetings and talk a lot, sort of like the Theosophists.”","“Talk is dangerous,” said Paul darkly.",TrueControl,"The oil company leases the Stuyvesant from Bay Tankers, a New Jersey concern.","In a telephone interview, Peter Cregan of Bay Tankers said, ""I won't have anything to say.""",True,"Not surprisingly, when pension reform was proposed in Italy, there was so much hooting that the Government abandoned the plan.","In France, the Government had a hard time mustering the courage to put together a stopgap plan to close a hole in the current social security budget, and has hardly begun moving on the long-term deficit.",True,"A cap was put on future production of halons, another class of ozone-destroying chemicals, as well.",The treaty signed last week would freeze the use of chlorofluorocarbons at last year's level by 1989 and reduce it by half in the next decade.,False,"Transportation  From Antigua, Guadeloupe and St. Kitts on Montserrat Aviation Services.","Nevis  ST. KITTS-NEVIS TOURIST BOARD 414 EAST 75th STREET, NEW YORK, N.Y. 10021 (212-525-1234)  New Look  Nevis is proud of Alexander Hamilton, who was born in its chief town, Charlestown, and this winter it plans to mark his birthday in a special way.",True,"Zurbaran faces a similar problem in the next painting in the show, the curious little ""Christ Child Blessing,"" painted around 1635 for the Trinitarian order.",The main problem is how to give a 3- or 4-year-old child the authority of a divinity.,True,"This and other obstacles proved relatively little trouble for Hildegard Behrens, the Elektra during the Boston Symphony Orchestra's semi-staged version of the opera at Carnegie Hall Friday evening.","In its power and unbroken intensity, Ms. Behrens's performance was quite simply staggering.",True,"An important lesson for schools from extensive experience in factories and offices is that changes in organization, management and human resources account for about 80 percent of the potential productivity gains from automation.",Hardware and software alone are a relatively small part of the story.,True,Such flights would be forbidden in large areas near big city airports unless the training planes had devices that automatically showed their altitude on radar.,One idea advanced by key officials of the National Transportation Safety Board is tighter restrictions on training flights.,False
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","I was a police officer with the New York City Police Department for 26 years before becoming Chief of Police in Birmingham, Ala., in 1981.","Upon assuming command, we found that a ""John Wayne"" syndrome and a propensity to use firearms by some officers had been having an unfavorable impact on the entire community.",True,The public responded to Wilson's plea.,"In Wilson's first team, party Government laid the legislative foundations for the New Freedom, generally regarded as the most creative period of national Government between the Reconstruction and the New Deal.",True,"Gold-colored objects, birds, pagodas and such are suspended from small red streamers, embodying two primary holiday colors.",The wares on display are almost entirely for the New Year trade.,False,"Two thick squares of wood of equal size are stoutly clenched together, so that they cross each other's grain at right angles; a line of considerable length is then attached to the middle of this block, and the other end of the line being looped, it can in a moment be fastened to a harpoon.","All whaleboats carry certain curious contrivances, originally invented by the Nantucket Indians, called druggs.",FalseControl,"He said that the Canada Cup series, involving teams from several nations, convinced him that fighting could be abolished.","Esposito, for example, has been an outspoken critic of hockey violence.",False,And it was made even more uncomfortable for Benson because Lawrence Taylor and Leonard Marshall had elected to cross the picket line.,This was the atmosphere to which Benson returned.,False,The bait for unsuspecting victims ranges from nonexistent trips to identification cards offering anyone the kind of discounts only travel agents can get legitimately.,"The vacation swindle business is booming, according to law enforcement agencies, consumer advocates and travel industry organizations.",FalseControl,"Earlier today, Syrian foot patrols marched into West Beirut's battle zone to occupy militia strongholds.",Most of the rival Druse and Shiite forces pulled out of positions ahead of the Syrian soldiers.,True,The swans journeyed mysteriously through fog and Craig Miller's lighting designs convincingly suggested the ballet's changing moods.,"When the movements for the men grew increasingly aerial, one knew they had become swans and the capes they wore now resembled feathers.",False,"Under the new law, an acquiring company that writes up the value of its target's assets to the amount paid for the acquisition must now pay vastly more taxes on that write-up.",And experts note that the new tax law in general discourages cash deals.,False,They just can't wait until next year's transfer to the West End.,Every other person in the Broadway audience has an English accent.,True,"A lonely Greek woman in an Italian court, she won her case, and then took her son to America.","Later, she pursued the officer to his home in northern Italy, and took him to court so he would admit paternity and give her son a name.",False
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","It was Mr. Chamoun, in fact, who was a key player in the first American military intervention in Lebanon.","While President, Mr. Chamoun made many enemies, especially after he endorsed the Middle East policies of President Dwight D. Eisenhower's Administration.",False,Now I can manage to make myself understood sufficiently in your language to explain that you do not know that other girl's language.,Before that time I talked as that girl talks.,FalseControl,The outlook brightened in 1987 when NBC and RCA jointly proposed a system known as ACTV (Advanced Compatible Television) that would permit a gradual changeover to a better picture without making obsolete the 140 million television sets now in use in this country.,"Although falling short of the even higher standards inherent in new television broadcasting systems proposed in Japan and Europe, ACTV has the persuasive advantage of being feasible within present United States channel allocations.",True,The woods are now open on a limited basis.,"At one point, up to 7,000 loggers were out of work because of the closing off of forest lands in Washington.",False,Shrimp cocktail is pallid and watery.,"The cold antipasto is a mound of iceberg lettuce topped with artichoke hearts, garbanzos, kidney beans, cold Italian meats, cheese, marinated peppers and a giant California black olive.",True,"It is possible that Mr. Secord was working at the behest of U.S. officials, but it is also possible that he was working at the behest of foreign arms dealers, foreign bankers, private corporations, or some combination of these parties.",The Committee has no firm explanation of how Mr. Secord came to be involved in the program or what his motives were.,False,"Many view fly-fishing as an escape from the norm, a more polite way to catch bass than on a bait-casting rod of brute strength and with a lure full of hefty treble hooks.","Philip French of Cresson simply looks at fly-fishing as another fun way to outsmart Mr. Largemouth, a fish revered by Southern freshwater fly anglers.",TrueControl,Numerous reasons are advanced for the decline.,A slump in chip prices caused by world oversupply and slow computer-industry growth has caused huge losses for many of the companies.,True,"For instance, he said, ""We should not allow an Attorney General to restrict the counsel's independence by restricting the nature of the inquiry.""","Senator Carl Levin, the Michigan Democrat who is chairman of the subcommittee, said he firmly believed the law to be constitutional and important but thought it could be improved.",False,"Those arguments have to do with the judgment that in order for an arms control treaty to be useful, it must be viewed as part of a strategy that is designed to make the world a more secure place.",There are logical arguments against the intermediate nuclear forces treaty that have nothing to do with ideology.,False,"The team of four to six men will stack the meat, kept in an enclosed chamber at 38 degrees, repeating the task (variously called resalting, overhauling or turning, depending on the plant) after 7 to 10 days.","Like all country hams, Smithfields start out with a hearty salting, each fresh ham hand-dredged through a shallow tray of flaked or granular salt, with a generous pinch of sodium nitrate added to give the ham its red color and to cut down on bacteria.",False,"The topping of the special pizza, unfortunately, didn't have much flavor, and the bacon was not crisp.","The fresh broccoli pizza, though loaded with garlic, also lacked flavor.",True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","“Talk is dangerous,” said Paul darkly.","""They don’t do anything; they just have meetings and talk a lot, sort of like the Theosophists.”",FalseControl,Most current proposals to curb incumbents' advantages tend to be directed more at attention-getting than winning serious consideration.,"Senator Pete Wilson, Republican of California, for example has introduced legislation to prohibit taxpayer financing of the newsletters that all lawmakers send, postage-free, to their constituents, a highly unlikely development.",True,"With the exception of those involved in the diversion, all Government officials we heard from understand how our Government is supposed to work and are dedicated to rebuilding the trust between the branches.",Good news also came out of this investigation.,False,"BOSTON (AL) - Acquired Randy Kutcher, infielder-outfielder, from the San Francisco Giants to complete an earlier trade.","BRADENTON (Gulf Coast League) -Named David Jauss, manager, and Elias Sosa, pitching coach.",True,He happily completed his three no-trump contract from the floor and made it.,On one memorable occasion a declarer who had suffered a slight heart attack and was lying on the floor while awaiting an ambulance insisted on being handed his cards.,False,"This time, multiplied by the speed of light, yields the ground station's distance from the satellite.","Four such measurements define the station's latitude and longitude position and, with further calculations, determine its elevation above sea level.",True,Her complaint began in an ordinary enough fashion.,She was upset about her son's picture in the paper.,TrueControl,"This is a mockup of the lightning protection systems that surround particularly vulnerable facilities at the space center, such as fuel tanks and electronics units.",NASA researchers want to know how well the complex of grounding wires shields against a known surge of electricity.,True,"IT has nothing to do with his generous waistline, but Bill Parcells seems to be two people.","One is the highly successful football coach who will take his Giants into Super Bowl XXI against the Denver Broncos Sunday in Pasadena, Calif.",True,Ichaso says it was difficult to get Blades to refilm the last shots.,"When the salsero finally appeared, he had shaved off the mustache he had worn through the rest of the film.",True,"At lunch yesterday, most customers said their reservations had been made before the change.","The reservations were honored, according to the staff, which was working with the Harry Cipriani reservation book.",True,The French police say they believe that members or close allies of the Abdallah group carried out the bomb attacks in Paris last September that were aimed at pressing the Government to free Mr. Abdallah from prison.,Ten people were killed and 162 wounded in the bombings.,True
