Title,Description,Keywords,orig,foil,url,correct,ending0,ending1,ending2,ending3,image_id,label,Answer.c0,Answer.uc
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this cat is playing with the remote,"['this cat is out of the remote', 'this cat is located on the remote', 'this cat is hiding in the remote']",https://web-instruct.s3.amazonaws.com/sherlock-four/2366327.jpg,1,this cat is out of the remote,this cat is hiding in the remote,this cat is located on the remote,this cat is playing with the remote,https://cs.stanford.edu/people/rak248/VG_100K/2366327.jpg,3,e3,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this cat is playing with the remote,"['this cat is out of the remote', 'this cat is located on the remote', 'this cat is hiding in the remote']",https://web-instruct.s3.amazonaws.com/sherlock-four/2366327.jpg,1,this cat is out of the remote,this cat is hiding in the remote,this cat is located on the remote,this cat is playing with the remote,https://cs.stanford.edu/people/rak248/VG_100K/2366327.jpg,3,e2,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this cat is playing with the remote,"['this cat is out of the remote', 'this cat is located on the remote', 'this cat is hiding in the remote']",https://web-instruct.s3.amazonaws.com/sherlock-four/2366327.jpg,1,this cat is out of the remote,this cat is hiding in the remote,this cat is located on the remote,this cat is playing with the remote,https://cs.stanford.edu/people/rak248/VG_100K/2366327.jpg,3,e3,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this cat is playing with the remote,"['this cat is out of the remote', 'this cat is located on the remote', 'this cat is hiding in the remote']",https://web-instruct.s3.amazonaws.com/sherlock-four/2366327.jpg,1,this cat is out of the remote,this cat is hiding in the remote,this cat is located on the remote,this cat is playing with the remote,https://cs.stanford.edu/people/rak248/VG_100K/2366327.jpg,3,e3,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this cat is playing with the remote,"['this cat is out of the remote', 'this cat is located on the remote', 'this cat is hiding in the remote']",https://web-instruct.s3.amazonaws.com/sherlock-four/2366327.jpg,1,this cat is out of the remote,this cat is hiding in the remote,this cat is located on the remote,this cat is playing with the remote,https://cs.stanford.edu/people/rak248/VG_100K/2366327.jpg,3,e3,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",people are drinking it,"['there are at least two people eating at this table', 'This person is protesting the contents of the document.', 'the sign helps people navigate']",https://web-instruct.s3.amazonaws.com/sherlock-four/2380894.jpg,1,the sign helps people navigate,people are drinking it,there are at least two people eating at this table,This person is protesting the contents of the document.,https://cs.stanford.edu/people/rak248/VG_100K_2/2380894.jpg,1,e1,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",people are drinking it,"['there are at least two people eating at this table', 'This person is protesting the contents of the document.', 'the sign helps people navigate']",https://web-instruct.s3.amazonaws.com/sherlock-four/2380894.jpg,1,the sign helps people navigate,people are drinking it,there are at least two people eating at this table,This person is protesting the contents of the document.,https://cs.stanford.edu/people/rak248/VG_100K_2/2380894.jpg,1,e1,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",people are drinking it,"['there are at least two people eating at this table', 'This person is protesting the contents of the document.', 'the sign helps people navigate']",https://web-instruct.s3.amazonaws.com/sherlock-four/2380894.jpg,1,the sign helps people navigate,people are drinking it,there are at least two people eating at this table,This person is protesting the contents of the document.,https://cs.stanford.edu/people/rak248/VG_100K_2/2380894.jpg,1,e0,on
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",people are drinking it,"['there are at least two people eating at this table', 'This person is protesting the contents of the document.', 'the sign helps people navigate']",https://web-instruct.s3.amazonaws.com/sherlock-four/2380894.jpg,1,the sign helps people navigate,people are drinking it,there are at least two people eating at this table,This person is protesting the contents of the document.,https://cs.stanford.edu/people/rak248/VG_100K_2/2380894.jpg,1,e1,on
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",people are drinking it,"['there are at least two people eating at this table', 'This person is protesting the contents of the document.', 'the sign helps people navigate']",https://web-instruct.s3.amazonaws.com/sherlock-four/2380894.jpg,1,the sign helps people navigate,people are drinking it,there are at least two people eating at this table,This person is protesting the contents of the document.,https://cs.stanford.edu/people/rak248/VG_100K_2/2380894.jpg,1,e2,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it is going to rain.,"['it is going to happen .', 'it is going to work .', 'they want to play soccer']",https://web-instruct.s3.amazonaws.com/sherlock-four/2383399.jpg,1,it is going to rain.,it is going to happen .,they want to play soccer,it is going to work .,https://cs.stanford.edu/people/rak248/VG_100K_2/2383399.jpg,0,e0,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it is going to rain.,"['it is going to happen .', 'it is going to work .', 'they want to play soccer']",https://web-instruct.s3.amazonaws.com/sherlock-four/2383399.jpg,1,it is going to rain.,it is going to happen .,they want to play soccer,it is going to work .,https://cs.stanford.edu/people/rak248/VG_100K_2/2383399.jpg,0,e0,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it is going to rain.,"['it is going to happen .', 'it is going to work .', 'they want to play soccer']",https://web-instruct.s3.amazonaws.com/sherlock-four/2383399.jpg,1,it is going to rain.,it is going to happen .,they want to play soccer,it is going to work .,https://cs.stanford.edu/people/rak248/VG_100K_2/2383399.jpg,0,e0,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it is going to rain.,"['it is going to happen .', 'it is going to work .', 'they want to play soccer']",https://web-instruct.s3.amazonaws.com/sherlock-four/2383399.jpg,1,it is going to rain.,it is going to happen .,they want to play soccer,it is going to work .,https://cs.stanford.edu/people/rak248/VG_100K_2/2383399.jpg,0,e0,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it is going to rain.,"['it is going to happen .', 'it is going to work .', 'they want to play soccer']",https://web-instruct.s3.amazonaws.com/sherlock-four/2383399.jpg,1,it is going to rain.,it is going to happen .,they want to play soccer,it is going to work .,https://cs.stanford.edu/people/rak248/VG_100K_2/2383399.jpg,0,e0,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this person is talking to someone on the phone,"['the person want to dress nice', 'The baby is using the boat to walk.', 'this person is interested in someone on the phone']",https://web-instruct.s3.amazonaws.com/sherlock-four/sWs843kQxaM@5.jpg,0,The baby is using the boat to walk.,this person is talking to someone on the phone,the person want to dress nice,this person is interested in someone on the phone,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_American_Gigolo/sWs843kQxaM@5.jpg,1,e1,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this person is talking to someone on the phone,"['the person want to dress nice', 'The baby is using the boat to walk.', 'this person is interested in someone on the phone']",https://web-instruct.s3.amazonaws.com/sherlock-four/sWs843kQxaM@5.jpg,0,The baby is using the boat to walk.,this person is talking to someone on the phone,the person want to dress nice,this person is interested in someone on the phone,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_American_Gigolo/sWs843kQxaM@5.jpg,1,e0,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this person is talking to someone on the phone,"['the person want to dress nice', 'The baby is using the boat to walk.', 'this person is interested in someone on the phone']",https://web-instruct.s3.amazonaws.com/sherlock-four/sWs843kQxaM@5.jpg,0,The baby is using the boat to walk.,this person is talking to someone on the phone,the person want to dress nice,this person is interested in someone on the phone,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_American_Gigolo/sWs843kQxaM@5.jpg,1,e1,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this person is talking to someone on the phone,"['the person want to dress nice', 'The baby is using the boat to walk.', 'this person is interested in someone on the phone']",https://web-instruct.s3.amazonaws.com/sherlock-four/sWs843kQxaM@5.jpg,0,The baby is using the boat to walk.,this person is talking to someone on the phone,the person want to dress nice,this person is interested in someone on the phone,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_American_Gigolo/sWs843kQxaM@5.jpg,1,e1,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",this person is talking to someone on the phone,"['the person want to dress nice', 'The baby is using the boat to walk.', 'this person is interested in someone on the phone']",https://web-instruct.s3.amazonaws.com/sherlock-four/sWs843kQxaM@5.jpg,0,The baby is using the boat to walk.,this person is talking to someone on the phone,the person want to dress nice,this person is interested in someone on the phone,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_American_Gigolo/sWs843kQxaM@5.jpg,1,e1,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",someone writes with them,"['someone tells them', 'they are watching the news.', 'the player is running to wards the ball']",https://web-instruct.s3.amazonaws.com/sherlock-four/Vwd5W0M3ZC4@29.jpg,0,someone tells them,they are watching the news.,the player is running to wards the ball,someone writes with them,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Extract/Vwd5W0M3ZC4@29.jpg,3,e0,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",someone writes with them,"['someone tells them', 'they are watching the news.', 'the player is running to wards the ball']",https://web-instruct.s3.amazonaws.com/sherlock-four/Vwd5W0M3ZC4@29.jpg,0,someone tells them,they are watching the news.,the player is running to wards the ball,someone writes with them,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Extract/Vwd5W0M3ZC4@29.jpg,3,e0,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",someone writes with them,"['someone tells them', 'they are watching the news.', 'the player is running to wards the ball']",https://web-instruct.s3.amazonaws.com/sherlock-four/Vwd5W0M3ZC4@29.jpg,0,someone tells them,they are watching the news.,the player is running to wards the ball,someone writes with them,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Extract/Vwd5W0M3ZC4@29.jpg,3,e0,on
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",someone writes with them,"['someone tells them', 'they are watching the news.', 'the player is running to wards the ball']",https://web-instruct.s3.amazonaws.com/sherlock-four/Vwd5W0M3ZC4@29.jpg,0,someone tells them,they are watching the news.,the player is running to wards the ball,someone writes with them,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Extract/Vwd5W0M3ZC4@29.jpg,3,e3,on
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",someone writes with them,"['someone tells them', 'they are watching the news.', 'the player is running to wards the ball']",https://web-instruct.s3.amazonaws.com/sherlock-four/Vwd5W0M3ZC4@29.jpg,0,someone tells them,they are watching the news.,the player is running to wards the ball,someone writes with them,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Extract/Vwd5W0M3ZC4@29.jpg,3,e3,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it may rain soon,"['it may happen soon', 'this is inside a private residence where someone lives', 'there is a lot of room for it to fly']",https://web-instruct.s3.amazonaws.com/sherlock-four/YOcfHxXt_aA@5.jpg,0,it may happen soon,there is a lot of room for it to fly,this is inside a private residence where someone lives,it may rain soon,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Spartan/YOcfHxXt_aA@5.jpg,3,e0,on
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it may rain soon,"['it may happen soon', 'this is inside a private residence where someone lives', 'there is a lot of room for it to fly']",https://web-instruct.s3.amazonaws.com/sherlock-four/YOcfHxXt_aA@5.jpg,0,it may happen soon,there is a lot of room for it to fly,this is inside a private residence where someone lives,it may rain soon,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Spartan/YOcfHxXt_aA@5.jpg,3,e3,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it may rain soon,"['it may happen soon', 'this is inside a private residence where someone lives', 'there is a lot of room for it to fly']",https://web-instruct.s3.amazonaws.com/sherlock-four/YOcfHxXt_aA@5.jpg,0,it may happen soon,there is a lot of room for it to fly,this is inside a private residence where someone lives,it may rain soon,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Spartan/YOcfHxXt_aA@5.jpg,3,e1,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it may rain soon,"['it may happen soon', 'this is inside a private residence where someone lives', 'there is a lot of room for it to fly']",https://web-instruct.s3.amazonaws.com/sherlock-four/YOcfHxXt_aA@5.jpg,0,it may happen soon,there is a lot of room for it to fly,this is inside a private residence where someone lives,it may rain soon,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Spartan/YOcfHxXt_aA@5.jpg,3,e0,on
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",it may rain soon,"['it may happen soon', 'this is inside a private residence where someone lives', 'there is a lot of room for it to fly']",https://web-instruct.s3.amazonaws.com/sherlock-four/YOcfHxXt_aA@5.jpg,0,it may happen soon,there is a lot of room for it to fly,this is inside a private residence where someone lives,it may rain soon,http://s3-us-west-2.amazonaws.com/ai2-rowanz/vcr1images/movieclips_Spartan/YOcfHxXt_aA@5.jpg,3,e3,
Which statement best fits the image and prompt?,"You will be given image, and 4 statements. Your task is to say which statement best fits the image.","image, deduction, evaluation",someone was just watching television.,"['They are playing the Wii', 'Somebody is living in this building', 'someone was just caught on television.']",https://web-instruct.s3.amazonaws.com/sherlock-four/2349183.jpg,1,someone was just watching television.,Somebody is living in this building,someone was just caught on television.,They are playing the Wii,https://cs.stanford.edu/people/rak248/VG_100K/2349183.jpg,0,e1,
