Title,Description,Keywords,tgt,pos,bogus,unsorted,sorted,seeded,num_classes,num_anno,latest_timestamp,crowdstarter,Answer.bogus,Answer.crowdstarter,Answer.goldclass1,Answer.goldclass10,Answer.goldclass11,Answer.goldclass12,Answer.goldclass13,Answer.goldclass14,Answer.goldclass15,Answer.goldclass16,Answer.goldclass17,Answer.goldclass18,Answer.goldclass19,Answer.goldclass2,Answer.goldclass20,Answer.goldclass21,Answer.goldclass22,Answer.goldclass3,Answer.goldclass4,Answer.goldclass5,Answer.goldclass6,Answer.goldclass7,Answer.goldclass8,Answer.goldclass9,Answer.latest_timestamp,Answer.merged0,Answer.merged1,Answer.merged10,Answer.merged2,Answer.merged3,Answer.merged4,Answer.merged5,Answer.merged6,Answer.merged7,Answer.merged8,Answer.merged9,Answer.newbox1,Answer.newbox2,Answer.newbox3,Answer.newbox4,Answer.newbox5,Answer.newbox6,Answer.newbox7,Answer.newbox8,Answer.num_anno,Answer.num_classes,Answer.pos,Answer.seeded,Answer.sorted,Answer.test,Answer.tgt,Answer.trash,Answer.unsorted
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,call,v,bareknuckle,"['be_addressed_to', 'be_reached', 'involved', 'demands', 'are_asking_for', 'called_out', 'calling_for', 'given_to', 'be_seen', 'are_requesting']","[[""'m_asking"", 'calling_you', 'calls_me', 'was_called', 'calling_me', 'been_requested'], ['is_required', 'necessitates', 'needs', 'be_used', 'are_demanding', 'warrants'], ['called', 'called_back', 'calls_for', 'called_me', 'called_first', 'calling_it'], ['called_back', 'please_call', 'return_my_calls', 'being_said'], ['calling_you', 'being_said']]",True,5,6,20151006_155537,"{""1"": [""'m_asking"", ""calling_you"", ""calls_me"", ""was_called"", ""calling_me"", ""been_requested""], ""2"": [""is_required"", ""necessitates"", ""needs"", ""be_used"", ""are_demanding"", ""warrants""], ""3"": [""called"", ""called_back"", ""calls_for"", ""called_me"", ""called_first"", ""calling_it""], ""4"": [""called_back"", ""please_call"", ""return_my_calls"", ""being_said""], ""5"": [""calling_you"", ""being_said""]}",bareknuckle,{,'m_asking@!calling_you@!calls_me@!was_called@!calling_me@!been_requested@!called_back@!are_requesting@!be_addressed_to@!are_asking_for@!please_call@!calling_for@!return_my_calls@!being_said@!,,,,,,,,,,,is_required@!necessitates@!needs@!be_used@!given_to@!are_demanding@!demands@!warrants@!,,,,called@!called_back@!calls_for@!called_me@!be_reached@!called_out@!called_first@!calling_it@!calling_you@!being_said@!,,,,,,,20151006_155537,"goldclass1,goldclass4","goldclass3,goldclass5",,,,,,,,,,involved@!be_seen@!,,,,,,,,6,5,v,True,[[,{},call,bareknuckle@!,"[be_addressed_to, be_reached, involved, demands, are_asking_for, called_out, calling_for, given_to, be_seen, are_requesting]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,call,v,bareknuckle,"['be_addressed_to', 'be_reached', 'involved', 'demands', 'are_asking_for', 'called_out', 'calling_for', 'given_to', 'be_seen', 'are_requesting']","[[""'m_asking"", 'calling_you', 'calls_me', 'was_called', 'calling_me', 'been_requested'], ['is_required', 'necessitates', 'needs', 'be_used', 'are_demanding', 'warrants'], ['called', 'called_back', 'calls_for', 'called_me', 'called_first', 'calling_it'], ['called_back', 'please_call', 'return_my_calls', 'being_said'], ['calling_you', 'being_said']]",True,5,6,20151006_155537,"{""1"": [""'m_asking"", ""calling_you"", ""calls_me"", ""was_called"", ""calling_me"", ""been_requested""], ""2"": [""is_required"", ""necessitates"", ""needs"", ""be_used"", ""are_demanding"", ""warrants""], ""3"": [""called"", ""called_back"", ""calls_for"", ""called_me"", ""called_first"", ""calling_it""], ""4"": [""called_back"", ""please_call"", ""return_my_calls"", ""being_said""], ""5"": [""calling_you"", ""being_said""]}",bareknuckle,{,'m_asking@!calling_you@!calls_me@!was_called@!calling_me@!been_requested@!are_asking_for@!called_out@!demands@!are_requesting@!calling_for@!,,,,,,,,,,,is_required@!necessitates@!needs@!be_used@!are_demanding@!warrants@!,,,,called@!called_back@!calls_for@!called_me@!called_first@!calling_it@!called_back@!please_call@!return_my_calls@!being_said@!,,calling_you@!being_said@!,,,,,20151006_155537,"goldclass3,goldclass4",,,,,,,,,,,be_seen@!,given_to@!,be_addressed_to@!,involved@!,be_reached@!,,,,6,5,v,True,[[,{},call,bareknuckle@!,"[be_addressed_to, be_reached, involved, demands, are_asking_for, called_out, calling_for, given_to, be_seen, are_requesting]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,call,v,bareknuckle,"['be_addressed_to', 'be_reached', 'involved', 'demands', 'are_asking_for', 'called_out', 'calling_for', 'given_to', 'be_seen', 'are_requesting']","[[""'m_asking"", 'calling_you', 'calls_me', 'was_called', 'calling_me', 'been_requested'], ['is_required', 'necessitates', 'needs', 'be_used', 'are_demanding', 'warrants'], ['called', 'called_back', 'calls_for', 'called_me', 'called_first', 'calling_it'], ['called_back', 'please_call', 'return_my_calls', 'being_said'], ['calling_you', 'being_said']]",True,5,6,20151006_155537,"{""1"": [""'m_asking"", ""calling_you"", ""calls_me"", ""was_called"", ""calling_me"", ""been_requested""], ""2"": [""is_required"", ""necessitates"", ""needs"", ""be_used"", ""are_demanding"", ""warrants""], ""3"": [""called"", ""called_back"", ""calls_for"", ""called_me"", ""called_first"", ""calling_it""], ""4"": [""called_back"", ""please_call"", ""return_my_calls"", ""being_said""], ""5"": [""calling_you"", ""being_said""]}",bareknuckle,{,'m_asking@!calling_you@!calls_me@!was_called@!calling_me@!been_requested@!called@!called_back@!calls_for@!called_me@!called_first@!calling_it@!called_back@!please_call@!be_reached@!return_my_calls@!being_said@!calling_you@!being_said@!,,,,,,,,,,,is_required@!necessitates@!needs@!be_used@!are_demanding@!are_requesting@!be_addressed_to@!called_out@!warrants@!are_asking_for@!calling_for@!,,,,,,,,,,,20151006_155537,"goldclass1,goldclass3,goldclass4,goldclass5",,,,,,,,,,,,,,,,,,,6,5,v,True,[[,{},call,involved@!bareknuckle@!be_seen@!demands@!given_to@!,"[be_addressed_to, be_reached, involved, demands, are_asking_for, called_out, calling_for, given_to, be_seen, are_requesting]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,call,v,bareknuckle,"['be_addressed_to', 'be_reached', 'involved', 'demands', 'are_asking_for', 'called_out', 'calling_for', 'given_to', 'be_seen', 'are_requesting']","[[""'m_asking"", 'calling_you', 'calls_me', 'was_called', 'calling_me', 'been_requested'], ['is_required', 'necessitates', 'needs', 'be_used', 'are_demanding', 'warrants'], ['called', 'called_back', 'calls_for', 'called_me', 'called_first', 'calling_it'], ['called_back', 'please_call', 'return_my_calls', 'being_said'], ['calling_you', 'being_said']]",True,5,6,20151006_155537,"{""1"": [""'m_asking"", ""calling_you"", ""calls_me"", ""was_called"", ""calling_me"", ""been_requested""], ""2"": [""is_required"", ""necessitates"", ""needs"", ""be_used"", ""are_demanding"", ""warrants""], ""3"": [""called"", ""called_back"", ""calls_for"", ""called_me"", ""called_first"", ""calling_it""], ""4"": [""called_back"", ""please_call"", ""return_my_calls"", ""being_said""], ""5"": [""calling_you"", ""being_said""]}",bareknuckle,{,'m_asking@!calling_you@!are_requesting@!calls_me@!was_called@!calling_me@!be_seen@!been_requested@!calling_you@!being_said@!|'m_asking@!calling_you@!are_requesting@!calls_me@!was_called@!calling_me@!be_seen@!been_requested@!calling_you@!being_said@!,,,,,,,,,,,is_required@!necessitates@!needs@!be_used@!involved@!demands@!are_demanding@!warrants@!|is_required@!necessitates@!needs@!be_used@!involved@!demands@!are_demanding@!warrants@!,,,,called@!called_back@!calls_for@!called_me@!called_first@!be_reached@!calling_for@!calling_it@!given_to@!called_out@!|called@!called_back@!calls_for@!called_me@!called_first@!be_reached@!calling_for@!calling_it@!given_to@!called_out@!,called_back@!please_call@!return_my_calls@!be_addressed_to@!are_asking_for@!being_said@!|called_back@!please_call@!return_my_calls@!be_addressed_to@!are_asking_for@!being_said@!,,,,,,20151006_155537,"goldclass1,goldclass5|goldclass1,goldclass5",,,,,,,,,,,,,,,,,,,6,5,v,True,[[,{},call,bareknuckle@!,"[be_addressed_to, be_reached, involved, demands, are_asking_for, called_out, calling_for, given_to, be_seen, are_requesting]|[be_addressed_to, be_reached, involved, demands, are_asking_for, called_out, calling_for, given_to, be_seen, are_requesting]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,call,v,bareknuckle,"['be_addressed_to', 'be_reached', 'involved', 'demands', 'are_asking_for', 'called_out', 'calling_for', 'given_to', 'be_seen', 'are_requesting']","[[""'m_asking"", 'calling_you', 'calls_me', 'was_called', 'calling_me', 'been_requested'], ['is_required', 'necessitates', 'needs', 'be_used', 'are_demanding', 'warrants'], ['called', 'called_back', 'calls_for', 'called_me', 'called_first', 'calling_it'], ['called_back', 'please_call', 'return_my_calls', 'being_said'], ['calling_you', 'being_said']]",True,5,6,20151006_155537,"{""1"": [""'m_asking"", ""calling_you"", ""calls_me"", ""was_called"", ""calling_me"", ""been_requested""], ""2"": [""is_required"", ""necessitates"", ""needs"", ""be_used"", ""are_demanding"", ""warrants""], ""3"": [""called"", ""called_back"", ""calls_for"", ""called_me"", ""called_first"", ""calling_it""], ""4"": [""called_back"", ""please_call"", ""return_my_calls"", ""being_said""], ""5"": [""calling_you"", ""being_said""]}",bareknuckle,{,'m_asking@!calling_you@!calls_me@!was_called@!calling_me@!calling_for@!been_requested@!,,,,,,,,,,,is_required@!necessitates@!are_requesting@!needs@!be_used@!are_demanding@!demands@!are_asking_for@!warrants@!,,,,called@!called_back@!calls_for@!called_me@!called_first@!calling_it@!,called_back@!please_call@!return_my_calls@!being_said@!calling_you@!being_said@!,,,,,,20151006_155537,"goldclass4,goldclass5",,,,,,,,,,,given_to@!,called_out@!,be_seen@!,be_addressed_to@!,be_reached@!,involved@!,,,6,5,v,True,[[,{},call,bareknuckle@!,"[be_addressed_to, be_reached, involved, demands, are_asking_for, called_out, calling_for, given_to, be_seen, are_requesting]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,call,v,bareknuckle,"['be_addressed_to', 'be_reached', 'involved', 'demands', 'are_asking_for', 'called_out', 'calling_for', 'given_to', 'be_seen', 'are_requesting']","[[""'m_asking"", 'calling_you', 'calls_me', 'was_called', 'calling_me', 'been_requested'], ['is_required', 'necessitates', 'needs', 'be_used', 'are_demanding', 'warrants'], ['called', 'called_back', 'calls_for', 'called_me', 'called_first', 'calling_it'], ['called_back', 'please_call', 'return_my_calls', 'being_said'], ['calling_you', 'being_said']]",True,5,6,20151006_155537,"{""1"": [""'m_asking"", ""calling_you"", ""calls_me"", ""was_called"", ""calling_me"", ""been_requested""], ""2"": [""is_required"", ""necessitates"", ""needs"", ""be_used"", ""are_demanding"", ""warrants""], ""3"": [""called"", ""called_back"", ""calls_for"", ""called_me"", ""called_first"", ""calling_it""], ""4"": [""called_back"", ""please_call"", ""return_my_calls"", ""being_said""], ""5"": [""calling_you"", ""being_said""]}",bareknuckle,{,'m_asking@!calling_you@!calls_me@!was_called@!calling_me@!been_requested@!,,,,,,,,,,,is_required@!necessitates@!needs@!be_used@!be_addressed_to@!are_demanding@!warrants@!,,,,called@!called_back@!calls_for@!called_me@!involved@!called_first@!calling_it@!calling_you@!being_said@!,called_back@!please_call@!return_my_calls@!being_said@!,,,,,,20151006_155537,"goldclass3,goldclass5",,,,,,,,,,,calling_for@!,given_to@!called_out@!,are_asking_for@!are_requesting@!,be_seen@!be_reached@!,,,,,6,5,v,True,[[,{},call,demands@!bareknuckle@!,"[be_addressed_to, be_reached, involved, demands, are_asking_for, called_out, calling_for, given_to, be_seen, are_requesting]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,decline,v,identical,"['be_decreased', 'is_reduced', 'has_dropped', 'dip', 'dwindle', 'fall', 'deteriorate_further', 'be_rejected', 'diminished', 'been_denied']","[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",True,16,6,20151006_155537,"{""2"": [""be_diminished"", ""be_shortened"", ""be_lowered"", ""be_minimized"", ""be_reduced"", ""be_narrowed""], ""3"": [""is_rejected"", ""was_deteriorating"", ""has_declined"", ""is_lowered"", ""have_fallen"", ""reduced""], ""4"": [""reduce"", ""lower"", ""decrease"", ""diminish"", ""reducing""], ""6"": [""are_low"", ""are_reduced""], ""7"": [""end_lower"", ""close_lower""], ""8"": [""is_lower""], ""9"": [""been_declining""], ""10"": [""was_falling""], ""11"": [""will_decrease"", ""will_diminish""], ""12"": [""been_reduced""], ""14"": [""been_falling""], ""15"": [""dropped""], ""16"": [""were_decreasing"", ""was_decreasing""], ""17"": [""been_depleted""], ""18"": [""are_refused"", ""may_be_refused""], ""19"": [""to_fall""]}",identical,{,,,,been_reduced@!,,,,,been_depleted@!,are_refused@!been_denied@!may_be_refused@!be_rejected@!,to_fall@!was_falling@!been_falling@!fall@!,be_diminished@!be_shortened@!be_lowered@!be_minimized@!be_reduced@!be_narrowed@!reduce@!lower@!decrease@!diminish@!reducing@!is_lower@!been_declining@!diminished@!will_decrease@!dwindle@!will_diminish@!be_decreased@!were_decreasing@!was_decreasing@!,,,,is_rejected@!was_deteriorating@!is_reduced@!has_declined@!has_dropped@!is_lowered@!have_fallen@!reduced@!dropped@!,,,are_low@!are_reduced@!,end_lower@!close_lower@!,,,20151006_155537,"goldclass10,goldclass14","goldclass19,goldclass10",,"goldclass8,goldclass9","goldclass11,goldclass16","goldclass3,goldclass15","goldclass2,goldclass4,goldclass8,goldclass11",,,,,deteriorate_further@!,dip@!,,,,,,,6,16,v,True,"[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",{},decline,identical@!,"[be_decreased, is_reduced, has_dropped, dip, dwindle, fall, deteriorate_further, be_rejected, diminished, been_denied]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,decline,v,identical,"['be_decreased', 'is_reduced', 'has_dropped', 'dip', 'dwindle', 'fall', 'deteriorate_further', 'be_rejected', 'diminished', 'been_denied']","[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",True,16,6,20151006_155537,"{""2"": [""be_diminished"", ""be_shortened"", ""be_lowered"", ""be_minimized"", ""be_reduced"", ""be_narrowed""], ""3"": [""is_rejected"", ""was_deteriorating"", ""has_declined"", ""is_lowered"", ""have_fallen"", ""reduced""], ""4"": [""reduce"", ""lower"", ""decrease"", ""diminish"", ""reducing""], ""6"": [""are_low"", ""are_reduced""], ""7"": [""end_lower"", ""close_lower""], ""8"": [""is_lower""], ""9"": [""been_declining""], ""10"": [""was_falling""], ""11"": [""will_decrease"", ""will_diminish""], ""12"": [""been_reduced""], ""14"": [""been_falling""], ""15"": [""dropped""], ""16"": [""were_decreasing"", ""was_decreasing""], ""17"": [""been_depleted""], ""18"": [""are_refused"", ""may_be_refused""], ""19"": [""to_fall""]}",identical,{,,was_falling@!,will_decrease@!will_diminish@!,been_reduced@!,,been_falling@!deteriorate_further@!,dropped@!dwindle@!dip@!,were_decreasing@!was_decreasing@!,been_depleted@!,are_refused@!may_be_refused@!,to_fall@!fall@!,,,,,is_rejected@!was_deteriorating@!has_declined@!is_lowered@!been_denied@!be_rejected@!have_fallen@!reduced@!,,,are_low@!are_reduced@!,end_lower@!close_lower@!,is_lower@!,been_declining@!has_dropped@!be_diminished@!is_reduced@!be_decreased@!diminished@!be_shortened@!be_lowered@!be_minimized@!be_reduced@!be_narrowed@!reduce@!lower@!decrease@!diminish@!reducing@!,20151006_155537,"goldclass2,goldclass4","goldclass9,goldclass2",,,,,,,,,,,,,,,,,,6,16,v,True,"[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",{},decline,identical@!,"[be_decreased, is_reduced, has_dropped, dip, dwindle, fall, deteriorate_further, be_rejected, diminished, been_denied]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,decline,v,identical,"['be_decreased', 'is_reduced', 'has_dropped', 'dip', 'dwindle', 'fall', 'deteriorate_further', 'be_rejected', 'diminished', 'been_denied']","[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",True,16,6,20151006_155537,"{""2"": [""be_diminished"", ""be_shortened"", ""be_lowered"", ""be_minimized"", ""be_reduced"", ""be_narrowed""], ""3"": [""is_rejected"", ""was_deteriorating"", ""has_declined"", ""is_lowered"", ""have_fallen"", ""reduced""], ""4"": [""reduce"", ""lower"", ""decrease"", ""diminish"", ""reducing""], ""6"": [""are_low"", ""are_reduced""], ""7"": [""end_lower"", ""close_lower""], ""8"": [""is_lower""], ""9"": [""been_declining""], ""10"": [""was_falling""], ""11"": [""will_decrease"", ""will_diminish""], ""12"": [""been_reduced""], ""14"": [""been_falling""], ""15"": [""dropped""], ""16"": [""were_decreasing"", ""was_decreasing""], ""17"": [""been_depleted""], ""18"": [""are_refused"", ""may_be_refused""], ""19"": [""to_fall""]}",identical,{,,,,,,,,,,,,,,,,,reduce@!lower@!decrease@!fall@!dwindle@!dip@!diminish@!reducing@!diminished@!dropped@!|reduce@!lower@!decrease@!fall@!dwindle@!dip@!diminish@!reducing@!diminished@!dropped@!,,,,,been_declining@!been_depleted@!is_rejected@!has_dropped@!was_deteriorating@!has_declined@!is_lowered@!have_fallen@!reduced@!is_lower@!was_falling@!been_falling@!be_diminished@!deteriorate_further@!be_shortened@!be_lowered@!be_minimized@!be_reduced@!be_narrowed@!will_decrease@!will_diminish@!been_reduced@!were_decreasing@!was_decreasing@!are_low@!are_reduced@!end_lower@!close_lower@!are_refused@!may_be_refused@!be_rejected@!been_denied@!be_decreased@!is_reduced@!to_fall@!|been_declining@!been_depleted@!is_rejected@!has_dropped@!was_deteriorating@!has_declined@!is_lowered@!have_fallen@!reduced@!is_lower@!was_falling@!been_falling@!be_diminished@!deteriorate_further@!be_shortened@!be_lowered@!be_minimized@!be_reduced@!be_narrowed@!will_decrease@!will_diminish@!been_reduced@!were_decreasing@!was_decreasing@!are_low@!are_reduced@!end_lower@!close_lower@!are_refused@!may_be_refused@!be_rejected@!been_denied@!be_decreased@!is_reduced@!to_fall@!,20151006_155537,"goldclass3,goldclass8,goldclass10,goldclass14|goldclass3,goldclass8,goldclass10,goldclass14","goldclass2,goldclass11,goldclass12,goldclass16|goldclass2,goldclass11,goldclass12,goldclass16",,"goldclass6,goldclass7,goldclass18,goldclass19|goldclass6,goldclass7,goldclass18,goldclass19","goldclass9,goldclass17,goldclass3,goldclass2,goldclass6|goldclass9,goldclass17,goldclass3,goldclass2,goldclass6","goldclass4,goldclass15|goldclass4,goldclass15",,,,,,,,,,,,,,6,16,v,True,"[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",{},decline,identical@!,"[be_decreased, is_reduced, has_dropped, dip, dwindle, fall, deteriorate_further, be_rejected, diminished, been_denied]|[be_decreased, is_reduced, has_dropped, dip, dwindle, fall, deteriorate_further, be_rejected, diminished, been_denied]"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,decline,v,identical,"['be_decreased', 'is_reduced', 'has_dropped', 'dip', 'dwindle', 'fall', 'deteriorate_further', 'be_rejected', 'diminished', 'been_denied']","[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",True,16,6,20151006_155537,"{""2"": [""be_diminished"", ""be_shortened"", ""be_lowered"", ""be_minimized"", ""be_reduced"", ""be_narrowed""], ""3"": [""is_rejected"", ""was_deteriorating"", ""has_declined"", ""is_lowered"", ""have_fallen"", ""reduced""], ""4"": [""reduce"", ""lower"", ""decrease"", ""diminish"", ""reducing""], ""6"": [""are_low"", ""are_reduced""], ""7"": [""end_lower"", ""close_lower""], ""8"": [""is_lower""], ""9"": [""been_declining""], ""10"": [""was_falling""], ""11"": [""will_decrease"", ""will_diminish""], ""12"": [""been_reduced""], ""14"": [""been_falling""], ""15"": [""dropped""], ""16"": [""were_decreasing"", ""was_decreasing""], ""17"": [""been_depleted""], ""18"": [""are_refused"", ""may_be_refused""], ""19"": [""to_fall""]}",identical,{,,,will_decrease@!will_diminish@!,,,,fall@!dip@!dropped@!dwindle@!,were_decreasing@!was_decreasing@!was_falling@!been_falling@!,,are_refused@!may_be_refused@!been_denied@!is_reduced@!,to_fall@!,be_diminished@!be_shortened@!be_lowered@!be_minimized@!be_decreased@!diminished@!be_reduced@!be_rejected@!be_narrowed@!,,,,,,,,end_lower@!close_lower@!is_lower@!,,been_declining@!has_dropped@!been_depleted@!is_rejected@!was_deteriorating@!has_declined@!is_lowered@!have_fallen@!reduced@!been_reduced@!reduce@!deteriorate_further@!lower@!decrease@!diminish@!reducing@!are_low@!are_reduced@!,20151006_155537,"goldclass10,goldclass14","goldclass4,goldclass6",,"goldclass12,goldclass4","goldclass3,goldclass12","goldclass17,goldclass3","goldclass7,goldclass8","goldclass9,goldclass17","goldclass16,goldclass10",,,,,,,,,,,6,16,v,True,"[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",{},decline,identical@!,"[be_decreased, is_reduced, has_dropped, dip, dwindle, fall, deteriorate_further, be_rejected, diminished, been_denied]"
