Title,Description,Keywords,event,neg_event,Answer.commentbox,Answer.otherppl,Answer.owant4a,Answer.owant4b,Answer.owant4c,Answer.owant4d,Answer.submitButtonTimer,Answer.xdo,Answer.xneed2a,Answer.xneed2b,Answer.xneed2c,Answer.xneed2d,Answer.xwant3a,Answer.xwant3b,Answer.xwant3c,Answer.xwant3d,Approve,Reject
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX offer PersonY opinion,PersonX asks PersonY's opinion,{},yes,share their opinion,have a discussion,{},{},57.063,yes,know personY,want their opinion,{},{},talk to personY,discuss opinions,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX offer PersonY opinion,PersonX asks PersonY's opinion,{},no,{},{},{},{},60.931,no,{},{},{},{},accept the opinion,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX offer PersonY opinion,PersonX keeps their opinion from PersonY.,{},yes,to learn what is going on,find out what to do next,{},{},57.309,no,{},{},{},{},to keep secrets,to keep a friendship,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX offer PersonY opinion,PersonX keeps their opinion from PersonY.,{},no,{},{},{},{},19.532,yes,form an opinion,,{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds gold,Personx isnt very lucky.,{},no,{},{},{},{},14.459,no,{},{},{},{},be more lucky,make his own luck,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds gold,Personx isnt very lucky.,{},no,{},{},{},{},28.263,no,{},{},{},{},be careful,have better fortune,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX offer to teach PersonY,PersonX offers to ignore PersonY,{},no,{},{},{},{},141.411,no,{},{},{},{},to be calm,to be silent,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX offer to teach PersonY,PersonX offers to ignore PersonY,{},yes,receive an explanation,receive support,{},{},46.953,yes,be aware of personY,contemplate the option of ignoring,{},{},ignore persony,remain uninvolved,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX offer to teach PersonY,PersonX refuses to teach PersonY,{},no,{},{},{},{},23.492,no,{},{},{},{},to be mad,to be upset,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX offer to teach PersonY,PersonX refuses to teach PersonY,{},yes,to scold personx,to hit personx,{},{},20.892,no,{},{},{},{},for persony to fail,to harm persony,{},{},,
