Title,Description,Keywords,id1,premise1,hypothesis1,nearest_neighbors1,label1,id2,premise2,hypothesis2,nearest_neighbors2,label2,id3,premise3,hypothesis3,nearest_neighbors3,label3,id4,premise4,hypothesis4,nearest_neighbors4,label4,id5,premise5,hypothesis5,nearest_neighbors5,label5
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",308846,"The record of the ""Titanic"" sinking was lost when the ship sank.","The ""Titanic"" sank because of an iceberg.","[304586, 129490, 143289, 24664, 162610]",contradiction,259184,"If you want to become a good chess player, you must play a lot of chess.","If you want to become a good chess player, you must play a lot of games of football.","[66764, 298396, 202342, 115188, 226254]",contradiction,28415,"The common denominator in all these narratives is that, at some point, the film becomes a sort of a romance, a love story.","The common denominator in all these narratives is that, at some point, the film becomes a sort of a comedy, a comedy of errors.","[381304, 386416, 112053, 289875, 12183]",contradiction,157269,The case for this being a “gay” issue is weak.,This is a gay issue.,"[151280, 300795, 257134, 2954, 54995]",neutral,19190,"The Declaration of Independence of the United States of America was written by Thomas Jefferson and adopted by the Continental Congress on July 4, 1776.",The Declaration of Independence was not signed by all of the signers.,"[352266, 38300, 65777, 350802, 88453]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",331961,"For the other cases, it is the intention of the employer to provide a reasonable opportunity for the employee to make a reasonable decision about the matter.",The employer is required to provide a reasonable opportunity for the employee to make a reasonable decision about the matter.,"[290799, 358099, 287031, 60033, 110821]",contradiction,122761,"When I first arrived in this country, I was surprised to find that the business community here was not very friendly.",The business community is not friendly.,"[343058, 127417, 382760, 293141, 25993]",neutral,48999,We were unable to find a qualified instructor.,"Although we have a number of qualified instructors, we were unable to find one.","[68382, 201917, 201796, 208010, 311875]",neutral,321496,"The presence of any person in the vicinity of the place where the murder was committed, and the identity of that person, is evidence of guilt.",There was a person in the vicinity of the murder.,"[160629, 224734, 211203, 234071, 195943]",entailment,210803,"I know you remember, but I don't remember how I knew.","I don't remember how I knew, but I know I did.","[145190, 241556, 21301, 193810, 30866]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",268830,"If the dog had been in the room, the noise would have been audible.","The dog was not in the room, so the noise was not audible.","[45530, 120338, 368768, 165236, 95498]",contradiction,1905,"In addition, there is a large body of research on the effects of information on health and well-being.",This is not relevant to the question.,"[106431, 283128, 6203, 50142, 312035]",contradiction,220014,"In the past decade, the financial sector has grown from roughly one-third of the economy to one-half.",The financial sector is not a good thing for the economy.,"[287566, 113144, 89541, 104322, 335138]",contradiction,20062,A good hostel for budget travellers.,The prices are too high for budget travellers.,"[266887, 191235, 196080, 229870, 218340]",contradiction,300269,I do not think that this case has any bearing on the issue of constitutional law.,This case has bearing on the issue of constitutional law.,"[6602, 263347, 178298, 100683, 271278]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",280831,The main point of the article is that the administration's policy is wrong.,The administration's policy is wrong.,"[84309, 44460, 296834, 189676, 14821]",entailment,57765,"If a person is to be given a high position, he must be a model of integrity.",A person who is not a model of integrity will be given a high position.,"[208774, 109549, 42571, 50931, 158035]",contradiction,48113,The centrality of music in the Western tradition has been a topic of scholarly debate for centuries.,Music is a central part of the Western tradition.,"[136737, 247842, 297722, 38667, 300337]",neutral,198724,That's what you think.,I think you are wrong.,"[235012, 202473, 68344, 149829, 342568]",entailment,85625,"I was born in the United States, but I am not an American citizen.","I am an American citizen, but I was born in another country.","[370847, 327824, 58732, 269648, 366698]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",133889,"The Bicentennial Mall is a great place to shop, but it's also a great place to eat.","The Bicentennial Mall is a great place to eat, but it's also a great place to shop.","[106952, 326573, 135093, 5421, 21186]",contradiction,155824,He said that the rest of the family had gone to bed.,The rest of the family may have gone to bed.,"[372220, 66643, 202993, 251170, 288675]",neutral,278021,The results showed that the long-term goals of the plan were well defined and that the goals were realistic.,The goals were realistic.,"[170361, 133456, 210877, 343222, 40661]",entailment,366907,The debate was more a verbal argument than a debate.,The debate was a verbal argument.,"[227417, 153696, 6958, 379737, 26835]",entailment,308912,"This is a major concern for policymakers, since a change in a company's tax rate can have a dramatic effect on its overall profitability.",The tax rate has a dramatic effect on the company's overall profitability.,"[77130, 222067, 291970, 305099, 318433]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",355466,The police were seen as a vital component of the democratic process.,The police were seen as a force that would keep the public in line.,"[276968, 64603, 218014, 124903, 219510]",contradiction,288306,"""We don't have a choice."" In his head, she was saying, ""We don't have a choice.""","In her head, she was saying, ""We don't have a choice.""","[330075, 31097, 326554, 113335, 65058]",neutral,75895,Is the government considering the idea?,Is the government not considering the idea?,"[282688, 375391, 273429, 336815, 288301]",contradiction,18482,He was a good friend of mine.,He may have been a good friend of mine.,"[317280, 223790, 380801, 267394, 189727]",neutral,268244,"In America, the beauty of the wilderness is the fascination of the tourist.","In America, there are many places to visit.","[308501, 78162, 340106, 336653, 360854]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",330348,The book begins with a detailed description of the creation of the universe and the subsequent history of the earth.,The book begins with a detailed description of the evolution of the human race.,"[357841, 386433, 293843, 340708, 110178]",contradiction,207199,"I have a small family and a large garden, and the only time I have to myself is when I'm in the garden.","I have a large family and a small garden, and the only time I have to myself is when I'm in the garden.","[132379, 109068, 73546, 361074, 311265]",contradiction,290521,"The committee found that ""the test was designed to fail.""",The test was designed to fail.,"[195640, 372967, 344479, 113689, 335661]",entailment,92682,This type of coverage is usually purchased by individuals who are not in the military.,This type of coverage is not purchased by military personnel.,"[307834, 88928, 385869, 249472, 18473]",entailment,242046,"He had left the car at the bottom of the hill, and was now on his way up, his long legs eating up the ground.",He was on his way down the hill.,"[346345, 111563, 151045, 276586, 128779]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",128945,The news media are all about selling papers.,The news media are all about making money.,"[54016, 391055, 281375, 211065, 91769]",entailment,18868,A primary objective of the audit is to assess the reliability of the data.,The primary objective is to find the data reliable.,"[136058, 359677, 184286, 345499, 347549]",contradiction,353215,"In a time of rapid technological change, there is a great need for a comprehensive policy to deal with these issues.",The issue of technological change is still a developing one.,"[257201, 52639, 310614, 140664, 46041]",neutral,139991,"""We've got to do something,"" said the mother, ""or the little girl will be left to starve.""",The little girl will be left to starve.,"[376963, 190673, 379779, 274575, 166907]",contradiction,284127,"It is a point of national pride that we have a significant number of farmers in the country, and a substantial proportion of our land is farmed.",Most of our land is either barren or used for industrial purposes.,"[188918, 8559, 64069, 20372, 110821]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",364981,The government of the United States of America is not a democracy.,The government of the United States of America is not a republic.,"[187036, 254214, 172434, 385869, 242084]",entailment,328131,The law does not allow the city to impose a tax on the value of the house.,The city usually cannot tax the value of the house.,"[104735, 38386, 359413, 28458, 47600]",neutral,213687,I would be surprised if he is not also a member of the Council of Foreign Relations.,He is a member of the Council of Foreign Relations.,"[385029, 108766, 60480, 8646, 211134]",neutral,349992,"The planet is likely to be named after the planet Vulcan in the ""Star Trek"" franchise.","The planet is named after the planet Vulcan in the ""Star Trek"" franchise.","[91801, 52479, 224448, 234051, 197282]",neutral,70515,An investment is made to improve the organization's ability to manage its operations and to provide a service to the public.,The organization is investing in the operations.,"[177972, 381903, 53832, 146592, 79472]",entailment
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",174449,This situation is very different from the situation in which we found ourselves last year.,This situation is not very different from the situation in which we found ourselves last year.,"[341336, 227979, 218231, 20366, 213037]",contradiction,192464,What is the point of the joke?,What is the joke?,"[51463, 322341, 58019, 248957, 19171]",entailment,46266,"In this study, we analyzed the association between the patient's body mass index (BMI) and the following variables: the patient's height, the patient's weight, the patient's BMI, and the patient's weight and height.",The patient's BMI is a variable.,"[300252, 91516, 192958, 38110, 254656]",neutral,240094,He said that he had to do it.,He had to do it.,"[73190, 362012, 14052, 91313, 315132]",entailment,174836,The king is a typical monarch.,The king is typical of monarchs.,"[337839, 68446, 265455, 78705, 256167]",entailment
