Title,Description,Keywords,Event,xAttr_1,xAttr_2,xAttr_3,xAttr_4,xAttr_5,xAttr_6,xAttr_7,xAttr_8,xAttr_9,xAttr_10,xReact_1,xReact_2,xReact_3,xReact_4,xReact_5,xReact_6,xReact_7,xReact_8,xReact_9,xReact_10,oReact_1,oReact_2,oReact_3,oReact_4,oReact_5,oReact_6,oReact_7,oReact_8,oReact_9,oReact_10
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets cancer,brave,dauntless,unafraid,not unwell,courageous,not afflicted,ill,masculine,brave,bold,jubilant,ill,merry,brave,jolly,jolly,keep_down,jaunty,gleeful,radiant,not sorrow,not compassion,lighthearted,glad,hilarious,happy,jaunty,cheerful,bold,brave
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonX's head high,humble,unsure,timid,humble,lethal,spiteful,burdensome,fearful,unsure,shy,humble,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does n't seem to work,gratified,unsure,attentive,alert,discerning,remembering,brilliant,glorious,aware,undetermined,not fulfilled,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets change,wasteful,gullible,spendthrift,needy,uneconomical,poor,extravagant,lacking,wanting,destitute,unsatisfied,miserable,poor_people,grouchy,queasy,fall_short_of,lean,positive,negative,dissatisfy,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY breath,humane,human,intrepid,brave,unsurprising,fearless,not bizzare,cheeky,sensible,dauntless,uninformed,unafraid,restless,flustered,bold,courageous,dauntless,brave,tense,//,not fear,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets cut,alert,accomplished,lithe,guarded,discreet,methodical,responsible,circumspect,not devastated,prudent,not like they should see a doctor,not scared that the wound will need stitches.,//,//,//,//,//,//,//,//,not afraid they might catch a contagious disease from the blood.,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does not get the job,unafraid,jolly,glad,happy-go-lucky,overjoyed,tranquil,bold,joyful,happy,joyful,overjoyed,perky,jubilant,jaunty,amused,cheerful,lighthearted,jovial,jaunty,hilarious,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY hand,hot-headed,undemonstrative,pointed,unloving,dismal,resentful,callous,uncomfortable,spiteful,cruel,freezing,not happy.,icy,frozen,nippy,not protective of person,appalling,arctic,chilly,frigid,irritable,not comforted by x,vicious,nasty,bleak,icky,awful,sardonic,belligerent,strict
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does such a good job,incomprehensive,incomplete,not hard working,undedicated,partial,cursory,superficial,lazy,undetailed,unfinished,irascible,surly,glum,churlish,prickly,querulous,morose,irate,irritable,surly,not impressed,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets divorced,not difficult.,amiable,not sad.,heavenly,jolly,amusing,agreeable,not abusive,dainty,not downtrodden.,not bittersweet,cool,enforce,easy-going,enforce,not alone,quiet,unworried,calm,composed,freeze,captive,cranky,jocular,ringed,unworried,blame,confine,blue,cantankerous
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX later told PersonY,calm,outspoken,not meddling,crooked,incautious,unworried,unguarded,sinful,quiet,rash,not relieved to have told person,//,//,//,//,//,//,//,//,//,not grateful that they were told,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY tighter,dauntless,disliking,courageous,unafraid,frigid,unloving,hate,undemonstrative,spiteful,appalling,anguished,gruesome,grouchy,spiteful,fall_short_of,grouchy,crabby,glum,morose,queasy,certain,nimble,undoubted,determined,confident,arctic,out,trustworthy,assured,icy
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets engaged,immature,unhappy,adolescent,unfledged,unexcited,plaintive,hideous,queasy,wrathful,enraged,subdued,grouchy,anguished,gloomy,wrathful,livid,lonely,apathetic,surly,glum,gloomy,gruesome,cantankerous,prickly,sore,prickly,plaintive,unmoving,crabby,livid
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's breath,impatient,hysterical,impetuous,unhelpful,exciting,boisterous,uptight,courageous,discomposure,quick-tempered,enforce,unsure,fall_short_of,unsatisfied,queasy,jealous,dissatisfy,neutral,negative,grouchy,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs at PersonY's antics,not entertained,not humoured,unhappy,unfunny,not goofy,ill-natured,unamusing,not chuckle,melancholy,crabby,mad,subdued,sulky,unhappy,enraged,irascible,prickly,melancholy,obnoxious,wrathful,overjoyed,jolly,cheerful,joyful,jubilant,not like a fool,jocular,radiant,merry,jaunty
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does this every day,not routine,intrigued,interested,amused,excited,interest,not old hat,inconsistent,//,//,grouchy,dissatisfy,shaky,queasy,fall_short_of,insecure,jealous,unsatisfied,wobbly,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets extra help,busy,studious,quickly,active,nimble,effective,brisk,hasty,teachable,accelerate,unprepared,not cared for,thankless,enforce,not more confident,//,//,//,//,//,not the person helping x is affected,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does well on PersonX's test,helpless,unthoughtful,lazy,idiotic,languid,daft,silly,lazy,negligent,stupid,dense,humble,daft,inept,dopey,incompetent,clumsy,stupid,unable,incapable,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's ground,fragile,frightened,blushing,flimsy,scared,undedicated,fragile,limp,limp,soft,sedate,grave,bored,staid,not having fun,unexcited,tranquil,not proud of himself,subdued,calm,not awestruck,not strong and thankful for the support,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs hard,petulant,gloomy,somber,immoderately,troubled,moody,unfunny,upset,boring,anguished,crabby,anxious,mad,melancholy,queasy,wrathful,irascible,sulky,morose,anguished,not x's happiness,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets free,motionless,morose,wrathful,irritable,unhappy,gruesome,livid,irate,subdued,upset,freeze,unfree,obstruct,enforce,grounded,lodge,block,confine,bound,captive,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's hand,spiteful,unhelpful,spiteful,quarrelsome,ornery,nonchalant,spiteful,belligerent,insensitive,nonchalant,unsociable,spiteful,classicist,"not happy, loving , warm, connected","not powerful, comforting",nonchalant,lethal,"not powerful, comforting",burdensome,lethal,disliked,not cared for,unloved,unloved,lonely,unloved,"not grateful, cared for",unloved,not cared for,lonely
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs in PersonY's face,courteous,not threatening,well-behaved,generous,polite,respectful,civil,tactful,amiable,respectful,grieving,mad,wrathful,irritable,unhappy,gruesome,anxious,hideous,prickly,queasy,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does well on the test,unprepared,uneducated,lazy,not extra talended,//,//,//,//,//,//,corny,stupid,muffled,inexpert,incapable,moronic,dense,inept,untalented,unskilled,not proud too.,humble,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs so hard,not humerous,hateful,depressed,remorseful,blue,unfriendly,counterfeit,surly,disguised,bogus,blue,morose,querulous,enraged,moody,sulky,glum,querulous,wrathful,cranky,glum,hideous,gloomy,sore,cantankerous,mad,querulous,irascible,crabby,plaintive
