Title,Description,Keywords,audio_url1,gaptrans
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,that's fine i was just going to move onto ___ topic detection progress ___ to move on so one of my action items ___ last week ___ taking this ___ send audio from this meeting to david ___ like an everyday thing once david is back david and i will set up a ___ nightly process on ___ so ___ at the end of the day it gets transcribed
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,right ___ yeah and so i keep hearing this new name called the localizer ___ what's called ___ localizer i'm not sure what that does but what i gather is that ___ it exactly fills that hole ___ so that's what he said and i can forward this email to you ___ that the localizer is the one that says ___ using this model in this meeting there ___ three topics or there are these ___ of words decide which one you want
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,yeah except that we provide learning ___ but they are the ones ___ actually run the testing so they and me basically need to decide how we ___ to do the bookkeeping no actually ___ which ___ a fine suggestion for the ___ but maybe not right now that ___ we automatically figure out which meetings fall in one sequence versus another different sequence
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,i mean i've seen ___ screenshot of where they have a reference with a hypothesis yeah that's what we want and ___ i think that's one file that contains both ___ and the reference i'm trying to find out if there's a tool that combines two of them into one automatically or i have to ___ that tool or i mean ___
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,no ___ fixed it by fixing dithering in ___ so ___ had dithering but it was never really implemented ___ it had dithering but the enabling code is broken but we never had ___ problem where we had to use dithering otherwise things won't work because typically we ___ never send
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,___ i mean i was asking him where's the new code what's the difference what is this ___ all about and he came back with a surprising answer why are you using ___ it's our annotation tool it is not the new kb so it looks like ___ kb the new kb ___ the old ___ kb
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,___ excellent yeah monday then definitely well ___ in the background i was looking at the transcriber examples and they actually do have a convention for having simultaneous speakers and i think in our case ___ one's the speaker and one's the transcription ___ sorry i'm not i'm looking at the demos
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,no ___ absolutely in fact ___ also ___ nice little opportunity to have a adaptation sequence so if adaptation is ___ to work right then we can have successively better transcripts i think ___ good just as a separate experiment
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,well ___ maybe i misunderstood i mean what i understood you ___ is ___ that the system is clever enough to understand the cues for even arbitrary boundaries on the ___ of course that there is some ___ regularity ___ in the background ___
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,yeah well ___ stm ___ sort of like ___ augmented trs i guess ___ is for ___ whereas ctm is for words so what ___ stm is ___ with ___ then ___ will take the words from ___ ctm ___ and basically align them to the sentences and then do ___ error rate or do ___ error rate calculation on that alignment
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,___ ok ___ it works better that way ___ yeah ok ___ see ___ i did some decoding and i thought i wanted to use it but i just ___ gave up because i thought well i'm just ___ use the energy based ___ for this because i have no idea ___ which one is which and which one i should be using also ___ had said ___ train new models and ok and ___ they're trained on ___ 11 ___
Correct a transcription from a project meeting,"In this task, you will listen to 1 streamed audio file about 30s in length, and correct a speech transcription according to guidelines detailed in the HIT.","transcribe, speech, meeting",,yeah i've been always using ___ g series of meetings for testing which is a good one to use because it's the one where sri was finally happy with the recording quality and as alex mentioned to me like our offline setup is getting ___ for that as opposed to ___ for ___ so we're fairly close in terms of accuracy on it that's a good one to use i think ___ a benchmark you don't have to use all of the series you can just pick ___ one of the speakers ok
