Title,Description,Keywords,control,id0,text0,annotations0,id1,text1,annotations1,id2,text2,annotations2,id3,text3,annotations3,id4,text4,annotations4,id5,text5,annotations5,id6,text6,annotations6,id7,text7,annotations7,id8,text8,annotations8,id9,text9,annotations9,id10,text10,annotations10,id11,text11,annotations11,id12,text12,annotations12,id13,text13,annotations13,id14,text14,annotations14,id15,text15,annotations15,id16,text16,annotations16,id17,text17,annotations17,id18,text18,annotations18,id19,text19,annotations19
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",19,JebBushSent_3925,mileage,,JebBushSent_2267,accurate,,JebBushSent_6004,Boston,,JebBushSent_2748,looks,,JebBushSent_674,going,,JebBushSent_3853,standard,,JebBushSent_372,these,,JebBushSent_824,Hadicaps,,JebBushSent_4526,guaranteed,,JebBushSent_3433,LET,,JebBushSent_5704,Campaign,,JebBushSent_5185,governor,,JebBushSent_3211,soil,,JebBushSent_189,information,,JebBushSent_1893,signed,,JebBushSent_5453,Success,,JebBushSent_2785,transition,,JebBushSent_5893,Wekiva,,JebBushSent_2816,Isom,,WordControl,jk,Informal
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",4,JebBushSent_5337,bodies,,JebBushSent_4740,Scientific,,JebBushSent_1769,P,,JebBushSent_2494,You&apos;ve,,WordControl,mega,Informal,JebBushSent_1879,acknowledge,,JebBushSent_5165,sofa,,JebBushSent_4608,regardless,,JebBushSent_5504,Escambia,,JebBushSent_3380,377-5055,,JebBushSent_2544,word,,JebBushSent_2694,doctors,,JebBushSent_4335,Children,,JebBushSent_817,short,,JebBushSent_3826,joining,,JebBushSent_3510,04:51,,JebBushSent_3816,sorry,,JebBushSent_3890,terrys,,JebBushSent_3730,advantage,,JebBushSent_4237,MEETINGS,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",19,JebBushSent_3449,framers,,JebBushSent_5093,simplified,,JebBushSent_5858,dead,,JebBushSent_589,Congratulations,,JebBushSent_3467,NO,,JebBushSent_4401,TANF,,JebBushSent_793,highly,,JebBushSent_2926,demonic,,JebBushSent_1360,tobacco,,JebBushSent_3944,RAFFLE,,JebBushSent_2934,happen,,JebBushSent_4192,credit,,JebBushSent_885,choice,,JebBushSent_5087,kinds,,JebBushSent_1107,Today,,JebBushSent_4564,strings,,JebBushSent_2045,Jr.,,JebBushSent_2723,repair,,JebBushSent_4947,SO,,WordControl,dorky,Informal
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",16,JebBushSent_3269,Authority,,JebBushSent_3428,OWED.,,JebBushSent_2701,suspension,,JebBushSent_3083,wonder,,JebBushSent_3617,Amazingly,,JebBushSent_2028,June,,JebBushSent_4162,gather,,JebBushSent_877,Sources,,JebBushSent_4151,4523,,JebBushSent_2376,celebration,,JebBushSent_3597,Tobacco,,JebBushSent_3126,presence,,JebBushSent_4268,resource,,JebBushSent_3771,tan,,JebBushSent_3946,EACH,,JebBushSent_1182,buying,,WordControl,loser,Informal,JebBushSent_3370,enjoying,,JebBushSent_127,&quot;,,JebBushSent_6099,LATE,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",18,JebBushSent_61,report,,JebBushSent_3665,sus,,JebBushSent_1898,plan,,JebBushSent_5414,19,,JebBushSent_3714,stuff,,JebBushSent_255,Dunn,,JebBushSent_428,Pentagon,,JebBushSent_1641,newspaper,,JebBushSent_4059,TOPS,,JebBushSent_2906,Vogel,,JebBushSent_1164,seconds,,JebBushSent_2808,mentors,,JebBushSent_3951,random,,JebBushSent_1391,&lt;,,JebBushSent_5106,search,,JebBushSent_6067,reviewed,,JebBushSent_5777,Augustine,,JebBushSent_4244,Secretariat,,WordControl,administration,Formal,JebBushSent_4641,None,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",16,JebBushSent_5084,Inn,,JebBushSent_2681,federal,,JebBushSent_5592,interpreted,,JebBushSent_2007,Cease,,JebBushSent_2596,otherwise,,JebBushSent_1531,hardest,,JebBushSent_4069,http://forerunner.com/fyi/news/fyi051302.htm,,JebBushSent_3505,Kathleen,,JebBushSent_1644,customs,,JebBushSent_121,duty,,JebBushSent_4283,rally,,JebBushSent_1746,foundation,,JebBushSent_3560,traffic,,JebBushSent_6192,terminated,,JebBushSent_1236,D,,JebBushSent_244,words,,WordControl,influenced,Formal,JebBushSent_2414,construction,,JebBushSent_4709,Harris,,JebBushSent_829,shortage,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",19,JebBushSent_4614,mission,,JebBushSent_3124,battle,,JebBushSent_282,level,,JebBushSent_6150,followup,,JebBushSent_1511,individuals,,JebBushSent_2404,orders,,JebBushSent_1562,communities,,JebBushSent_795,state,,JebBushSent_4441,Golf,,JebBushSent_3316,underwhelmed,,JebBushSent_4163,Starke,,JebBushSent_6172,beholden,,JebBushSent_5552,Mues,,JebBushSent_4612,furthermore,,JebBushSent_2548,story,,JebBushSent_1608,politicians,,JebBushSent_5962,recordamos,,JebBushSent_2121,Sheriffs,,JebBushSent_3063,settle,,WordControl,dearly,Formal
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",3,JebBushSent_1738,struggling,,JebBushSent_3656,Milton,,JebBushSent_608,Congress,,WordControl,dumped,Informal,JebBushSent_5251,drifted,,JebBushSent_2104,resulted,,JebBushSent_770,FTE,,JebBushSent_852,during,,JebBushSent_5054,reforming,,JebBushSent_312,239)785-4984,,JebBushSent_1971,giving,,JebBushSent_1954,Gibsonton,,JebBushSent_4818,jury,,JebBushSent_3085,Pamella,,JebBushSent_4133,Street,,JebBushSent_1978,JUSTIFY,,JebBushSent_2845,responsible,,JebBushSent_2603,info,,JebBushSent_670,Centers,,JebBushSent_1362,use,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",9,JebBushSent_3692,Kiln,,JebBushSent_1638,espcialy,,JebBushSent_2780,six,,JebBushSent_561,away,,JebBushSent_3657,imagino,,JebBushSent_3860,objection,,JebBushSent_1552,value,,JebBushSent_3007,Coal,,JebBushSent_832,since,,WordControl,unfortunately,Formal,JebBushSent_2235,Petitioner,,JebBushSent_5009,sciences,,JebBushSent_4426,thankful,,JebBushSent_609,Below,,JebBushSent_542,someone,,JebBushSent_1479,customers,,JebBushSent_5221,MIA,,JebBushSent_950,facility,,JebBushSent_3200,1995/96,,JebBushSent_1691,Source,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",11,JebBushSent_5937,incarerated,,JebBushSent_1247,Precepts,,JebBushSent_4047,suddenly,,JebBushSent_2484,World,,JebBushSent_2726,Cecilia,,JebBushSent_3553,photographers,,JebBushSent_5920,incredibly,,JebBushSent_1748,Furthermore,,JebBushSent_5534,M,,JebBushSent_3577,defender,,JebBushSent_4367,Bartke,,WordControl,credentials,Formal,JebBushSent_340,director,,JebBushSent_2773,satellite,,JebBushSent_4570,requiring,,JebBushSent_5031,decisions,,JebBushSent_5645,train,,JebBushSent_5765,leader,,JebBushSent_4275,environmentally,,JebBushSent_5845,worthy,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",0,WordControl,whatev,Informal,JebBushSent_5205,caregivers,,JebBushSent_5595,formats,,JebBushSent_288,further,,JebBushSent_2419,veterans,,JebBushSent_2032,ordered,,JebBushSent_4558,Documentary,,JebBushSent_2883,Medical,,JebBushSent_2325,Voyage,,JebBushSent_3434,THEM,,JebBushSent_4040,nature,,JebBushSent_4736,1980,,JebBushSent_5310,directions,,JebBushSent_2998,HSCT,,JebBushSent_600,false,,JebBushSent_3259,weeks,,JebBushSent_3790,servir,,JebBushSent_343,Committee,,JebBushSent_3859,instances,,JebBushSent_4742,Advisor,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",13,JebBushSent_4002,guidelines,,JebBushSent_4806,yourself,,JebBushSent_2349,choose,,JebBushSent_5443,component,,JebBushSent_2229,20TH,,JebBushSent_4044,formally,,JebBushSent_1054,bubble,,JebBushSent_725,interest,,JebBushSent_1345,expressway,,JebBushSent_3883,Charter,,JebBushSent_4212,oversight/partnership,,JebBushSent_3686,150,,JebBushSent_3672,pero,,WordControl,appointment,Formal,JebBushSent_4104,wean,,JebBushSent_4366,WhyThird.rtf,,JebBushSent_351,consumers,,JebBushSent_523,Corporation,,JebBushSent_2574,Gov,,JebBushSent_4830,Cox,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",7,JebBushSent_980,part,,JebBushSent_585,foot,,JebBushSent_5609,shall,,JebBushSent_381,now,,JebBushSent_804,receive,,JebBushSent_3872,Hence,,JebBushSent_2734,poorly,,WordControl,soooooo,Informal,JebBushSent_3965,replacing,,JebBushSent_5679,contradicts,,JebBushSent_4135,Hospitality,,JebBushSent_2364,rate,,JebBushSent_2895,Memorial,,JebBushSent_4946,Honestly,,JebBushSent_5682,Loop,,JebBushSent_4027,Process,,JebBushSent_2340,division,,JebBushSent_3905,earmarks,,JebBushSent_1313,seeing,,JebBushSent_3483,requested,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",18,JebBushSent_4646,Ironically,,JebBushSent_145,concern,,JebBushSent_5161,hero,,JebBushSent_2874,1997-1999,,JebBushSent_2263,contain,,JebBushSent_1909,enitre,,JebBushSent_5206,incorporate,,JebBushSent_4586,Panzer,,JebBushSent_2512,referral,,JebBushSent_1624,comments,,JebBushSent_6047,wavy,,JebBushSent_5335,Clam,,JebBushSent_4359,utilize,,JebBushSent_2899,completing,,JebBushSent_4354,intercession,,JebBushSent_6012,Greensboro,,JebBushSent_5877,educations,,JebBushSent_4560,PBS,,WordControl,unauthorized,Formal,JebBushSent_557,Bridge,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",4,JebBushSent_1443,direction...safe,,JebBushSent_2224,lot,,JebBushSent_498,bidder,,JebBushSent_3641,mis,,WordControl,fortunate,Formal,JebBushSent_872,writer,,JebBushSent_642,significant,,JebBushSent_1499,On,,JebBushSent_3995,Colorado,,JebBushSent_1338,those,,JebBushSent_3879,Perez,,JebBushSent_5634,Year,,JebBushSent_6100,PENALTY,,JebBushSent_5626,examination,,JebBushSent_1855,looking,,JebBushSent_1901,EOG,,JebBushSent_896,KEY,,JebBushSent_4437,bless,,JebBushSent_5154,massacre,,JebBushSent_2848,acumen,
Rate the formality of words,View a list of 20 words and rate how formal/informal each is,"research, English, language",1,JebBushSent_5844,unfortunately,,WordControl,okiedokie,Informal,JebBushSent_1367,works,,JebBushSent_4873,Workers,,JebBushSent_2501,ball,,JebBushSent_2941,PM,,JebBushSent_4648,save,,JebBushSent_4152,Arco,,JebBushSent_1652,declare,,JebBushSent_4290,contractor,,JebBushSent_1759,avenue,,JebBushSent_4432,trees,,JebBushSent_1342,dumb,,JebBushSent_4122,famed,,JebBushSent_6092,SEC.,,JebBushSent_1486,Thomas,,JebBushSent_5805,trio,,JebBushSent_4561,Stations,,JebBushSent_6039,commissioners,,JebBushSent_4419,woods,
