Title,Description,Keywords,Input.sclid1,Input.sclmin1,Input.sclmax1,Input.pairs1,Input.n1,Input.sclid2,Input.sclmin2,Input.sclmax2,Input.pairs2,Input.n2,Input.sclid3,Input.sclmin3,Input.sclmax3,Input.pairs3,Input.n3,Answer.Answer.sclid1.1,Answer.Answer.sclid1.10,Answer.Answer.sclid1.11,Answer.Answer.sclid1.12,Answer.Answer.sclid1.13,Answer.Answer.sclid1.14,Answer.Answer.sclid1.15,Answer.Answer.sclid1.2,Answer.Answer.sclid1.3,Answer.Answer.sclid1.4,Answer.Answer.sclid1.5,Answer.Answer.sclid1.6,Answer.Answer.sclid1.7,Answer.Answer.sclid1.8,Answer.Answer.sclid1.9,Answer.Answer.sclid2.1,Answer.Answer.sclid2.10,Answer.Answer.sclid2.11,Answer.Answer.sclid2.12,Answer.Answer.sclid2.13,Answer.Answer.sclid2.14,Answer.Answer.sclid2.15,Answer.Answer.sclid2.16,Answer.Answer.sclid2.17,Answer.Answer.sclid2.18,Answer.Answer.sclid2.19,Answer.Answer.sclid2.2,Answer.Answer.sclid2.20,Answer.Answer.sclid2.21,Answer.Answer.sclid2.22,Answer.Answer.sclid2.23,Answer.Answer.sclid2.24,Answer.Answer.sclid2.25,Answer.Answer.sclid2.26,Answer.Answer.sclid2.27,Answer.Answer.sclid2.28,Answer.Answer.sclid2.3,Answer.Answer.sclid2.4,Answer.Answer.sclid2.5,Answer.Answer.sclid2.6,Answer.Answer.sclid2.7,Answer.Answer.sclid2.8,Answer.Answer.sclid2.9,Answer.Answer.sclid3.1,Answer.Answer.sclid3.2,Answer.Answer.sclid3.3,Approve,Reject
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXseductive-unseductive,unseductive,seductive,seductive XXX sexy ||| attractive XXX sexy ||| attractive XXX seductive,3,possible-impossibleXX,possible,impossible,infeasible XXX unrealistic ||| impractical XXX unrealistic ||| impractical XXX infeasible ||| impracticable XXX unrealistic ||| impracticable XXX infeasible ||| impracticable XXX impractical ||| impossible XXX unrealistic ||| impossible XXX infeasible ||| impossible XXX impractical ||| impossible XXX impracticable,10,old-oldestXX,old,oldest,old XXX older ||| old XXX oldest ||| older XXX oldest,3,seductive**LT**sexy,,,,,,,attractive**LT**sexy,attractive**EQ**seductive,,,,,,,infeasible**GT**unrealistic,impossible**EQ**impracticable,,,,,,,,,,impractical**LT**unrealistic,,,,,,,,,,impractical**LT**infeasible,impracticable**GT**unrealistic,impracticable**GT**infeasible,impracticable**GT**impractical,impossible**GT**unrealistic,impossible**GT**infeasible,impossible**GT**impractical,old**LT**older,old**LT**oldest,older**LT**oldest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXseductive-unseductive,unseductive,seductive,seductive XXX sexy ||| attractive XXX sexy ||| attractive XXX seductive,3,possible-impossibleXX,possible,impossible,infeasible XXX unrealistic ||| impractical XXX unrealistic ||| impractical XXX infeasible ||| impracticable XXX unrealistic ||| impracticable XXX infeasible ||| impracticable XXX impractical ||| impossible XXX unrealistic ||| impossible XXX infeasible ||| impossible XXX impractical ||| impossible XXX impracticable,10,old-oldestXX,old,oldest,old XXX older ||| old XXX oldest ||| older XXX oldest,3,seductive**LT**sexy,,,,,,,attractive**LT**sexy,attractive**LT**seductive,,,,,,,infeasible**GT**unrealistic,impossible**GT**impracticable,,,,,,,,,,impractical**GT**unrealistic,,,,,,,,,,impractical**LT**infeasible,impracticable**GT**unrealistic,impracticable**LT**infeasible,impracticable**EQ**impractical,impossible**GT**unrealistic,impossible**GT**infeasible,impossible**GT**impractical,old**LT**older,old**LT**oldest,older**LT**oldest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXseductive-unseductive,unseductive,seductive,seductive XXX sexy ||| attractive XXX sexy ||| attractive XXX seductive,3,possible-impossibleXX,possible,impossible,infeasible XXX unrealistic ||| impractical XXX unrealistic ||| impractical XXX infeasible ||| impracticable XXX unrealistic ||| impracticable XXX infeasible ||| impracticable XXX impractical ||| impossible XXX unrealistic ||| impossible XXX infeasible ||| impossible XXX impractical ||| impossible XXX impracticable,10,old-oldestXX,old,oldest,old XXX older ||| old XXX oldest ||| older XXX oldest,3,seductive**GT**sexy,,,,,,,attractive**LT**sexy,attractive**EQ**seductive,,,,,,,infeasible**GT**unrealistic,impossible**EQ**impracticable,,,,,,,,,,impractical**EQ**unrealistic,,,,,,,,,,impractical**EQ**infeasible,impracticable**EQ**unrealistic,impracticable**LT**infeasible,impracticable**EQ**impractical,impossible**EQ**unrealistic,impossible**LT**infeasible,impossible**EQ**impractical,old**LT**older,old**LT**oldest,older**LT**oldest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXseductive-unseductive,unseductive,seductive,seductive XXX sexy ||| attractive XXX sexy ||| attractive XXX seductive,3,possible-impossibleXX,possible,impossible,infeasible XXX unrealistic ||| impractical XXX unrealistic ||| impractical XXX infeasible ||| impracticable XXX unrealistic ||| impracticable XXX infeasible ||| impracticable XXX impractical ||| impossible XXX unrealistic ||| impossible XXX infeasible ||| impossible XXX impractical ||| impossible XXX impracticable,10,old-oldestXX,old,oldest,old XXX older ||| old XXX oldest ||| older XXX oldest,3,seductive**EQ**sexy,,,,,,,attractive**LT**sexy,attractive**LT**seductive,,,,,,,infeasible**EQ**unrealistic,impossible**GT**impracticable,,,,,,,,,,impractical**EQ**unrealistic,,,,,,,,,,impractical**EQ**infeasible,impracticable**EQ**unrealistic,impracticable**EQ**infeasible,impracticable**EQ**impractical,impossible**GT**unrealistic,impossible**EQ**infeasible,impossible**GT**impractical,old**LT**older,old**LT**oldest,older**LT**oldest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXseductive-unseductive,unseductive,seductive,seductive XXX sexy ||| attractive XXX sexy ||| attractive XXX seductive,3,possible-impossibleXX,possible,impossible,infeasible XXX unrealistic ||| impractical XXX unrealistic ||| impractical XXX infeasible ||| impracticable XXX unrealistic ||| impracticable XXX infeasible ||| impracticable XXX impractical ||| impossible XXX unrealistic ||| impossible XXX infeasible ||| impossible XXX impractical ||| impossible XXX impracticable,10,old-oldestXX,old,oldest,old XXX older ||| old XXX oldest ||| older XXX oldest,3,seductive**GT**sexy,,,,,,,attractive**LT**sexy,attractive**LT**seductive,,,,,,,infeasible**LT**unrealistic,impossible**GT**impracticable,,,,,,,,,,impractical**GT**unrealistic,,,,,,,,,,impractical**LT**infeasible,impracticable**LT**unrealistic,impracticable**LT**infeasible,impracticable**EQ**impractical,impossible**GT**unrealistic,impossible**GT**infeasible,impossible**GT**impractical,old**LT**older,old**LT**oldest,older**LT**oldest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXlike-unlike,unlike,like,like XXX same ||| equal XXX like ||| equal XXX same,3,national-internationalXX,national,international,global XXX transnational ||| global XXX international ||| international XXX transnational,3,hard-hardestXX,hard,hardest,hard XXX harder ||| hard XXX hardest ||| harder XXX hardest,3,like**LT**same,,,,,,,equal**GT**like,equal**LT**same,,,,,,,global**GT**transnational,,,,,,,,,,,global**GT**international,,,,,,,,,,international**LT**transnational,,,,,,,hard**LT**harder,hard**LT**hardest,harder**LT**hardest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXlike-unlike,unlike,like,like XXX same ||| equal XXX like ||| equal XXX same,3,national-internationalXX,national,international,global XXX transnational ||| global XXX international ||| international XXX transnational,3,hard-hardestXX,hard,hardest,hard XXX harder ||| hard XXX hardest ||| harder XXX hardest,3,like**EQ**same,,,,,,,equal**GT**like,equal**GT**same,,,,,,,global**LT**transnational,,,,,,,,,,,global**GT**international,,,,,,,,,,international**LT**transnational,,,,,,,hard**LT**harder,hard**LT**hardest,harder**LT**hardest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXlike-unlike,unlike,like,like XXX same ||| equal XXX like ||| equal XXX same,3,national-internationalXX,national,international,global XXX transnational ||| global XXX international ||| international XXX transnational,3,hard-hardestXX,hard,hardest,hard XXX harder ||| hard XXX hardest ||| harder XXX hardest,3,like**EQ**same,,,,,,,equal**EQ**like,equal**EQ**same,,,,,,,global**EQ**transnational,,,,,,,,,,,global**EQ**international,,,,,,,,,,international**EQ**transnational,,,,,,,hard**LT**harder,hard**LT**hardest,harder**LT**hardest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXlike-unlike,unlike,like,like XXX same ||| equal XXX like ||| equal XXX same,3,national-internationalXX,national,international,global XXX transnational ||| global XXX international ||| international XXX transnational,3,hard-hardestXX,hard,hardest,hard XXX harder ||| hard XXX hardest ||| harder XXX hardest,3,like**LT**same,,,,,,,equal**GT**like,equal**EQ**same,,,,,,,global**GT**transnational,,,,,,,,,,,global**EQ**international,,,,,,,,,,international**EQ**transnational,,,,,,,hard**LT**harder,hard**LT**hardest,harder**LT**hardest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXlike-unlike,unlike,like,like XXX same ||| equal XXX like ||| equal XXX same,3,national-internationalXX,national,international,global XXX transnational ||| global XXX international ||| international XXX transnational,3,hard-hardestXX,hard,hardest,hard XXX harder ||| hard XXX hardest ||| harder XXX hardest,3,like**LT**same,,,,,,,equal**GT**like,equal**EQ**same,,,,,,,global**LT**transnational,,,,,,,,,,,global**LT**international,,,,,,,,,,international**EQ**transnational,,,,,,,hard**LT**harder,hard**LT**hardest,harder**LT**hardest,,
