Title,Description,Keywords,Adjective,ClusterId,Cluster,Answer.order
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",important.a,3,remarkable ::: noteworthy ::: far-reaching ::: important,remarkable :::  ||| noteworthy :::  |||  ||| important ::: far-reaching :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",important.a,3,remarkable ::: noteworthy ::: far-reaching ::: important,important :::  ||| remarkable :::  ||| far-reaching ::: noteworthy :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",important.a,3,remarkable ::: noteworthy ::: far-reaching ::: important,important :::  ||| noteworthy ::: far-reaching :::  ||| remarkable :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,1,insane ::: strong ::: impressive,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,1,insane ::: strong ::: impressive,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,1,insane ::: strong ::: impressive,strong :::  ||| impressive :::  ||| insane :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,10,fantastic ::: remarkable ::: outstanding ::: awesome ::: incredible ::: magnificent ::: breathtaking ::: special ::: impressive,fantastic :::  ||| remarkable :::  |||  ||| awesome ::: incredible ::: outstanding :::  |||  ||| magnificent :::  |||  ||| special :::  ||| breathtaking ::: impressive :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,10,fantastic ::: remarkable ::: outstanding ::: awesome ::: incredible ::: magnificent ::: breathtaking ::: special ::: impressive,fantastic :::  ||| remarkable ::: special :::  ||| outstanding :::  ||| awesome :::  ||| incredible :::  ||| magnificent :::  ||| breathtaking :::  |||  ||| impressive :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,10,fantastic ::: remarkable ::: outstanding ::: awesome ::: incredible ::: magnificent ::: breathtaking ::: special ::: impressive,||| special :::  ||| fantastic :::  ||| awesome :::  ||| breathtaking :::  ||| remarkable :::  ||| outstanding :::  ||| incredible :::  ||| impressive :::  ||| magnificent :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,3,competent ::: fine ::: impressive,||| fine ::: competent :::  ||| impressive :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,3,competent ::: fine ::: impressive,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,3,competent ::: fine ::: impressive,fine ::: competent :::  |||  ||| impressive :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,15,daunting ::: substantial ::: tough ::: formidable ::: impressive,daunting :::  ||| substantial :::  |||  ||| formidable :::  ||| impressive ::: tough :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,15,daunting ::: substantial ::: tough ::: formidable ::: impressive,tough ::: daunting :::  ||| substantial ::: impressive :::  |||  ||| formidable :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,15,daunting ::: substantial ::: tough ::: formidable ::: impressive,||| tough :::  ||| substantial :::  ||| formidable :::  ||| impressive :::  ||| daunting :::
