Title,Description,Keywords,situation,source-id,Answer.nsfw,Answer.rot-1,Answer.rot-2,Answer.rot-3,Answer.rot-4,Answer.rot-5,Answer.simple
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",My first trip to Six Flags amusement park was a mixed experience.,rocstories/bcc312c7-1276-4398-87b6-1bc9b6f82fbc/sentence1/original,,It is okay to be disappointed by something that you have been looking forward to.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Susan was several years older than Robbie.,rocstories/e6f5641b-4097-48f8-86fc-2f3ddfda773a/sentence3/original,,{},{},{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",After months of speaking to him they fell madly in love.,rocstories/f997aea1-9f80-422d-a54a-1fcff33566fa/sentence2/original,,It is good to let love develop as a relationship grows.,It is expected that people might not love each other right away.,It is good to love another person.,It is expected that people will grow their love for one another.,It is good to be in a relationship when you love someone.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Dan wanted to help her but didn't want to be insensitive.,rocstories/1643b638-85eb-4d4a-826a-b7ad63292815/sentence2/original,,It's kind to help a friend when you can.,It's polite to be sensitive to other's feelings.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",With their help she was able to find some flowers she was happy with.,rocstories/7d6c7d2c-640b-40c5-a8a5-8e1bf167fbbb/sentence4/original,,It's kind to help others find things that make them happy.,It's understandable to look for something that makes one happy.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Last year, Texas lost to Notre Dame in college football by 35 points.",rocstories/11dea148-b174-4410-81a0-658573571b5b/sentence1/original,,It's sometimes expected for games to have blowout scores,It's normal for really good teams to batter bad teams in sports,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Betty realized how important it is to try on before you buy.,rocstories/fcb4cbe7-eb22-41c1-bbaa-436bd11e9430/sentence5/original,,It's good to try clothes on before you're stuck with them.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","She was surprised to find that her best friend, John, was the writer.",rocstories/29c43a0f-aa87-466d-96a1-0f39b3c008a8/sentence5/original,,It is exciting to know the person whose art you appreciate.,It is fun to learn about your friend's talents,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Jessica told Mark she wanted a commitment from him.,rocstories/8e2fd895-8f13-4192-91fb-bdab618f9017/sentence4/original,,It's understandable for people in a relationship to want it to be committed.,People don't have to commit to a partner if they don't want to.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Maria got dressed up for her friends birthday party.,rocstories/39e31ede-a00f-46aa-835a-02627048e592/sentence1/original,,It's normal to attend your friend's events.,It's normal to get dressed up when you're going to a formal event.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",When I had kids we lived by a pond.,rocstories/c53083f1-5788-4d6a-b742-716469cbce03/sentence3/original,,{},{},{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She introduced her to a nice girl named Dana.,rocstories/39d7ff57-134d-4d04-8859-d2a6b0c1b80e/sentence4/original,,It's kind to introduce people to each other.,It's okay to be shy when you are new in school.,It's okay if you don't want to meet new people.,"When you meet someone nice, you should be nice in return.",It's kind to introduce someone who is new in town to your friends.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They gave him a gun and told him to kill another dealer.,rocstories/9ea777ef-eccf-4471-8252-d693ceead553/sentence3/original,,It's wrong to kill someone.,It's bad to be involved with people who might order you to kill someone.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They said outside insurance would be compensated by them.,rocstories/f4aac44b-ef05-4273-968a-8fc18ec5ab89/sentence3/original,,{},{},{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",As Tammy was hiking she decided to take a rest on a large rock.,rocstories/06125bbb-b0f0-415c-9c31-2c7e84c01c43/sentence2/original,,It is good to take breaks when hiking.,It is expected that people won't push themselves too much when working out.,It is good to know your physical limits during a hike.,It is expected that people will need to take breaks while working out.,It is ok to take a break from working out if you are out of breath.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",My friend Joe is a transit buff.,rocstories/9610f48e-8ed3-4cf1-bee4-a5f0bd82b885/sentence1/original,,"It's good to take public transit, because it helps the environment.",It's bad to take up space that you don't need on the bus.,It's expected that some people enjoy riding the train.,It's allowed to have a harmless obsession with moving vehicles.,It's okay to enjoy some hobbies that others find boring.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","In addition, Andy got to spend quality time with her as well.",rocstories/869ef233-5516-47da-b595-9d1a71e32648/sentence4/original,,It's good to spend quality time with a person you enjoy.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Danny was a dwarf, and his friends used to prank him.",rocstories/96ad19ed-411d-4531-a0b6-74f46e9bdf40/sentence1/original,,It is unacceptable to prank other people.,You should not make fun of people for their physical appearance.,Friends are expected to be kind to each other.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",But Tricia said she wanted to pay for herself.,rocstories/9bb8355f-cee7-4480-8617-7bb87605800e/sentence4/original,,It's good to be financially self-sufficient.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","I was able to finish making the soup, which I then ate.",rocstories/af6b9d91-f8b0-490f-88fd-2c1ef83bb7aa/sentence5/original,,{},{},{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Though he dated her, he broke up with her.",rocstories/e2c4d0d6-4023-4a80-8e97-1e3f220118c4/sentence4/original,,You're allowed to choose who you spend your time with.,It's okay to break up with your partner.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",There he could play to his heart's content without disturbing anyone.,rocstories/d326a2d0-8779-4bfb-8da4-b2357aa5efa1/sentence5/original,,It's expected that people will want to continue doing things they love.,It's good to care about not disturbing others.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",It bent again the next time he hit it.,rocstories/beabc2da-4f73-4506-85e2-0683c547204d/sentence4/original,,It's bad to damage things.,It's okay to let out your aggression in different ways.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Nate submitted his application for the graduate program.,rocstories/b3015d5d-b5f6-4d2b-bf59-992293e2103f/sentence1/original,,It's good to value your education.,It's totally fine if you want to go to graduate school.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She really wanted to improve her mile time.,rocstories/cd205dcb-5645-4199-a070-4835e2c99eaf/sentence2/original,,It is good to strive for self improvement,It is good to set goals for yourself,It is healthy to exercise regularly,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They loved spending their time out on the water.,rocstories/fa26f827-f1a0-4c38-b789-f43ae4ab0752/sentence4/original,,It's good to go out and enjoy nature.,It's not okay to not be able to appreciate the simpler things in life.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Kerry like his job, but he had to move to Texas with his parents.",rocstories/26f55853-0c4d-4458-95c2-c3e38a2aa15e/sentence2/original,,It's understood that sometimes people don't have a choice of where they live.,It's okay to be bummed when a friend moves away.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",I decided to send her flowers and chose a beautiful teacup bouquet.,rocstories/637e28ac-2367-4567-9f14-591a45daaf3c/sentence3/original,,It's fine to send flowers to someone.,It's not okay to send flowers to someone if they don't know you.,It's fine to like it when you are sent a gift.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Sam's ex wife agrees and Sam recovers from his melt down.,rocstories/e8ca7b6f-e751-4f0f-8aec-537009677bd4/sentence5/original,,{},{},{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",John got a bite and his dad rushed to help him reel it in.,rocstories/9579d486-f8c6-4f42-a0b0-e93418496060/sentence4/original,,It's good to spend quality time with your child.,It's good to help your child when they need it.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She was annoyed by teachers using red ink on her papers.,rocstories/788a7677-bf53-4898-9c56-b31fa875a794/sentence1/original,,It's wrong to get aggravated by the little things.,It's good for teachers to check their students work.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",At her school's lunch period she picked a fight.,rocstories/40fb51d4-cd00-4566-b7f6-bf338d2ea139/sentence2/original,,It's wrong to pick fights with people.,It's good to pick an unexpected time to settle a score.,It's understood that not everyone eats the same way.,It's bad to skip a meal to cause trouble.,Schools are expected to deal harshly with students who fight.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",When I got dizzy I finally ate something.,rocstories/c4c91262-3ff4-4a74-b65c-f05361248385/sentence5/original,,It is important to listen to what your body s telling you.,You should see a doctor if you are having dizzy spells.,You should always take care of yourself and eat appropriately.,It is unhealthy to put off eating.,{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Last week she found him having a Snapchat affair.,rocstories/4104ca25-e7c5-42c7-8e7e-4d578a0a22b0/sentence4/original,,It is wrong to have an affair.,It is expected a relationship might not last if one person is having an affair.,It is good to be single if you have a hard time staying with one person.,It is ok to break up with someone if you caught them having an affair.,It is ok to be angry if the person you are dating is having an affair over snapchat.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They agreed to save their money and go back next week.,rocstories/54eade0f-0f40-4f87-968d-ca08ecf7df22/sentence5/original,,It's wrong to not take an opportunity when it presents itself.,It's understandable to want to save money for a better time.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","I explained they were to be monitored, obviously.",rocstories/1861e233-7435-4ff1-ac1b-c9a4196776f0/sentence4/original,,{},{},{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When she was finished, she scooped it up with carrots and crackers.",rocstories/81016e09-2dd8-40fc-acd5-c054fb05fa98/sentence3/original,,It's good to prepare meals for people.,It's good to prepare before you make a recipe.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Delilah stopped running and hissed at him.,rocstories/7bf5a994-05f4-4e2b-9529-8c4bd203ac62/sentence4/original,,It is dangerous to be on the receiving end of a hiss.,It is unwise to approach something that is hissing.,{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",I put my computer back on the desk.,rocstories/3bbed381-5c10-4248-ba81-b5fb7e3999ae/sentence5/original,,It's good to keep your computer on your desk since that's where a computer usually sets.,You shouldn't leave your computer on the floor.,It's good to organize things.,{},{},
