Title,Description,Keywords,Q1PairID,Q1Paraphrase,Q1Target,Q1TestSentence,Q2PairID,Q2Paraphrase,Q2Target,Q2TestSentence,Q3PairID,Q3Paraphrase,Q3Target,Q3TestSentence,Q4PairID,Q4Paraphrase,Q4Target,Q4TestSentence,Q5PairID,Q5Paraphrase,Q5Target,Q5TestSentence,Q6PairID,Q6Paraphrase,Q6Target,Q6TestSentence,Q7PairID,Q7Paraphrase,Q7Target,Q7TestSentence,Q8PairID,Q8Paraphrase,Q8Target,Q8TestSentence,Q9PairID,Q9Paraphrase,Q9Target,Q9TestSentence,Q10PairID,Q10Paraphrase,Q10Target,Q10TestSentence,QXPairID,QXParaphrase,QXTarget,QXTestSentence
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",RB.tight.strictly.4,strictly,tight,"arafat &apos;s wife , suha , has kept <b><font color=""blue"">tight</font></b> control over access to and information about her husband .",RB.closely.intimately.4,intimately,closely,"( ii ) the state with which the subject matter of the dispute is most <b><font color=""blue"">closely</font></b> connected .",NN.coach.trainer.2,trainer,coach,"as a stakeholder ( e.g. , athlete , <b><font color=""blue"">coach</font></b> , administrator , volunteer , sponsor , etc . ) , what role can you play ?",RB.around.nearby.0,nearby,around,"adam , there are a lot of offices <b><font color=""blue"">around</font></b> .",RB.tight.watertight.1,watertight,tight,"( c ) a liquid <b><font color=""blue"">tight</font></b> closure at the end of the discharge pipe , which may be a bolted blank flange or a screw cap .",VB.cover.conceal.0,conceal,cover,"no , she surgically removed her fingerprints to <b><font color=""blue"">cover</font></b> her pathetic lie .",NN.function.role.3,role,function,"the president of france ably fulfilled his principal <b><font color=""blue"">function</font></b> as a mediator in the achievement of a preliminary settlement that , i hope , will help to ensure regional stability .",VB.draw.sketch.5,sketch,draw,"<b><font color=""blue"">draw</font></b> a diagram and label it with the measurements .",VB.manage.administer.7,administer,manage,"&amp; lt ; t-3 &amp; gt ; the number and size of e-mails received at any given company , any given day , is becoming increasingly difficult and costly to <b><font color=""blue"">manage</font></b> .",JJ.steady.ongoing.8,ongoing,steady,"statistics were distributed showing the <b><font color=""blue"">steady</font></b> growth of visits to the site since 1999 .",ctrl.ADVP/a/00007771.pp2.0,around,next to you,"take a good look at the men and women ... that stand <b><font color=""blue"">next to you</font></b> ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.bright.intelligent.9,intelligent,bright,"our member states are <b><font color=""blue"">bright</font></b> , intelligent and responsible enough to manage their own affairs .",VB.drive.motivate.2,motivate,drive,"should it be ambitious to <b><font color=""blue"">drive</font></b> all players to achieve the best possible outcome ?",NN.match.game.2,game,match,"we are playing a game of baduk and the <b><font color=""blue"">match</font></b> has reached its end-game .",RB.apparently.demonstrably.7,demonstrably,apparently,"it makes no sense to have direct competition between products which are <b><font color=""blue"">apparently</font></b> equivalent but may have very different impacts on the environment .",JJ.bright.shiny.2,shiny,bright,"oh yes , it &apos;s royal day today here in britannia with our own very special royal visitor coming all the way down from buckingham palace to open up our <b><font color=""blue"">bright</font></b> and shiny new wing .",JJ.open.unlocked.3,unlocked,open,"i have also felt the need to leave a door <b><font color=""blue"">open</font></b> for improvements to this text .",VB.treat.cure.5,cure,treat,"what other treatments have been used to <b><font color=""blue"">treat</font></b> &lt; insert disease or condition &gt; ?",NN.bug.insect.9,insect,bug,"why would someone want an indestructible extinct <b><font color=""blue"">bug</font></b> that can destroy any eco-system on the planet ?",VB.save.rescue.7,rescue,save,"charging an interest rate like the one we are being charged is akin to tying a millstone around the neck of a drowning man while you are sending out the lifeboat to <b><font color=""blue"">save</font></b> him .",JJ.open.open-minded.2,open-minded,open,"that is where my understanding stops and i think we have to be <b><font color=""blue"">open</font></b> and honest with each other about this .",ctrl.RB/t/00000425.pp1.1,tightly,tight,"what i like about you , you really hold me <b><font color=""blue"">tight</font></b> ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.rude.rugged.6,rugged,rude,"there was a reason , but ... our iord was <b><font color=""blue"">rude</font></b> .",NN.match.game.8,game,match,"just ten minutes after the start of the <b><font color=""blue"">match</font></b> a turkish midfielder intercepted the ball and passed it on for kose to open the scoring .",JJ.rude.impolite.3,impolite,rude,"it &apos;d be <b><font color=""blue"">rude</font></b> not to allow him this .",JJ.soft.gentle.1,gentle,soft,"sun shining all day long , <b><font color=""blue"">soft</font></b> breezes blowing in from the ocean .",RB.near.approximately.1,approximately,near,"primary education is almost universal , with <b><font color=""blue"">near</font></b> equal enrolment rates for girls and boys .",RB.only.solely.1,solely,only,"radio spectrum policy can not be based <b><font color=""blue"">only</font></b> on technical parameters but also needs to take into account economic , political , cultural , health and social considerations .",RB.apparently.demonstrably.2,demonstrably,apparently,"if teaching strategies should be made to suit the needs and differences of individual students , then the toc is <b><font color=""blue"">apparently</font></b> not the best means .",NN.ring.circle.1,circle,ring,"evenly arranged in the upper part of the outer <b><font color=""blue"">ring</font></b> are the chinese characters &quot; &quot; in complex form and in the standard format for the regional emblem .",JJ.soft.gentle.5,gentle,soft,"our <b><font color=""blue"">soft</font></b> , fertile prairies stretch to the horizon in all directions and the tough granite mantel known as the canadian shield is pitted with pristine lakes and etched with roiling rivers .",RB.around.nearby.7,nearby,around,"there are vehicles on fire , bodies lying <b><font color=""blue"">around</font></b> , and there are bits of bodies around me , &quot; said simpson , who was also injured in the attack .",ctrl.VB/r/00007608.pp1.0,save,rescue,"we must exercise our responsibility in order to ensure the safety and protection of the palestinian people , <b><font color=""blue"">rescue</font></b> the middle east peace process and enhance the prospects for peace in the region ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.rich.rewarding.6,rewarding,rich,"may 2008 bring us the kind of opportunities and challenges to make for a <b><font color=""blue"">rich</font></b> and rewarding year .",RB.apparently.evidently.1,evidently,apparently,"the constitutivity is <b><font color=""blue"">apparently</font></b> not the result of a temperature-sensitive repressor .",NN.coach.bus.5,bus,coach,"print version -pipe- legal notice -pipe- what &apos;s new ? -pipe- search -pipe- contact -pipe- index -pipe- glossary -pipe- about this site de en es fr europa &gt; summaries of legislation &gt; interbus agreement : the international occasional carriage of passengers by <b><font color=""blue"">coach</font></b> and bus",JJ.steady.unwavering.7,unwavering,steady,"since then , it has benefited from the <b><font color=""blue"">steady</font></b> support of the government of italy , on the basis of an agreement of cooperation with unicef , subject to renewal every three years .",RB.softly.quietly.2,quietly,softly,"i &apos;ii play it very <b><font color=""blue"">softly</font></b> ... because i have things to teii you about , which i ca n&apos;t shout .",RB.truly.totally.9,totally,truly,"if we have to weigh every action , every statement , every human contact , wondering who might find out about it , make a record of it , judge it , misconstrue or somehow use it to our detriment , we are not <b><font color=""blue"">truly</font></b> free .",VB.save.rescue.1,rescue,save,"moscow ( reuters ) - seven sailors aboard a russian mini-submarine trapped 190 meters down in the pacific were said to be in good spirits on saturday as rescuers worked frantically to <b><font color=""blue"">save</font></b> them before their dwindling oxygen supplies ran out .",JJ.rude.rugged.4,rugged,rude,"for all those who had complacently thought that the peace process had been about to bear fruit , the second intifada had been a <b><font color=""blue"">rude</font></b> awakening .",NN.home.motherland.1,motherland,home,"popular cantonese singer alan tam was quoted as saying that &quot; hong kong is our <b><font color=""blue"">home</font></b> and we can not resort to extremist actions which will bring chaos to our homeland . &quot;",RB.finally.eventually.9,eventually,finally,"it teaches that people are responsible for their actions and go through a cycle of rebirths before <b><font color=""blue"">finally</font></b> reaching nirvana .",ctrl.NN/b/00025683.pp1.2,microbe,bug,"a drug-proof <b><font color=""blue"">bug</font></b> is causing infections in people who get illegal tattoos ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",RB.only.merely.7,merely,only,"his intention is not <b><font color=""blue"">only</font></b> to give a more telling picture of an acute shortfall in the realization and exercise of human rights in conditions of extreme poverty , but also to develop tools for a legal approach to the subject .",NN.match.pairing.0,pairing,match,"my anna and your peder will be a perfect <b><font color=""blue"">match</font></b> .",NN.coach.trainer.0,trainer,coach,"generally speaking women do as much volunteer work in sports as men , even when it concerns &apos;technical functions &apos; ( assistant , trainer and <b><font color=""blue"">coach</font></b> ) .",RB.near.approximately.6,approximately,near,"the results suggest that race t ( tox1 ) and race o ( tox1 ) strains of c. heterostrophus differ by a chromosome rearrangement , possibly a reciprocal translocation , with a breakpoint at or <b><font color=""blue"">near</font></b> tox1 .",JJ.vital.lively.7,lively,vital,"a <b><font color=""blue"">vital</font></b> and dynamic special committee should play a greater role than ever in such efforts .",RB.only.merely.6,merely,only,"statistics are not <b><font color=""blue"">only</font></b> a reflection of reality : they help to shape it .",RB.finally.eventually.4,eventually,finally,"but in 1950 , determined to write fiction full time , she courageously departed for europe , <b><font color=""blue"">finally</font></b> settling in paris , where she still resides .",RB.around.nearby.8,nearby,around,"great numbers of nematodes , marine worms , crustaceans and clams make a home in the mud and a meal for diligent predators an abundance of banqueting birds salt marshes are some of the most productive habitats <b><font color=""blue"">around</font></b> .",JJ.rough.approximate.0,approximate,rough,"potential costs of implementing european-style sulphur levels this section provides <b><font color=""blue"">rough</font></b> cost estimates to canadian industry if canada were to reduce sulphur in fuel oils to european levels .",VB.draw.sketch.7,sketch,draw,"led by victoria macdonald , a métis woman , students learn to use a compass and <b><font color=""blue"">draw</font></b> a map while discovering how fur traders , métis and first nations interacted in the stories of rocky mountain house . -lsb- 1 or 2 interpreters ; max .",ctrl.JJ/i/00003004.pp2.1,impolite,rude,"i ai n&apos;t trying to be <b><font color=""blue"">rude</font></b> , okay ?"
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.manage.administer.6,administer,manage,"the arc is a company wholly-owned by the hksar government to administer and <b><font color=""blue"">manage</font></b> the hk $ 750 million applied research fund , a scheme which provides funding support to local companies undertaking technology ventures .",RB.only.solely.9,solely,only,"focusing <b><font color=""blue"">only</font></b> on what lies within the ombudsman &apos;s mandate neglects the fact that the network ensures that the bulk of the complaints go to the right national regional ombudsman concerning eu law and that are dealt with there .",RB.closely.intimately.0,intimately,closely,"in angola , a country so <b><font color=""blue"">closely</font></b> linked to brazil by historic and cultural ties , we witness with pain and indignation the prolongation of a conflict that is the longest and most devastating civil war today .",VB.save.keep.5,keep,save,"backup will <b><font color=""blue"">save</font></b> the files in the background and may take several minutes to complete .",VB.drive.chauffeur.7,chauffeur,drive,"but when the dealers received the ordered vehicles and powercar expressed hesitation about picking up the cars , eastman agreed to <b><font color=""blue"">drive</font></b> the vehicles to the various us ports of exit .",VB.treat.address.8,address,treat,"we need to fully recognize these issues and to <b><font color=""blue"">treat</font></b> them comprehensively and adequately .",VB.shake.destabilize.6,destabilize,shake,"as the european allies support the need to pressure baghdad so as to co-operate with the un weapons inspectors , most of them believe that the possible outbreak of a new war in the gulf is to profoundly <b><font color=""blue"">shake</font></b> the middle east and may weaken the world economy .",JJ.rough.approximate.9,approximate,rough,"i would emphasize that these are only <b><font color=""blue"">rough</font></b> estimates and are at 1992 prices .",NN.bug.insect.2,insect,bug,"dicyphus hesperus is a predatory <b><font color=""blue"">bug</font></b> ( hemiptera ) that is released weekly on mullein plants ( verbascum theoprhastica ) until a total of 1 per m2 have been introduced .",JJ.soft.gentle.2,gentle,soft,"it does n&apos;t overemphasize strength or a <b><font color=""blue"">soft</font></b> touch , but focuses on control and a firm feeling .",ctrl.RB/f/00000935.pp1.1,permanently,finally,"annex ii reproduces the complete text of the state responsibility articles <b><font color=""blue"">finally</font></b> adopted by the international law commission , as annexed to general assembly resolution 56/83 ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",RB.around.approximately.6,approximately,around,"in the west of ireland , <b><font color=""blue"">around</font></b> 70 % of the work force are employed by small businesses .",JJ.soft.gentle.9,gentle,soft,"it &apos;s <b><font color=""blue"">soft</font></b> and gentle ... warm and yielding .",JJ.heavy.intense.3,intense,heavy,"but the strongest explanation , they said , was that after another prolonged period of <b><font color=""blue"">heavy</font></b> selling , with the dow industrials and nasdaq composite index hitting new multi-year lows , a technical rebound was inevitable .",VB.dismiss.sack.2,sack,dismiss,"the information minister armando tchoba dos santos promised to study the demands of the strikers , but said he would not bow to pressure or <b><font color=""blue"">dismiss</font></b> the director general on the eve of elections .",RB.truly.factually.8,factually,truly,"in order to be fully and <b><font color=""blue"">truly</font></b> successful , the efforts of the central african countries to escape the cycle of violence , insecurity and poverty in which they have been caught for many years must be provided resolute and consistent support by the international community .",NN.function.role.5,role,function,"the important work of the existing export control regimes was noted , in particular their <b><font color=""blue"">function</font></b> in guiding states parties in setting up their national export control policies .",NN.field.discipline.6,discipline,field,"education / requirements the minimum requirement for most positions is a bachelor &apos;s degree in biological sciences or a related <b><font color=""blue"">field</font></b> .",JJ.soft.limp.9,limp,soft,"if your mattress is too <b><font color=""blue"">soft</font></b> , use a board of 1.3 cm ( 1/2 inch ) plywood under the mattress to add support .",NN.field.discipline.7,discipline,field,"among the listed job requirements were completion of military service , two years experience and a college degree in a related <b><font color=""blue"">field</font></b> .",RB.truly.factually.6,factually,truly,"this amendment was necessary but the goals of the directive thus amended are not yet <b><font color=""blue"">truly</font></b> equal to the seriousness of the problem .",ctrl.RB/p/00000207.pp2.0,particularly,really,"i do not <b><font color=""blue"">really</font></b> favour energy taxes as i do not believe that environmental problems can be systematically solved with taxation ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.draw.attract.9,attract,draw,"industrial benefits the current request for proposals process is viewed as an opportunity for canadian cities to host a leading cultural venue and to <b><font color=""blue"">draw</font></b> visitors from across canada and around the world .",JJ.open.open-minded.8,open-minded,open,"we need to be <b><font color=""blue"">open</font></b> about transparency and think also what we can do proactively outside the formal legislation , such as on improved registers , on greater user-friendliness and accessibility , active dissemination and quicker publication of documents .",NN.coach.bus.6,bus,coach,"10-2002 point 1.4.58 council decision of 3 october 2002 on the conclusion of the interbus agreement on the international occasional carriage of passengers by <b><font color=""blue"">coach</font></b> and bus oj l 321 , 26.11.2002",RB.near.approximately.4,approximately,near,"there is a risk of frostbite in less than 10 minutes when the wind chill is <b><font color=""blue"">near</font></b> -40 .",VB.cover.encompass.5,encompass,cover,"in 2001 , the scope of the money laundering directive was expanded to cover a much broader range of offences . most importantly , its obligations were extended to <b><font color=""blue"">cover</font></b> a much larger number of professions , in particular lawyers and notaries .",VB.dismiss.disregard.2,disregard,dismiss,"i will therefore <b><font color=""blue"">dismiss</font></b> this part of the allegation as not founded .",NN.service.assistance.1,assistance,service,"i acknowledge the importance of the contribution made by the friends of the president , and express my gratitude to the representatives of australia , austria , new zealand , norway , south africa and switzerland for their <b><font color=""blue"">service</font></b> in that capacity .",NN.field.ground.3,ground,field,"they watch us line up on the <b><font color=""blue"">field</font></b> , the whistle blows , and we assiduously start to kick the ball into our own goal .",RB.tight.strictly.0,strictly,tight,"your entire life you &apos;ve kept <b><font color=""blue"">tight</font></b> control over your feelings .",JJ.rude.rugged.2,rugged,rude,"it is too rough , too <b><font color=""blue"">rude</font></b> , too boisterous , and it pricks like thorn .",ctrl.NN/f/00019300.pp1.2,functional,function,"as such , it was suggested that that post would be held by a member from the regional group that has not yet been attributed a core <b><font color=""blue"">function</font></b> ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.lie.deceive.5,deceive,lie,"the more devoted , the more reason to <b><font color=""blue"">lie</font></b> .",RB.closely.intimately.2,intimately,closely,"in many respects , linguistic duality is as <b><font color=""blue"">closely</font></b> linked to our collective identity as our democratic and legal institutions and our social programs .",JJ.sorry.pathetic.2,pathetic,sorry,"as far as the controversial issue of discards is concerned , it is time to sort out this whole <b><font color=""blue"">sorry</font></b> mess once and for all .",VB.save.keep.1,keep,save,"note the day of the tick bite and try to <b><font color=""blue"">save</font></b> the tick in an empty pill vial or doubled zip-lock bag .",NN.home.dwelling.3,dwelling,home,"out of the 2083 respondents of mixed race , 1304 ( 62.6 % ) indicated that they owned a <b><font color=""blue"">home</font></b> . 657 ( 31.54 % ) persons lived in private residences that were either leased or rented , while 38 ( 1.8 % ) rented or leased government housing .",NN.function.operation.0,operation,function,"at these restore points , the system restore tool creates a backup of the computer &apos;s components that are essential for its proper <b><font color=""blue"">function</font></b> .",JJ.sorry.pathetic.7,pathetic,sorry,"- no , i did n&apos;t mean it like - <b><font color=""blue"">sorry</font></b> .",VB.decline.deteriorate.1,deteriorate,decline,"positions of the parties -lsb- 9 -rsb- the complainant states that over the years , she has seen her quality of life <b><font color=""blue"">decline</font></b> drastically as a result of cp &apos;s activities .",VB.save.rescue.3,rescue,save,"taiyuan , july 11 ( xinhua ) rescuers have stepped up their efforts to <b><font color=""blue"">save</font></b> eight miners who were trapped in a coalpit in north china &apos;s shanxi province after it was flooded monday night , local government sources said on tuesday .",VB.decline.fall.9,fall,decline,"in 2002 , the opec average crude oil price is expected to <b><font color=""blue"">decline</font></b> from its 2001 level by about 5 per cent , to around $ 22 / b .",ctrl.JJ/o/00002864.pp2.2,open,receptive,"we have had a few discussions on the subject as it relates to being a manager and as of late she has been <b><font color=""blue"">receptive</font></b> ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN.ring.ringtone.1,ringtone,ring,"in addition , many major record companies create ring tones , &quot; song snippets &quot; that replace a phone &apos;s prepackaged <b><font color=""blue"">ring</font></b> .",JJ.rich.wealthy.6,wealthy,rich,"whether we like it or not , this is still a world of diktat by the <b><font color=""blue"">rich</font></b> and the powerful against the poor , the weak and the vulnerable .",NN.function.operation.6,operation,function,"3.4 designation of dockside observers the policy requirements pertaining to the designation of dockside observers are not sufficiently comprehensive , nor sufficiently verified to provide reasonable assurance that dos meet the requirements necessary to perform the dockside observer <b><font color=""blue"">function</font></b> .",VB.dismiss.disregard.1,disregard,dismiss,"one can not speak about the need for national reconciliation and at the same time ignore or <b><font color=""blue"">dismiss</font></b> the moral and constitutional imperative of upholding the rule of law .",RB.softly.gently.5,gently,softly,"emphasis is placed on proper landing technique : landing <b><font color=""blue"">softly</font></b> on the forefoot and rolling back to the rearfoot , engaging knee and hip flexion upon landing .",NN.bug.insect.5,insect,bug,"insects such as tarnished plant <b><font color=""blue"">bug</font></b> or flea beetle may cause wounds on the florets that allow the bacteria to enter more easily .",VB.decline.deteriorate.5,deteriorate,decline,"the mortality rate has continued to <b><font color=""blue"">decline</font></b> in recent years .",VB.treat.address.5,address,treat,"i think that the commission &apos;s tendency to <b><font color=""blue"">treat</font></b> environmental issues more and more as issues concerning the internal market is very unfortunate .",NN.ring.circle.7,circle,ring,"\ xc2 \ xc2 thank you , mr tannock , for an excellent report dealing with the relations of the european union with its neighbours and the creation of a \ xc2 <b><font color=""blue"">ring</font></b> of friends around the european union .",JJ.vital.critical.7,critical,vital,"my delegation is fully aware that the safety of navigation in such straits is a key and <b><font color=""blue"">vital</font></b> element in promoting foreign trade .",ctrl.ADVP/a/00006078.pp1.0,finally,and then,"- her little heart beat so loud - <b><font color=""blue"">and then</font></b> ?"
