Title,Description,Keywords,tgt,pos,bogus,unsorted,sorted,seeded,num_classes,num_anno,latest_timestamp,crowdstarter
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,call,v,bareknuckle,"['be_addressed_to', 'be_reached', 'involved', 'demands', 'are_asking_for', 'called_out', 'calling_for', 'given_to', 'be_seen', 'are_requesting']","[[""'m_asking"", 'calling_you', 'calls_me', 'was_called', 'calling_me', 'been_requested'], ['is_required', 'necessitates', 'needs', 'be_used', 'are_demanding', 'warrants'], ['called', 'called_back', 'calls_for', 'called_me', 'called_first', 'calling_it'], ['called_back', 'please_call', 'return_my_calls', 'being_said'], ['calling_you', 'being_said']]",True,5,6,20151006_155537,"{""1"": [""'m_asking"", ""calling_you"", ""calls_me"", ""was_called"", ""calling_me"", ""been_requested""], ""2"": [""is_required"", ""necessitates"", ""needs"", ""be_used"", ""are_demanding"", ""warrants""], ""3"": [""called"", ""called_back"", ""calls_for"", ""called_me"", ""called_first"", ""calling_it""], ""4"": [""called_back"", ""please_call"", ""return_my_calls"", ""being_said""], ""5"": [""calling_you"", ""being_said""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,decline,v,identical,"['be_decreased', 'is_reduced', 'has_dropped', 'dip', 'dwindle', 'fall', 'deteriorate_further', 'be_rejected', 'diminished', 'been_denied']","[['be_diminished', 'be_shortened', 'be_lowered', 'be_minimized', 'be_reduced', 'be_narrowed'], ['is_rejected', 'was_deteriorating', 'has_declined', 'is_lowered', 'have_fallen', 'reduced'], ['reduce', 'lower', 'decrease', 'diminish', 'reducing'], ['are_low', 'are_reduced'], ['end_lower', 'close_lower'], ['is_lower'], ['been_declining'], ['was_falling'], ['will_decrease', 'will_diminish'], ['been_reduced'], ['been_falling'], ['dropped'], ['were_decreasing', 'was_decreasing'], ['been_depleted'], ['are_refused', 'may_be_refused'], ['to_fall']]",True,16,6,20151006_155537,"{""2"": [""be_diminished"", ""be_shortened"", ""be_lowered"", ""be_minimized"", ""be_reduced"", ""be_narrowed""], ""3"": [""is_rejected"", ""was_deteriorating"", ""has_declined"", ""is_lowered"", ""have_fallen"", ""reduced""], ""4"": [""reduce"", ""lower"", ""decrease"", ""diminish"", ""reducing""], ""6"": [""are_low"", ""are_reduced""], ""7"": [""end_lower"", ""close_lower""], ""8"": [""is_lower""], ""9"": [""been_declining""], ""10"": [""was_falling""], ""11"": [""will_decrease"", ""will_diminish""], ""12"": [""been_reduced""], ""14"": [""been_falling""], ""15"": [""dropped""], ""16"": [""were_decreasing"", ""was_decreasing""], ""17"": [""been_depleted""], ""18"": [""are_refused"", ""may_be_refused""], ""19"": [""to_fall""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,fix,v,ginger,"['be_addressed', 'sets', 'coming_back', 'be_done', 'designing', 'get_to_grips_with', 'running_again', 'equips', 'fix_everything', 'be_accomplished']","[['be_helped', 'to_be_resolved', 'be_fixed', 'is_resolved', 'is_solved', 'be_made'], ['be_undertaken', 'be_handled', 'be_answered', 'be_dealt_with', 'be_achieved'], ['be_doing', 'be_selected', 'be_making'], ['prepares', 'arranges', 'be_arranged', 'organizes', 'determines'], ['establishing', 'be_established', 'establish'], ['be_laid_down'], ['going_to_do'], ['lay'], ['settled'], ['mixes', 'compounds'], ['might_be_addressed']]",True,11,6,20151006_155537,"{""1"": [""be_helped"", ""to_be_resolved"", ""be_fixed"", ""is_resolved"", ""is_solved"", ""be_made""], ""2"": [""be_undertaken"", ""be_handled"", ""be_answered"", ""be_dealt_with"", ""be_achieved""], ""3"": [""be_doing"", ""be_selected"", ""be_making""], ""4"": [""prepares"", ""arranges"", ""be_arranged"", ""organizes"", ""determines""], ""6"": [""establishing"", ""be_established"", ""establish""], ""8"": [""be_laid_down""], ""9"": [""going_to_do""], ""10"": [""lay""], ""11"": [""settled""], ""12"": [""mixes"", ""compounds""], ""13"": [""might_be_addressed""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,go,v,identical,"['be_directed', 'goes_by', ""'m_going_inside"", 'leaving', 'varies', ""'s_passed"", ""think_you_'re_going"", ""let_'s_get_started"", 'is_us', ""'m_moving""]","[[""'re_going_now"", 'doing_there', ""'m_doing_it"", 'gotta_go', 'goes_to', 'be_provided'], ['walked_away', ""let_'s_get_going"", 'get_moving', 'proceed', 'is_passing', ""'re_making_progress""], ['taken_away', 'be_carried_out', 'get_carried_away'], ['are_you_ready', 'are_you_all_right']]",True,4,6,20151006_155537,"{""1"": [""'re_going_now"", ""doing_there"", ""'m_doing_it"", ""gotta_go"", ""goes_to"", ""be_provided""], ""2"": [""walked_away"", ""let_'s_get_going"", ""get_moving"", ""proceed"", ""is_passing"", ""'re_making_progress""], ""3"": [""taken_away"", ""be_carried_out"", ""get_carried_away""], ""4"": [""are_you_ready"", ""are_you_all_right""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,hold,v,carver,"['has_been_held', 'be_obtained', 'was_conducted', 'is_taken', 'would_be_held', 'be_surveyed', 'be_pursued', 'are_defending', 'has_been', 'is_to_be_held']","[['are_carried_out', 'be_doing_something', 'coming_up', 'are_dealing_with', 'be_carried_out', 'keep_doing_this'], ['is_going_on', 'is_underway', 'get_organized', 'is_conducted', 'is_maintained', 'is_organized'], ['are_kept', 'is_stored', 'be_used', 'be_stored'], ['be_waiting', 'keep_you_waiting', 'being_held', 'please_hold', ""'m_waiting"", ""'re_holding""], ['held', 'possess', 'holds', 'holding']]",True,5,6,20151006_155537,"{""1"": [""are_carried_out"", ""be_doing_something"", ""coming_up"", ""are_dealing_with"", ""be_carried_out"", ""keep_doing_this""], ""2"": [""is_going_on"", ""is_underway"", ""get_organized"", ""is_conducted"", ""is_maintained"", ""is_organized""], ""3"": [""are_kept"", ""is_stored"", ""be_used"", ""be_stored""], ""4"": [""be_waiting"", ""keep_you_waiting"", ""being_held"", ""please_hold"", ""'m_waiting"", ""'re_holding""], ""5"": [""held"", ""possess"", ""holds"", ""holding""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,let,v,fat,"['known', 'resulted', 'delivered', 'declined', 'forgot', 'applied', 'forgotten', 'done', 'dropped', 'given_up']","[['included', 'gave', 'headed', 'afforded', 'retained', 'remained'], ['leaving', ""'m_leaving"", 'get_going', 'be_used', 'got_to_go', 'got_to_go_now'], ['are_made', 'supposed', 'derived'], ['rent', 'rented_out', 'owned', 'rented'], ['demonstrated', 'showed', 'shown', 'saw']]",True,5,6,20151006_155537,"{""1"": [""included"", ""gave"", ""headed"", ""afforded"", ""retained"", ""remained""], ""2"": [""leaving"", ""'m_leaving"", ""get_going"", ""be_used"", ""got_to_go"", ""got_to_go_now""], ""3"": [""are_made"", ""supposed"", ""derived""], ""4"": [""rent"", ""rented_out"", ""owned"", ""rented""], ""5"": [""demonstrated"", ""showed"", ""shown"", ""saw""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,lie,v,clubfoot,"['be_resting', 'are_as', 'made_a_mistake', 'found_themselves', 'are_hiding', 'be_happening', 'is_situated', 'kidding_me', ""'m_not_lying"", 'is_concerned']","[['is_placed', 'are_present', 'can_be_found', 'are_situated', 'finds_itself', 'be_located'], ['tell_lies', 'were_lying', 'tell_a_lie', 'lied_to_me', 'is_not_true', 'was_wrong'], [""was_n't"", ""is_n't"", ""are_n't"", ""were_n't""], ['lied', ""'s_lying"", 'lied_to', ""'m_lying"", 'lied_to_you', ""were_n't""], ['were_born', 'are_born'], ['are_going', 'is_going', 'are_heading'], ['lay'], ['did_it']]",True,8,6,20151006_155537,"{""1"": [""is_placed"", ""are_present"", ""can_be_found"", ""are_situated"", ""finds_itself"", ""be_located""], ""2"": [""tell_lies"", ""were_lying"", ""tell_a_lie"", ""lied_to_me"", ""is_not_true"", ""was_wrong""], ""3"": [""was_n't"", ""is_n't"", ""are_n't"", ""were_n't""], ""4"": [""lied"", ""'s_lying"", ""lied_to"", ""'m_lying"", ""lied_to_you"", ""were_n't""], ""5"": [""were_born"", ""are_born""], ""6"": [""are_going"", ""is_going"", ""are_heading""], ""7"": [""lay""], ""8"": [""did_it""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,make,v,aftertaste,"['have_proposed', 'doing_this', 'are_putting_forward', 'should_be_doing', 'takes', 'was_conducted', 'is_complete', 'can_be_taken', ""'m_saying"", ""'m_going""]","[['is_needed', 'be_exercised', 'be_accorded', 'are_taking', 'decided_to', 'must_be_taken'], ['are_performed', 'be_accomplished', 'be_exercised', 'being_carried_out', 'are_conducting', 'have_done_so'], ['making_it', 'are_formulated', 'made_here', 'be_manufactured', 'be_developed', 'formulated_by'], ['lay']]",True,4,6,20151006_155537,"{""1"": [""is_needed"", ""be_exercised"", ""be_accorded"", ""are_taking"", ""decided_to"", ""must_be_taken""], ""4"": [""are_performed"", ""be_accomplished"", ""be_exercised"", ""being_carried_out"", ""are_conducting"", ""have_done_so""], ""5"": [""making_it"", ""are_formulated"", ""made_here"", ""be_manufactured"", ""be_developed"", ""formulated_by""], ""6"": [""lay""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,manage,v,sonic,"[""'ve_got_it"", 'be_tackled', 'administered_by', 'is_responsible', 'ran', 'address', 'be_administered', 'be_fixed', 'used_to_it', 'got_this']","[['handle_it', 'be_addressed', 'been_handled', 'be_handled', 'handled', 'successfully_completed'], ['manages', 'govern', 'working_on_it', 'will_be_managed', 'is_administered', 'managing'], ['be_made'], ['be_taken_up'], ['controls'], ['operated'], ['are_clear']]",True,7,6,20151006_155537,"{""1"": [""handle_it"", ""be_addressed"", ""been_handled"", ""be_handled"", ""handled"", ""successfully_completed""], ""2"": [""manages"", ""govern"", ""working_on_it"", ""will_be_managed"", ""is_administered"", ""managing""], ""3"": [""be_made""], ""4"": [""be_taken_up""], ""5"": [""controls""], ""6"": [""operated""], ""7"": [""are_clear""]}"
Clustering Paraphrases by Sense,"Given a set of paraphrases for a target word, cluster them by the sense of the target word.",paraphrase clustering nlp research,pass,v,homesick,"['are_met', 'be_endorsed', 'be_achieved', 'be_taken', 'has_happened', 'killed_off', 'be_introduced', 'be_killed', 'be_carried_out', ""'s_going_on""]","[['been_able', 'going_on_up_there', 'going_on_in_here', 'is_going', 'is_coming', 'will_be_changed'], ['are_adopted', 'should_be_adopted', 'is_adopted', 'be_adopted', 'adopted', 'was_adopted'], ['be_missed']]",True,3,6,20151006_155537,"{""1"": [""been_able"", ""going_on_up_there"", ""going_on_in_here"", ""is_going"", ""is_coming"", ""will_be_changed""], ""2"": [""are_adopted"", ""should_be_adopted"", ""is_adopted"", ""be_adopted"", ""adopted"", ""was_adopted""], ""3"": [""be_missed""]}"
