Title,Description,Keywords,word10b,word1a,word1b,word5a,word5b,word3b,word3a,word11a,word11b,word6a,word6b,word17b,word17a,word8b,word8a,word13a,word15a,word10a,word19a,word19b,word18b,word18a,word15b,word2a,word2b,word0b,word0a,word4b,word4a,word13b,word7b,word7a,word12a,word12b,word16a,word16b,word9a,word9b,word14b,word14a,Answer.Q0Answer,Answer.Q0Meaning,Answer.Q10Answer,Answer.Q10Meaning,Answer.Q11Answer,Answer.Q11Meaning,Answer.Q12Answer,Answer.Q12Meaning,Answer.Q13Answer,Answer.Q13Meaning,Answer.Q14Answer,Answer.Q14Meaning,Answer.Q15Answer,Answer.Q15Meaning,Answer.Q16Answer,Answer.Q16Meaning,Answer.Q17Answer,Answer.Q17Meaning,Answer.Q18Answer,Answer.Q18Meaning,Answer.Q19Answer,Answer.Q19Meaning,Answer.Q1Answer,Answer.Q1Meaning,Answer.Q2Answer,Answer.Q2Meaning,Answer.Q3Answer,Answer.Q3Meaning,Answer.Q4Answer,Answer.Q4Meaning,Answer.Q5Answer,Answer.Q5Meaning,Answer.Q6Answer,Answer.Q6Meaning,Answer.Q7Answer,Answer.Q7Meaning,Answer.Q8Answer,Answer.Q8Meaning,Answer.Q9Answer,Answer.Q9Meaning
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",thought,bulldozer,earthmovers,stricken,constrained,c1 inhibitor maintains,natural,driven,spurred,hindered,slowed,doubtfulness,uncertainty,determinations,motivation,unlawful,straitjacketed,suppose,incisive,keen,bank,escape,constrained,implicates,discredits,delineate,constrained,escape,leave,uttering forged instruments,choice,door,astm e####,standard,threshold,requirement,expressions,and,endeavor,endeavour,constrained,2,thought,3,driven,5,standard,4,unlawful,3,,5,constrained,3,requirement,4,uncertainty,4,escape,1,keen,4,bulldozer,5,implicates,4,natural,1,leave,3,stricken,3,slowed,5,choice,3,motivation,2,and,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",thought,bulldozer,earthmovers,stricken,constrained,c1 inhibitor maintains,natural,driven,spurred,hindered,slowed,doubtfulness,uncertainty,determinations,motivation,unlawful,straitjacketed,suppose,incisive,keen,bank,escape,constrained,implicates,discredits,delineate,constrained,escape,leave,uttering forged instruments,choice,door,astm e####,standard,threshold,requirement,expressions,and,endeavor,endeavour,,2,thought,2,driven,4,standard,1,unlawful,2,,5,constrained,,requirement,3,,4,escape,1,keen,3,,3,implicates,5,natural,1,leave,,,3,slowed,5,,1,motivation,1,and,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",thought,bulldozer,earthmovers,stricken,constrained,c1 inhibitor maintains,natural,driven,spurred,hindered,slowed,doubtfulness,uncertainty,determinations,motivation,unlawful,straitjacketed,suppose,incisive,keen,bank,escape,constrained,implicates,discredits,delineate,constrained,escape,leave,uttering forged instruments,choice,door,astm e####,standard,threshold,requirement,expressions,and,endeavor,endeavour,constrained,1,thought,2,driven,3,standard,1,unlawful,1,endeavor,4,constrained,3,requirement,2,uncertainty,4,bank,1,keen,4,bulldozer,4,discredits,2,natural,1,leave,3,constrained,1,slowed,4,door,1,motivation,1,and,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",thought,bulldozer,earthmovers,stricken,constrained,c1 inhibitor maintains,natural,driven,spurred,hindered,slowed,doubtfulness,uncertainty,determinations,motivation,unlawful,straitjacketed,suppose,incisive,keen,bank,escape,constrained,implicates,discredits,delineate,constrained,escape,leave,uttering forged instruments,choice,door,astm e####,standard,threshold,requirement,expressions,and,endeavor,endeavour,constrained,2,,2,driven,4,standard,1,unlawful,2,endeavour,2,constrained,3,requirement,4,uncertainty,5,bank,1,incisive,4,bulldozer,2,discredits,2,natural,1,leave,3,constrained,3,slowed,4,door,1,,2,and,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",thought,bulldozer,earthmovers,stricken,constrained,c1 inhibitor maintains,natural,driven,spurred,hindered,slowed,doubtfulness,uncertainty,determinations,motivation,unlawful,straitjacketed,suppose,incisive,keen,bank,escape,constrained,implicates,discredits,delineate,constrained,escape,leave,uttering forged instruments,choice,door,astm e####,standard,threshold,requirement,expressions,and,endeavor,endeavour,delineate,4,suppose,4,driven,5,standard,1,unlawful,3,,5,straitjacketed,5,requirement,3,uncertainty,5,escape,1,keen,5,bulldozer,5,discredits,4,natural,3,leave,5,stricken,4,slowed,5,door,4,motivation,5,expressions,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",thought,bulldozer,earthmovers,stricken,constrained,c1 inhibitor maintains,natural,driven,spurred,hindered,slowed,doubtfulness,uncertainty,determinations,motivation,unlawful,straitjacketed,suppose,incisive,keen,bank,escape,constrained,implicates,discredits,delineate,constrained,escape,leave,uttering forged instruments,choice,door,astm e####,standard,threshold,requirement,expressions,and,endeavor,endeavour,constrained,4,thought,4,driven,3,standard,1,unlawful,2,,5,constrained,5,requirement,4,doubtfulness,5,escape,1,keen,4,bulldozer,5,implicates,3,natural,1,leave,3,stricken,3,slowed,5,door,1,determinations,5,expressions,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",thought,bulldozer,earthmovers,stricken,constrained,c1 inhibitor maintains,natural,driven,spurred,hindered,slowed,doubtfulness,uncertainty,determinations,motivation,unlawful,straitjacketed,suppose,incisive,keen,bank,escape,constrained,implicates,discredits,delineate,constrained,escape,leave,uttering forged instruments,choice,door,astm e####,standard,threshold,requirement,expressions,and,endeavor,endeavour,constrained,1,thought,1,driven,2,standard,1,unlawful,1,endeavor,5,straitjacketed,3,requirement,1,doubtfulness,4,bank,1,keen,1,bulldozer,3,implicates,1,natural,1,leave,2,constrained,1,slowed,3,door,1,motivation,4,and,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,entity,bakonzo demanded,braveries,battlefields,conclusion,persecution,borrows,adopt,notifying,warn,them,complement,markers,tissue hypoxia angiogenesis,historically-driven,sticking,mong,formulated,emezine r,trouble,alarmed,sit,express,professing,compose,conjugate verbs,congratulate,complement,driven,complement,perfectly complements,formulated,execute,great,keen,stressor,stress,conclusion,opinion,compose,2,trader,1,borrows,5,execute,4,driven,4,opinion,1,sit,2,great,4,them,1,alarmed,4,formulated,1,entity,1,express,4,conclusion,2,congratulate,1,battlefields,3,warn,4,complement,5,markers,1,stress,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,entity,bakonzo demanded,braveries,battlefields,conclusion,persecution,borrows,adopt,notifying,warn,them,complement,markers,tissue hypoxia angiogenesis,historically-driven,sticking,mong,formulated,emezine r,trouble,alarmed,sit,express,professing,compose,conjugate verbs,congratulate,complement,driven,complement,perfectly complements,formulated,execute,great,keen,stressor,stress,conclusion,opinion,compose,3,trader,3,borrows,4,execute,1,driven,4,opinion,4,sit,3,great,3,them,1,trouble,4,,1,,1,express,4,conclusion,5,complement,4,battlefields,3,warn,4,complement,5,markers,1,,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,entity,bakonzo demanded,braveries,battlefields,conclusion,persecution,borrows,adopt,notifying,warn,them,complement,markers,tissue hypoxia angiogenesis,historically-driven,sticking,mong,formulated,emezine r,trouble,alarmed,sit,express,professing,compose,conjugate verbs,congratulate,complement,driven,complement,perfectly complements,formulated,execute,great,keen,stressor,stress,conclusion,opinion,compose,1,trader,1,borrows,1,execute,1,,4,opinion,3,sit,1,great,3,them,1,trouble,3,formulated,2,entity,1,express,2,conclusion,1,congratulate,3,battlefields,3,warn,3,complement,4,markers,1,stress,3
