Title,Description,Keywords,SequenceId,Beginning,Middle,End
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",fahBpyqU0R5rl2mc3lDn6g==,PersonX buys a pumpkin,PersonX carves a pumpkin,PersonX puts a candle in the pumpkin
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",npOd3xBhFvMogUgQuiAUsA==,PersonX loses PersonX's keys.,PersonX calls a locksmith,PersonX walks through the front door after the locksmith fixes the lock.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",MkecscLitdNahm6PYvKobQ==,PersonX wants to get ready for Halloween,PersonX carves pumpkins,PersonX s house is decorated
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",TMZD3mRxx49LwRT9zzTm0w==,PersonX arrives at the local bank.,PersonX cashes PersonX's check,PersonX drives home to order dinner.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",Yv44rjYbak4AVMf/WSSUXw==,PersonX spots a leak in their faucet.,PersonX calls a plumber,PersonX inspects the leak with the plumber.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",S6s9d8k5F2vJuHIwDEdwGw==,PersonX picks up her paycheck from work,PersonX cashes PersonX's paycheck,PersonX purchases a new hand bag with her new funds
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",wYUKiDc0hEJXQXoBkZvukA==,PersonX accidentally kicks and breaks his heater.,PersonX calls a repairman,PersonX tells the repairman what happened to his heater.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",WDsdPPaUD21oVIL9Na0Wyw==,PersonX sees a spade.,PersonX calls a spade a spade,PersonX grabs the spade.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",IYLtTDnxsRRs+XN4k+Ge7w==,PersonX checks the mail,PersonX cashes PersonY's check,PersonX drops the money off to PersonY
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",Dijh14THDWGG9tG/wYHFMQ==,PersonX wants to go home from the bar,PersonX calls a taxi,PersonX waits for the taxi to show up
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",YuUSCcvuRvn9QpgPY2m2zg==,PersonX wins a poker game,PersonX cashes in PersonX's chips,PersonX buys a new car
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",TQtOnnJau1vX3cwz6gAzxw==,PersonX goes fishing,PersonX casts PersonX's line,PersonX catches a big fish
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",zsg3oPZiMSc2CGgJnSQWrg==,PersonX plans a party.,PersonX calls all PersonX's friends,PersonX has a fun party.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",hr5pujsbNPrk8DJY1nllNA==,PersonX wants to throw a party for PersonY.,PersonX calls all PersonY's friends,PersonX and PersonY surprises PersonY at the party.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",r6b4Vz6mlNgZHPV3ubDmtw==,PersonX registers to vote,PersonX casts PersonX's vote,PersonX waits for election night returns
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",qe2enrs7HLvRPyQj10pBIg==,PersonX breaks their wrist.,PersonX calls an ambulance,PersonX does not move their wrist.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",1TtFLuigIywwGaR89F+eNg==,PersonX sees someone staring at his girlfriend,PersonX casts PersonY glance,PersonX sees the person look away when they catch eyes
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",nzy6lC2aQ0a1PAZe3RRI2Q==,PersonX falls on the sidewalk.,PersonX calls an ambulance,PersonX waits for the ambulance to come.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",K6iGBbBgMkqm++d9T7cLfQ==,PersonX Sees a strange light in the sky,PersonX casts PersonY's eyes,PersonX is sad the person did not see it
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",SWJDOe0VU0O7mWQZiYAu+w==,PersonX onX breaks PersonX's arm,PersonX calls an ambulance,PersonX onX takes pain medication
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",gudVPPZbdwByyrioa1mh9g==,PersonX goes fishing.,PersonX casts PersonY's line,PersonX enjoys the day with a friend.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PqQXfBU6wGhJpBDsDgP1Fg==,PersonX tells PersonY they'll help them out,PersonX casts PersonY's vote,PersonX gets fired for casting someone else's vote
