Title,Description,Keywords,Answer.s0-q0,Answer.s0-q1,Answer.s0-q2,Answer.s1-q0,Answer.s1-q1,Answer.s1-q2,Answer.s2-q0,Answer.s2-q1,Answer.s2-q2
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",1b,helpful,writing,2b,helpful,meaning,2a,helpful,meaning
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",1a,nothelpful,neutral,1a,nothelpful,contradiction,1b,nothelpful,neutral
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",2a,nothelpful,neutral,2b,helpful,meaning,2b,nothelpful,contradiction
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",2a,nothelpful,contradiction,2b,nothelpful,neutral,1a,helpful,writing
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",2a,nothelpful,neutral,2b,nothelpful,contradiction,2b,nothelpful,neutral
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",2a,nothelpful,neutral,1b,nothelpful,neutral,1a,helpful,writing
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",2a,nothelpful,contradiction,2b,nothelpful,neutral,1a,helpful,meaning
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",2b,helpful,meaning,1b,helpful,writing,1a,helpful,writing
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",2a,dangerous,contradiction,1a,helpful,writing,2b,helpful,writing
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",2a,helpful,writing,2b,helpful,meaning,1b,helpful,writing
[Qual HIT for] Evaluate the helpfulness of written advice,"Qual HIT for: Given a question and two pieces of advice, choose which is most helpful and select a justification.","advice, reading, relationship advice",1b,nothelpful,neutral,2b,nothelpful,neutral,1b,helpful,writing
