Title,Description,Keywords,head1,relation1,readable_relation1,tail1,head2,relation2,readable_relation2,tail2,head3,relation3,readable_relation3,tail3,head4,relation4,readable_relation4,tail4,head5,relation5,readable_relation5,tail5,Answer.q1_valid,Answer.q2_valid,Answer.q3_valid,Answer.q4_valid,Answer.q5_valid
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX enjoys swimming,oWant,"as a result, PersonY or others want",to swim as well.,PersonX burns badly,xAttr,"so, PersonX is seen as",a bad thing.,go on vacation,HasSubEvent,includes the event/action,to take a picture of the place you are going to visit. You can then,tranquilizer,ObjectUse,used for,"the treatment of anxiety disorders, such as panic disorder, with or without agor",PersonX affords the trip,isBefore,happens before,the trip itself. The trip is the affordance.,1,1,2,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX cuts a hole,HinderedBy,can be hindered by,the fact that the person is not a hole cutter.,PersonX applies for jobs,isBefore,happens before,that PersonX is born.,PersonX eats everything,isAfter,happens after,that PersonX gets fat.,PersonX leaves ___ on the table,xAttr,"so, PersonX is seen as",a sign of disrespect.,PersonX gets to PersonY's feet,xNeed,"but before, PersonX needed",to get to PersonY's head.,1,-1,1,-1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX buys a new video game,isBefore,happens before,that PersonX has to have the money to buy the video game.,PersonX purchases ___ at a price,oReact,"as a result, PersonY or others feel",that they were being cheated if they did not also purchase ___ at the same price,PersonX mixes it up,isBefore,happens before,PersonX's fault.,PersonX reaches around PersonY,oReact,"as a result, PersonY or others feel",that PersonX is a person who is not trustworthy.,PersonX loves playing sports,isAfter,happens after,that PersonX becomes a professional athlete.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX waits at home,xEffect,"as a result, PersonX will",be late for work.,PersonX walks in the park ___,xAttr,"so, PersonX is seen as",a good thing.,PersonX looks PersonY in the face,HinderedBy,can be hindered by,the fact that PersonX is blind.,PersonX calls ___ the next day,xIntent,because PersonX wanted,to know if I was still interested in the job. I told PersonX that,PersonX goes down the tubes,isAfter,happens after,that PersonX's friends and family will start to distance themselves from PersonX.,1,1,2,2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",video camera,ObjectUse,used for,the first time in a film.,PersonX pulls PersonY's arm,xAttr,"so, PersonX is seen as",a sign of affection.,PersonX holds PersonY place,xEffect,"as a result, PersonX will",be able to do anything that PersonY can do.,PersonX throws a frisbee,xWant,"as a result, PersonX wants",to know if PersonY caught it.,PersonX commits ___ by jumping,oReact,"as a result, PersonY or others feel","___ as a result of PersonX commits ___ by jumping, others would feel ___",1,1,-1,1,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX does odd jobs,oEffect,"as a result, PersonY or others will",be more likely to hire PersonX.,PersonX pours PersonX's heart,xWant,"as a result, PersonX wants",to know what PersonX's heart is made of.,PersonX finishes the test,xWant,"as a result, PersonX wants",to know how PersonX did on the test. PersonX would want to know,PersonX finds a gold ring,oReact,"as a result, PersonY or others feel",the same way.,PersonX gives PersonY children,oReact,"as a result, PersonY or others feel",that PersonY is the parent of the children.,1,-1,1,-1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",cart,ObjectUse,used for,the first time in the history of the world.,PersonX gets a second opinion,oWant,"as a result, PersonY or others want",to know why.,PersonX impresses with PersonX's work,xEffect,"as a result, PersonX will",be promoted to a higher position.,PersonX visits PersonY's friend,oReact,"as a result, PersonY or others feel",that PersonX is a friend of PersonY.,PersonX lays on PersonY's bed,xAttr,"so, PersonX is seen as",a more intimate act than PersonX lays on PersonY's couch.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes PersonY's laptop,xIntent,because PersonX wanted,to use PersonY's laptop.,PersonX always makes,oWant,"as a result, PersonY or others want",to know why.,PersonX looks PersonX's ___ in the face,xNeed,"but before, PersonX needed",to ___ PersonX's ___ in the face.,PersonX does n't have many friends,xWant,"as a result, PersonX wants",to have more friends.,PersonX helps ___ with PersonY's problems,xEffect,"as a result, PersonX will",be able to help ___ with PersonY's problems.,1,1,-1,1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX draws PersonX's sword,isBefore,happens before,a pre-condition for PersonX drawing PersonX's sword.,PersonX orders ___ from the restaurant,oWant,"as a result, PersonY or others want",to know what the restaurant is like.,PersonX shaves PersonX's beard,isBefore,happens before,a pre-shave event.,PersonX puts the cat among the pigeons,HinderedBy,can be hindered by,the fact that the cat is already there.,PersonX brings ___ to the eyes,xReact,"as a result, PersonX feels","___.""",-1,1,-1,2,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX starts running again,isAfter,happens after,that the PersonX thread will be scheduled to run again. This is because the,PersonX gets PersonX's belly button pierced,xNeed,"but before, PersonX needed",to get PersonX's belly button pierced.,PersonX swings the bat,oEffect,"as a result, PersonY or others will",be affected.,PersonX takes PersonY's place,xAttr,"so, PersonX is seen as","a replacement, not a promotion.",PersonX wants to learn how to sing,xReact,"as a result, PersonX feels",that PersonX should learn how to sing.,-2,-1,1,2,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX gives PersonY instruction,xNeed,"but before, PersonX needed",to know what PersonY was capable of doing. PersonX needed to know what,PersonX reduces the ___ to levels,xEffect,"as a result, PersonX will",be able to ___ the ___ and ___ the ___.,PersonX has lost PersonX's phone,xIntent,because PersonX wanted,to buy a new one. PersonX went to the shop and bought a new,PersonX takes the bag,xAttr,"so, PersonX is seen as","a transitive verb, and the bag is the object of the verb.",PersonX gets the ___ into PersonY's hands,xEffect,"as a result, PersonX will",be able to ___ PersonY.,2,-9,1,-1,-9
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX leaves the library,oEffect,"as a result, PersonY or others will",be able to see the book.,PersonX catches PersonY's attention,xReact,"as a result, PersonX feels",that PersonY is interested in him/her.,PersonX wants to hurt PersonY,xReact,"as a result, PersonX feels",bad.,PersonX looks like figure,xNeed,"but before, PersonX needed",to be created.,PersonX leaves PersonY's ___ alone,xNeed,"but before, PersonX needed",to make sure that PersonY's ___ was in good working order.,1,2,-1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes PersonY everywhere,oReact,"as a result, PersonY or others feel",left out.,PersonX plays hardball,xReact,"as a result, PersonX feels",that PersonY is being unfair.,PersonX thinks on PersonX's feet,isBefore,happens before,PersonX's fault.,PersonX becomes ill,xNeed,"but before, PersonX needed",to be exposed to the virus. PersonX could have been exposed to the virus,PersonX buys gas,xEffect,"as a result, PersonX will",be charged a fee of $0.05 per gallon.,1,1,1,2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX makes ___ every morning,xIntent,because PersonX wanted,to make ___ every morning.,PersonX does n't make the cut,xWant,"as a result, PersonX wants",to be the one to tell PersonY that he or she did not get the,PersonX restores PersonY to life,isBefore,happens before,not the same thing as something that happens after PersonX restores PersonY to life,PersonX creates PersonY structure,xIntent,because PersonX wanted,to create PersonY structure.,PersonX sits patiently,oReact,"as a result, PersonY or others feel",that PersonX is a good person.,2,1,-2,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX throws food,xIntent,because PersonX wanted,to be a chef.,PersonX leans PersonY's head,xEffect,"as a result, PersonX will",be able to see PersonY's face.,PersonX starts working again,xNeed,"but before, PersonX needed",to be able to get a new job.,PersonX grabs PersonY by the hair,oWant,"as a result, PersonY or others want",to know what PersonX did to PersonY.,PersonX never gave PersonY a present,isBefore,happens before,not the same as something that happens after PersonX never gave PersonY a present,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX walks barefoot,isAfter,happens after,that PersonX gets a cut on their foot.,PersonX takes for a ride,xEffect,"as a result, PersonX will",be able to get a lot of money.,PersonX uses the ___ as a means,xNeed,"but before, PersonX needed",to have the ___ in his possession.,PersonX expresses PersonX's ___ in words,oWant,"as a result, PersonY or others want",to know what PersonX's ___ is.,PersonX distributes in forms without permission,oEffect,"as a result, PersonY or others will",be able to do the same.,1,1,2,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX misses ___ to school,xReact,"as a result, PersonX feels",___ and ___.,PersonX teaches ___ the way,xIntent,because PersonX wanted,"to teach ___ the way, PersonX wanted to teach ___ the way, Person",cocktails,ObjectUse,used for,the first time in the United States.,PersonX goes first,xAttr,"so, PersonX is seen as",a sign of respect.,PersonX teaches ___ the way,oReact,"as a result, PersonY or others feel","___ as a result of PersonX teaches ___ the way, and so on.",1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX considers briefly the ___,oEffect,"as a result, PersonY or others will",be more likely to do so as well.,PersonX trusts ___ anymore,oEffect,"as a result, PersonY or others will",trust ___ less.,PersonX dyes PersonX's hair red,xEffect,"as a result, PersonX will",be red.,PersonX receives a phone call,xEffect,"as a result, PersonX will",be able to see the caller ID information of the caller.,PersonX asks ___ for money,xWant,"as a result, PersonX wants",to know if ___ is going to give it to him.,1,1,-2,1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX throws the food,xWant,"as a result, PersonX wants",to know if PersonY is going to catch it. PersonY would want to,PersonX feels so sad,isAfter,happens after,that PersonX feels better.,PersonX gets to work on time,HinderedBy,can be hindered by,the fact that PersonY is always late.,PersonX spends ___ at the beach,xWant,"as a result, PersonX wants",to go to the beach again.,PersonX brings ___ to the people,xEffect,"as a result, PersonX will",be able to ___.,1,1,1,1,1
