Title,Description,Keywords,input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sys26,sysid21,sysid22,sysid23,sysid24,sysid25,sysid26,sentid2,Answer.coherence11,Answer.coherence12,Answer.coherence13,Answer.coherence14,Answer.coherence15,Answer.coherence21,Answer.coherence22,Answer.coherence23,Answer.coherence24,Answer.coherence25,Answer.coherence26,Answer.grammar11,Answer.grammar12,Answer.grammar13,Answer.grammar14,Answer.grammar15,Answer.grammar21,Answer.grammar22,Answer.grammar23,Answer.grammar24,Answer.grammar25,Answer.grammar26,Answer.interesting11,Answer.interesting12,Answer.interesting13,Answer.interesting14,Answer.interesting15,Answer.interesting21,Answer.interesting22,Answer.interesting23,Answer.interesting24,Answer.interesting25,Answer.interesting26
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",See anything you like?,I'll be right back.,I'll be right back.,I'll be right back.,I'll take care of it.,When that happens i will enjoy my trouble for the agony of your life.,original10/clustering_beam_search_bs10_cbs5.json_2,original100/random_sampling_temp0.5.json_2,clustered/clustering_beam_search_bs100_cbs5.json_1,clustered/standard_beam_search_bs100_npad0.3.json_7,original10/random_sampling_temp1.0.json_9,45,Do you really know superman?,It's superman.,We get together sometimes.,He's a very good man and i'm sure he's a very good friend.,What are you talking about?,I don't think so.,You know what i mean?,original10/random_sampling_temp0.7.json_0,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_7,original100/clustering_beam_search_bs100_cbs5.json_3,original100/iterative_beam_search_bs5_ibs100.json_1,clustered/standard_beam_search_bs100.json_4,52,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",See anything you like?,I'll be right back.,I'll be right back.,I'll be right back.,I'll take care of it.,When that happens i will enjoy my trouble for the agony of your life.,original10/clustering_beam_search_bs10_cbs5.json_2,original100/random_sampling_temp0.5.json_2,clustered/clustering_beam_search_bs100_cbs5.json_1,clustered/standard_beam_search_bs100_npad0.3.json_7,original10/random_sampling_temp1.0.json_9,45,Do you really know superman?,It's superman.,We get together sometimes.,He's a very good man and i'm sure he's a very good friend.,What are you talking about?,I don't think so.,You know what i mean?,original10/random_sampling_temp0.7.json_0,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_7,original100/clustering_beam_search_bs100_cbs5.json_3,original100/iterative_beam_search_bs5_ibs100.json_1,clustered/standard_beam_search_bs100.json_4,52,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",See anything you like?,I'll be right back.,I'll be right back.,I'll be right back.,I'll take care of it.,When that happens i will enjoy my trouble for the agony of your life.,original10/clustering_beam_search_bs10_cbs5.json_2,original100/random_sampling_temp0.5.json_2,clustered/clustering_beam_search_bs100_cbs5.json_1,clustered/standard_beam_search_bs100_npad0.3.json_7,original10/random_sampling_temp1.0.json_9,45,Do you really know superman?,It's superman.,We get together sometimes.,He's a very good man and i'm sure he's a very good friend.,What are you talking about?,I don't think so.,You know what i mean?,original10/random_sampling_temp0.7.json_0,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_7,original100/clustering_beam_search_bs100_cbs5.json_3,original100/iterative_beam_search_bs5_ibs100.json_1,clustered/standard_beam_search_bs100.json_4,52,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Chief - mind if i take her?,I've got to go.,I'll give you the address.,Son of a bitch!,She's not going to let you go.,I've got to get out of here before i leave.,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original10/random_sampling_temp1.0_top10.json_3,original100/iterative_beam_search_bs5_ibs100.json_8,original100/diverse_beam_search_bs100_dbs0.8.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_4,55,Are you alright?,I don't think so.,I'll take care of myself.,... .i don't know.,I don't know you.,I've got to go.,I can't do that.,clustered/standard_beam_search_bs100.json_3,original100/random_sampling_temp1.0.json_9,CONTROL,clustered/standard_beam_search_bs100_npad0.3.json_9,original10/beam_search_bs10_kpercand3.json_6,clustered/standard_beam_search_bs100.json_9,30,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Chief - mind if i take her?,I've got to go.,I'll give you the address.,Son of a bitch!,She's not going to let you go.,I've got to get out of here before i leave.,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original10/random_sampling_temp1.0_top10.json_3,original100/iterative_beam_search_bs5_ibs100.json_8,original100/diverse_beam_search_bs100_dbs0.8.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_4,55,Are you alright?,I don't think so.,I'll take care of myself.,... .i don't know.,I don't know you.,I've got to go.,I can't do that.,clustered/standard_beam_search_bs100.json_3,original100/random_sampling_temp1.0.json_9,CONTROL,clustered/standard_beam_search_bs100_npad0.3.json_9,original10/beam_search_bs10_kpercand3.json_6,clustered/standard_beam_search_bs100.json_9,30,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Chief - mind if i take her?,I've got to go.,I'll give you the address.,Son of a bitch!,She's not going to let you go.,I've got to get out of here before i leave.,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original10/random_sampling_temp1.0_top10.json_3,original100/iterative_beam_search_bs5_ibs100.json_8,original100/diverse_beam_search_bs100_dbs0.8.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_4,55,Are you alright?,I don't think so.,I'll take care of myself.,... .i don't know.,I don't know you.,I've got to go.,I can't do that.,clustered/standard_beam_search_bs100.json_3,original100/random_sampling_temp1.0.json_9,CONTROL,clustered/standard_beam_search_bs100_npad0.3.json_9,original10/beam_search_bs10_kpercand3.json_6,clustered/standard_beam_search_bs100.json_9,30,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",You're kidding.,I don't think so.,What's going on?,I'm a good guy too.,I don't know what to say.,I don't know what's happening to me.,original100/clustering_beam_search_bs100_cbs5.json_4,original100/clustering_beam_search_bs100_cbs5.json_5,original10/random_sampling_temp1.0_top10.json_4,clustered/random_sampling_temp1.0_top100.json_4,clustered/random_sampling_temp0.5.json_9,7,Maybe you inspire me.,But we've come to be in the same room.,I don't know what to do.,I've been thinking.,I'm a bit of a.,That sounds like horseshit.,I don't know what you're talking about.,original10/random_sampling_temp1.0_top10.json_8,original10/standard_beam_search_bs10.json_4,clustered/standard_beam_search_bs100_npad0.3.json_8,original10/random_sampling_temp1.0_top10.json_2,CONTROL,original100/iterative_beam_search_bs5_ibs100.json_0,27,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",You're kidding.,I don't think so.,What's going on?,I'm a good guy too.,I don't know what to say.,I don't know what's happening to me.,original100/clustering_beam_search_bs100_cbs5.json_4,original100/clustering_beam_search_bs100_cbs5.json_5,original10/random_sampling_temp1.0_top10.json_4,clustered/random_sampling_temp1.0_top100.json_4,clustered/random_sampling_temp0.5.json_9,7,Maybe you inspire me.,But we've come to be in the same room.,I don't know what to do.,I've been thinking.,I'm a bit of a.,That sounds like horseshit.,I don't know what you're talking about.,original10/random_sampling_temp1.0_top10.json_8,original10/standard_beam_search_bs10.json_4,clustered/standard_beam_search_bs100_npad0.3.json_8,original10/random_sampling_temp1.0_top10.json_2,CONTROL,original100/iterative_beam_search_bs5_ibs100.json_0,27,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",You're kidding.,I don't think so.,What's going on?,I'm a good guy too.,I don't know what to say.,I don't know what's happening to me.,original100/clustering_beam_search_bs100_cbs5.json_4,original100/clustering_beam_search_bs100_cbs5.json_5,original10/random_sampling_temp1.0_top10.json_4,clustered/random_sampling_temp1.0_top100.json_4,clustered/random_sampling_temp0.5.json_9,7,Maybe you inspire me.,But we've come to be in the same room.,I don't know what to do.,I've been thinking.,I'm a bit of a.,That sounds like horseshit.,I don't know what you're talking about.,original10/random_sampling_temp1.0_top10.json_8,original10/standard_beam_search_bs10.json_4,clustered/standard_beam_search_bs100_npad0.3.json_8,original10/random_sampling_temp1.0_top10.json_2,CONTROL,original100/iterative_beam_search_bs5_ibs100.json_0,27,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Your men knew the risks.,Nice to see you again.,But you are a. sort of a.,I've been trying to get them to do it for me.,I don't know anything.,What do you mean?,clustered/iterative_beam_search_bs5_ibs100.json_5,original10/random_sampling_temp0.7.json_7,original100/diverse_beam_search_bs100_dbs0.8.json_7,clustered/random_sampling_temp1.0_top100.json_3,original100/standard_beam_search_bs100_npad0.3.json_1,3,Make a right. you can't miss it.,What do you want?,I'll take care of it.,I'm making my turn. i see the school up ahead.,You're not going to do it?!,Don't you see?,What's the matter?,original100/clustering_beam_search_bs100_cbs5.json_4,clustered/clustering_beam_search_bs100_cbs5.json_5,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_4,original10/iterative_beam_search_bs5_ibs10.json_5,original100/clustering_beam_search_bs100_cbs5.json_2,89,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
