Title,Description,Keywords,img_url0,img_url1,img_url2,img_url3,img_url4,img_url5,img_url6,img_url7,img_url8,img_url9,img_url10,img_url11,img_url12,img_url13,img_url14,img_url15,img_url16,img_url17,img_url18,img_url19,Answer.browserInfo,Answer.city,Answer.country,Answer.ipAddress,Answer.radio0,Answer.radio1,Answer.radio10,Answer.radio11,Answer.radio12,Answer.radio13,Answer.radio14,Answer.radio15,Answer.radio16,Answer.radio17,Answer.radio18,Answer.radio19,Answer.radio2,Answer.radio3,Answer.radio4,Answer.radio5,Answer.radio6,Answer.radio7,Answer.radio8,Answer.radio9,Answer.region,Answer.userDisplayLanguage
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170947350477545472.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168548786765967360.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169316769847197696.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170096533704949760.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/152798541138505728.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170892388741554177.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171549167162888193.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167983940500602880.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169956388288724992.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167551157428957184.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/124087784498659329.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/133522699841572865.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168018464605343745.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170060424295882752.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151702152065200128.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170758516502577153.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169371674234466304.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171546582376923136.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170743308769964032.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168593267422797824.png,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",Beijing,China,,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,Beijing,en-US
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170947350477545472.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168548786765967360.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169316769847197696.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170096533704949760.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/152798541138505728.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170892388741554177.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171549167162888193.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167983940500602880.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169956388288724992.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167551157428957184.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/124087784498659329.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/133522699841572865.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168018464605343745.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170060424295882752.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151702152065200128.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170758516502577153.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169371674234466304.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171546582376923136.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170743308769964032.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168593267422797824.png,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",Islamabad,Pakistan,,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,False,True,Islamabad,en-US
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170947350477545472.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168548786765967360.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169316769847197696.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170096533704949760.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/152798541138505728.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170892388741554177.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171549167162888193.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167983940500602880.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169956388288724992.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167551157428957184.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/124087784498659329.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/133522699841572865.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168018464605343745.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170060424295882752.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151702152065200128.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170758516502577153.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169371674234466304.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171546582376923136.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170743308769964032.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168593267422797824.png,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",Islamabad,Pakistan,,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,Islamabad,en-GB
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/147238221363945472.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170540592038805504.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151674730401894400.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/152479332026155009.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169861185473232897.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170413508608008192.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/134365531284307968.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170935785003036672.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171391844486356992.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170560961839763456.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169013133380296704.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168735806087897088.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170280974100348928.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169425076444336129.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168302767935463424.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170821136358178816.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170390417760727040.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168042675902226432.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167904807447822336.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170821603830140928.png,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",Beijing,China,,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,,Beijing,en-US
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/147238221363945472.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170540592038805504.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151674730401894400.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/152479332026155009.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169861185473232897.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170413508608008192.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/134365531284307968.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170935785003036672.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171391844486356992.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170560961839763456.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169013133380296704.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168735806087897088.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170280974100348928.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169425076444336129.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168302767935463424.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170821136358178816.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170390417760727040.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168042675902226432.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167904807447822336.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170821603830140928.png,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",Islamabad,Pakistan,,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False,True,False,True,Islamabad,en-US
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/147238221363945472.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170540592038805504.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151674730401894400.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/152479332026155009.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169861185473232897.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170413508608008192.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/134365531284307968.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170935785003036672.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171391844486356992.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170560961839763456.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169013133380296704.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168735806087897088.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170280974100348928.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169425076444336129.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168302767935463424.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170821136358178816.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170390417760727040.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168042675902226432.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167904807447822336.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170821603830140928.png,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.0 Safari/535.11",Vellore,India,,True,True,True,True,False,True,False,True,NotSure,True,False,True,False,False,False,True,False,,True,True,Tamil Nadu,en-US
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167913459885932544.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170934375234539520.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171179551878164480.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171526317563588608.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/154211073992568834.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/166942713747488768.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169428062717489155.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167834734465003522.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167532107437051904.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/115479596387938304.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170453773267910656.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167904050329825280.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/64208258545631232.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/1172066150.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168679793024450560.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167553324843925504.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170265653280903168.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169190999686524928.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170198300912402432.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151815764385607681.png,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",Beijing,China,,True,False,False,True,False,False,False,True,False,True,True,True,False,True,False,True,True,True,True,False,Beijing,en-US
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167913459885932544.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170934375234539520.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171179551878164480.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171526317563588608.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/154211073992568834.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/166942713747488768.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169428062717489155.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167834734465003522.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167532107437051904.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/115479596387938304.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170453773267910656.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167904050329825280.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/64208258545631232.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/1172066150.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168679793024450560.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167553324843925504.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170265653280903168.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169190999686524928.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170198300912402432.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151815764385607681.png,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",Islamabad,Pakistan,,True,False,False,True,True,False,False,True,False,True,True,True,False,True,False,True,True,True,True,False,Islamabad,en-US
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167913459885932544.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170934375234539520.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171179551878164480.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171526317563588608.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/154211073992568834.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/166942713747488768.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169428062717489155.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167834734465003522.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167532107437051904.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/115479596387938304.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170453773267910656.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167904050329825280.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/64208258545631232.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/1172066150.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168679793024450560.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167553324843925504.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170265653280903168.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169190999686524928.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170198300912402432.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151815764385607681.png,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.0 Safari/535.11",Vellore,India,,True,False,False,True,False,False,False,True,False,True,True,True,,True,False,True,True,True,True,False,Tamil Nadu,en-US
Say whether Tweets are written in Urdu or not,"Read a short (one-sentence) text (a 'tweet'), and then mark if it's written in the Urdu language",Urdu language identification text detection categorize tweets twitter categorization,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168180241083269121.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167694407594815490.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167503115061428225.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168035244560228352.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171183160720228352.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170179209061343235.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168051857703452672.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170869126837977088.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171607392449085440.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171181511289212928.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/171138722014830592.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169792956495171585.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/65302551599382528.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/168355089352884225.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/157233028454821888.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/167830256252760065.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/170077633634238464.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/169308978965258242.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/139601433254297601.png,http://webdocs.cs.ualberta.ca/~bergsma/ServeImages/urdu/151009705412669440.png,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",Karachi,Pakistan,,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,Sindh,en-US
