Title,Description,Keywords,pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.8947368421052632,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.8947368421052632,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.8947368421052632,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_222-11-21,chtb_222,11,HITTestInput,Many sectors in the society also extended their helping hands .,He was offered help from all walks of life .,many sector in the society also extend their help hand .,he be offer help from all walk of life .,0.8947368421052632,1,10-9 8-3,{},{},{},2-7 3-7 7-3 8-3 9-3 10-9,0-5 1-6 4-8 6-1 6-2 6-4,5,0
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_222-11-27,chtb_222,11,HITTestInput,Different circles of the society also give him their hands .,He was offered help from all walks of life .,different circle of the society also give him their hand .,he be offer help from all walk of life .,0.8947368421052632,1,10-9 6-2,{},{},{},0-5 0-6 0-7 0-8 1-5 1-6 1-7 1-8 2-5 2-6 2-7 2-8 3-5 3-6 3-7 3-8 4-5 4-6 4-7 4-8 6-1 6-2 6-4 7-0 8-3 9-3 10-9,{},{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,VOM19981230_0700_0515-1-14,VOM19981230_0700_0515,1,HITTestInput,Disagreement occurred among several key U.S. Republican congressmen over President Clinton 's impeachment trial .,Some important figures of the American Republic Party viewed divergently on the judicial issue of impeaching President Clinton .,disagreement occur among several key u.s. republican congressman over president clinton 's impeachment trial .,some important figure of the american republic party view divergently on the judicial issue of impeach president clinton .,0.896551724137931,4,14-18 9-16 10-17 12-15 13-12 5-5 6-6 4-1,{},{},{},0-8 0-9 0-10 1-8 1-9 1-10 2-8 2-9 2-10 3-0 4-1 5-5 6-3 6-4 6-6 6-7 8-8 8-9 8-10 9-16 10-17 11-11 11-14 12-15 13-12 13-13 14-18,7-2,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-4,artb_045,6,HITTestInput,Angham is renowned for having a beautiful voice with a great range .,Angham distinguishes due to her intonation and accent .,angham be renowned for have a beautiful voice with a great range .,angham distinguishes due to her intonation and accent .,0.8947368421052632,4,12-8 0-0,{},{},{},0-0 1-1 2-1 3-2 3-3 3-4 4-2 4-3 4-4 5-2 5-3 5-4 12-8,6-5 6-6 6-7 7-5 7-6 7-7 8-5 8-6 8-7 9-5 9-6 9-7 10-5 10-6 10-7 11-5 11-6 11-7,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,cmn-NG-4-76698-7531660-5-1,cmn-NG-4-76698-7531660,5,HITTestInput,We often meet situations that require groups .,"Every now and then , we encounter occasions where collectivity is needed .",we often meet situation that require group .,"every now and then , we encounter occasion where collectivity be need .",0.8947368421052632,5,7-12 2-6 0-5 5-11,{},{},{},0-5 1-0 1-1 1-2 1-3 2-6 3-7 4-8 5-10 5-11 6-9 7-12,{},{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_500-5-14,artb_500,5,HITTestInput,"And in spite of that , terrorism does not stand the least chance to take place .",He added : `` We have no likelyhood of being targeted by terrorism . '',"and in spite of that , terrorism do not stand the least chance to take place .",he add : `` we have no likelyhood of be target by terrorism . '',0.896551724137931,2,16-13 6-12,{},{},{},6-12 8-5 11-6 12-7 16-13,7-4 9-4 10-4 13-9 13-10 13-11 14-9 14-10 14-11 15-9 15-10 15-11,0 1 2 3 4,0 1
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,urd-WL-90-174283-7720336-20-1,urd-WL-90-174283-7720336,20,HITTestInput,Peoples Party has refused to either accept or decline !,The People 's Party is rejecting both the rejection and the contribution .,people party have refuse to either accept or decline !,the people 's party be reject both the rejection and the contribution .,0.8947368421052632,3,9-12 1-3 0-1 3-5,{},{},{},0-0 0-1 0-2 0-3 1-0 1-1 1-2 1-3 3-5 4-5 8-7 8-8 9-12,2-4 5-6 6-10 6-11 7-9,{},{}
