Title,Description,Keywords,id_1,id_2,sample_number_of_best_expl,question,answer_choices,gold_label,which_gold,explanation_1,explanation_2,Answer.equalbad,Answer.equalgood,Answer.q1_valid,Answer.similar
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",cfc7fccb8449a2a950c9d2a50991420e,cfc7fccb8449a2a950c9d2a50991420e,1,What happens at soon as a living being is born?,"death, start reproduction, growing older, expiration, or sometimes bad",growing older,1,"As soon as a new living thing is born, it begins to grow into its adult form from a new born from.","When a living being is born, with every passing second it becomes older which means it grows. All the other options like death, and reproducation do not happen with birth. Other two options are invalid as they do not fit the context of the question.",,,1,on
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",cfc7fccb8449a2a950c9d2a50991420e,cfc7fccb8449a2a950c9d2a50991420e,1,What happens at soon as a living being is born?,"death, start reproduction, growing older, expiration, or sometimes bad",growing older,1,"As soon as a new living thing is born, it begins to grow into its adult form from a new born from.","When a living being is born, with every passing second it becomes older which means it grows. All the other options like death, and reproducation do not happen with birth. Other two options are invalid as they do not fit the context of the question.",,,1,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",cfc7fccb8449a2a950c9d2a50991420e,cfc7fccb8449a2a950c9d2a50991420e,1,What happens at soon as a living being is born?,"death, start reproduction, growing older, expiration, or sometimes bad",growing older,1,"As soon as a new living thing is born, it begins to grow into its adult form from a new born from.","When a living being is born, with every passing second it becomes older which means it grows. All the other options like death, and reproducation do not happen with birth. Other two options are invalid as they do not fit the context of the question.",,,2,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",db1eb157671109bbb9113b0f71a6b957,db1eb157671109bbb9113b0f71a6b957,3,Paul wants carrots and doesn't need to drive anywhere. He gets them from where?,"dryer, store, farmer's market, refrigerator, or supermarket",refrigerator,1,"Refrigerators are used to store fruits, vegetables, and other perishable foods for long periods of time, so Paul is likely to have carrots in his house, but not have to drive out to farm(s) to get them because he already",Refrigerator is located inside the house unlike a store and a farmer's market. One doesn't need to drive to the refrigerator while one needs to drive to the supermarket. Carrots can be kept in the refrigerator and not in the dryer.,,,1,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",db1eb157671109bbb9113b0f71a6b957,db1eb157671109bbb9113b0f71a6b957,3,Paul wants carrots and doesn't need to drive anywhere. He gets them from where?,"dryer, store, farmer's market, refrigerator, or supermarket",refrigerator,1,"Refrigerators are used to store fruits, vegetables, and other perishable foods for long periods of time, so Paul is likely to have carrots in his house, but not have to drive out to farm(s) to get them because he already",Refrigerator is located inside the house unlike a store and a farmer's market. One doesn't need to drive to the refrigerator while one needs to drive to the supermarket. Carrots can be kept in the refrigerator and not in the dryer.,,,1,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",db1eb157671109bbb9113b0f71a6b957,db1eb157671109bbb9113b0f71a6b957,3,Paul wants carrots and doesn't need to drive anywhere. He gets them from where?,"dryer, store, farmer's market, refrigerator, or supermarket",refrigerator,1,"Refrigerators are used to store fruits, vegetables, and other perishable foods for long periods of time, so Paul is likely to have carrots in his house, but not have to drive out to farm(s) to get them because he already",Refrigerator is located inside the house unlike a store and a farmer's market. One doesn't need to drive to the refrigerator while one needs to drive to the supermarket. Carrots can be kept in the refrigerator and not in the dryer.,,,2,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",083861fc5ebb9226fff70544f3f83d2b,083861fc5ebb9226fff70544f3f83d2b,greedy,"The man got a pail to catch the draining motor oil, where was he likely doing this at home?","hardware store, wishing well, garage, utility room, or laundry",garage,0,"A garage is the part of a house and can have pile and draining motor oil. Harware store, wishing well and laundary is not a part of a home whereas utility room does not draining motor oil.","The man was likely doing this in his garage, because garages are where people store their cars, and therefore where they would be likely to have motor oil.",,,2,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",083861fc5ebb9226fff70544f3f83d2b,083861fc5ebb9226fff70544f3f83d2b,greedy,"The man got a pail to catch the draining motor oil, where was he likely doing this at home?","hardware store, wishing well, garage, utility room, or laundry",garage,0,"A garage is the part of a house and can have pile and draining motor oil. Harware store, wishing well and laundary is not a part of a home whereas utility room does not draining motor oil.","The man was likely doing this in his garage, because garages are where people store their cars, and therefore where they would be likely to have motor oil.",,,2,on
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",083861fc5ebb9226fff70544f3f83d2b,083861fc5ebb9226fff70544f3f83d2b,greedy,"The man got a pail to catch the draining motor oil, where was he likely doing this at home?","hardware store, wishing well, garage, utility room, or laundry",garage,0,"A garage is the part of a house and can have pile and draining motor oil. Harware store, wishing well and laundary is not a part of a home whereas utility room does not draining motor oil.","The man was likely doing this in his garage, because garages are where people store their cars, and therefore where they would be likely to have motor oil.",,,2,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",3fe45ab3bd4a844ea290050fc0ece8c1_1,3fe45ab3bd4a844ea290050fc0ece8c1_1,greedy,At a shop what can you buy to put your spare unused things?,"cardboard box, high school, container, ocean floor, or basement",container,0,"Container can hold the spare unused things and it can be bought from market. Basement or ocean floor, or high schhol cannot be bought from a shop. Cardboard box is not efficient to hold all the spare unused things.",A container is a thing that can hold other things. A cardboard box is a type of container.,,,2,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",3fe45ab3bd4a844ea290050fc0ece8c1_1,3fe45ab3bd4a844ea290050fc0ece8c1_1,greedy,At a shop what can you buy to put your spare unused things?,"cardboard box, high school, container, ocean floor, or basement",container,0,"Container can hold the spare unused things and it can be bought from market. Basement or ocean floor, or high schhol cannot be bought from a shop. Cardboard box is not efficient to hold all the spare unused things.",A container is a thing that can hold other things. A cardboard box is a type of container.,,,1,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",3fe45ab3bd4a844ea290050fc0ece8c1_1,3fe45ab3bd4a844ea290050fc0ece8c1_1,greedy,At a shop what can you buy to put your spare unused things?,"cardboard box, high school, container, ocean floor, or basement",container,0,"Container can hold the spare unused things and it can be bought from market. Basement or ocean floor, or high schhol cannot be bought from a shop. Cardboard box is not efficient to hold all the spare unused things.",A container is a thing that can hold other things. A cardboard box is a type of container.,,,2,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",a7e3de0719fe30e7048f67426e29fdd1,a7e3de0719fe30e7048f67426e29fdd1,greedy,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,"england, river, television, europe, or india",england,1,"The channel is a body of water that separates England from France, and so it's likely that James was crossing the channel from France to England.","England is a country unlike river, televisio and Europe. One can go to England. One can also cross the channel from France to England but not to India.",,,1,
