Title,Description,Keywords,prompt1,candidate1-1,candidate1-2,candidate1-3,candidate1-4,gold_label1,prompt2,candidate2-1,candidate2-2,candidate2-3,candidate2-4,gold_label2,prompt3,candidate3-1,candidate3-2,candidate3-3,candidate3-4,gold_label3,prompt4,candidate4-1,candidate4-2,candidate4-3,candidate4-4,gold_label4,prompt5,candidate5-1,candidate5-2,candidate5-3,candidate5-4,gold_label5,prompt6,candidate6-1,candidate6-2,candidate6-3,candidate6-4,gold_label6,prompt7,candidate7-1,candidate7-2,candidate7-3,candidate7-4,gold_label7,prompt8,candidate8-1,candidate8-2,candidate8-3,candidate8-4,gold_label8,prompt9,candidate9-1,candidate9-2,candidate9-3,candidate9-4,gold_label9,prompt10,candidate10-1,candidate10-2,candidate10-3,candidate10-4,gold_label10,prompt11,candidate11-1,candidate11-2,candidate11-3,candidate11-4,gold_label11,prompt12,candidate12-1,candidate12-2,candidate12-3,candidate12-4,gold_label12,prompt13,candidate13-1,candidate13-2,candidate13-3,candidate13-4,gold_label13,prompt14,candidate14-1,candidate14-2,candidate14-3,candidate14-4,gold_label14,prompt15,candidate15-1,candidate15-2,candidate15-3,candidate15-4,gold_label15,ctrl_index
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Solve an Algebraic Expression,Learn how to observe your own thoughts.,Perform a waste audit.,Know the order of operations.,Find your loan information.,2,Fake Food Poisoning,Go to a historical preservation.,Place time restrictions on impulsive thoughts.,Decide on the background or the foreground.,Invent a dicey dining situation.,3,Prevent Toxic Shock Syndrome,Draw lines at the bottom loop and then they will look like feathers.,Follow instructions carefully when using vaginal contraceptives.,Spot test your blood on a dirty shirt to see how it will look.,Place the wine glass upside down on a soft towel so that it can air dry.,1,Win the Peg Solitaire Game (English Board),Darken 1 side of the cone and gradually shade to the opposite side.,And back in the middle.,Rewrite the similar thoughts together.,"Therefore the given straight line AB has been cut at H so as to make the rectangle contained by AB, BH equal to the square on HA.",1,Make a Gel Candle,Set up your embedded materials.,Brush one side of each side of the pita with the oil mixture.,Prepare your oranges for blending.,Allow this color to dry for 2 hours.,0,Spot a Sociopath,Watch and read the news to hear what experts expect.,Lift the wand to your lips and gently blow into the circle of the wand.,Look for them having instigated violence.,Find out the number of people that are expected to attend the event.,2,Report a School for Discriminatory Discipline,Consider filing an institutional grievance.,Double check all payment amounts.,Copy and mail your form.,Identify a suspected fraudulent mortgage.,0,List for Sale by Owner Using MLS Listing,Learning about more than.,Know what a payment gateway is.,Know what a finance charge is.,Know what the Multiple Listing Service system is.,3,Get Free Products from Amazon for Review,Reach out for help.,Learn how to cast.,Use real leather softballs.,Don't play the voting game.,3,Choose an Alternative to a Flower Girl,Cut tail and tie off.,Turn the end into bow flaps.,Use a silk or satin pillowcase instead of cotton.,Use a garland instead of petals.,3,Help a Preschooler with Separation Anxiety,Explore a new or old hobby that you haven’t had time for,Place the lid on the slow cooker and cook,Tell your child what preschool is like,Draft an answer,2,Use Priceline,Type in the item’s code.,Press the Start/Reset button to cancel the cycle.,Review your reservation information and the terms.,Double-tap the Share button to start a new recording.,2,Speak Tagalog,Use sexual maturity as a sign a tortoise is at least 15.,Use “hands-on” activities planned for each major unit.,Work on some common greetings.,Plan when you send your thanks.,2,Experience Autistic Culture,Be mindful when bringing up controversial topics.,Recognize that happiness is what's most important.,Understand that disabled people are no less human than non-disabled people.,Know that Atheists are people just like Christians.,0,Contact John Walsh of America's Most Wanted,Direct deposit your paycheck to your card.,Verify the terms of your agreement before making any payments.,Follow him on Facebook.,Determine if a contract has ended through abandonment.,2,11
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Throw a Paint Party,Organize your basic business administration functions.,Find and purchase necessary supplies.,Look for identity-based scholarships.,Attend an interview with a benefits worker.,1,Build a Pulley,Slide a thread spool onto the middle of a pencil.,Fasten a loop of strong rope around the agitator.,Rotate the handle on the auger to break up the clog.,Push up the first pin in the lock to see if it’s seized.,0,Be a Hairy Woman,Ignore any negativity you hear about technology on social media.,Review the policy regarding fees.,Ignore any negative comments you get from others.,Pay attention to snap judgments you make when you meet someone.,2,Wear Bootcut Jeans,Get a pair with a shorter inseam if you are petite.,Experienced hula hoopers can choose a smaller hoop.,Pick up eyeshadow in dark shades.,Consider the level of experience of the sport or league.,0,Get Good at Drawing,"Write, then, equation 3 as (see the image above)",Understand that the surface area of a cube is made up of the areas of its six faces.,Notice that the board is split into distinct sections.,Take a local art class or study art theory.,3,Help a Preschooler with Separation Anxiety,Explore a new or old hobby that you haven’t had time for,Place the lid on the slow cooker and cook,Tell your child what preschool is like,Draft an answer,2,Care for Poison Dart Frogs,"Clean the enclosure every 4-6 months, or when needed.",Place the cookies on the stovetop and cool them for 2 minutes and then immediately place the second baking sheet into the oven.,Divide the bones up into smaller sections to feed into the grinder.,Pour the dye into the water.,0,Make a Simple Electrical Circuit,Notice where the sound is emanating from.,Get the player's input.,Place your light source(s) under the flame dowels.,Strip the ends of the insulated wires.,3,Spend Less Than $30 on a Date for Guys,Try to list possible realistic questions and other stuffs you could ask or things you could talk about with her.,Consider putting everything in writing.,"Decide how you will leave notes for someone else, like a significant other, parent, sibling, or friend.",Decide if you want to handwrite or print labels for the envelopes.,0,Make Bioplastic,Divide the first row into 3 small sections.,Secure your elastic band.,Stir together all of the ingredients.,Repeat the pattern as needed.,2,Prepare for Life As an Adult,Make honesty a priority.,Walk away if your parent disrespects your boundaries.,Create a group identity.,Set goals that are both realistic and achievable.,3,Cancel a Sports Illustrated Subscription,Wrap the bandage behind the dog's neck and under the torso.,Log in to your account using your account number and email address.,Contact the storage company to let them know you’re locked out.,Contact local organizations to let them know that your billboard space is for rent.,1,Clean a Ceramic Sink Without Chemicals,Cover all surfaces where the degreaser may be spilled or splashed upon.,Use baking soda as a last resort.,Use fabric scissors to cut the template out of your fabric.,Rub conditioning oil into the boot leather.,1,Frame a Pocket Door,"Add ""plant"" to the ""mud"" item.",Click or drag the Lasso tool along the edges of your subject.,Replace the existing header.,Replace an existing operating system on a pre-assembled system.,2,Practice Hospital Visiting Etiquette,Call first to make sure visitors are allowed.,Choose a safe spot by the side of the road where it's easy for vehicles to see you and slow down.,Greet people as they arrive to keep tabs on the number of guests.,Establish a survival bunker in a hidden location.,0,6
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Become a Member of American Counseling Association,"Click the ""Submit this bill"" that exists at the bottom of the web-form.","Type in the ""official url"" to the book if there is one available.",Apply for membership online.,Click “Having trouble logging in?” This link is below the email and password fields.,2,Get a Venture Capital Investment,"Review your figure’s life, achievements, and importance.",Have a business that demonstrates the power of the idea in action.,Create a project that teaches core principles.,Provide a clear corporate vision that defines a specific culture.,1,Do Calf Raises,"Sew across the top, straight edge.","Stand straight, with your tailbone tucked in.",Remove rollers once hair is completely dry.,Neck conformation in cows draws a line between too long and too short.,1,Right a Capsized Dinghy,Hold a pair of dumbbells at your side for a simple variation.,"After you master juggling you should start with basic freestyle tricks like stalling the ball which is holding the ball on your foot (pull the ball back as if your are about to start juggling, but instead balance it on your foot.",Hold the ball above your thigh.,Swim round to the daggerboard/underside through the back of your boat.,3,Watch Movies Online With Netflix,Click on the tabs at the bottom left to see your options.,Click the > button to see more titles in a category.,"Open QuickCorrect - Tools, QuickCorrect.",Click on the “Reports” tab located on the upper portion of the web page.,1,Make a Chocolate Chip Cookie Birthday Cake,"Combine the sweetened condensed milk, sugar, and cornstarch.","Melt the butter gently, in a small saucepan.",Press the batter into the pan.,"Combine the yogurt, mashed bananas, and peanut butter in a large bowl.",2,Cite a Research Paper,Make sure the lease clearly describes the maintenance responsibilities,"Use ""I""-statements if necessary",Use two asterisks to make an indented bullet point,List the title of the research paper,3,Calculate Relative Error,Find out the people or groups of people who hold power in the community.,Practice with several examples.,"Before the educator can develop a strategy to reduce, substitute, or eliminate a problem behavior, the antecedents need to be determined.",Figure out why the disabled child acts maladaptively.,1,Apply to Korea University,Prepare for the possibility that you may not get in to KU.,Get an idea of how much of an increase you would like to request.,Call the help center to complete your claim if necessary.,Contact your barbers' regulatory authority to determine the licensing requirements.,0,Care for a Pet Fox,Create the door and doorway.,Build the framework for all four walls.,Build a top for the fence.,Build the basic platform for the wagon.,2,Determine if a Painting Is an Original or Reproduction,Use bright colors and a key centerpiece: Sometimes less is more.,Add boxes 4 and 5 and write the total in box 6.,Analyze each and every question in the book as the variety is less.,Get the work appraised.,3,Become a Master Gamer,Find online communities for your game and soak up their resources.,Use small study sessions to review your notes during the day.,Use a thesaurus to find words related to the original word.,Write out what you plan to say.,0,Add Bullet Points to a wikiHow Article,Go back and edit.,Preview your changes to make sure they're formatted correctly.,Ask academic bloggers to review your publication.,"Sit yourself down, and listen.",1,Keep a Boyfriend,Start a political conversation with storytelling.,Make sure you are ready for sex.,"Don’t bash his ex-wife, either.",Get to know his friends.,3,Help a Preschooler with Separation Anxiety,Tell your partner how their family is making you feel.,Tell your child what preschool is like.,Create a presentation on how great your teacher is with your classmates.,Teach your teen to determine if a book is on the right level for them.,1,7
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Make a Badge Pin,Purchase snap-in casing buttons.,Download the parts diagram.,Use shorthand to save space.,Trace and cut out the fabric pieces from the shoe templates.,0,Take Care of Military Boots,"Using a pencil, trace the picture with as much or little detail as you need.","Push the loop down towards the slipknot, and adjust if necessary.","Using a garden hose with a pistol type nozzle, begin to wet out the paint roller slowly to avoid splash back.",Repeat the above process until the sides are as shiny as you need,3,Overcome Racism,Be careful around all livestock.,Include the proper tools and items.,Educate yourself and stay informed.,Look for Tea Party groups in your area.,2,Smooth Talk,Discuss the importance of privacy when it comes to masturbating.,Respect and honor their authority.,Write your book and remember to follow your own guidelines!,"Hold them accountable for results, not promises.",1,Make Photos Grainy,Practice split time mode.,Paint on additional coats until you are happy with the finish.,Adjust the intensity of the filter.,Gather the cut edges.,2,Charge a Power Bank,Use the laser pointer sparingly.,Groom your dog's ears.,Grind the blacking off.,Use a wall socket in most cases.,3,Enhance the Kinesthetic Sense Through Meditation,Close both eyes and continue breathing patterns while eyes remain closed and the mind begins to actively imagine,Purchase a pre-paid phone plan,Consider the teacher's prior commitments before asking,Find a vet who does at-home visits,0,Get to an Elite College,Understand religion by purposely learning and involving spiritual belief into your knowledge and life.,Say you will be expressing your true self moving forward.,Learn to see things from a different perspective.,Contact coaches if you plan to play a sport.,3,Download Music on Apple Music,Change the default setting from “Anyone (public)” to “Only you (private)”.,Publish your changes to make them live.,Select the movie you want to rate.,Tap the cloud icon with a down-arrow.,3,Chop Wood,Get trained in self defense.,Evaluate your customer’s problem.,Grip your axe correctly.,Look for signs of infection.,2,Take Photos of Mountains,Use torches as a decoration for festive outdoor parties.,Provide adequate lighting for walkers using the path at night.,Search for side lighting during the day.,Keep all sleeping bags rolled up.,2,Hang a Gym Mirror,Schedule an installation time with an able-bodied friend.,Wipe the protein skimmer.,Remove the outer covers of the fan.,Disconnect the power by flipping the breaker.,0,Accessorize Outfits with Scarves,Keep a stock of the basics.,Twist the laces together behind your leg.,Twist the wire into a hanging loop.,Secure the bun with bobby pins.,0,Enjoy Being Homeschooled,Keep ferrets in pairs so they don’t get lonely and bored.,Backward plan which areas of the test you will study and for how long.,Know that they can get bored easily.,Take days off when you need to.,3,Observe National Night Out,Buy them a hamster mug.,Write clearly and use computers well.,Buy the plane tickets.,Get the neighborhood kids together for a huge party.,3,7
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Shoot a Stationary Target with a Shotgun,Sleep 7-9 hours a night to help regulate your hormones,Make a paste out of orange peels and whole milk,Close the eye away from the barrel,Attach the air pump to the sponge filter,2,Play Skywars in Minecraft,Know when to use articles.,Advertise your painting auctions elsewhere.,Get to the center.,Identify the root cause.,2,Not Get Stressed by School,Return to the letter several days later.,Introduce yourself and your company.,Create a work space.,Talk to a religious advisor.,2,Enjoy a Holiday at Home,Get your Foreigner's Identity Number.,Select and order your cake.,"Look at your competition's flyers, learn from them and try to improve on them if possible.",Try to let go of fixed expectations.,3,Pass Time in Class,Make a Red Corona.,Write a to-do list.,Drink your coffee through a straw.,Simmer the beans for 12 minutes over medium heat.,1,Pass the S.O.L's,Read the job advertisement.,Read the script more than once.,Restate the indirect quote in your own words.,Eat breakfast the day of the test.,3,Overcome Lack of Motivation,Kick your legs up as if you were doing a one-handed cartwheel.,Take steps to achieve your goal every day.,Find ways to learn and grow from your experiences.,Try writing descriptive paragraphs about your new world.,1,Wash Slippers,Wear dressy jeans for the ultimate versatile outfit.,Fold a resealable plastic bag and place it in the bag.,Wipe with a towel.,Include bandaids and foot injury pads.,2,Write Book Titles in MLA,Become familiar with note values.,Differentiate the x terms as normal.,Distinguish coordinating conjunctions from subordinating conjunctions.,Hang wrinkled clothes in the bathroom while showering.,2,Plan a Romantic Camping Trip,Go camping in spring or autumn for milder conditions.,Take your dog shopping.,Have a candlelit dinner.,Check out a state landmark or historical site for an educational activity.,2,Spell the Color Gray,Look for verb changes in the headline.,Identify the tonic (I) chord.,Learn the Old English term.,Use this method to learn the concepts.,2,Play Skywars in Minecraft,Practice rushing your neighbor.,Create a shared space.,Move to an area far from fighting if you can.,Choose an appropriate setting and time.,0,Start a Book Group,Explain your methodologies on your website.,Compile career resources for others to access in your career resource center library.,Get acquainted with everyone.,Establish a brand name and logo.,2,Adopt a Rottweiler,Apply unpleasant flavors to furniture your dog has chewed on.,Ask about the dog’s history.,Place plastic sheeting at the base of your curtains.,Plug in a hair dryer and set it to high heat.,1,Survive a Dull Lesson,Choose a character from the game list.,Solve for the negative value.,Hide a small notepad in your pencil case.,Bring a book or a newspaper to read.,2,1
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Stop Viewing Islam As a Bad Religion,Help others,Prune off any infected branches after removing the webs if you prefer,Add your animal's facial features or details,Understand that Islam preaches equality between all races,3,Prepare a Baby Nursery for a Newborn Baby's Arrival,Use less dishwasher soap than recommended.,Use a surfboard carrier if you walk to the beach.,Install a dimmer switch if the lights are bright.,Take a shuttle from Grand Central Station if the trains aren’t active.,2,Support Deployed US Troops,Look for a white or fawn body with accent colors.,Adopt the Everyman schedule.,Adopt a service member.,Donate to a tiger research fund.,2,Stop Thinking that Accepting Help is a Sign of Weakness,Let them live with what they've done.,Understand the natural dynamic of give and take.,Give them time to process.,Pick up the pieces.,1,Iron a Picture on a Shirt,"Click the ""Publish"" button.",Trim and remove any vinyl that you don’t want to be transferred.,Ask if any wire meshes or other material protecting the stained glass can be temporarily removed.,Discuss laser therapy to fade and shrink keloid scars.,1,Clean a Painting,Collect your spit in a small bowl.,Poke into the coconut with a sharp knife.,Drain the honey out of your beeswax overnight in a large container.,Combine the dry ingredients in a large bowl.,0,Think Algorithmically,Make the u-sub u=x4{\displaystyle u=x^{4}}.,Use the math button to automatically format simple equations without excess work.,Organize steps into the most logical order.,Put commas between non-sequential page numbers.,2,Make Face Whitening Mask,Observe the baby bird's behavior.,Keep a close eye on your pets.,Find a small bowl.,Purchase a pre-cut or specially cut piece of glass.,2,Buy Treasury Bonds in Australia,Go with a slim-profile engagement box if you want a discreet option.,Look at full-service brokers if you want a lot of personal advice.,Invest in online course packets or a distance learning program.,Look at 4-year universities if you want to earn a bachelor's degree.,1,Create and Work a Juxl Puzzle,Attach the hose to your dryer.,Run a pencil along the outside of the teeth to make your zipper run smoothly.,"Fold the back piece in half, and use it to trace the front pieces.","On the second curve only, place a dot anywhere between the two endpoints.",3,Become a Good Defensive End,Get medical attention if the burn has a foul smell and the skin turns black.,Pull the string slowly towards you once you see or feel the guinea pig.,Watch for tells that give away the offensive playcall.,Act quickly after hair dye gets on your hands.,2,Get a Promotion,Don’t believe you have to let go.,Rehearse what you will say.,"Choose whether or not to give in or to fight against these things that you didn’t do so that you can focus on your career, family – and defend your good name and reputation.",Discern between comments about your actions and who you personally are.,1,Appreciate Someone at Work,Do something special for their birthday.,Review the tests you took this year.,Help them relax before bedtime.,Grab a map right away.,0,True Wheels of a Bicycle,Remove 1/2 cup of the marinade for basting.,Remove the tire and tube for best results.,Locate the starter holes in the spool.,Look for healthy brood patterns.,1,Become a Film Buff,Write about what you observe.,Learn about what goes on behind the scenes.,Use a calculator to find the sines of the angles.,Do your writing on location.,1,1
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Be a Well Rounded Teenager,Talk with your parents about your concerns.,Pay attention in class and get good grades.,Pay attention and take good notes in class.,Apply to a law school with a strong tax law program.,1,File a Lawsuit for Money Owed,Complete any other required documents,Find out their compensation plan,Sift together the flour and baking powder,Click on a title to learn more about the position,0,Establish an Office Filing System,Shred or recycle materials that you don’t need to keep.,Learn the emotional relationships.,"Using masking tape, make tabs for your spiral notebook that match the categories you just created.",Add a separate non-included information area to the page.,0,Measure Parallelism,Reach out for help.,Set up your equation.,Ensure a consistent temperature.,Cover opponents and their angles of approach.,2,Renew a Canadian Passport,Use a plastic comb to divide your hair into four sections.,Print each photo in the same dimensions on different sheets of magnet paper.,Check whether you qualify for the simpler method first.,"Fit your story onto a notecard, using a felt-tip marker.",2,Be Cool About What People Say,Respond to their general mood and energy level.,Talk less and listen more.,Learn to listen actively.,Learn to listen and feel.,2,Perk Up Wilting Flowers,Clean your orchid’s leaves every 7-10 days to keep them healthy.,Cut one inch off the stems at an angle.,Leave the chow in the refrigerator to harden.,"Simmer with the meat, liquids, and bay leaves.",1,Do a Tactical Quickdraw With a Pistol,"Remembering to keep the gun pointed towards the threat, move your gun toward your support hand at the upper chest and stop the gun underneath your dominant/shooting eye.",Turn 90 degrees to your left.,Swing the camera in a smooth evenly paced sweep so your subject remains in the same part of the view finder throughout.,Hold the needle horizontally so it points away from your work.,0,Cross the American Canadian Border from Detroit,Don’t use the cards for any reason if you aren’t a joint user.,Get a restricted firearms license if you wish to own a restricted gun.,Pay attention to any discharge from your hog’s eyes or nose.,Follow these guidelines to declare medications:,3,Be a Sniper,Check the turnip prices for patterns before selling.,Practice as often and as much with your sidearm as your primary weapon system.,Turn large assignments into small steps.,Try to limit interactions.,1,Fix a Slinky,Cut the collar off.,Cut the selvage off.,Download a protractor printable.,Turn off the heat.,3,Make a Lighter on a Necklace,Form a loose overhand knot with the end of the line.,While holding the wrapped hemp on the lighter tightly (so it does not come undone) wrap the hemp around the lighter loosely once.,Take a screw that the magnet wants to stick to and attach it to the hand crank.,Thread thick yarn or thin rope through a safety pin or paper clip and tie.,1,Get on the High School Speech Team,Read the source or sources carefully and take notes.,Craft a thesis statement.,Take notes and use them to choose your topic.,Pick paper books over e-readers for better understanding.,1,Make Twine Wrapped Vases from Wine Bottles,Apply an anti-wrinkle serum or cream to the skin above your lips once a day.,Prepare a glue gun.,"Using the hot glue gun, apply glue onto an even layer of polyester fiber stuffing and place on lantern covering the surface leaving the opening of the lantern uncovered.","Measure the length of surface you wish to cover, add 2 to 3 inches (5.08 to 7.62 centimeters), then cut your contact paper accordingly.",1,Find Lost Objects,Select two or three games that will allow you time for fun but won’t completely consume all of your attention.,Place the flashback at a point where it won’t disrupt the flow of the story.,Ask for help from friends or bystanders.,Draw attention to your legs with high heels.,2,2
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Be a Casanova,Allow yourself to feel what you’re feeling to process the situation.,Let them know they can react and feel however they need to.,Engage in an activity you enjoy to improve your mood.,Gamble when you can't afford to lose.,3,Learn Cardistry,Try the pivot for an easy way to rotate a card.,Write your final answer.,Hold down a key to enter a number.,Unscrew the back of the key fob.,0,Fix Clothes,Overlap both pieces of canvas and pin them into place.,Leave the cut edges raw if you prefer a rugged look.,Lay two strips end to end at a 90 degree angle and stitch them together.,Continue sewing the hem back down on the garment until it’s reattached.,3,Research a Business Idea,Register online with the NAPO’s online registry so that clients can find you.,Look for properties that will withstand a natural disaster.,Do a SWOT analysis.,Sign in using the account you want to close.,2,Add Sleeves to a Strapless Dress,Think about what type of a student community you'd like to run.,Think about the era that you'd like your mermaid to represent.,Think about how you'd like your friend to look.,Decide how wide you'd like the straps to be.,3,Cite a Research Paper,Make sure the lease clearly describes the maintenance responsibilities,"Use ""I""-statements if necessary",Use two asterisks to make an indented bullet point,List the title of the research paper,3,Be Healthy and Happy,Get enough sleep each night.,Avoid all processed food and food with chemical additives.,Find time to relax.,Eat some lean protein.,2,Get an MHA Degree,Enter the amount to send.,Include your resume and your transcripts.,Check if your plan allows loans.,Scout the property to the best of your abilities.,1,Easily Mold Acrylic Plastic Sheets,Understand the proper usage of the word you need.,Make adjustments appropriate to the specifications of your project.,Know the format of the lab report you need to produce.,Explain the nature of the emergency to the signaller .,1,Shrink a Picture,Collect the eye of ender.,Open your image in Picasa.,Open the hardware packets.,Choose your plan if your area has several providers.,1,Print an Amazon Return Label,Buy a card pack.,Click Orders on the top-right.,Choose the right cards to cancel.,Craft relationships between characters.,1,Enjoy a Long Weekend in Goa,Shop for your mortgage.,Check out the caves.,Look for older comics in good condition.,Check out wholesalers that sell discontinued stock.,1,Make a Guessing Box,Sign the title in the presence of a notary.,Call the fire department.,Select someone to be the item selector.,Ask your student to divide food.,2,Collect Coins,Think of evidence or supporting details.,Describe the physical appearance of the character.,Keep your bio concise and focused.,Find a good price range for you.,3,Store Jewelry,Use a lightweight bag to pack your items.,Talk to non-player characters (NPCs).,Soak up any spilled fuel with kitty litter.,Hang your necklaces on branches or antlers.,3,6
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Handle a Knee Replacement,Obey your physical therapist!,Touch base with friends who are going to the party.,Try to relax and clear your mind.,"Be prepared to feel slow, foggy, and unable to concentrate.",0,Find Comfort in Drawing,Try to image your character or what you're trying to describe.,Decide what you're going to draw.,Consider which aspect you're trying to match or catch up with.,Wear soft light brown and cream makeups.,1,Save a Marriage,Strive to have substantial conversations regularly.,Share the burden of researching the issues.,Start by researching your competitive market.,Read over your essay for mistakes.,0,Choose a Dry Dog Food,Make happy moments and happy memories.,Understand what the odds mean before you bet.,Decide if you want alimony.,Try to get ahold of samples.,3,Clean Light Switches,Lightly mist your hair with a texturizing or volumizing spray.,Apply a volumizing mousse before you blow-dry your hair.,Fold the microfiber cloth.,Put on latex gloves to protect your hands from the bleach.,2,Use Shea Butter,Rub the product into your hair.,Cut oranges in half.,Wait for the medium to set.,Set up a double-boiler.,3,Get Out of Trouble at School,Apologize for what you did.,Reflect on what you did wrong.,Own your mistake and admit what you did wrong.,Summarize what you did.,0,Write a Letter for Financial Aid,Talk about expectations for a child in your program.,Describe a specific plan for how you will improve.,Develop your coaching style over time by considering what works.,Reflect on your feelings and intentions in giving feedback.,1,Make an Origami Dragon,Hold the cube so the bar is horizontal.,Turn the cover counterclockwise if your fixture is circular.,Turn the triangle so that it is upright.,"Unfold, and then repeat the kite fold from the top corner.",3,Keep Safe in African Lands With Predators,Avoid conflict if the hypocritical behavior is minor and harmless.,"Go with full-size, thin pads if you want total coverage and comfort.",Know where which animals will be there.,Look at full-service brokers if you want a lot of personal advice.,2,Build a Siren,"Trace out a ""shark fin"" shape.",Mix together your seasonings.,Gently stir in 6 cups of rice cereal.,"Place 3 boneless, skinless chicken breasts into a medium-size pot.",0,Collect Pokémon Cards,Pick your method of organization.,Talk with your child to help build their communication skills.,Spend time around your mouse in its cage.,Offer an anecdote to help readers connect with the subject.,0,Look Like Kourtney Kardashian,"Tie the string around the tassel, ½ inch (1.27 centimeters) down from the top.",Put a cap on it.,Take care of your scalp.,Cut a piece of suede cord to ten inches.,1,Disable BIOS Memory Options,"Allow the person to swallow each pill individually, if they prefer",Remove the turf from the area inside the planter,"Press the ""Change"" key",Mount the cameras together physically,2,Become a Surgical Technologist,Decide which PhD programs you will apply to.,Gain experience in the field.,Earn your CPR and BLS certifications.,Consider what kind of higher education you want.,2,14
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Cite a Movie,Use the last name of the author and the year of publication for parenthetical citations.,Use the name of the composer for compositions.,"Include the names of performers, if relevant.",Create a footnote for an entire edited book.,2,Become a Systems Engineer,Stay connected to the best free professional development resources for school counselors in the field from the National Office For School Counselor Advocacy (Sign up for their free Own the Turf Kit) [1]; the National Center for School Counseling Outcome Research & Evaluation (CSCORE) [www.cscore.org]; and the Center for Excellence in School Counseling and Leadership (CESCAL) including their free flashlight-builder program for school counseling program development.,Take business and project management electives.,Spend time job shadowing.,Use Fiverr to find jobs doing skilled and unskilled tasks.,1,Build a Box,Lay out the boards.,Measure your cuts and bends.,Cut out the horseshoe shape.,Sew along the pinned edges.,1,Make a Crown Sinnet,Start with two separate strings.,Figure out how long it will be.,Talk with your hair stylist.,Use “I” statements when the discussion happens.,0,Find a Guarantor,Decide what type of tea party you are hosting.,Decorate with grass table skirts.,Decide what type of contract you are seeking.,Consider using email to send out the slumber party request.,2,Clean the Kitchen Before Bed,Apply some alcohol on a cloth.,Fill the sink with water that is as hot as you can touch.,Set up a ladder or a chair if your light fixture is too high for you to reach.,"Buy a kettle, a funnel and unbleached filters for your pour-over brew.",1,Raise Cattle,Use congruence to obtain a wanted outcome.,Use cornstarch packing peanuts.,Keep up with feeding and/or pasture management.,Adjust the length of training sessions as the dog ages.,2,Make Dumplings for Soup,Love thy neighbor and everyone else’s too if possible:   Spread love large heartedly,Drop spoonfuls of the batter onto your hot soup or stew,Research the background of off lease computers offered by each seller on your list,Choose a board that’s longer than 12,1,Use an Ehmer Sling,Place the shoes in a mesh bag or pillow case.,Ice your elbow several times a day.,Set the injured limb.,Pick trees like alders and willows.,2,End a Best Man's Speech,"Spot signs of contempt, such as mocking, sneering, or hostile insults.","If the bully is sitting right behind you and is poking you in the head and/or saying insults, ignore them.",Avoid using humor to criticizes others.,Check for possible indicators that are easier to spot.,2,Identify Key Competitors in Marketing,Look for companies with a competitive advantage.,Decide if you have trust issues.,Talk to your best friend.,"See if your relationship is ""on again, off again"".",0,Tube Feed a Cat,Watch for a bow to accompany greetings.,"Grab the knob to the pacifier's face mask, where the holder mechanism and mask meet.",Keep extra supplies on hand.,Let your guinea pig play outside of their cage.,2,Use LinkedIn,Price your ebook competitively.,Start your own online discussion community.,Pack thinking about mix and matching.,Add your website or your company's website and your Twitter or blog information.,3,Work Safely on Railway Tracks (UK),Choose a time when your existing dog will not be home.,Compress the chest 30 times with several fingers.,Get to a position of safety as soon as you notice a train approaching or are given a warning of an approaching train.,Know the risk factors related to the environment you are swimming in.,2,Make a Pacifier Clip,"Fold the fabric, right sides together, so that one flap extends a little beyond the other.","Pin a straight pin through all 3 layers, approximately ¼ inch from each open end.","Screw the mount to the ceiling using a #8×3/4"" flat head screw.",Turn the wraps right side out by pulling the fabric out through the open point.,1,8
