Title,Description,Keywords,sentence1,sentence2,sentence3,sentence4,sentence5
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","An expectorant promotes the expulsion of mucus from the lungs. 
","eliminate is the same as exclude 
","To understand the event ""Grandma died."", it is important to know that Grandma was probably old. 
","a sailboat is a machine for transportation 
","a person wants good health 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to find a lizard in kansas 
","The statement ""a person wants cold beer and warm women"" is true because Beer tastes better cold 
","Bone meal is a plant fertilizer. 
","Banks put new money into circulation. 
","To understand the event ""Alice lit a candle with a match."", it is important to know that Candles produce light when they are burning with fire 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","An activity someone can do is take a leak 
","Icing can coat a cake. 
","We write with pens 
","If you want to paint then you should dip your brush into the paint and touch it to the paper 
","people are mad 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","The first thing you do when you have lunch is pour a glass of milk. 
","You would have food because you want to feed your family. 
","You would drive your car because you want to go somewhere outside of walking distance 
","Somewhere someone can be is at the Rocky Mountains 
","Children begin to learn more advanced concepts in middle school 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","During the demonstration, you would throw a fire bomb 
","a back yard is used for cooking out 
","A person can train a pig. 
","something can be at a place, anyplace. 
","You would play football because you want to play a sport. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Oxen can pull a heavy wagon 
","Extreme fear would make you want to lose consciousness 
","Something that might happen when you pretend is people believe you 
","To understand the event ""George has a lot of money. George will not give money to the poor."", it is important to know that George is saving all his money for his own use 
","The story ""Walking Around A Lake"" has the step ""I felt refreshed."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to find a potato in the garden 
","The chess king is the most important piece. 
","The statement ""One of the things you do when you going out at night is put on a tie"" is true because That may be the custom. 
","a duffel bag is used for holding duffels 
","Another way to say ""A company can ship a container."" is ""you can pay a company to ship a container"" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a person wants to understand themself. 
","To understand the event ""Bob's sister died."", it is important to know that Bob will probablary miss his sister 
","The movie Tron will help you escape reality. 
","It is often shaped like glasses. 
","Another way to say ""a field is for cultivating crops"" is ""Crops can be cultivated in a field."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Another way to say ""a vegetarian wants to avoid eating meat"" is ""A vegetarian doesn't want to eat meat"" 
","You are likely to find a drum in a band 
","a person doesn't want to be poor and homeless. 
","Shushi is a Japanese type of food 
","Berne is part of Switzerland 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to find a front yard in front of house 
","a dental chair is used for dental patients to sit in while they are having their teeth cleaned 
","Something you find in a bedroom is a bed 
","Something you find at a museum is display cases 
","mathematics is the ultimate headache 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You would serve justice because you want to keep the peace 
","To understand the event ""I went diving."", it is important to know that ... or I'll rent it. 
","wool is the hair fiber of sheep. 
","Something you might do while watching a film is cry 
","To understand the event ""Our local football team spent extra hours practicing this week. The annual championship game was won by the local team."", it is important to know that training takes time 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Situation: everything is connected 
","humans can free trapped birds 
","this is lightning 
","monty python is a television show 
","A comb is for combing one's hair. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","The statement ""Most people do not like being rained on."" helps answer the question ""Why do so many people use umbrellas?"" 
","A person does not want to go to a quack. 
","A gay male wants to be with another male. 
","One can meet others in many places. 
","going to a performance requires tickets 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","A guitar is a musical instrument 
","To understand the event ""Jason wanted to make a difference in the world. Jason studied to be a scientist."", it is important to know that A scientist adds to knowledge of the natural world 
","A Drug Dealer can offer Drugs 
","when you have a book, you can read it 
","You are likely to find a fox in Pennslyvania 
"
