Title,Description,Keywords,QUESTION1,ANS1,SEN1,Answer.P1,Answer.P2,Answer.P3
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Lyme disease is caused by what kind of organim?,bacteria,Lyme disease is caused by bacteria.,Bacteria is the organism that causes Lyme Disease.,Lyme disease is contracted from a certain form of bacteria.,Bacteria can cause many health issues.  Lyme Disease is one example of that.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Lyme disease is caused by what kind of organim?,bacteria,Lyme disease is caused by bacteria.,Bacteria causes Lyme disease.,Lyme disease is caused by an organism known as bacteria.,"There is a type of organism, known as a bacteria, that causes Lyme disease."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Lyme disease is caused by what kind of organim?,bacteria,Lyme disease is caused by bacteria.,Bacteria is the organism that causes Lyme disease.,The organism that causes Lyme disease is bacteria.,The organism responsible for causing Lyme disease is bacteria.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",All of the petals together are called what?,corolla,All of the petals together are called a corolla.,"All together, the petals are call a corolla.","When you look at all of the petals together, you call it a corolla.","Even though a petal on its own is called a petal, there is a name for all of the petals when they are together. It is called a corolla."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",All of the petals together are called what?,corolla,All of the petals together are called a corolla.,Together all of the petals are called a corolla.,A corolla is a term to address all of the petals together.,All of the petals together can be referenced as a corolla.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",All of the petals together are called what?,corolla,All of the petals together are called a corolla.,"When all petals are together, it is called a corolla.",A corolla is what all petals together is named.,A corolla is the term for all petals together.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is an individual with more than the correct number of chromosome sets called?,polyploid,A(n) polyploid is an individual with more than the correct number of chromosome sets.,"If an individual has more chromosome sets than is correct, it is known as a polypoid.",An increase in chromosome sets in an individual causes it to be known as a polypoid.,All individuals with more chromosome sets than usual are called polypoids.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is an individual with more than the correct number of chromosome sets called?,polyploid,A(n) polyploid is an individual with more than the correct number of chromosome sets.,An individual with more than the correct number of chromosome sets is a polyploid.,An individual is a polyploid if it has more than the correct number of chromosome sets.,"When an individual has more than the correct number of chromosome sets, it is known as a polyploid."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is an individual with more than the correct number of chromosome sets called?,polyploid,A(n) polyploid is an individual with more than the correct number of chromosome sets.,An individual with more than the correct number of chromosome sets is called polyploid.,Polyploids have more than the correct number of chromosome sets.,"When an individual has more than the correct number of chromosome sets, they are called polyploid."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is another name for the vertebral column?,backbone,Backbone is another name for the vertebral column.,The vertebral column is also known as the backbone.,Backbone is a common name for the vertebral column.,The vertebral column is often referred to as the backbone.
