Title,Description,Keywords,source,generation,type
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I gave my friend a Popsicle covered in ants,Where did you get the ants from?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jeremy tells Todd that his new girlfriend seems like a kind person,Why is Todd so kind towards Jeremy?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I poured bleach on my neighbor's plants while they were away,Have you tried cleaning them yourself?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I took her picture and asked her to sing for me,Would she come to sing for you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being clumsy.,Was it any good?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I drive the speed limit through school zones,Does a school zone have a speed limit?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I made my stepdad's Koolaid with half the sugar since he is diabetic,Have you tried making your own?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",seeking out information on the company you work for.,Is there a way to find out more about your company?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Joe talks about himself and his favorite subjects that disinterest Sarah,How did Sarah react?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",treating employees like they're replaceable,Did the employees work hard for you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I could only grab one thing before the tornado hit, so I grabbed my puppy and left my Picasso",Why were you grabbing one thing and leaving another?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Tyler, feeling less inhibitions because of the alcohol, makes some suggestive comments to his friend's spouse",Do you like to get compliments?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Leah goes and picks up her daughter then finishes her presentation at home,Would you take your daughter to a movie after she finishes her presentation?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jackson orders one large pizza and a drink for himself,Does Jackson like pizza?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",posting fake product reviews.,Are the comments legitimate?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Sarah welcomes people of all races to her restaurant, so long as they follow dress code",What kind of dress code is Sarah concerned about?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I shoved the child who was about to fall into a hole,When did the child fall into the hole?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",saying no to a marriage proposal.,Who are you saying no to?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I poured the soap into a dispensing bottle,Have you given your soap a trial run?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I helped clean the school's toilets when the janitor was sick,Where do you live?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Brock volunteers at the local homeless shelter every day and helps people who are less fortunate than him,Was Brock good at helping out the homeless?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",asking questions about local restaurants before you go there.,Why are you asking questions about local restaurants?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",John hurriedly rushes past his neighbor and heads back home and makes lunch,Is John on his way home?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",finding a partner that you find interesting.,Are you looking for a long-term relationship?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Dave flips through the channels and finds a Conway Twitty concert from the 70's and decides to put that channel on,Does Dave like Conway Twitty?,pipeline
