Title,Description,Keywords,Input.Q1PairID,Input.Q1Paraphrase,Input.Q1Target,Input.Q1TestSentence,Input.Q2PairID,Input.Q2Paraphrase,Input.Q2Target,Input.Q2TestSentence,Input.Q3PairID,Input.Q3Paraphrase,Input.Q3Target,Input.Q3TestSentence,Input.Q4PairID,Input.Q4Paraphrase,Input.Q4Target,Input.Q4TestSentence,Input.Q5PairID,Input.Q5Paraphrase,Input.Q5Target,Input.Q5TestSentence,Input.Q6PairID,Input.Q6Paraphrase,Input.Q6Target,Input.Q6TestSentence,Input.Q7PairID,Input.Q7Paraphrase,Input.Q7Target,Input.Q7TestSentence,Input.Q8PairID,Input.Q8Paraphrase,Input.Q8Target,Input.Q8TestSentence,Input.Q9PairID,Input.Q9Paraphrase,Input.Q9Target,Input.Q9TestSentence,Input.Q10PairID,Input.Q10Paraphrase,Input.Q10Target,Input.Q10TestSentence,Input.QXPairID,Input.QXParaphrase,Input.QXTarget,Input.QXTestSentence,Answer.Q10Answer,Answer.Q1Answer,Answer.Q2Answer,Answer.Q3Answer,Answer.Q4Answer,Answer.Q5Answer,Answer.Q6Answer,Answer.Q7Answer,Answer.Q8Answer,Answer.Q9Answer,Answer.QXAnswer,Approve,Reject
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.sorry.pathetic.7,pathetic,sorry,"so you couldtell us how <b><font color=""blue"">sorry</font></b> you are ... ... you had to slap our cousin albert around ?",NN.function.operation.1,operation,function,"( ii ) an operation manual prepared by the designer or manufacturer of the ride describing the <b><font color=""blue"">function</font></b> and operation of the components of the ride and instructions for the safe usage of the ride ; and",JJ.rough.coarse.1,coarse,rough,"the bearing capacity factor nγ was determined for both smooth and <b><font color=""blue"">rough</font></b> ring footings using the method of stress characteristics .",VB.manage.cope.7,cope,manage,"i do n&apos;t know how you will <b><font color=""blue"">manage</font></b> when jose leaves .",RB.closely.intimately.9,intimately,closely,"( ii ) any place where a substantial part of the obligations of the commercial relationship is to be performed or the place with which the subject-matter of the dispute is most <b><font color=""blue"">closely</font></b> connected ;",JJ.open.unlocked.1,unlocked,open,"the door will be <b><font color=""blue"">open</font></b> when they approach it , but they will only be allowed to come in when they are ready .",JJ.rough.approximate.3,approximate,rough,"however they can be used to obtain <b><font color=""blue"">rough</font></b> estimates for ocean waves .",JJ.open.unlocked.8,unlocked,open,"\ xe2 \ x80 when you click on a link , you &apos;ll leave this window but it will remain <b><font color=""blue"">open</font></b> .",NN.function.role.3,role,function,"bonds issuance can play an intermediary <b><font color=""blue"">function</font></b> in transforming savings of the sar into long-term capital for our industrial and commercial sectors to help the long-term economic development of the sar ;",NN.market.supermarket.2,supermarket,market,"however , in small towns , consumers still buy their food at the local <b><font color=""blue"">market</font></b> .",ctrl.VB/d/00001440.pp1.0,downgrade,decline,"they argued that , if any major personnel changes were made on top of this , operational continuity would be disrupted and the boards and councils would then probably <b><font color=""blue"">decline</font></b> in the esteem of members of the public .",1,1,1,1,1,1,1,1,0,1,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.sorry.pathetic.7,pathetic,sorry,"so you couldtell us how <b><font color=""blue"">sorry</font></b> you are ... ... you had to slap our cousin albert around ?",NN.function.operation.1,operation,function,"( ii ) an operation manual prepared by the designer or manufacturer of the ride describing the <b><font color=""blue"">function</font></b> and operation of the components of the ride and instructions for the safe usage of the ride ; and",JJ.rough.coarse.1,coarse,rough,"the bearing capacity factor nγ was determined for both smooth and <b><font color=""blue"">rough</font></b> ring footings using the method of stress characteristics .",VB.manage.cope.7,cope,manage,"i do n&apos;t know how you will <b><font color=""blue"">manage</font></b> when jose leaves .",RB.closely.intimately.9,intimately,closely,"( ii ) any place where a substantial part of the obligations of the commercial relationship is to be performed or the place with which the subject-matter of the dispute is most <b><font color=""blue"">closely</font></b> connected ;",JJ.open.unlocked.1,unlocked,open,"the door will be <b><font color=""blue"">open</font></b> when they approach it , but they will only be allowed to come in when they are ready .",JJ.rough.approximate.3,approximate,rough,"however they can be used to obtain <b><font color=""blue"">rough</font></b> estimates for ocean waves .",JJ.open.unlocked.8,unlocked,open,"\ xe2 \ x80 when you click on a link , you &apos;ll leave this window but it will remain <b><font color=""blue"">open</font></b> .",NN.function.role.3,role,function,"bonds issuance can play an intermediary <b><font color=""blue"">function</font></b> in transforming savings of the sar into long-term capital for our industrial and commercial sectors to help the long-term economic development of the sar ;",NN.market.supermarket.2,supermarket,market,"however , in small towns , consumers still buy their food at the local <b><font color=""blue"">market</font></b> .",ctrl.VB/d/00001440.pp1.0,downgrade,decline,"they argued that , if any major personnel changes were made on top of this , operational continuity would be disrupted and the boards and councils would then probably <b><font color=""blue"">decline</font></b> in the esteem of members of the public .",1,-2,1,1,1,1,1,1,-2,1,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.sorry.pathetic.7,pathetic,sorry,"so you couldtell us how <b><font color=""blue"">sorry</font></b> you are ... ... you had to slap our cousin albert around ?",NN.function.operation.1,operation,function,"( ii ) an operation manual prepared by the designer or manufacturer of the ride describing the <b><font color=""blue"">function</font></b> and operation of the components of the ride and instructions for the safe usage of the ride ; and",JJ.rough.coarse.1,coarse,rough,"the bearing capacity factor nγ was determined for both smooth and <b><font color=""blue"">rough</font></b> ring footings using the method of stress characteristics .",VB.manage.cope.7,cope,manage,"i do n&apos;t know how you will <b><font color=""blue"">manage</font></b> when jose leaves .",RB.closely.intimately.9,intimately,closely,"( ii ) any place where a substantial part of the obligations of the commercial relationship is to be performed or the place with which the subject-matter of the dispute is most <b><font color=""blue"">closely</font></b> connected ;",JJ.open.unlocked.1,unlocked,open,"the door will be <b><font color=""blue"">open</font></b> when they approach it , but they will only be allowed to come in when they are ready .",JJ.rough.approximate.3,approximate,rough,"however they can be used to obtain <b><font color=""blue"">rough</font></b> estimates for ocean waves .",JJ.open.unlocked.8,unlocked,open,"\ xe2 \ x80 when you click on a link , you &apos;ll leave this window but it will remain <b><font color=""blue"">open</font></b> .",NN.function.role.3,role,function,"bonds issuance can play an intermediary <b><font color=""blue"">function</font></b> in transforming savings of the sar into long-term capital for our industrial and commercial sectors to help the long-term economic development of the sar ;",NN.market.supermarket.2,supermarket,market,"however , in small towns , consumers still buy their food at the local <b><font color=""blue"">market</font></b> .",ctrl.VB/d/00001440.pp1.0,downgrade,decline,"they argued that , if any major personnel changes were made on top of this , operational continuity would be disrupted and the boards and councils would then probably <b><font color=""blue"">decline</font></b> in the esteem of members of the public .",1,1,1,1,1,1,1,1,1,1,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.sorry.pathetic.7,pathetic,sorry,"so you couldtell us how <b><font color=""blue"">sorry</font></b> you are ... ... you had to slap our cousin albert around ?",NN.function.operation.1,operation,function,"( ii ) an operation manual prepared by the designer or manufacturer of the ride describing the <b><font color=""blue"">function</font></b> and operation of the components of the ride and instructions for the safe usage of the ride ; and",JJ.rough.coarse.1,coarse,rough,"the bearing capacity factor nγ was determined for both smooth and <b><font color=""blue"">rough</font></b> ring footings using the method of stress characteristics .",VB.manage.cope.7,cope,manage,"i do n&apos;t know how you will <b><font color=""blue"">manage</font></b> when jose leaves .",RB.closely.intimately.9,intimately,closely,"( ii ) any place where a substantial part of the obligations of the commercial relationship is to be performed or the place with which the subject-matter of the dispute is most <b><font color=""blue"">closely</font></b> connected ;",JJ.open.unlocked.1,unlocked,open,"the door will be <b><font color=""blue"">open</font></b> when they approach it , but they will only be allowed to come in when they are ready .",JJ.rough.approximate.3,approximate,rough,"however they can be used to obtain <b><font color=""blue"">rough</font></b> estimates for ocean waves .",JJ.open.unlocked.8,unlocked,open,"\ xe2 \ x80 when you click on a link , you &apos;ll leave this window but it will remain <b><font color=""blue"">open</font></b> .",NN.function.role.3,role,function,"bonds issuance can play an intermediary <b><font color=""blue"">function</font></b> in transforming savings of the sar into long-term capital for our industrial and commercial sectors to help the long-term economic development of the sar ;",NN.market.supermarket.2,supermarket,market,"however , in small towns , consumers still buy their food at the local <b><font color=""blue"">market</font></b> .",ctrl.VB/d/00001440.pp1.0,downgrade,decline,"they argued that , if any major personnel changes were made on top of this , operational continuity would be disrupted and the boards and councils would then probably <b><font color=""blue"">decline</font></b> in the esteem of members of the public .",1,1,1,-1,1,-1,1,1,1,1,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.sorry.pathetic.7,pathetic,sorry,"so you couldtell us how <b><font color=""blue"">sorry</font></b> you are ... ... you had to slap our cousin albert around ?",NN.function.operation.1,operation,function,"( ii ) an operation manual prepared by the designer or manufacturer of the ride describing the <b><font color=""blue"">function</font></b> and operation of the components of the ride and instructions for the safe usage of the ride ; and",JJ.rough.coarse.1,coarse,rough,"the bearing capacity factor nγ was determined for both smooth and <b><font color=""blue"">rough</font></b> ring footings using the method of stress characteristics .",VB.manage.cope.7,cope,manage,"i do n&apos;t know how you will <b><font color=""blue"">manage</font></b> when jose leaves .",RB.closely.intimately.9,intimately,closely,"( ii ) any place where a substantial part of the obligations of the commercial relationship is to be performed or the place with which the subject-matter of the dispute is most <b><font color=""blue"">closely</font></b> connected ;",JJ.open.unlocked.1,unlocked,open,"the door will be <b><font color=""blue"">open</font></b> when they approach it , but they will only be allowed to come in when they are ready .",JJ.rough.approximate.3,approximate,rough,"however they can be used to obtain <b><font color=""blue"">rough</font></b> estimates for ocean waves .",JJ.open.unlocked.8,unlocked,open,"\ xe2 \ x80 when you click on a link , you &apos;ll leave this window but it will remain <b><font color=""blue"">open</font></b> .",NN.function.role.3,role,function,"bonds issuance can play an intermediary <b><font color=""blue"">function</font></b> in transforming savings of the sar into long-term capital for our industrial and commercial sectors to help the long-term economic development of the sar ;",NN.market.supermarket.2,supermarket,market,"however , in small towns , consumers still buy their food at the local <b><font color=""blue"">market</font></b> .",ctrl.VB/d/00001440.pp1.0,downgrade,decline,"they argued that , if any major personnel changes were made on top of this , operational continuity would be disrupted and the boards and councils would then probably <b><font color=""blue"">decline</font></b> in the esteem of members of the public .",1,1,1,1,1,1,1,1,0,1,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.sorry.pathetic.7,pathetic,sorry,"so you couldtell us how <b><font color=""blue"">sorry</font></b> you are ... ... you had to slap our cousin albert around ?",NN.function.operation.1,operation,function,"( ii ) an operation manual prepared by the designer or manufacturer of the ride describing the <b><font color=""blue"">function</font></b> and operation of the components of the ride and instructions for the safe usage of the ride ; and",JJ.rough.coarse.1,coarse,rough,"the bearing capacity factor nγ was determined for both smooth and <b><font color=""blue"">rough</font></b> ring footings using the method of stress characteristics .",VB.manage.cope.7,cope,manage,"i do n&apos;t know how you will <b><font color=""blue"">manage</font></b> when jose leaves .",RB.closely.intimately.9,intimately,closely,"( ii ) any place where a substantial part of the obligations of the commercial relationship is to be performed or the place with which the subject-matter of the dispute is most <b><font color=""blue"">closely</font></b> connected ;",JJ.open.unlocked.1,unlocked,open,"the door will be <b><font color=""blue"">open</font></b> when they approach it , but they will only be allowed to come in when they are ready .",JJ.rough.approximate.3,approximate,rough,"however they can be used to obtain <b><font color=""blue"">rough</font></b> estimates for ocean waves .",JJ.open.unlocked.8,unlocked,open,"\ xe2 \ x80 when you click on a link , you &apos;ll leave this window but it will remain <b><font color=""blue"">open</font></b> .",NN.function.role.3,role,function,"bonds issuance can play an intermediary <b><font color=""blue"">function</font></b> in transforming savings of the sar into long-term capital for our industrial and commercial sectors to help the long-term economic development of the sar ;",NN.market.supermarket.2,supermarket,market,"however , in small towns , consumers still buy their food at the local <b><font color=""blue"">market</font></b> .",ctrl.VB/d/00001440.pp1.0,downgrade,decline,"they argued that , if any major personnel changes were made on top of this , operational continuity would be disrupted and the boards and councils would then probably <b><font color=""blue"">decline</font></b> in the esteem of members of the public .",0,0,1,1,1,1,1,1,0,1,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.sorry.pathetic.7,pathetic,sorry,"so you couldtell us how <b><font color=""blue"">sorry</font></b> you are ... ... you had to slap our cousin albert around ?",NN.function.operation.1,operation,function,"( ii ) an operation manual prepared by the designer or manufacturer of the ride describing the <b><font color=""blue"">function</font></b> and operation of the components of the ride and instructions for the safe usage of the ride ; and",JJ.rough.coarse.1,coarse,rough,"the bearing capacity factor nγ was determined for both smooth and <b><font color=""blue"">rough</font></b> ring footings using the method of stress characteristics .",VB.manage.cope.7,cope,manage,"i do n&apos;t know how you will <b><font color=""blue"">manage</font></b> when jose leaves .",RB.closely.intimately.9,intimately,closely,"( ii ) any place where a substantial part of the obligations of the commercial relationship is to be performed or the place with which the subject-matter of the dispute is most <b><font color=""blue"">closely</font></b> connected ;",JJ.open.unlocked.1,unlocked,open,"the door will be <b><font color=""blue"">open</font></b> when they approach it , but they will only be allowed to come in when they are ready .",JJ.rough.approximate.3,approximate,rough,"however they can be used to obtain <b><font color=""blue"">rough</font></b> estimates for ocean waves .",JJ.open.unlocked.8,unlocked,open,"\ xe2 \ x80 when you click on a link , you &apos;ll leave this window but it will remain <b><font color=""blue"">open</font></b> .",NN.function.role.3,role,function,"bonds issuance can play an intermediary <b><font color=""blue"">function</font></b> in transforming savings of the sar into long-term capital for our industrial and commercial sectors to help the long-term economic development of the sar ;",NN.market.supermarket.2,supermarket,market,"however , in small towns , consumers still buy their food at the local <b><font color=""blue"">market</font></b> .",ctrl.VB/d/00001440.pp1.0,downgrade,decline,"they argued that , if any major personnel changes were made on top of this , operational continuity would be disrupted and the boards and councils would then probably <b><font color=""blue"">decline</font></b> in the esteem of members of the public .",1,0,1,1,1,1,-2,1,1,1,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.cover.encompass.4,encompass,cover,"its scope was further expanded to <b><font color=""blue"">cover</font></b> a total of 28 designated areas in may 31 , 2002 with application timeframe extended for two years to may 31 , 2004 .",JJ.sorry.regretful.6,regretful,sorry,"as an ambassador for disarmament , i am deeply <b><font color=""blue"">sorry</font></b> that he is leaving us , yet at the same time i am delighted that he will be assuming the post of pakistan &apos;s ambassador to the people &apos;s republic of china .",JJ.soft.gentle.1,gentle,soft,"more insinuating , like a <b><font color=""blue"">soft</font></b> breeze off the river .",JJ.rude.impolite.1,impolite,rude,"• do not point their fingers or stare at other people because it is considered <b><font color=""blue"">rude</font></b> .",NN.function.role.2,role,function,"the committee wishes to underscore that the state party has primary responsibility for the implementation of the convention and recommends that the state party remain fully and directly involved in the implementation process while encouraging and supporting ngos in their important <b><font color=""blue"">function</font></b> as partners .",NN.field.discipline.9,discipline,field,"by its nature , the technology of smart materials and structures is a highly interdisciplinary <b><font color=""blue"">field</font></b> , encompassing the basic sciences - physics , chemistry , mechanics , computing and electronics - as well as the applied sciences and engineering such as aeronautics and mechanical engineering .",VB.lie.deceive.1,deceive,lie,"if understood literally , they could even oblige a witness to <b><font color=""blue"">lie</font></b> ( for example to cover up a fraud case ) if instructed to do so by superiors in the administration .",NN.home.motherland.6,motherland,home,"hong kong is our <b><font color=""blue"">home</font></b> . we are united .",RB.tight.strictly.5,strictly,tight,"are you sure you tied your hair <b><font color=""blue"">tight</font></b> enough ?",NN.match.game.6,game,match,"although not every <b><font color=""blue"">match</font></b> is perfect , the game tries to match you with the best fit .",ctrl.VP/d/00017773.pp2.2,dismiss,has been rejected,"i am delighted that the principle of financial solidarity has been retained and that the idea of cofinancing <b><font color=""blue"">has been rejected</font></b> . i am also delighted that we are moving towards a fairer financing system .",1,1,1,1,1,1,1,1,1,0,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.cover.encompass.4,encompass,cover,"its scope was further expanded to <b><font color=""blue"">cover</font></b> a total of 28 designated areas in may 31 , 2002 with application timeframe extended for two years to may 31 , 2004 .",JJ.sorry.regretful.6,regretful,sorry,"as an ambassador for disarmament , i am deeply <b><font color=""blue"">sorry</font></b> that he is leaving us , yet at the same time i am delighted that he will be assuming the post of pakistan &apos;s ambassador to the people &apos;s republic of china .",JJ.soft.gentle.1,gentle,soft,"more insinuating , like a <b><font color=""blue"">soft</font></b> breeze off the river .",JJ.rude.impolite.1,impolite,rude,"• do not point their fingers or stare at other people because it is considered <b><font color=""blue"">rude</font></b> .",NN.function.role.2,role,function,"the committee wishes to underscore that the state party has primary responsibility for the implementation of the convention and recommends that the state party remain fully and directly involved in the implementation process while encouraging and supporting ngos in their important <b><font color=""blue"">function</font></b> as partners .",NN.field.discipline.9,discipline,field,"by its nature , the technology of smart materials and structures is a highly interdisciplinary <b><font color=""blue"">field</font></b> , encompassing the basic sciences - physics , chemistry , mechanics , computing and electronics - as well as the applied sciences and engineering such as aeronautics and mechanical engineering .",VB.lie.deceive.1,deceive,lie,"if understood literally , they could even oblige a witness to <b><font color=""blue"">lie</font></b> ( for example to cover up a fraud case ) if instructed to do so by superiors in the administration .",NN.home.motherland.6,motherland,home,"hong kong is our <b><font color=""blue"">home</font></b> . we are united .",RB.tight.strictly.5,strictly,tight,"are you sure you tied your hair <b><font color=""blue"">tight</font></b> enough ?",NN.match.game.6,game,match,"although not every <b><font color=""blue"">match</font></b> is perfect , the game tries to match you with the best fit .",ctrl.VP/d/00017773.pp2.2,dismiss,has been rejected,"i am delighted that the principle of financial solidarity has been retained and that the idea of cofinancing <b><font color=""blue"">has been rejected</font></b> . i am also delighted that we are moving towards a fairer financing system .",1,1,1,1,1,1,1,1,1,0,1,,
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.cover.encompass.4,encompass,cover,"its scope was further expanded to <b><font color=""blue"">cover</font></b> a total of 28 designated areas in may 31 , 2002 with application timeframe extended for two years to may 31 , 2004 .",JJ.sorry.regretful.6,regretful,sorry,"as an ambassador for disarmament , i am deeply <b><font color=""blue"">sorry</font></b> that he is leaving us , yet at the same time i am delighted that he will be assuming the post of pakistan &apos;s ambassador to the people &apos;s republic of china .",JJ.soft.gentle.1,gentle,soft,"more insinuating , like a <b><font color=""blue"">soft</font></b> breeze off the river .",JJ.rude.impolite.1,impolite,rude,"• do not point their fingers or stare at other people because it is considered <b><font color=""blue"">rude</font></b> .",NN.function.role.2,role,function,"the committee wishes to underscore that the state party has primary responsibility for the implementation of the convention and recommends that the state party remain fully and directly involved in the implementation process while encouraging and supporting ngos in their important <b><font color=""blue"">function</font></b> as partners .",NN.field.discipline.9,discipline,field,"by its nature , the technology of smart materials and structures is a highly interdisciplinary <b><font color=""blue"">field</font></b> , encompassing the basic sciences - physics , chemistry , mechanics , computing and electronics - as well as the applied sciences and engineering such as aeronautics and mechanical engineering .",VB.lie.deceive.1,deceive,lie,"if understood literally , they could even oblige a witness to <b><font color=""blue"">lie</font></b> ( for example to cover up a fraud case ) if instructed to do so by superiors in the administration .",NN.home.motherland.6,motherland,home,"hong kong is our <b><font color=""blue"">home</font></b> . we are united .",RB.tight.strictly.5,strictly,tight,"are you sure you tied your hair <b><font color=""blue"">tight</font></b> enough ?",NN.match.game.6,game,match,"although not every <b><font color=""blue"">match</font></b> is perfect , the game tries to match you with the best fit .",ctrl.VP/d/00017773.pp2.2,dismiss,has been rejected,"i am delighted that the principle of financial solidarity has been retained and that the idea of cofinancing <b><font color=""blue"">has been rejected</font></b> . i am also delighted that we are moving towards a fairer financing system .",1,1,1,1,1,1,-2,1,1,-2,1,,
