Title,Description,Keywords,generation,type,source,Answer.fluency,Answer.grammar,Answer.meaningful,Answer.overall
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much water do you waste to heat your home?,a_star_sample,waste | heat | water,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much water do you waste to heat your home?,a_star_sample,waste | heat | water,2,2,0,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much water do you waste to heat your home?,a_star_sample,waste | heat | water,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the major exports from Norman?,a_star_sample,Norman | major | exports,0,0,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the major exports from Norman?,a_star_sample,Norman | major | exports,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the major exports from Norman?,a_star_sample,Norman | major | exports,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the choice of measure to be adopted?,a_star_sample,measure | adopted | choice,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the choice of measure to be adopted?,a_star_sample,measure | adopted | choice,0,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the choice of measure to be adopted?,a_star_sample,measure | adopted | choice,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much oxygen is needed for cellular respiration?,a_star_sample,oxygen | cellular | respiration,0,2,0,0
