Title,Action
(2021) Group B Part 1,sandbox tasks\(2021) Group B Part 1\template.html
1-question survey Which Option Would You Prefer,sandbox tasks\1-question survey Which Option Would You Prefer\template.html
A study to explore the relationship between a student athlete’s Courageous follower Role and swer a survey about your opinions,sandbox tasks\A study to explore the relationship between a student athlete’s Courageous follower Role and swer a survey about your opinions\template.html
Analogies,sandbox tasks\Analogies\template.html
Analogies for explaining concepts,sandbox tasks\Analogies for explaining concepts\template.html
Analogies for explaining machine learning concepts,sandbox tasks\Analogies for explaining machine learning concepts\template.html
Analogies for science concepts,sandbox tasks\Analogies for science concepts\template.html
Answer a survey about the use of social media by infertility clinics and infertility doctors,sandbox tasks\Answer a survey about the use of social media by infertility clinics and infertility doctors\template.html
Answer simple multiple choice questions about yourself to unlock ProductPinion HITs,sandbox tasks\Answer simple multiple choice questions about yourself to unlock ProductPinion HITs\template.html
ASPECTSUM ID Perjury,sandbox tasks\ASPECTSUM ID Perjury\template.html
BlackAfrican American Linguistics Research,sandbox tasks\BlackAfrican American Linguistics Research\template.html
Classification of Journalists,sandbox tasks\Classification of Journalists\template.html
Classify a search query,sandbox tasks\Classify a search query\template.html
Counterspeech generation,sandbox tasks\Counterspeech generation\template.html
Counterspeech generation (hindi),sandbox tasks\Counterspeech generation (hindi)\template.html
CPBDR LEFTNAV TEST_27748d6c-b0b6-4fed-b7c3-2a34a5e1b351,sandbox tasks\CPBDR LEFTNAV TEST_27748d6c-b0b6-4fed-b7c3-2a34a5e1b351\template.html
CS Paper Theoretical or Application,sandbox tasks\CS Paper Theoretical or Application\template.html
Date Time,sandbox tasks\Date Time\template.html
dd,sandbox tasks\dd\template.html
Detect metaphors in English,sandbox tasks\Detect metaphors in English\template.html
Determine which response has more hallucination given a document,sandbox tasks\Determine which response has more hallucination given a document\template.html
Dialogue Quality Review,sandbox tasks\Dialogue Quality Review\template.html
"Dialogue Quality Review, PP - 0","sandbox tasks\Dialogue Quality Review, PP - 0\template.html"
Ego4D Narrations to Atomic-2020 Goals Validation,sandbox tasks\Ego4D Narrations to Atomic-2020 Goals Validation\template.html
emotion explanation for image caption,sandbox tasks\emotion explanation for image caption\template.html
Empathic Conversation Emotional Polarity Annotation 37,sandbox tasks\Empathic Conversation Emotional Polarity Annotation 37\template.html
Empathic Conversation Self-Disclosure Annotation 69_1,sandbox tasks\Empathic Conversation Self-Disclosure Annotation 69_1\template.html
Events and their properties,sandbox tasks\Events and their properties\template.html
Fact Extraction from Sentences (full batch 25 Aug 2022),sandbox tasks\Fact Extraction from Sentences (full batch 25 Aug 2022)\template.html
FinalRealFonQA,sandbox tasks\FinalRealFonQA\template.html
Find a suitable relation for the given entities,sandbox tasks\Find a suitable relation for the given entities\template.html
Find all the Events in News Articles Sentences,sandbox tasks\Find all the Events in News Articles Sentences\template.html
Find the official website,sandbox tasks\Find the official website\template.html
Gas,sandbox tasks\Gas\template.html
Gas receipt discount info,sandbox tasks\Gas receipt discount info\template.html
Gather share company information,sandbox tasks\Gather share company information\template.html
guess which caption is better,sandbox tasks\guess which caption is better\template.html
guess which caption matches which cartoon,sandbox tasks\guess which caption matches which cartoon\template.html
Identify maintenance road signage with Bounding Boxes,sandbox tasks\Identify maintenance road signage with Bounding Boxes\template.html
identify sources in news articles,sandbox tasks\identify sources in news articles\template.html
Is the highlighted span supported by the document (ms2-test),sandbox tasks\Is the highlighted span supported by the document (ms2-test)\template.html
Is the highlighted span supported by the document (ms2-test-2),sandbox tasks\Is the highlighted span supported by the document (ms2-test-2)\template.html
"Is the highlighted span supported by the document (pred-hints, 50998, trunc)","sandbox tasks\Is the highlighted span supported by the document (pred-hints, 50998, trunc)\template.html"
"Is the highlighted span supported by the document (pred-hints, 62260, trunc)","sandbox tasks\Is the highlighted span supported by the document (pred-hints, 62260, trunc)\template.html"
"Is the highlighted span supported by the document (pred-hints, 62997, sents)","sandbox tasks\Is the highlighted span supported by the document (pred-hints, 62997, sents)\template.html"
"Is the highlighted span supported by the document (pred-hints, 62997, trunc)","sandbox tasks\Is the highlighted span supported by the document (pred-hints, 62997, trunc)\template.html"
Is the highlighted span supported by the document (upwk-3-30004-split-0),sandbox tasks\Is the highlighted span supported by the document (upwk-3-30004-split-0)\template.html
istanbul-UAT-test-UBC_7f4d141f-90a2-4804-abaf-d56bcd314248,sandbox tasks\istanbul-UAT-test-UBC_7f4d141f-90a2-4804-abaf-d56bcd314248\template.html
Judge if a concept applies to an image,sandbox tasks\Judge if a concept applies to an image\template.html
Judge Story Quality,sandbox tasks\Judge Story Quality\template.html
Lable the stances of the tweet related to climated changes,sandbox tasks\Lable the stances of the tweet related to climated changes\template.html
LILY Summarization Evaluation Ansong,sandbox tasks\LILY Summarization Evaluation Ansong\template.html
Opinion Annotation - No Qual,sandbox tasks\Opinion Annotation - No Qual\template.html
Peyment Method,sandbox tasks\Peyment Method\template.html
Pick the best category,sandbox tasks\Pick the best category\template.html
Predicting Emotions Towards Topics,sandbox tasks\Predicting Emotions Towards Topics\template.html
Provoking Sentences Annotation,sandbox tasks\Provoking Sentences Annotation\template.html
Question Answering,sandbox tasks\Question Answering\template.html
Re-label patient need 1700-1900,sandbox tasks\Re-label patient need 1700-1900\template.html
Re-label patient need 2100-2300,sandbox tasks\Re-label patient need 2100-2300\template.html
Re-label patient need 2300-2500,sandbox tasks\Re-label patient need 2300-2500\template.html
Recycling,sandbox tasks\Recycling\template.html
Sarcasm detection in news headlines,sandbox tasks\Sarcasm detection in news headlines\template.html
Scholar Box Development,sandbox tasks\Scholar Box Development\template.html
Scholar Box Staging,sandbox tasks\Scholar Box Staging\template.html
Scholar Box Staging 2022,sandbox tasks\Scholar Box Staging 2022\template.html
Site,sandbox tasks\Site\template.html
Test batch,sandbox tasks\Test batch\template.html
TestingQA,sandbox tasks\TestingQA\template.html
TestingQAV2,sandbox tasks\TestingQAV2\template.html
TrainingR1Wol,sandbox tasks\TrainingR1Wol\template.html
Transcribe a Recipe Card,sandbox tasks\Transcribe a Recipe Card\template.html
Transcriptor Application,sandbox tasks\Transcriptor Application\template.html
Translate sentences from English into Russian,sandbox tasks\Translate sentences from English into Russian\template.html
ubc_deduplication_copy_2593cca9-97ce-434c-a3ca-ae2ff915e55a,sandbox tasks\ubc_deduplication_copy_2593cca9-97ce-434c-a3ca-ae2ff915e55a\template.html
Understanding Word Assocations,sandbox tasks\Understanding Word Assocations\template.html
User study for Image Harmonization - PIH,sandbox tasks\User study for Image Harmonization - PIH\template.html
User study for Image Harmonization and Composition - PIH,sandbox tasks\User study for Image Harmonization and Composition - PIH\template.html
Verify a news headline's sarcastic label,sandbox tasks\Verify a news headline's sarcastic label\template.html
View the media and tell us about the quality. e66,sandbox tasks\View the media and tell us about the quality. e66\template.html
What emotion does this text convey,sandbox tasks\What emotion does this text convey\template.html
Write an assistant conversation,sandbox tasks\Write an assistant conversation\template.html
[Qualification task] Wrong Assumptions in Questions using google,sandbox tasks\[Qualification task] Wrong Assumptions in Questions using google\template.html
[Qualification task] Wrong Assumptions in Questions using reponse,sandbox tasks\[Qualification task] Wrong Assumptions in Questions using reponse\template.html
