Title,Description,Keywords,Q1PairID,Q1Paraphrase,Q1Target,Q1TestSentence,Q2PairID,Q2Paraphrase,Q2Target,Q2TestSentence,Q3PairID,Q3Paraphrase,Q3Target,Q3TestSentence,Q4PairID,Q4Paraphrase,Q4Target,Q4TestSentence,Q5PairID,Q5Paraphrase,Q5Target,Q5TestSentence,Q6PairID,Q6Paraphrase,Q6Target,Q6TestSentence,Q7PairID,Q7Paraphrase,Q7Target,Q7TestSentence,Q8PairID,Q8Paraphrase,Q8Target,Q8TestSentence,Q9PairID,Q9Paraphrase,Q9Target,Q9TestSentence,Q10PairID,Q10Paraphrase,Q10Target,Q10TestSentence,QXPairID,QXParaphrase,QXTarget,QXTestSentence,Answer.Q10Answer,Answer.Q1Answer,Answer.Q2Answer,Answer.Q3Answer,Answer.Q4Answer,Answer.Q5Answer,Answer.Q6Answer,Answer.Q7Answer,Answer.Q8Answer,Answer.Q9Answer,Answer.QXAnswer
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN/b/00025696.pp2.2,bug,parasite,"no , we know that that thing infected his girlfriend , so it &apos;s a <b><font color=""blue"">parasite</font></b> , right ?",NP/a/00203520.pp2.3,any area,field,"relationship of job to <b><font color=""blue"">field</font></b> of study is based on the graduates &quot; perception .",VB/e/00001575.pp2.2,elongate,lie,"so , the ghost ran away , one thought in his head - to go back to his old house and <b><font color=""blue"">lie</font></b> down in his bed .",NN/f/00006129.pp2.0,field,topic,"he cooperates closely with the african union on this <b><font color=""blue"">topic</font></b> , and has played an active part in discussions on this draft at the invitation of the african union commission .",NP/m/00009524.pp2.1,match,the competition,"a total of 68 entries were received in <b><font color=""blue"">the competition</font></b> .",RB/c/00001767.pp2.3,closely,closer,"finally , he had encouraged the authorities to plan cultural exchange programmes so as to enable the roma and the majority population to draw <b><font color=""blue"">closer</font></b> to one another .",VP/d/00028661.pp1.0,draw,doing so,"it is a democratic decision we are respecting , and i am pleased that mr papayannakis is sympathetic to our <b><font color=""blue"">doing so</font></b> .",RB/r/00000355.pp2.1,realistically,really,"these nurses <b><font color=""blue"">really</font></b> became angels of mercy , and no veteran has ever forgotten them .",JJ/d/00006504.pp1.1,sorry,deplorable,"i fully share my group chairman &apos;s reaction to the <b><font color=""blue"">deplorable</font></b> and unacceptable behaviour of israel in jericho yesterday , not to mention the strange behaviour - to say the least - of us and british troops .",NP/b/00011276.pp1.2,the vessel,board,"one buoy per line must be on <b><font color=""blue"">board</font></b> the vessel when tended lines are used .",ctrl.NN/c/00053743.pp1.2,ring,cordon,"following his assumption of the command of ecomog in late march , the new force commander , major-general felix mujakperuo , launched an offensive to provide a larger security <b><font color=""blue"">cordon</font></b> around lungi and freetown .",0,1,1,0,1,0,1,0,0,1,1
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN/b/00025696.pp2.2,bug,parasite,"no , we know that that thing infected his girlfriend , so it &apos;s a <b><font color=""blue"">parasite</font></b> , right ?",NP/a/00203520.pp2.3,any area,field,"relationship of job to <b><font color=""blue"">field</font></b> of study is based on the graduates &quot; perception .",VB/e/00001575.pp2.2,elongate,lie,"so , the ghost ran away , one thought in his head - to go back to his old house and <b><font color=""blue"">lie</font></b> down in his bed .",NN/f/00006129.pp2.0,field,topic,"he cooperates closely with the african union on this <b><font color=""blue"">topic</font></b> , and has played an active part in discussions on this draft at the invitation of the african union commission .",NP/m/00009524.pp2.1,match,the competition,"a total of 68 entries were received in <b><font color=""blue"">the competition</font></b> .",RB/c/00001767.pp2.3,closely,closer,"finally , he had encouraged the authorities to plan cultural exchange programmes so as to enable the roma and the majority population to draw <b><font color=""blue"">closer</font></b> to one another .",VP/d/00028661.pp1.0,draw,doing so,"it is a democratic decision we are respecting , and i am pleased that mr papayannakis is sympathetic to our <b><font color=""blue"">doing so</font></b> .",RB/r/00000355.pp2.1,realistically,really,"these nurses <b><font color=""blue"">really</font></b> became angels of mercy , and no veteran has ever forgotten them .",JJ/d/00006504.pp1.1,sorry,deplorable,"i fully share my group chairman &apos;s reaction to the <b><font color=""blue"">deplorable</font></b> and unacceptable behaviour of israel in jericho yesterday , not to mention the strange behaviour - to say the least - of us and british troops .",NP/b/00011276.pp1.2,the vessel,board,"one buoy per line must be on <b><font color=""blue"">board</font></b> the vessel when tended lines are used .",ctrl.NN/c/00053743.pp1.2,ring,cordon,"following his assumption of the command of ecomog in late march , the new force commander , major-general felix mujakperuo , launched an offensive to provide a larger security <b><font color=""blue"">cordon</font></b> around lungi and freetown .",-2,1,1,-2,-2,-1,1,-2,-2,0,1
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN/b/00025696.pp2.2,bug,parasite,"no , we know that that thing infected his girlfriend , so it &apos;s a <b><font color=""blue"">parasite</font></b> , right ?",NP/a/00203520.pp2.3,any area,field,"relationship of job to <b><font color=""blue"">field</font></b> of study is based on the graduates &quot; perception .",VB/e/00001575.pp2.2,elongate,lie,"so , the ghost ran away , one thought in his head - to go back to his old house and <b><font color=""blue"">lie</font></b> down in his bed .",NN/f/00006129.pp2.0,field,topic,"he cooperates closely with the african union on this <b><font color=""blue"">topic</font></b> , and has played an active part in discussions on this draft at the invitation of the african union commission .",NP/m/00009524.pp2.1,match,the competition,"a total of 68 entries were received in <b><font color=""blue"">the competition</font></b> .",RB/c/00001767.pp2.3,closely,closer,"finally , he had encouraged the authorities to plan cultural exchange programmes so as to enable the roma and the majority population to draw <b><font color=""blue"">closer</font></b> to one another .",VP/d/00028661.pp1.0,draw,doing so,"it is a democratic decision we are respecting , and i am pleased that mr papayannakis is sympathetic to our <b><font color=""blue"">doing so</font></b> .",RB/r/00000355.pp2.1,realistically,really,"these nurses <b><font color=""blue"">really</font></b> became angels of mercy , and no veteran has ever forgotten them .",JJ/d/00006504.pp1.1,sorry,deplorable,"i fully share my group chairman &apos;s reaction to the <b><font color=""blue"">deplorable</font></b> and unacceptable behaviour of israel in jericho yesterday , not to mention the strange behaviour - to say the least - of us and british troops .",NP/b/00011276.pp1.2,the vessel,board,"one buoy per line must be on <b><font color=""blue"">board</font></b> the vessel when tended lines are used .",ctrl.NN/c/00053743.pp1.2,ring,cordon,"following his assumption of the command of ecomog in late march , the new force commander , major-general felix mujakperuo , launched an offensive to provide a larger security <b><font color=""blue"">cordon</font></b> around lungi and freetown .",0,1,1,0,1,0,1,0,0,1,1
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN/b/00025696.pp2.2,bug,parasite,"no , we know that that thing infected his girlfriend , so it &apos;s a <b><font color=""blue"">parasite</font></b> , right ?",NP/a/00203520.pp2.3,any area,field,"relationship of job to <b><font color=""blue"">field</font></b> of study is based on the graduates &quot; perception .",VB/e/00001575.pp2.2,elongate,lie,"so , the ghost ran away , one thought in his head - to go back to his old house and <b><font color=""blue"">lie</font></b> down in his bed .",NN/f/00006129.pp2.0,field,topic,"he cooperates closely with the african union on this <b><font color=""blue"">topic</font></b> , and has played an active part in discussions on this draft at the invitation of the african union commission .",NP/m/00009524.pp2.1,match,the competition,"a total of 68 entries were received in <b><font color=""blue"">the competition</font></b> .",RB/c/00001767.pp2.3,closely,closer,"finally , he had encouraged the authorities to plan cultural exchange programmes so as to enable the roma and the majority population to draw <b><font color=""blue"">closer</font></b> to one another .",VP/d/00028661.pp1.0,draw,doing so,"it is a democratic decision we are respecting , and i am pleased that mr papayannakis is sympathetic to our <b><font color=""blue"">doing so</font></b> .",RB/r/00000355.pp2.1,realistically,really,"these nurses <b><font color=""blue"">really</font></b> became angels of mercy , and no veteran has ever forgotten them .",JJ/d/00006504.pp1.1,sorry,deplorable,"i fully share my group chairman &apos;s reaction to the <b><font color=""blue"">deplorable</font></b> and unacceptable behaviour of israel in jericho yesterday , not to mention the strange behaviour - to say the least - of us and british troops .",NP/b/00011276.pp1.2,the vessel,board,"one buoy per line must be on <b><font color=""blue"">board</font></b> the vessel when tended lines are used .",ctrl.NN/c/00053743.pp1.2,ring,cordon,"following his assumption of the command of ecomog in late march , the new force commander , major-general felix mujakperuo , launched an offensive to provide a larger security <b><font color=""blue"">cordon</font></b> around lungi and freetown .",0,1,1,-2,1,0,1,-2,0,1,1
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN/b/00025696.pp2.2,bug,parasite,"no , we know that that thing infected his girlfriend , so it &apos;s a <b><font color=""blue"">parasite</font></b> , right ?",NP/a/00203520.pp2.3,any area,field,"relationship of job to <b><font color=""blue"">field</font></b> of study is based on the graduates &quot; perception .",VB/e/00001575.pp2.2,elongate,lie,"so , the ghost ran away , one thought in his head - to go back to his old house and <b><font color=""blue"">lie</font></b> down in his bed .",NN/f/00006129.pp2.0,field,topic,"he cooperates closely with the african union on this <b><font color=""blue"">topic</font></b> , and has played an active part in discussions on this draft at the invitation of the african union commission .",NP/m/00009524.pp2.1,match,the competition,"a total of 68 entries were received in <b><font color=""blue"">the competition</font></b> .",RB/c/00001767.pp2.3,closely,closer,"finally , he had encouraged the authorities to plan cultural exchange programmes so as to enable the roma and the majority population to draw <b><font color=""blue"">closer</font></b> to one another .",VP/d/00028661.pp1.0,draw,doing so,"it is a democratic decision we are respecting , and i am pleased that mr papayannakis is sympathetic to our <b><font color=""blue"">doing so</font></b> .",RB/r/00000355.pp2.1,realistically,really,"these nurses <b><font color=""blue"">really</font></b> became angels of mercy , and no veteran has ever forgotten them .",JJ/d/00006504.pp1.1,sorry,deplorable,"i fully share my group chairman &apos;s reaction to the <b><font color=""blue"">deplorable</font></b> and unacceptable behaviour of israel in jericho yesterday , not to mention the strange behaviour - to say the least - of us and british troops .",NP/b/00011276.pp1.2,the vessel,board,"one buoy per line must be on <b><font color=""blue"">board</font></b> the vessel when tended lines are used .",ctrl.NN/c/00053743.pp1.2,ring,cordon,"following his assumption of the command of ecomog in late march , the new force commander , major-general felix mujakperuo , launched an offensive to provide a larger security <b><font color=""blue"">cordon</font></b> around lungi and freetown .",0,1,1,1,1,1,1,0,1,1,0
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN/b/00025696.pp2.2,bug,parasite,"no , we know that that thing infected his girlfriend , so it &apos;s a <b><font color=""blue"">parasite</font></b> , right ?",NP/a/00203520.pp2.3,any area,field,"relationship of job to <b><font color=""blue"">field</font></b> of study is based on the graduates &quot; perception .",VB/e/00001575.pp2.2,elongate,lie,"so , the ghost ran away , one thought in his head - to go back to his old house and <b><font color=""blue"">lie</font></b> down in his bed .",NN/f/00006129.pp2.0,field,topic,"he cooperates closely with the african union on this <b><font color=""blue"">topic</font></b> , and has played an active part in discussions on this draft at the invitation of the african union commission .",NP/m/00009524.pp2.1,match,the competition,"a total of 68 entries were received in <b><font color=""blue"">the competition</font></b> .",RB/c/00001767.pp2.3,closely,closer,"finally , he had encouraged the authorities to plan cultural exchange programmes so as to enable the roma and the majority population to draw <b><font color=""blue"">closer</font></b> to one another .",VP/d/00028661.pp1.0,draw,doing so,"it is a democratic decision we are respecting , and i am pleased that mr papayannakis is sympathetic to our <b><font color=""blue"">doing so</font></b> .",RB/r/00000355.pp2.1,realistically,really,"these nurses <b><font color=""blue"">really</font></b> became angels of mercy , and no veteran has ever forgotten them .",JJ/d/00006504.pp1.1,sorry,deplorable,"i fully share my group chairman &apos;s reaction to the <b><font color=""blue"">deplorable</font></b> and unacceptable behaviour of israel in jericho yesterday , not to mention the strange behaviour - to say the least - of us and british troops .",NP/b/00011276.pp1.2,the vessel,board,"one buoy per line must be on <b><font color=""blue"">board</font></b> the vessel when tended lines are used .",ctrl.NN/c/00053743.pp1.2,ring,cordon,"following his assumption of the command of ecomog in late march , the new force commander , major-general felix mujakperuo , launched an offensive to provide a larger security <b><font color=""blue"">cordon</font></b> around lungi and freetown .",0,1,1,-1,0,1,0,0,0,1,1
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN/b/00025696.pp2.2,bug,parasite,"no , we know that that thing infected his girlfriend , so it &apos;s a <b><font color=""blue"">parasite</font></b> , right ?",NP/a/00203520.pp2.3,any area,field,"relationship of job to <b><font color=""blue"">field</font></b> of study is based on the graduates &quot; perception .",VB/e/00001575.pp2.2,elongate,lie,"so , the ghost ran away , one thought in his head - to go back to his old house and <b><font color=""blue"">lie</font></b> down in his bed .",NN/f/00006129.pp2.0,field,topic,"he cooperates closely with the african union on this <b><font color=""blue"">topic</font></b> , and has played an active part in discussions on this draft at the invitation of the african union commission .",NP/m/00009524.pp2.1,match,the competition,"a total of 68 entries were received in <b><font color=""blue"">the competition</font></b> .",RB/c/00001767.pp2.3,closely,closer,"finally , he had encouraged the authorities to plan cultural exchange programmes so as to enable the roma and the majority population to draw <b><font color=""blue"">closer</font></b> to one another .",VP/d/00028661.pp1.0,draw,doing so,"it is a democratic decision we are respecting , and i am pleased that mr papayannakis is sympathetic to our <b><font color=""blue"">doing so</font></b> .",RB/r/00000355.pp2.1,realistically,really,"these nurses <b><font color=""blue"">really</font></b> became angels of mercy , and no veteran has ever forgotten them .",JJ/d/00006504.pp1.1,sorry,deplorable,"i fully share my group chairman &apos;s reaction to the <b><font color=""blue"">deplorable</font></b> and unacceptable behaviour of israel in jericho yesterday , not to mention the strange behaviour - to say the least - of us and british troops .",NP/b/00011276.pp1.2,the vessel,board,"one buoy per line must be on <b><font color=""blue"">board</font></b> the vessel when tended lines are used .",ctrl.NN/c/00053743.pp1.2,ring,cordon,"following his assumption of the command of ecomog in late march , the new force commander , major-general felix mujakperuo , launched an offensive to provide a larger security <b><font color=""blue"">cordon</font></b> around lungi and freetown .",-1,1,1,-2,1,1,1,0,1,1,1
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB/m/00000579.pp1.0,monitor,manage,"the supervisory authority , which is a community agency , will <b><font color=""blue"">manage</font></b> these two phases , and will act as the licensing authority .",VB/c/00013351.pp1.2,save,conserve,"it will undertake projects to <b><font color=""blue"">conserve</font></b> the island &apos;s important natural habitat and eradicate the rats which prevent birds from breeding .",NN/f/00006065.pp1.1,respect,field,"the issue of wto dispute settlement in the <b><font color=""blue"">field</font></b> of competition policy was becoming less significant in the debate , while alternative mechanisms such as transparency requirements or voluntary peer reviews were being considered .",JJ/i/00011716.pp1.2,vital,instrumental,"negroponte , 64 , has played an <b><font color=""blue"">instrumental</font></b> role in gaining unanimous approval of a security council resolution that demanded iraq &apos;s saddam regime comply with united nations mandates to disarm .",VB/e/00009970.pp2.3,exist,lie,"the solution does not <b><font color=""blue"">lie</font></b> in reforms in one direction or another , it needs to get to the very foundations of the wto .",ADJP/m/00005094.pp1.1,rich,more prosperous,"it is up to us to give them hope by recreating the conditions for a <b><font color=""blue"">more prosperous</font></b> and more humane europe .",VB/m/00000568.pp2.3,manage,mange,"explore lists the contents of the repository , so that you can <b><font color=""blue"">mange</font></b> and control files and folders .",NN/e/00001115.pp2.1,economy,market,"in the border regions of eastern germany , from which i come , the black <b><font color=""blue"">market</font></b> is burgeoning and there has been a massive increase in fictional self-employment , quite simply because the transitional rules encourage these things .",JJ/o/00002810.pp2.2,open,opened,"<b><font color=""blue"">opened</font></b> cases reverse order of merit harassment psea and other total",VP/b/00017264.pp1.0,decline,be denied,"the security council can not shoulder its responsibilities without recognizing this dynamic , reinforced as it is by the emergence of new forces onto the international political scene and whose rightful place there can not forever <b><font color=""blue"">be denied</font></b> .",ctrl.VP/m/00003476.pp2.1,making savings,save,"clearly , present financial resources determine in large measure just how extensive preparations for retirement can be : the more disposable income a person has , the more he or she is able to <b><font color=""blue"">save</font></b> .",0,1,1,1,1,1,1,0,1,1,1
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB/m/00000579.pp1.0,monitor,manage,"the supervisory authority , which is a community agency , will <b><font color=""blue"">manage</font></b> these two phases , and will act as the licensing authority .",VB/c/00013351.pp1.2,save,conserve,"it will undertake projects to <b><font color=""blue"">conserve</font></b> the island &apos;s important natural habitat and eradicate the rats which prevent birds from breeding .",NN/f/00006065.pp1.1,respect,field,"the issue of wto dispute settlement in the <b><font color=""blue"">field</font></b> of competition policy was becoming less significant in the debate , while alternative mechanisms such as transparency requirements or voluntary peer reviews were being considered .",JJ/i/00011716.pp1.2,vital,instrumental,"negroponte , 64 , has played an <b><font color=""blue"">instrumental</font></b> role in gaining unanimous approval of a security council resolution that demanded iraq &apos;s saddam regime comply with united nations mandates to disarm .",VB/e/00009970.pp2.3,exist,lie,"the solution does not <b><font color=""blue"">lie</font></b> in reforms in one direction or another , it needs to get to the very foundations of the wto .",ADJP/m/00005094.pp1.1,rich,more prosperous,"it is up to us to give them hope by recreating the conditions for a <b><font color=""blue"">more prosperous</font></b> and more humane europe .",VB/m/00000568.pp2.3,manage,mange,"explore lists the contents of the repository , so that you can <b><font color=""blue"">mange</font></b> and control files and folders .",NN/e/00001115.pp2.1,economy,market,"in the border regions of eastern germany , from which i come , the black <b><font color=""blue"">market</font></b> is burgeoning and there has been a massive increase in fictional self-employment , quite simply because the transitional rules encourage these things .",JJ/o/00002810.pp2.2,open,opened,"<b><font color=""blue"">opened</font></b> cases reverse order of merit harassment psea and other total",VP/b/00017264.pp1.0,decline,be denied,"the security council can not shoulder its responsibilities without recognizing this dynamic , reinforced as it is by the emergence of new forces onto the international political scene and whose rightful place there can not forever <b><font color=""blue"">be denied</font></b> .",ctrl.VP/m/00003476.pp2.1,making savings,save,"clearly , present financial resources determine in large measure just how extensive preparations for retirement can be : the more disposable income a person has , the more he or she is able to <b><font color=""blue"">save</font></b> .",1,1,1,-2,1,1,1,-2,1,1,1
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB/m/00000579.pp1.0,monitor,manage,"the supervisory authority , which is a community agency , will <b><font color=""blue"">manage</font></b> these two phases , and will act as the licensing authority .",VB/c/00013351.pp1.2,save,conserve,"it will undertake projects to <b><font color=""blue"">conserve</font></b> the island &apos;s important natural habitat and eradicate the rats which prevent birds from breeding .",NN/f/00006065.pp1.1,respect,field,"the issue of wto dispute settlement in the <b><font color=""blue"">field</font></b> of competition policy was becoming less significant in the debate , while alternative mechanisms such as transparency requirements or voluntary peer reviews were being considered .",JJ/i/00011716.pp1.2,vital,instrumental,"negroponte , 64 , has played an <b><font color=""blue"">instrumental</font></b> role in gaining unanimous approval of a security council resolution that demanded iraq &apos;s saddam regime comply with united nations mandates to disarm .",VB/e/00009970.pp2.3,exist,lie,"the solution does not <b><font color=""blue"">lie</font></b> in reforms in one direction or another , it needs to get to the very foundations of the wto .",ADJP/m/00005094.pp1.1,rich,more prosperous,"it is up to us to give them hope by recreating the conditions for a <b><font color=""blue"">more prosperous</font></b> and more humane europe .",VB/m/00000568.pp2.3,manage,mange,"explore lists the contents of the repository , so that you can <b><font color=""blue"">mange</font></b> and control files and folders .",NN/e/00001115.pp2.1,economy,market,"in the border regions of eastern germany , from which i come , the black <b><font color=""blue"">market</font></b> is burgeoning and there has been a massive increase in fictional self-employment , quite simply because the transitional rules encourage these things .",JJ/o/00002810.pp2.2,open,opened,"<b><font color=""blue"">opened</font></b> cases reverse order of merit harassment psea and other total",VP/b/00017264.pp1.0,decline,be denied,"the security council can not shoulder its responsibilities without recognizing this dynamic , reinforced as it is by the emergence of new forces onto the international political scene and whose rightful place there can not forever <b><font color=""blue"">be denied</font></b> .",ctrl.VP/m/00003476.pp2.1,making savings,save,"clearly , present financial resources determine in large measure just how extensive preparations for retirement can be : the more disposable income a person has , the more he or she is able to <b><font color=""blue"">save</font></b> .",1,1,1,-2,1,-2,1,-1,1,1,-1
