Title,Description,Keywords,clip,sent,phrase,Answer.answer,Answer.bad_sent,Answer.commentbox,Answer.question
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz walks and then stops.,walks,yes,,{},Nantz walks and then stops.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz walks and then stops.,walks,yes,,{},Nantz walks and then stops.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz walks and then stops.,walks,yes,,{},Nantz walks and then stops.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz walks and then stops.,walks,yes,,{},Nantz walks and then stops.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz walks and then stops.,walks,yes,,{},Nantz walks and then stops.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.48.45.000-00.48.52.102,SOMEONE watches through his scope as Stavrou and Harris run outside.,run,yes,,{},SOMEONE watches through his scope as Stavrou and Harris run outside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.48.45.000-00.48.52.102,SOMEONE watches through his scope as Stavrou and Harris run outside.,run,yes,,{},SOMEONE watches through his scope as Stavrou and Harris run outside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.48.45.000-00.48.52.102,SOMEONE watches through his scope as Stavrou and Harris run outside.,run,yes,,{},SOMEONE watches through his scope as Stavrou and Harris run outside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.48.45.000-00.48.52.102,SOMEONE watches through his scope as Stavrou and Harris run outside.,run,yes,,{},SOMEONE watches through his scope as Stavrou and Harris run outside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.48.45.000-00.48.52.102,SOMEONE watches through his scope as Stavrou and Harris run outside.,run,yes,,{},SOMEONE watches through his scope as Stavrou and Harris run outside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping,no,,{},"Altogether, his face dripping with sweat."
