Title,Description,Keywords,situation,source-id
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",My first trip to Six Flags amusement park was a mixed experience.,rocstories/bcc312c7-1276-4398-87b6-1bc9b6f82fbc/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Susan was several years older than Robbie.,rocstories/e6f5641b-4097-48f8-86fc-2f3ddfda773a/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",After months of speaking to him they fell madly in love.,rocstories/f997aea1-9f80-422d-a54a-1fcff33566fa/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Dan wanted to help her but didn't want to be insensitive.,rocstories/1643b638-85eb-4d4a-826a-b7ad63292815/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",With their help she was able to find some flowers she was happy with.,rocstories/7d6c7d2c-640b-40c5-a8a5-8e1bf167fbbb/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Last year, Texas lost to Notre Dame in college football by 35 points.",rocstories/11dea148-b174-4410-81a0-658573571b5b/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Betty realized how important it is to try on before you buy.,rocstories/fcb4cbe7-eb22-41c1-bbaa-436bd11e9430/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","She was surprised to find that her best friend, John, was the writer.",rocstories/29c43a0f-aa87-466d-96a1-0f39b3c008a8/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Jessica told Mark she wanted a commitment from him.,rocstories/8e2fd895-8f13-4192-91fb-bdab618f9017/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Maria got dressed up for her friends birthday party.,rocstories/39e31ede-a00f-46aa-835a-02627048e592/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",When I had kids we lived by a pond.,rocstories/c53083f1-5788-4d6a-b742-716469cbce03/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She introduced her to a nice girl named Dana.,rocstories/39d7ff57-134d-4d04-8859-d2a6b0c1b80e/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They gave him a gun and told him to kill another dealer.,rocstories/9ea777ef-eccf-4471-8252-d693ceead553/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They said outside insurance would be compensated by them.,rocstories/f4aac44b-ef05-4273-968a-8fc18ec5ab89/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",As Tammy was hiking she decided to take a rest on a large rock.,rocstories/06125bbb-b0f0-415c-9c31-2c7e84c01c43/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",My friend Joe is a transit buff.,rocstories/9610f48e-8ed3-4cf1-bee4-a5f0bd82b885/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","In addition, Andy got to spend quality time with her as well.",rocstories/869ef233-5516-47da-b595-9d1a71e32648/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Danny was a dwarf, and his friends used to prank him.",rocstories/96ad19ed-411d-4531-a0b6-74f46e9bdf40/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",But Tricia said she wanted to pay for herself.,rocstories/9bb8355f-cee7-4480-8617-7bb87605800e/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","I was able to finish making the soup, which I then ate.",rocstories/af6b9d91-f8b0-490f-88fd-2c1ef83bb7aa/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Though he dated her, he broke up with her.",rocstories/e2c4d0d6-4023-4a80-8e97-1e3f220118c4/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",There he could play to his heart's content without disturbing anyone.,rocstories/d326a2d0-8779-4bfb-8da4-b2357aa5efa1/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",It bent again the next time he hit it.,rocstories/beabc2da-4f73-4506-85e2-0683c547204d/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Nate submitted his application for the graduate program.,rocstories/b3015d5d-b5f6-4d2b-bf59-992293e2103f/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She really wanted to improve her mile time.,rocstories/cd205dcb-5645-4199-a070-4835e2c99eaf/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They loved spending their time out on the water.,rocstories/fa26f827-f1a0-4c38-b789-f43ae4ab0752/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Kerry like his job, but he had to move to Texas with his parents.",rocstories/26f55853-0c4d-4458-95c2-c3e38a2aa15e/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",I decided to send her flowers and chose a beautiful teacup bouquet.,rocstories/637e28ac-2367-4567-9f14-591a45daaf3c/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Sam's ex wife agrees and Sam recovers from his melt down.,rocstories/e8ca7b6f-e751-4f0f-8aec-537009677bd4/sentence5/original
