Title,Description,Keywords,Input.facts,Input.sentence,Input.model,Answer.coverage,Answer.feedback,Answer.quality,Answer.tm,Approve,Reject
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,neurologic,4,{},3,6.675,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,neurologic,4,{},3,6.008,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,neurologic,4,{},3,29.433,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : city centre | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the city centre. It is not family - friendly.,neurologic,4,{},2,139.616,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : city centre | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the city centre. It is not family - friendly.,neurologic,4,{},2,237.497,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : city centre | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the city centre. It is not family - friendly.,neurologic,4,{},3,141.528,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,a_star,4,{},3,12.671,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,a_star,4,{},3,51.528,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Zizzi | Type : coffee shop | area : riverside,Zizzi is a riverside coffee shop.,a_star,3,{},3,10.121,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : less than £ 20 | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Punter is a Chinese restaurant near Raja Indian Cuisine in the riverside area. It is not family friendly and the price range is less than £ 20.,a_star,4,{},3,30.306,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : less than £ 20 | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Punter is a Chinese restaurant near Raja Indian Cuisine in the riverside area. It is not family friendly and the price range is less than £ 20.,a_star,4,{},3,51.181,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : less than £ 20 | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Punter is a Chinese restaurant near Raja Indian Cuisine in the riverside area. It is not family friendly and the price range is less than £ 20.,a_star,3,better,3,43.067,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Italian | price : moderate | area : city centre | family friendly : no | near : Raja Indian Cuisine,An Italian pub near Raja Indian Cuisine in the city centre is The Wrestlers. It has a moderate price range and is not kids friendly.,neurologic,4,{},3,4.662,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Italian | price : moderate | area : city centre | family friendly : no | near : Raja Indian Cuisine,An Italian pub near Raja Indian Cuisine in the city centre is The Wrestlers. It has a moderate price range and is not kids friendly.,neurologic,4,{},3,15.261,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Italian | price : moderate | area : city centre | family friendly : no | near : Raja Indian Cuisine,An Italian pub near Raja Indian Cuisine in the city centre is The Wrestlers. It has a moderate price range and is not kids friendly.,neurologic,4,{},3,45.113,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Plough | Type : restaurant | food : Chinese | price : high | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Plough is a high priced Chinese restaurant in riverside near Raja Indian Cuisine. It is not family friendly.,neurologic,4,{},3,8.374,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Plough | Type : restaurant | food : Chinese | price : high | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Plough is a high priced Chinese restaurant in riverside near Raja Indian Cuisine. It is not family friendly.,neurologic,4,{},3,129.772,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Plough | Type : restaurant | food : Chinese | price : high | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Plough is a high priced Chinese restaurant in riverside near Raja Indian Cuisine. It is not family friendly.,neurologic,4,{},3,72.524,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : cheap | customer rating : 5 out of 5 | area : city centre | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a cheap French pub near the Crowne Plaza Hotel in the city centre. It is not family - friendly and has a customer rating of 5 out of 5.,neurologic,4,{},3,14.367,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : cheap | customer rating : 5 out of 5 | area : city centre | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a cheap French pub near the Crowne Plaza Hotel in the city centre. It is not family - friendly and has a customer rating of 5 out of 5.,neurologic,4,{},3,20.936,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : cheap | customer rating : 5 out of 5 | area : city centre | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a cheap French pub near the Crowne Plaza Hotel in the city centre. It is not family - friendly and has a customer rating of 5 out of 5.,neurologic,4,{},3,11.94,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,neurologic,3,Extremely Good,2,24.863,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,neurologic,4,{},3,45.937,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,neurologic,4,{},3,18.971,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : more than £ 30 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a children friendly Japanese restaurant in the city centre near Raja Indian Cuisine. They have a price range of more than £ 30,a_star,4,{},3,11.858,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : more than £ 30 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a children friendly Japanese restaurant in the city centre near Raja Indian Cuisine. They have a price range of more than £ 30,a_star,4,{},3,18.695,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : more than £ 30 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a children friendly Japanese restaurant in the city centre near Raja Indian Cuisine. They have a price range of more than £ 30,a_star,4,good,2,10.468,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,a_star,2,{},2,51.646,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,a_star,4,{},3,8.514,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,a_star,4,{},3,31.594,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Italian | price : more than £ 30 | customer rating : high | area : riverside | family friendly : no | near : Rainbow Vegetarian Café,The Vaults is a pub providing Italian food in the more than £ 30 price range. It is located in Riverside near the Rainbow Vegetarian Café. Its customer rating is high although it is not children friendly.,neurologic,3,{},2,3.377,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Italian | price : more than £ 30 | customer rating : high | area : riverside | family friendly : no | near : Rainbow Vegetarian Café,The Vaults is a pub providing Italian food in the more than £ 30 price range. It is located in Riverside near the Rainbow Vegetarian Café. Its customer rating is high although it is not children friendly.,neurologic,3,{},3,3.797,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Italian | price : more than £ 30 | customer rating : high | area : riverside | family friendly : no | near : Rainbow Vegetarian Café,The Vaults is a pub providing Italian food in the more than £ 30 price range. It is located in Riverside near the Rainbow Vegetarian Café. Its customer rating is high although it is not children friendly.,neurologic,4,{},3,3.979,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : restaurant | food : Fast food | price : moderate | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Phoenix is a fast food restaurant that is moderately priced and is family friendly located in the riverside area near Raja Indian Cuisine.,neurologic,4,{},3,8.624,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : restaurant | food : Fast food | price : moderate | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Phoenix is a fast food restaurant that is moderately priced and is family friendly located in the riverside area near Raja Indian Cuisine.,neurologic,4,{},3,16.177,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : restaurant | food : Fast food | price : moderate | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Phoenix is a fast food restaurant that is moderately priced and is family friendly located in the riverside area near Raja Indian Cuisine.,neurologic,4,{},3,28.118,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a French pub near the Crowne Plaza Hotel in the Riverside area. It has a moderate price range and is not kid friendly. Its customer rating is 1 out of 5.,neurologic,4,{},3,14.271,,
