Title,Description,Keywords,action1,action2,action3,action4,Answer.judgment_1,Answer.judgment_2,Answer.judgment_3,Answer.judgment_4
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Putting epic inspirational dubstep over engine sounds,Peek at the exam questions during the test,killing 1 person to save 1000 people,Judging others for their immoral acts,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Putting epic inspirational dubstep over engine sounds,Peek at the exam questions during the test,killing 1 person to save 1000 people,Judging others for their immoral acts,1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Putting epic inspirational dubstep over engine sounds,Peek at the exam questions during the test,killing 1 person to save 1000 people,Judging others for their immoral acts,0,-1,0,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Putting epic inspirational dubstep over engine sounds,Peek at the exam questions during the test,killing 1 person to save 1000 people,Judging others for their immoral acts,0,0,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Putting epic inspirational dubstep over engine sounds,Peek at the exam questions during the test,killing 1 person to save 1000 people,Judging others for their immoral acts,0,0,0,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Trying to get fat enough to get stuck in doorways,Robbing a bank if the bank is a crypto company,stealing someone's gender when they don't appreciate it,Smoking that prince phillip pack,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Trying to get fat enough to get stuck in doorways,Robbing a bank if the bank is a crypto company,stealing someone's gender when they don't appreciate it,Smoking that prince phillip pack,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Trying to get fat enough to get stuck in doorways,Robbing a bank if the bank is a crypto company,stealing someone's gender when they don't appreciate it,Smoking that prince phillip pack,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Trying to get fat enough to get stuck in doorways,Robbing a bank if the bank is a crypto company,stealing someone's gender when they don't appreciate it,Smoking that prince phillip pack,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Trying to get fat enough to get stuck in doorways,Robbing a bank if the bank is a crypto company,stealing someone's gender when they don't appreciate it,Smoking that prince phillip pack,-1,-1,-1,-1
