Title,Description,Keywords,ex_idx_1,discriminator_1,generic_1,generic_processed_1,pred_label_1,concept_1,property_1,generic_input_1,HITId_1,WorkerId_1,resp_1,ans_name_1,human_label_1,ex_idx_2,discriminator_2,generic_2,generic_processed_2,pred_label_2,concept_2,property_2,generic_input_2,HITId_2,WorkerId_2,resp_2,ans_name_2,human_label_2
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",221,0.92859125,"Typically, wall fans have a fan blade attached to them.",wall fans have a fan blade attached to them .,1,wall fans,have a fan blade attached to them.,wall fans have a fan blade attached to them .,36FQTHX3Z3P3IK580XQU4M23WMS3BD,"['A12R2U6TBB3OOG', 'A32JEH06T23HDF', 'A3UV55HC87DO9C']","[1, 1, 1]",Answer.fund2,1.0,224,0.9275131,"Typically, paper clips are used to hold paper in place.",paper clips are used to hold paper in place .,1,paper clips,are used to hold paper in place.,paper clips are used to hold paper in place .,3URJ6VVYUPL8JADL4G0ZKBU8HL6O4M,"['A12R2U6TBB3OOG', 'A1CMWA0L8FTSXA', 'AZLZA0Q87TJZO']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",222,0.92776734,"On an ointment, you can apply it to your skin.","On an ointment , you can apply it to your skin .",1,ointment,you can apply it to your skin.,"On an ointment , you can apply it to your skin .",3MJ28H2Y1E6QFTHLILJ9P30MHH1O5R,"['A2541C8MY0BYV3', 'AHYTT3T8W9Y9Y', 'ATR6RB1RULOC0']","[0, 1, 1]",Answer.fund2,1.0,232,0.9250328,Stomachs are an important part of the body.,Stomachs are an important part of the body .,1,Stomachs,are an important part of the body.,Stomachs are an important part of the body .,3E24UO25QZOMYXHZN4TEH9EMDCCO67,"['A12R2U6TBB3OOG', 'A1NGABF082HR2P', 'A1PTH9KTRO06EG']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",228,0.9259427,"Usually, a hippopotamus is in the water.",a hippopotamus is in the water .,1,hippopotamus,is in the water.,a hippopotamus is in the water .,3E24UO25QZOMYXHZN4TEH9EMDCCO67,"['A12R2U6TBB3OOG', 'A1NGABF082HR2P', 'A1PTH9KTRO06EG']","[1, 1, 1]",Answer.fund2,1.0,225,0.9270774,"Typically, hoes are used to plow fields or clear snow.",hoes are used to plow fields or clear snow .,1,hoes,are used to plow fields or clear snow.,hoes are used to plow fields or clear snow .,336OE47KI2IFIW52FYSWAV77X72VWH,"['A26NGLGGFTATVN', 'A3HNEYFOIJWPH1', 'AKSJ3C5O3V9RB']","[1, 1, 0]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",220,0.92872375,"Generally, a mango tree may be used to produce mangoes.",a mango tree is used to produce mangoes .,1,mango tree,may be used to produce mangoes.,a mango tree is used to produce mangoes .,336OE47KI2IFIW52FYSWAV77X72VWH,"['A26NGLGGFTATVN', 'A3HNEYFOIJWPH1', 'AKSJ3C5O3V9RB']","[1, 1, 1]",Answer.fund2,1.0,231,0.92541873,"Generally, a will may be filed with the county probate court.",a will is filed with the county probate court .,1,will,may be filed with the county probate court.,a will is filed with the county probate court .,3V8JSVE8YYO25QEGZ9LAVO418KZYED,"['A12R2U6TBB3OOG', 'A1LRJ4U04532TM', 'AZLZA0Q87TJZO']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",238,0.92389166,"Generally, water parks may be closed due to inclement weather or other unforeseen circumstances.",water parks is closed due to inclement weather or other unforeseen circumstances .,1,water parks,may be closed due to inclement weather or other unforeseen circumstances.,water parks is closed due to inclement weather or other unforeseen circumstances .,3V8JSVE8YYO25QEGZ9LAVO418KZYED,"['A12R2U6TBB3OOG', 'A1LRJ4U04532TM', 'AZLZA0Q87TJZO']","[1, 1, 0]",Answer.fund2,1.0,287,0.9075769,"Typically, a skunks produces an odor.",a skunks produces an odor .,1,skunks,produces an odor.,a skunks produces an odor .,3SD15I2WD2SXC8OD469MT6GBILH63V,"['A12R2U6TBB3OOG', 'A1CMWA0L8FTSXA', 'A1PTH9KTRO06EG']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",298,0.90254194,"Generally, a class may have any number of members.",a class has any number of members .,1,class,may have any number of members.,a class has any number of members .,3D42WVSDH8TUB4ECUK5GD6P1KLEYFV,"['A12R2U6TBB3OOG', 'A1CMWA0L8FTSXA', 'AKSJ3C5O3V9RB']","[1, 0, 1]",Answer.fund1,1.0,283,0.90950704,"Typically, bay leaves are used to flavor soups, stews, or sauces.","bay leaves are used to flavor soups , stews , or sauces .",1,bay leaves,"are used to flavor soups, stews, or sauces.","bay leaves are used to flavor soups , stews , or sauces .",3H5TOKO3D9HIU47H4KE53B8HWLD64G,"['A1LRJ4U04532TM', 'A2541C8MY0BYV3', 'ATR6RB1RULOC0']","[1, 0, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",286,0.9085546,"Typically, a stimulant may have effects on the central nervous system.",a stimulant has effects on the central nervous system .,1,stimulant,may have effects on the central nervous system.,a stimulant has effects on the central nervous system .,3H5TOKO3D9HIU47H4KE53B8HWLD64G,"['A1LRJ4U04532TM', 'A2541C8MY0BYV3', 'ATR6RB1RULOC0']","[1, 1, 1]",Answer.fund2,1.0,299,0.90238565,"Generally, a riverbanks are composed of sand, gravel, clay.","a riverbanks are composed of sand , gravel , clay .",1,riverbanks,"are composed of sand, gravel, clay.","a riverbanks are composed of sand , gravel , clay .",3D4BBDG7ZHUMSPXEEXMPF68LE7S3CK,"['A173A97OFDAX9F', 'A2A6FH0F7LD9ND', 'A3UV55HC87DO9C']","[0, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",295,0.90327346,"Generally, technologies are designed to be used for a specific purpose.",technologies are designed to be used for a specific purpose .,1,technologies,are designed to be used for a specific purpose.,technologies are designed to be used for a specific purpose .,3D4BBDG7ZHUMSPXEEXMPF68LE7S3CK,"['A173A97OFDAX9F', 'A2A6FH0F7LD9ND', 'A3UV55HC87DO9C']","[0, 1, 1]",Answer.fund2,1.0,294,0.9047733,"Typically, a toy chest can be opened.",a toy chest is opened .,1,toy chest,can be opened.,a toy chest is opened .,39N6W9XWRDL0P4A754BYVRPDL0EYGU,"['A12R2U6TBB3OOG', 'A2541C8MY0BYV3', 'AHYTT3T8W9Y9Y']","[1, 1, 1]",Answer.fund2,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",296,0.9028601,"Usually, a human embryo is implanted in a woman's uterus.",a human embryo is implanted in a woman 's uterus .,1,human embryo,is implanted in a woman's uterus.,a human embryo is implanted in a woman 's uterus .,39XCQ6V3KY20QNBHIPXF83EVWH865L,"['A110KENBXU7SUJ', 'A2541C8MY0BYV3', 'A6KB4VHCZYTY2']","[1, 1, 1]",Answer.fund1,1.0,289,0.90695035,"Usually, natural selection is the process by which organisms adapt to changing environments.",natural selection is the process by which organisms adapt to changing environments .,1,natural selection,is the process by which organisms adapt to changing environments.,natural selection is the process by which organisms adapt to changing environments .,39XCQ6V3KY20QNBHIPXF83EVWH865L,"['A110KENBXU7SUJ', 'A2541C8MY0BYV3', 'A6KB4VHCZYTY2']","[1, 1, 1]",Answer.fund2,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",282,0.90964806,"Typically, a constipation is caused by an obstruction in the digestive system.",a constipation is caused by an obstruction in the digestive system .,1,constipation,is caused by an obstruction in the digestive system.,a constipation is caused by an obstruction in the digestive system .,3ULIZ0H1VA35J1AKCJLYD7NEO6S15I,"['A26NGLGGFTATVN', 'A2TLN8489YGY81', 'ATR6RB1RULOC0']","[1, 1, 1]",Answer.fund1,1.0,409,0.85240346,"Typically, a painting should be placed on a flat surface.",a painting should be placed on a flat surface .,1,painting,should be placed on a flat surface.,a painting should be placed on a flat surface .,3M4KL7H8KVL125AYH2V35D1EK1316Y,"['A173A97OFDAX9F', 'A32JEH06T23HDF', 'ATR6RB1RULOC0']","[0, 1, 0]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",404,0.8571344000000001,"Typically, a musical note can consist of any number of tones.",a musical note can consist of any number of tones .,1,musical note,can consist of any number of tones.,a musical note can consist of any number of tones .,3M4KL7H8KVL125AYH2V35D1EK1316Y,"['A173A97OFDAX9F', 'A32JEH06T23HDF', 'ATR6RB1RULOC0']","[0, 1, 0]",Answer.fund2,1.0,330,0.8897081,"Typically, a pumpkins are harvested from the ground.",a pumpkins are harvested from the ground .,1,pumpkins,are harvested from the ground.,a pumpkins are harvested from the ground .,3ZQA3IO31BPRRBG2HYHXMDN551WO19,"['A1LRJ4U04532TM', 'A2A6FH0F7LD9ND', 'AZLZA0Q87TJZO']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",321,0.8921435999999999,"Typically, music groups are able to get their music played on the radio.",music groups are able to get their music played on the radio .,1,music groups,are able to get their music played on the radio.,music groups are able to get their music played on the radio .,3ZQA3IO31BPRRBG2HYHXMDN551WO19,"['A1LRJ4U04532TM', 'A2A6FH0F7LD9ND', 'AZLZA0Q87TJZO']","[1, 1, 1]",Answer.fund2,1.0,407,0.853068,"Generally, a bluetooth speaker can be powered.",a bluetooth speaker is powered .,1,bluetooth speaker,can be powered.,a bluetooth speaker is powered .,3566S7OX5DHK65O30C0VBR1AFCN17X,"['A13GUTDMGGZZDL', 'A1PTH9KTRO06EG', 'AZLZA0Q87TJZO']","[0, 1, 1]",Answer.fund2,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",338,0.8880698,Inflammatory diseases may be caused by an imbalance of the immune system.,Inflammatory diseases is caused by an imbalance of the immune system .,1,Inflammatory diseases,may be caused by an imbalance of the immune system.,Inflammatory diseases is caused by an imbalance of the immune system .,3VADEH0UHCV96VRX9H9W7EF4565PSB,"['A110KENBXU7SUJ', 'A1CMWA0L8FTSXA', 'A1LRJ4U04532TM']","[1, 0, 1]",Answer.fund2,1.0,419,0.8462134,"Generally, pressure cookers may have a higher pressure.",pressure cookers has a higher pressure .,1,pressure cookers,may have a higher pressure.,pressure cookers has a higher pressure .,3X4Q1O9UBHK52XV46EY6NNEI8NWO76,"['A6JKKANO7F4KD', 'AHYTT3T8W9Y9Y', 'AZLZA0Q87TJZO']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",416,0.849132,"Typically, a router can be configured to forward traffic to a specific IP address.",a router is configured to forward traffic to a specific IP address .,1,router,can be configured to forward traffic to a specific IP address.,a router is configured to forward traffic to a specific IP address .,3X4Q1O9UBHK52XV46EY6NNEI8NWO76,"['A6JKKANO7F4KD', 'AHYTT3T8W9Y9Y', 'AZLZA0Q87TJZO']","[1, 1, 1]",Answer.fund2,1.0,339,0.88802993,"Generally, an air pollution are caused by emissions from vehicles, factories, power plants, etc.","an air pollution are caused by emissions from vehicles , factories , power plants , etc .",1,air pollution,"are caused by emissions from vehicles, factories, power plants, etc.","an air pollution are caused by emissions from vehicles , factories , power plants , etc .",3QGTX7BCHP02EXVSKUUQ517Q1L55ZB,"['A12R2U6TBB3OOG', 'A1CMWA0L8FTSXA', 'AVBRJBJONL47I']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",92,0.9583152,"Typically, a hedge shears may be used to trim a hedge.",a hedge shears is used to trim a hedge .,1,hedge shears,may be used to trim a hedge.,a hedge shears is used to trim a hedge .,3QGTX7BCHP02EXVSKUUQ517Q1L55ZB,"['A12R2U6TBB3OOG', 'A1CMWA0L8FTSXA', 'AVBRJBJONL47I']","[1, 1, 1]",Answer.fund2,1.0,97,0.9558731,"Generally, crockery can be used for cooking or serving.",crockery is used for cooking or serving .,1,crockery,can be used for cooking or serving.,crockery is used for cooking or serving .,3HEADTGN2PQAA0OGG4IQNWZQ5SNVRE,"['A1CMWA0L8FTSXA', 'A1LRJ4U04532TM', 'A6JKKANO7F4KD']","[1, 1, 1]",Answer.fund2,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",408,0.852735,"Typically, swamps may have many different types of plants.",swamps has many different types of plants .,1,swamps,may have many different types of plants.,swamps has many different types of plants .,37SOB9Z0SSVFVTRKRAFOIPY88G5L3H,"['A173A97OFDAX9F', 'AKSJ3C5O3V9RB', 'AVBRJBJONL47I']","[0, 1, 1]",Answer.fund1,1.0,402,0.8584286,"Generally, a lactose intolerance produces symptoms that include bloating, gas.","a lactose intolerance produces symptoms that include bloating , gas .",1,lactose intolerance,"produces symptoms that include bloating, gas.","a lactose intolerance produces symptoms that include bloating , gas .",3TLFH2L6Y9METO36WJ3AL63XWFRT2H,"['A12R2U6TBB3OOG', 'A32JEH06T23HDF', 'AKSJ3C5O3V9RB']","[1, 1, 1]",Answer.fund2,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",93,0.95811236,"Generally, an air mattress can be placed on the floor.",an air mattress is placed on the floor .,1,air mattress,can be placed on the floor.,an air mattress is placed on the floor .,371Q3BEXDH73KZT3WQ7YYCHIF5CSZZ,"['A2A6FH0F7LD9ND', 'A32JEH06T23HDF', 'A3UV55HC87DO9C']","[1, 1, 1]",Answer.fund1,1.0,94,0.95802253,"Generally, a hedge shears may be used to cut through a hedge.",a hedge shears is used to cut through a hedge .,1,hedge shears,may be used to cut through a hedge.,a hedge shears is used to cut through a hedge .,371Q3BEXDH73KZT3WQ7YYCHIF5CSZZ,"['A2A6FH0F7LD9ND', 'A32JEH06T23HDF', 'A3UV55HC87DO9C']","[1, 1, 1]",Answer.fund2,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",412,0.8519571,"Generally, a weightlifting should be done in a controlled manner.",a weightlifting should be done in a controlled manner .,1,weightlifting,should be done in a controlled manner.,a weightlifting should be done in a controlled manner .,32PT7WK7DMDWXH3SETH0ZCQ3Z743DK,"['A1NGABF082HR2P', 'A26NGLGGFTATVN', 'AHYTT3T8W9Y9Y']","[1, 1, 1]",Answer.fund1,1.0,548,0.7251302,"Typically, a cake is made with a mixture.",a cake is made with a mixture .,1,cake,is made with a mixture.,a cake is made with a mixture .,32PT7WK7DMDWXH3SETH0ZCQ3Z743DK,"['A1NGABF082HR2P', 'A26NGLGGFTATVN', 'AHYTT3T8W9Y9Y']","[1, 1, 1]",Answer.fund2,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",99,0.9556877,"Generally, a wall fan can be used to cool a room.",a wall fan is used to cool a room .,1,wall fan,can be used to cool a room.,a wall fan is used to cool a room .,3Z8UJEJOCZBKURQB2DCYDG7D8MP393,"['A1LRJ4U04532TM', 'A3UV55HC87DO9C', 'AZLZA0Q87TJZO']","[1, 1, 1]",Answer.fund1,1.0,84,0.96034974,"Typically, guns may be used to commit a crime.",guns is used to commit a crime .,1,guns,may be used to commit a crime.,guns is used to commit a crime .,3Z8UJEJOCZBKURQB2DCYDG7D8MP393,"['A1LRJ4U04532TM', 'A3UV55HC87DO9C', 'AZLZA0Q87TJZO']","[1, 0, 1]",Answer.fund2,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",86,0.96002984,"Generally, a bluetooth speakers have a volume control.",a bluetooth speakers have a volume control .,1,bluetooth speakers,have a volume control.,a bluetooth speakers have a volume control .,32XN26MTXZHJE1SN8NX5GR0154LL0M,"['A173A97OFDAX9F', 'A1LRJ4U04532TM', 'A3UV55HC87DO9C']","[0, 1, 1]",Answer.fund1,1.0,549,0.7242029999999999,"Generally, routers should be set to use DHCP.",routers should be set to use DHCP .,1,routers,should be set to use DHCP.,routers should be set to use DHCP .,3ZQX1VYFTD392B0NGJQC1NADJ72O8T,"['A1LRJ4U04532TM', 'A3UV55HC87DO9C', 'AHYTT3T8W9Y9Y']","[1, 2, 0]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",552,0.7199806,"Typically, a pollination may have occurred by a bee, wasp.","a pollination has occurred by a bee , wasp .",1,pollination,"may have occurred by a bee, wasp.","a pollination has occurred by a bee , wasp .",3ZQX1VYFTD392B0NGJQC1NADJ72O8T,"['A1LRJ4U04532TM', 'A3UV55HC87DO9C', 'AHYTT3T8W9Y9Y']","[1, 0, 1]",Answer.fund2,1.0,83,0.9604506,"Generally, a telephone booth is considered to be a public place.",a telephone booth is a public place .,1,telephone booth,is considered to be a public place.,a telephone booth is a public place .,3LAZVA75NIPYGWYY02HBRWXAX7AO2Q,"['A110KENBXU7SUJ', 'A12R2U6TBB3OOG', 'A1LRJ4U04532TM']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",87,0.9595496,"Generally, guns may be used to kill.",guns is used to kill .,1,guns,may be used to kill.,guns is used to kill .,3LAZVA75NIPYGWYY02HBRWXAX7AO2Q,"['A110KENBXU7SUJ', 'A12R2U6TBB3OOG', 'A1LRJ4U04532TM']","[1, 1, 1]",Answer.fund2,1.0,546,0.7280936,Clothes dryer is the most efficient way to dry clothes.,Clothes dryer is the most efficient way to dry clothes .,1,Clothes dryer,is the most efficient way to dry clothes.,Clothes dryer is the most efficient way to dry clothes .,3LXX8KJXPW79GGJXLBWQ1J5O3DKO9I,"['A1LRJ4U04532TM', 'A1PTH9KTRO06EG', 'AKSJ3C5O3V9RB']","[1, 1, 1]",Answer.fund1,1.0
Answer questions about the property in a descriptive sentence.,Estimate property frequency and other qualities for descriptive sentences.,"annotation, evaluation, world knowledge",558,0.7109626,"Generally, aloe can be used to treat mild to moderate skin conditions, including acne.","aloe is used to treat mild to moderate skin conditions , including acne .",1,aloe,"can be used to treat mild to moderate skin conditions, including acne.","aloe is used to treat mild to moderate skin conditions , including acne .",3X0EMNLXEPNPYN813CE1I1ZB4AZPVG,"['A1CMWA0L8FTSXA', 'A26NGLGGFTATVN', 'A2A6FH0F7LD9ND']","[0, 0, 1]",Answer.fund2,1.0,80,0.9609324,"Usually, an ill patient may be admitted to the hospital with symptoms.",an ill patient is admitted to the hospital with symptoms .,1,ill patient,may be admitted to the hospital with symptoms.,an ill patient is admitted to the hospital with symptoms .,31J7RYECZLOJLQD54615UWJBAWRL1P,"['A26NGLGGFTATVN', 'A32JEH06T23HDF', 'ATR6RB1RULOC0']","[1, 1, 0]",Answer.fund2,1.0
