Title,Description,Keywords,example,generic,always_generic,only_generic,ex_iloc,file_name,ex_num,pattern_num,pnum_gpt3,ppl_gpt3,need_anns,Answer.always_generic,Answer.is_tricky,Answer.only_generic
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers are used to make sausages,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,500,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,1.583356982,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers are used to make sausages,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,500,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,1.583356982,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers are used to make sausages,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,500,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,1.583356982,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",roofs can be made of glass,a roofs are made of a material .,All roofs are made of a material .,Roofs are only made of a material .,900,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,165,gpt3_typeP3_gens,3,2.441154736,3,0,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",roofs can be made of glass,a roofs are made of a material .,All roofs are made of a material .,Roofs are only made of a material .,900,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,165,gpt3_typeP3_gens,3,2.441154736,3,0,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",roofs can be made of glass,a roofs are made of a material .,All roofs are made of a material .,Roofs are only made of a material .,900,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,165,gpt3_typeP3_gens,3,2.441154736,3,0,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers can be used to make college food better,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,501,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,2.315960485,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers can be used to make college food better,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,501,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,2.315960485,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers can be used to make college food better,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,501,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,2.315960485,3,2,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",other pastries can be purchased,cakes is purchased .,All cakes are purchased .,A cakes is only purchased .,700,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,337,gpt3_typeP3_gens,3,2.441154736,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",other pastries can be purchased,cakes is purchased .,All cakes are purchased .,A cakes is only purchased .,700,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,337,gpt3_typeP3_gens,3,2.441154736,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",other pastries can be purchased,cakes is purchased .,All cakes are purchased .,A cakes is only purchased .,700,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,337,gpt3_typeP3_gens,3,2.441154736,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers can be used to administer medicine,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,502,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,2.441154736,3,2,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers can be used to administer medicine,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,502,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,2.441154736,3,1,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers can be used to administer medicine,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,502,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,2.441154736,3,1,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a roof can be installed on a table since the table has open sides, and the roof is on top",a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,901,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,26.46327307,3,0,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a roof can be installed on a table since the table has open sides, and the roof is on top",a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,901,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,26.46327307,3,0,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a roof can be installed on a table since the table has open sides, and the roof is on top",a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,901,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,26.46327307,3,0,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",porpoise may be able to fly through the air,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,503,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,1.583356982,3,2,,1
