Title,Description,Keywords,Id1,Event1,Id2,Event2,Id3,Event3
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",N0YveWZ6/tVGqwMonaERDg==,PersonX looks and looked,knqoRPAnkEKWqMjyMlqPAA==,PersonX immediately grabbed,DT+HX67hG9C5ywaSct7gPg==,PersonX breathes easy
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ztBckdq1dySQ8nA83LPBhw==,PersonX changes PersonY's plans,RRVnQGF+hSMg46KeLHJh7w==,PersonX would go,QKT7nHB180Ree1sEYMxe4Q==,PersonX bases upon the principle
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",0EFyAQ0svGa37VmsOuIM1w==,PersonX goes PersonY's separate ways,YWnVl2xnzcBL6poOibyOXw==,PersonX suits PersonY's purpose,B62dg34QiHzBbmnoSHbRSQ==,PersonX uses PersonY method
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",QG3gGDOLlBEkW6mMg8afRw==,PersonX always wished,Cf+97RefroaRLUz77D5VBQ==,PersonX cranes PersonY's neck,yXwYvbikXl08N2E/hUARCg==,PersonX gets an email
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",W+qLVxFJ6N61iSI1cgZmLA==,PersonX becomes PersonY end,1L/UiGLGe4AtqK4aQGtWSQ==,PersonX walks inside,jvjj5Le5bjmxbhtqttHyEg==,PersonX wears PersonX's new dress
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",pvRRbVt4eCaFfyLF/MwlYg==,PersonX hears the fire alarm,hTgig5ZECy/10TnbIOqy7w==,PersonX gets dirty,4VZO6z5t3NcG6D9IoM4TGA==,PersonX is in a new city
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",6tsOjGhdW5ZRBXEK/M4Ptg==,PersonX steals PersonY's purse,WTBdgkk7U9aCVN6JdPuaog==,PersonX puts it outside,bR3VLGl8n8EIMhx8Kklf8Q==,PersonX commits within PersonY state
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ZkBOYjmy4i4k2MMaVNwUtA==,PersonX invites PersonY's family,036aeszbhO5TucrLFhsZ9w==,PersonX is happy with PersonX's purchase,JP+oRB99BJKgrrEI+JnASw==,PersonX slips and falls
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",v/kq4UKrjX0QipsT6HJ/vg==,PersonX says would make,gdNW8IUDX6J3knjhFfZ08w==,PersonX fudges the issue,1RMC22xe9FyryC0jQNuxcQ==,PersonX saves all PersonX's money
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",oTyyaEBwijbflmMO3o9vuQ==,PersonX goes bowling with PersonX's friends,89rfLI3dY26eTg05ufMcOA==,PersonX starts digging,aMS4++/ByRAYXl3HZn1f+g==,PersonX brushes PersonY's hair
