Title,Description,Keywords,QUESTION1,ANS1,SEN1
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Lyme disease is caused by what kind of organim?,bacteria,Lyme disease is caused by bacteria.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",All of the petals together are called what?,corolla,All of the petals together are called a corolla.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is an individual with more than the correct number of chromosome sets called?,polyploid,A(n) polyploid is an individual with more than the correct number of chromosome sets.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is another name for the vertebral column?,backbone,Backbone is another name for the vertebral column.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",When liquid water changes to water vapor it is called?,evaporation,When liquid water changes to water vapor it is called evaporation.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Each species has a particular way of making a living which is called its what?,niche,"Each species has a particular way of making a living, which is called its niche."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Reptiles are described by what term that means their internal temperature depends on the temperature of their environment?,ectothermic,"Reptiles are described by the term ectothermic, which means their internal temperature depends on the temperature of their environment."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What type of matter makes up most of the universe?,plasma,Plasma matter makes up most of the universe.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","All of the populations that live in the same area make up what type of group, which includes populations of different organisms?",community,"All of the populations that live in the same area make up a(n) community, which includes populations of different organisms."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic?,ocean acidification,Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What type of lens is thicker at the edges than it is in the middle?,concave lens,A concave lens is thicker at the edges than it is in the middle.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which form of dialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine?,hemodialysis,Hemodialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","If a substance has a ph value greater than 7, what does it indicate?",base,"If a substance has a ph value greater than 7,that indicates that it is base."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","In weather terms, what do you call the boundary between two air masses?",front,"In weather terms, the boundary between two air masses is called front."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What element is present in all organic molecules?,carbon,The element carbon is present in all organic molecules.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Mitosis actually occurs in how many phases?,four,Mitosis actually occurs in four phases.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Most of the energy used by living things comes either directly or indirectly from where?,sun,Most of the energy used by living things comes either directly or indirectly from the sun.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What part of the eye allows light to enter?,pupil,The pupil of the eye allows light to enter.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Calcium ion is an example of what kind of messenger?,second,Calcium ion is an example of a second messenger.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","What term, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute?",cardiac output,"The term cardiac output, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Many plants respond to the days growing shorter in the fall by doing what?,going dormant,Many plants respond to the days growing shorter in the fall by going dormant.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What kind of weather can you expect if a center of low pressure is moving your way?,stormy,You can expect stormy if a center of low pressure is moving your way.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",The bird ancestor that lived in trees developed what feature commonly associated with birds?,wings,"The bird ancestor that lived in trees developed wings, which is commonly associated with birds."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What are fast moving rivers of air that are going in opposite directions called?,jet streams,Jet streams are fast moving rivers of air that are going in opposite directions called.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which kind of muscle regulates air flow in lungs?,smooth,Smooth muscle regulates air flow in lungs.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is a structure that is composed of one or more types of tissues?,organ,A(n) organ is a structure that is composed of one or more types of tissues.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",All types of cells are enclosed by what?,membrane,All types of cells are enclosed by a membrane.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is the space between a neuron and the next cell?,the synapse,The the synapse is the space between a neuron and the next cell.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is the study of how forces affect the motion of objects?,dynamics,Dynamics is the study of how forces affect the motion of objects.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",The concentration of the hydrogen ion in a solution can be calculated when what is known?,ph,The concentration of the hydrogen ion in a solution can be calculated when the ph is known.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","A sealed, vacuum-insulated reaction flask approximates what condition, in which neither matter nor heat can be exchanged between system and surroundings?",isolated system,"A sealed, vacuum-insulated reaction flask approximates the condition of a isolated system, in which neither matter nor heat can be exchanged between system and surroundings."
