Title,Description,Keywords,sclid1,sclmin1,sclmax1,pairs1,n1,sclid2,sclmin2,sclmax2,pairs2,n2,sclid3,sclmin3,sclmax3,pairs3,n3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",proficient-trainedXX,proficient,trained,qualified XXX skilled ||| proficient XXX skilled ||| proficient XXX qualified ||| capable XXX skilled ||| capable XXX qualified ||| capable XXX proficient,6,beneficial-niceXX,beneficial,nice,marvelous XXX terrific ||| marvelous XXX okay ||| awesome XXX terrific ||| awesome XXX marvelous ||| awesome XXX okay ||| awesome XXX incredible ||| okay XXX terrific ||| incredible XXX terrific ||| incredible XXX marvelous ||| incredible XXX okay,10,bright-brightestXX,bright,brightest,bright XXX brighter ||| bright XXX brightest ||| brighter XXX brightest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",major-staggeringXX,major,staggering,big XXX tremendous ||| big XXX substantial ||| big XXX staggering ||| substantial XXX tremendous ||| staggering XXX tremendous ||| staggering XXX substantial,6,daunting-formidableXX,daunting,formidable,daunting XXX tough ||| daunting XXX formidable ||| formidable XXX tough,3,broad-broadestXX,broad,broadest,broad XXX broader ||| broad XXX broadest ||| broader XXX broadest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",cute-lovelierXX,cute,lovelier,cute XXX lovely ||| cute XXX lovelier ||| cute XXX pretty ||| breathtaking XXX cute ||| breathtaking XXX lovely ||| breathtaking XXX lovelier ||| breathtaking XXX pretty ||| lovely XXX pretty ||| lovelier XXX lovely ||| lovelier XXX pretty,10,poor-inadequateXX,poor,inadequate,scarce XXX unacceptable ||| low XXX scarce ||| low XXX unacceptable ||| inadequate XXX scarce ||| inadequate XXX unacceptable ||| inadequate XXX low,6,busy-busiestXX,busy,busiest,busier XXX busiest ||| busier XXX busy ||| busiest XXX busy,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",clear-prominentXX,clear,prominent,clear XXX prominent,1,guaranteed-adequateXX,guaranteed,adequate,adequate XXX good ||| adequate XXX fine ||| fine XXX good,3,cheap-cheapestXX,cheap,cheapest,cheap XXX cheaper ||| cheap XXX cheapest ||| cheaper XXX cheapest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",huge-tremendousXX,huge,tremendous,huge XXX major ||| huge XXX sizeable ||| huge XXX immense ||| huge XXX overwhelming ||| huge XXX tremendous ||| major XXX sizeable ||| major XXX overwhelming ||| major XXX tremendous ||| sizeable XXX tremendous ||| colossal XXX huge ||| colossal XXX major ||| colossal XXX sizeable ||| colossal XXX immense ||| colossal XXX formidable ||| colossal XXX overwhelming ||| colossal XXX tremendous ||| immense XXX major ||| immense XXX sizeable ||| immense XXX overwhelming ||| immense XXX tremendous ||| formidable XXX huge ||| formidable XXX major ||| formidable XXX sizeable ||| formidable XXX immense ||| formidable XXX overwhelming ||| formidable XXX tremendous ||| overwhelming XXX sizeable ||| overwhelming XXX tremendous,28,scarce-limitedXX,scarce,limited,limited XXX low ||| limited XXX scarce ||| low XXX scarce,3,clear-clearestXX,clear,clearest,clear XXX clearer ||| clear XXX clearest ||| clearer XXX clearest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",embarrassed-uncomfortableXX,embarrassed,uncomfortable,embarrassed XXX uncomfortable,1,excited-delightedXX,excited,delighted,delighted XXX pleased,1,close-closestXX,close,closest,close XXX closer ||| close XXX closest ||| closer XXX closest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",fine-remarkable2XX,fine,remarkable2,fine XXX impressive ||| fine XXX remarkable ||| impressive XXX remarkable,3,lousy-miserableXX,lousy,miserable,lousy XXX miserable ||| horrible XXX lousy ||| horrible XXX miserable,3,cold-coldestXX,cold,coldest,cold XXX colder ||| cold XXX coldest ||| colder XXX coldest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",few-leastXX,few,least,few XXX little ||| few XXX least ||| least XXX little,3,precise-straightforwardXX,precise,straightforward,clear XXX precise ||| clear XXX exact ||| exact XXX precise ||| accurate XXX precise ||| accurate XXX clear ||| accurate XXX exact,6,cool-coolestXX,cool,coolest,cool XXX cooler ||| cool XXX coolest ||| cooler XXX coolest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",odd-bizarreXX,odd,bizarre,rare XXX unusual,1,admirable-noteworthyXX,admirable,noteworthy,admirable XXX fine ||| admirable XXX upstanding ||| fine XXX upstanding,3,cute-cutestXX,cute,cutest,cute XXX cuter ||| cute XXX cutest ||| cuter XXX cutest,3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",costly-valuableXX,costly,valuable,exorbitant XXX expensive ||| costly XXX exorbitant ||| costly XXX expensive,3,overwhelmed-happyXX,overwhelmed,happy,overwhelmed XXX pleased ||| excited XXX overwhelmed ||| excited XXX pleased ||| excited XXX happy ||| delighted XXX overwhelmed ||| delighted XXX excited ||| delighted XXX pleased ||| delighted XXX happy ||| happy XXX overwhelmed ||| happy XXX pleased,10,dark-darkestXX,dark,darkest,dark XXX darker ||| dark XXX darkest ||| darker XXX darkest,3
