Title,Description,Keywords,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights,Answer.activeTime,Answer.comment,Answer.endTime,Answer.possAlignments,Answer.sourceHighlights,Answer.startTime,Answer.submit,Answer.sureAlignments,Answer.targetHighlights
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",&amp;quot; eso fue una victoria sucia &amp;quot; &#44; dijo resumiendo martin jol .,&amp;apos;it was a dirty victory &#44; &amp;apos; martin jol summed things up .,2-1 3-2 4-4 5-3 7-5 10-7 11-8 12-12,0-0 1-0 2-1 3-2 5-3 4-4 7-5 6-6 8-6 10-7 9-8 11-8 11-9 11-10 11-11 12-12,,,107100.0,,1394490008777.0,0-0 2-1 3-2 4-4 5-3 7-5 9-9 9-10 9-11 10-7 11-8 12-12,8,1394489901677.0,Submit,1-0 2-1 3-2 4-4 5-3 6-6 7-5 10-7 11-8 12-12,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",el índice industrial dow jones cayó de 777&#44;68 a 10.365&#44;45 puntos .,the dow jones industrial average -lrb- djia -rrb- fell by 777.68 points to 10365.45 points .,0-0 2-3 3-1 4-2 8-12 9-13 10-14 11-15,0-0 1-1 3-1 4-2 2-3 7-4 5-6 6-9 8-12 9-13 10-14 11-15,,5 7 8 10 11,79356.0,,1394486131432.0,0-0 2-3 3-1 4-2 6-9 7-4 7-11 8-12 9-13 10-14 11-15,,1394486052076.0,Submit,0-0 0-1 0-2 0-3 0-4 1-0 1-1 1-2 1-3 1-4 2-0 2-1 2-2 2-3 2-4 3-0 3-1 3-2 3-3 3-4 4-0 4-1 4-2 4-3 4-4 5-8 7-10 8-12 9-13 10-14 11-15,5 7
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",por lo demás &#44; no hace falta buscar ejemplos demasiado lejos .,for that matter &#44; we do n&amp;apos;t have to go far to find examples .,0-0 1-1 2-2 3-3 6-6 7-12 8-13 10-10 11-14,0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-6 6-7 10-9 9-10 10-10 7-11 7-12 8-13 11-14,,8,154616.0,,1394487621725.0,0-0 1-1 2-2 3-3 4-5 4-6 5-7 6-7 7-11 7-12 8-13 10-10 11-14,9,1394487467109.0,Submit,0-0 1-1 2-2 3-3 8-13 10-10 11-14,4 8 9
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",y nosotros quizás dejaremos de llamar más caro que en el resto de europa .,and we might stop making calls that are more expensive than in the rest of europe .,0-0 1-1 2-2 3-3 5-5 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16,0-0 1-1 2-2 3-3 3-4 5-5 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16,4,6 7,144387.0,,1394485718705.0,0-0 1-1 2-2 3-3 5-4 5-5 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16,unchanged,1394485574318.0,Submit,0-0 1-1 2-2 3-3 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16,unchanged
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",los cursos de acciones en europa y los en ee.uu siguen bajando,stock markets in europe and the u.s. in downward spiral,3-0 4-2 5-3 6-4 7-5 8-7 9-6 11-9,3-0 1-1 4-2 5-3 6-4 7-5 9-6 8-7 10-8 11-8 11-9,0 2,,62789.0,,1394486049315.0,3-0 4-2 5-3 6-4 8-5 9-6 11-8 11-9,0 1 2 7 10,1394485986526.0,Submit,3-0 4-2 5-3 6-4 9-6,1 7
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",&amp;quot; sin embargo &#44; no han llegado a alguna conclusión concreta .,&amp;quot; but no concrete conclusion has been reached .,0-0 2-1 4-2 5-5 6-7 9-4 10-3 11-8,0-0 1-1 2-1 4-2 10-3 9-4 5-5 5-6 6-7 7-7 11-8,3 8,,16950.0,,1394490622710.0,0-0 2-1 4-2 5-5 5-6 6-7 9-4 10-3 11-8,3 7 8,1394490605760.0,Submit,0-0 1-1 2-1 4-2 6-7 9-4 10-3 11-8,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la onda expansiva de la admiración barría hollywood sin atender a nacionalidades ni pasaportes .,the wave of admiration went beyond hollywood &#44; independently from nationality or passport .,0-0 1-1 3-2 5-3 7-6 11-10 12-11 13-12 14-13,0-0 1-1 3-2 5-3 6-4 6-5 7-6 9-6 8-7 8-8 10-9 11-10 12-11 13-12 14-13,2 4,,39319.0,,1394486910338.0,0-0 1-1 3-2 5-3 6-4 6-5 7-6 8-8 9-8 11-10 12-11 13-12 14-13,2 4 10,1394486871019.0,Submit,0-0 1-1 3-2 5-3 7-6 11-10 12-11 13-12 14-13,7 9
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la oficina se llama tensión y el ordenador dolor de espalda .,office means tension &#44; computer back pain .,1-0 4-2 5-3 7-4 8-6 10-5 11-7,1-0 3-1 3-2 4-2 5-3 7-4 10-5 8-6 11-7,0 2 6 9,,107841.0,,1394490565299.0,1-0 4-2 5-3 6-4 7-4 8-6 10-5 11-7,0 2 3,1394490457458.0,Submit,1-0 4-2 5-3 7-4 8-6 9-5 10-5 11-7,1
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",su enorme parecido con su hermana no le ha impedido desarrollar su propia personalidad .,the great resemblance with her sister has not prevented her from developing a strong personality .,0-0 1-1 2-2 3-3 4-4 5-5 6-7 8-6 9-8 10-11 13-14 14-15,0-0 1-1 2-2 3-3 4-4 5-5 8-6 6-7 7-8 9-8 9-9 9-10 10-11 11-12 13-13 12-14 13-14 14-15,,,132140.0,,1394484627824.0,0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-9 8-6 9-8 10-11 11-12 12-13 13-14 14-15,,1394484495684.0,Submit,1-1 2-2 3-3 4-4 5-5 6-7 8-6 9-8 10-11 13-14 14-15,10
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",para elena es la primera vez &#44; para luca ya la tercera o cuarta .,for elena it &amp;apos;s the first time &#44; for luca it &amp;apos;s the third or fourth already .,0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-8 8-9 10-12 11-13 12-14 13-15 14-17,0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-8 8-9 9-10 8-11 10-12 11-13 12-14 13-15 14-17,,3 16,100477.0,,1394486620984.0,0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-8 8-9 10-12 11-13 12-14 13-15 14-17,,1394486520507.0,Submit,0-0 1-1 2-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 9-11 9-16 10-12 11-13 12-14 13-15 14-17,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la ley es desconocida &#44; no se puede caminar en un autobús de larga distancia,law does n&amp;apos;t know them &#44; walking in coach bus not permitted,1-0 4-5 5-10 8-6 9-7 11-9 14-11,1-0 2-1 2-2 3-2 3-3 3-4 4-5 8-6 9-7 10-8 11-9 5-10 6-11 7-11 14-11,0 12 13,,172165.0,"Law doesn´t know them, should be in Spanish ""la ley los desconoce""",1394487274436.0,1-0 4-5 5-10 8-6 9-7 10-9 12-8 12-9 13-8 13-9 14-8 14-9,0 2 3,1394487102271.0,Submit,1-0 4-5 5-10 6-11 7-11 8-6 9-7 11-9,1 2 3 4
