Title,Description,Keywords,exp_path,exp_link,object_type,Answer.commentbox,Answer.instruction,Answer.video_hard,Answer.video_not_shown
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_push_experiments/push_towards_experiments/00162,https://storage.googleapis.com/jamesp_euro/thor_rule/new_push_experiments/push_towards_experiments/00162,Bread,{},push object to the right on the counter to smack the bowl,,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_replay_experiments/throw_experiments/01303,https://storage.googleapis.com/jamesp_euro/thor_rule/new_replay_experiments/throw_experiments/01303,Cup,{},Turn to the left and throw the object at the wall.,,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_experiments_v2/throw_experiments/00572,https://storage.googleapis.com/jamesp_euro/thor_rule/new_experiments_v2/throw_experiments/00572,BaseballBat,{},"Pick object, turn right until facing the storage shelfs, move backward a little, then throw object toward the storage shelfs",,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_replay_experiments/drop_experiments/02092,https://storage.googleapis.com/jamesp_euro/thor_rule/new_replay_experiments/drop_experiments/02092,Plate,{},"Pick up the object, look up, move the object forward until it is over the corner of the counter, then drop it.",,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_push_experiments/push_towards_experiments/00018,https://storage.googleapis.com/jamesp_euro/thor_rule/new_push_experiments/push_towards_experiments/00018,Tomato,{},push the object away from the coffee machine,,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_experiments_v2/push_towards_experiments/00063,https://storage.googleapis.com/jamesp_euro/thor_rule/new_experiments_v2/push_towards_experiments/00063,HousePlant,{},displace all objects on the table except the silver vase,,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_replay_experiments/throw_experiments/01855,https://storage.googleapis.com/jamesp_euro/thor_rule/new_replay_experiments/throw_experiments/01855,Statue,{},move the object to the left and toss it towards the chairs forcefully,,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_push_experiments/push_experiments/00352,https://storage.googleapis.com/jamesp_euro/thor_rule/new_push_experiments/push_experiments/00352,Pillow,{},Slide object off couch towards bottom right corner of fireplace,,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_experiments/throw_experiments/00822,https://storage.googleapis.com/jamesp/thor-rule/ai2-mosaic-server1/new_experiments/throw_experiments/00822,Apple,{},"Life the object, raise it to the ceiling, move it to the right and throw it towards the right pane of the window",,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_experiments_v2/push_experiments/00766,https://storage.googleapis.com/jamesp_euro/thor_rule/new_experiments_v2/push_experiments/00766,Bowl,{},forcefully slide the object back against the desk,,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_experiments/throw_towards_experiments/01634,https://storage.googleapis.com/jamesp/thor-rule/ai2-mosaic-server1/new_experiments/throw_towards_experiments/01634,CreditCard,{},Move slightly to the left before throwing the object forcefully at the TV screen,,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_experiments/throw_experiments/00498,https://storage.googleapis.com/jamesp/thor-rule/ai2-mosaic-server1/new_experiments/throw_experiments/00498,Bowl,{},"object moves left, pushed towards wall with garbage bin, hits wall then falls towards floor",,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_replay_experiments/throw_experiments/00825,https://storage.googleapis.com/jamesp_euro/thor_rule/new_replay_experiments/throw_experiments/00825,WineBottle,{},"Pick object, turn left until aligned with the refrigerator, then release object",,
Instruction for Object Interaction,"Given video, write an instruction describing physical interaction with an object.","video, instruction, robot, AI",new_push_experiments/push_experiments/01407,https://storage.googleapis.com/jamesp_euro/thor_rule/new_push_experiments/push_experiments/01407,Kettle,{},"briefly tug the object forward, tilting it slightly, then let go.",,
