Title,Description,Keywords,Q1PairID,Q1Paraphrase,Q1Target,Q1TestSentence,Q2PairID,Q2Paraphrase,Q2Target,Q2TestSentence,Q3PairID,Q3Paraphrase,Q3Target,Q3TestSentence,Q4PairID,Q4Paraphrase,Q4Target,Q4TestSentence,Q5PairID,Q5Paraphrase,Q5Target,Q5TestSentence,Q6PairID,Q6Paraphrase,Q6Target,Q6TestSentence,Q7PairID,Q7Paraphrase,Q7Target,Q7TestSentence,Q8PairID,Q8Paraphrase,Q8Target,Q8TestSentence,Q9PairID,Q9Paraphrase,Q9Target,Q9TestSentence,Q10PairID,Q10Paraphrase,Q10Target,Q10TestSentence,QXPairID,QXParaphrase,QXTarget,QXTestSentence
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",RB.tight.strictly.4,strictly,tight,"the hyd also imposes <b><font color=""blue"">tight</font></b> control on the workmanship to achieve better performance .",RB.closely.intimately.4,intimately,closely,"( sv ) mr president , this summer &apos;s financial unrest has clearly shown how <b><font color=""blue"">closely</font></b> integrated the markets are .",NN.coach.trainer.2,trainer,coach,"if players fail to score , their <b><font color=""blue"">coach</font></b> does not go and widen the goal , but instead sees to it that they play better .",RB.around.nearby.0,nearby,around,"as long as this proposal does not produce extra bureaucracy or impractical demands for those who work <b><font color=""blue"">around</font></b> groundwater , then i think this directive is a worthy one .",RB.tight.watertight.1,watertight,tight,"it had straps strung through rollers that were used to pull the mask <b><font color=""blue"">tight</font></b> to the face but they did not provide a strong enough seal for positive pressure breathing .",VB.cover.conceal.0,conceal,cover,"this accusation is alleged to <b><font color=""blue"">cover</font></b> up the politically motivated intention to punish those persons who took part in the popular uprisings of march 1991 characterized by the government of iraq as &quot; mob incidents . &quot;",NN.function.role.3,role,function,"immunity from prosecution is an invitation to further crimes and prosecution has a huge preventive <b><font color=""blue"">function</font></b> .",VB.draw.sketch.5,sketch,draw,"in the light of these consultations , the presidency hopes to <b><font color=""blue"">draw</font></b> up a proposal , which it intends to submit to the council .",VB.manage.administer.7,administer,manage,"until such time as there is agreement that we can harmonise our national health services to the highest standards , then ms must be free to plan and fund and <b><font color=""blue"">manage</font></b> services to deliver high quality public health services within their borders .",JJ.steady.ongoing.8,ongoing,steady,"the human rights situation in burundi is influenced by a <b><font color=""blue"">steady</font></b> deterioration in economic and social conditions .",ctrl.ADVP/a/00007771.pp2.0,around,next to you,"take a good look at the men and women ... that stand <b><font color=""blue"">next to you</font></b> ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.bright.intelligent.9,intelligent,bright,"the government has also set up a bursary scheme , which pays school tuition for <b><font color=""blue"">bright</font></b> but otherwise disadvantaged secondary school students .",VB.drive.motivate.2,motivate,drive,"that is what must <b><font color=""blue"">drive</font></b> us on , and that is what has ensured that everyone has made the compromises necessary to reach an agreement .",NN.match.game.2,game,match,"is it a <b><font color=""blue"">match</font></b> for what is at stake ?",RB.apparently.demonstrably.7,demonstrably,apparently,"isolation of <b><font color=""blue"">apparently</font></b> wild strains of poliovirus type 1 from sewage in the ottawa area .",JJ.bright.shiny.2,shiny,bright,"ali rahumah is the second libyan writer who publishes a book through this center after the <b><font color=""blue"">bright</font></b> , us resident , libyan academic dr. ali abdullatif hamidah , author of the book &quot; society , state and colonialism in libya . &quot;",JJ.open.unlocked.3,unlocked,open,"however , while the driver was concentrating on his task with the hatch <b><font color=""blue"">open</font></b> , the gunner traversed the turret of the lav iii .",VB.treat.cure.5,cure,treat,"however , people in the developing countries can not afford to pay the exorbitant prices for the medicines needed to <b><font color=""blue"">treat</font></b> sufferers of aids and other diseases such as malaria and tuberculosis .",NN.bug.insect.9,insect,bug,"takes whatever little hope you may have and crushes it like a <b><font color=""blue"">bug</font></b> .",VB.save.rescue.7,rescue,save,"there are only a few helicopters available to <b><font color=""blue"">save</font></b> tens of thousands of victims .",JJ.open.open-minded.2,open-minded,open,"we would like to reiterate the importance of an <b><font color=""blue"">open</font></b> , representative and inclusive dialogue by the parties in such an important setting .",ctrl.RB/t/00000425.pp1.1,tightly,tight,"what i like about you , you really hold me <b><font color=""blue"">tight</font></b> ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.rude.rugged.6,rugged,rude,"for the peer assessments some of my troopmates got a <b><font color=""blue"">rude</font></b> awakening , or in the cases of a few , the comments were just plain rude .",NN.match.game.8,game,match,"there were demonstrations in connection with the <b><font color=""blue"">match</font></b> , one of which was very violent .",JJ.rude.impolite.3,impolite,rude,"i thought it rather odd and very <b><font color=""blue"">rude</font></b> of her , but concluded that it was probably my ignorance of the way of the english aristocracy that led me to think it so .",JJ.soft.gentle.1,gentle,soft,"sometimes , governments have even been guilty of gesture or dog-whistle politics designed to get media headlines or to label opponents <b><font color=""blue"">soft</font></b> on crime or terrorism .",RB.near.approximately.1,approximately,near,"it is also being argued that the scanners are nowhere <b><font color=""blue"">near</font></b> as highly effective as is claimed by their producers .",RB.only.solely.1,solely,only,"as a consequence , <b><font color=""blue"">only</font></b> the judgement shall be reviewed .",RB.apparently.demonstrably.2,demonstrably,apparently,"its transition to democratic rule and better times for its people appeared a promising prospect after the 2008 legislative elections were carried out in an <b><font color=""blue"">apparently</font></b> fair and peaceful manner .",NN.ring.circle.1,circle,ring,"you will be aware that the object of the european neighbourhood policy is to establish a <b><font color=""blue"">ring</font></b> of friends around the enlarged union .",JJ.soft.gentle.5,gentle,soft,"so in the future , when the eu projects its <b><font color=""blue"">soft</font></b> power , it must also project principles .",RB.around.nearby.7,nearby,around,"almost half of the falls occurred in or <b><font color=""blue"">around</font></b> the home .",ctrl.VB/r/00007608.pp1.0,save,rescue,"we must exercise our responsibility in order to ensure the safety and protection of the palestinian people , <b><font color=""blue"">rescue</font></b> the middle east peace process and enhance the prospects for peace in the region ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",JJ.rich.rewarding.6,rewarding,rich,"member of the commission . - madam president , i would like to thank colleagues for the very <b><font color=""blue"">rich</font></b> debate on the fta negotiations with india .",RB.apparently.evidently.1,evidently,apparently,"they <b><font color=""blue"">apparently</font></b> considered our opinion as individual amendments tabled by the committee on employment and social affairs .",NN.coach.bus.5,bus,coach,"this parliament must remember that many <b><font color=""blue"">coach</font></b> firms are privately owned , are relatively small and are under an increasing financial pressure as a result of the huge rise in fuel prices experienced over the last 12 to 18 months .",JJ.steady.unwavering.7,unwavering,steady,"it is my belief that our <b><font color=""blue"">steady</font></b> vigilance and open dialogue is crucial to the people of burma and a clear signal of unity among this parliament and other global organisations must be sent .",RB.softly.quietly.2,quietly,softly,"<b><font color=""blue"">softly</font></b> cracking the door open and peeping in , i see a bevy of blue-eyed actors and actresses rolling on the floor , intent in song and dance .",RB.truly.totally.9,totally,truly,"the main point - and i am very pleased the commissioner touched on this - is that the individual opt-out should be kept , but that it should be <b><font color=""blue"">truly</font></b> voluntary and measures should be taken to tackle any abuse .",VB.save.rescue.1,rescue,save,"how to sell anti-protectionism stockholm - the looming global recession has brought government intervention to <b><font color=""blue"">save</font></b> failing companies to the forefront of economic policy .",JJ.rude.rugged.4,rugged,rude,"i sent you all of these and you did n&apos;t reply to any ... very <b><font color=""blue"">rude</font></b> .",NN.home.motherland.1,motherland,home,"a better option would be to accommodate refugees near their <b><font color=""blue"">home</font></b> countries in a cultural environment that is as familiar to them as possible , for example in egypt and tunisia , as this would avoid integration problems in europe .",RB.finally.eventually.9,eventually,finally,"after interviewing 32 candidates nominated by members of the wto , the dsb , after a long , difficult process , <b><font color=""blue"">finally</font></b> selected the original seven members of the appellate body .",ctrl.NN/b/00025683.pp1.2,microbe,bug,"a drug-proof <b><font color=""blue"">bug</font></b> is causing infections in people who get illegal tattoos ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",RB.only.merely.7,merely,only,"what we had this morning was not <b><font color=""blue"">only</font></b> a mechanical majority , but a demonstration of the tyranny of the majority par excellence . the decision was taken without even resorting to proper voting procedures .",NN.match.pairing.0,pairing,match,"if the lap finds a <b><font color=""blue"">match</font></b> , it then sends an lwapp join to the secondary controller .",NN.coach.trainer.0,trainer,coach,"nonetheless , five days ago , a football <b><font color=""blue"">coach</font></b> was answering urgent questions as part of a parliamentary inquiry .",RB.near.approximately.6,approximately,near,"that said , i do not find the responses by commission officials in committee to be anywhere <b><font color=""blue"">near</font></b> sufficient .",JJ.vital.lively.7,lively,vital,"if we can put our trust in the future of european agricultural production and unanimously take the necessary decisions , europe will have a <b><font color=""blue"">vital</font></b> , diverse food and agriculture industry for the next millennium .",RB.only.merely.6,merely,only,"in certain instances , such humanitarian situations were so poor that the imposed sanctions <b><font color=""blue"">only</font></b> contributed to even further deterioration of the already severe conditions on the ground .",RB.finally.eventually.4,eventually,finally,"continuing on the 20 to dubuque , we then take the 151 to madison , jump on to the 18 , followed by the 39 , and <b><font color=""blue"">finally</font></b> the 94 , aiming to be back in milwaukee by lunch time .",RB.around.nearby.8,nearby,around,"we have a huge volume of traffic - people , goods and vessels - moving in and <b><font color=""blue"">around</font></b> and out of our country every year .",JJ.rough.approximate.0,approximate,rough,"does the commission have any <b><font color=""blue"">rough</font></b> estimates at this point of the positive impact of the latest agreements on the income of african farmers , as well as on the final prices for european consumers ?",VB.draw.sketch.7,sketch,draw,"last and not least , we should use the summit with george w. bush to <b><font color=""blue"">draw</font></b> up an agenda for the period until 2004 , to establish a deeper transatlantic partnership and to fulfil the aims that both the council and the commission have said they want to achieve .",ctrl.JJ/i/00003004.pp2.1,impolite,rude,"i ai n&apos;t trying to be <b><font color=""blue"">rude</font></b> , okay ?"
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.manage.administer.6,administer,manage,"indeed , the commission should be able , in agreement with the member states , to <b><font color=""blue"">manage</font></b> the objectives of the permanent stability mechanism rather than being limited to technical monitoring .",RB.only.solely.9,solely,only,"however , if conditions permit , the application of those measures may be limited <b><font color=""blue"">only</font></b> to the poultry suspected of being infected and their production units .",RB.closely.intimately.0,intimately,closely,"although institutionally unrelated , those two events were <b><font color=""blue"">closely</font></b> linked , since the ministerial conference could play a constructive role in repairing the damage done by the economic crisis and preventing further economic instability .",VB.save.keep.5,keep,save,"in other words , it was to <b><font color=""blue"">save</font></b> crops in the immediate future .",VB.drive.chauffeur.7,chauffeur,drive,"or are you going to <b><font color=""blue"">drive</font></b> a taxi for the rest of your life ?",VB.treat.address.8,address,treat,"by june 2003 , the 19 plants will put into use to <b><font color=""blue"">treat</font></b> 510,000 tons of wastewater per day .",VB.shake.destabilize.6,destabilize,shake,"the lebanese government says this may <b><font color=""blue"">shake</font></b> lebanon &apos;s stability .",JJ.rough.approximate.9,approximate,rough,"can we , for example , produce a <b><font color=""blue"">rough</font></b> estimate of what the official gross national product will be and of the proportion accounted for by the black economy , say ?",NN.bug.insect.2,insect,bug,"since the film was made by pixar , the folks that brought us toy story , a <b><font color=""blue"">bug</font></b> &apos;s life , and toy story 2 , it &apos;s a major cause for checking out the",JJ.soft.gentle.2,gentle,soft,"but some still argue that <b><font color=""blue"">soft</font></b> regulations should be the norm of the new system .",ctrl.RB/f/00000935.pp1.1,permanently,finally,"annex ii reproduces the complete text of the state responsibility articles <b><font color=""blue"">finally</font></b> adopted by the international law commission , as annexed to general assembly resolution 56/83 ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",RB.around.approximately.6,approximately,around,"as we know , a reduction of <b><font color=""blue"">around</font></b> 5 % in greenhouse gas emissions from the eu-25 was achieved between 1990 and 2004 .",JJ.soft.gentle.9,gentle,soft,"the european union , the united states and other world powers , however , in their criticism of human rights violations in china , are very <b><font color=""blue"">soft</font></b> .",JJ.heavy.intense.3,intense,heavy,"partition analyses of discriminant morphological characters and electrophoretically determined allele frequencies point to <b><font color=""blue"">heavy</font></b> gene exchange between poplar stands .",VB.dismiss.sack.2,sack,dismiss,"you are the first president of the commission who will be able to transfer a commissioner &apos;s individual area of responsibility if he or she behaves inappropriately , and to <b><font color=""blue"">dismiss</font></b> the person concerned .",RB.truly.factually.8,factually,truly,"the first reason is that there is as yet no commonly accepted formula to work out cssa rates that can <b><font color=""blue"">truly</font></b> reflect the living expenses of the lower class .",NN.function.role.5,role,function,"this expertise must be shared , because only then will the framework programme help fulfil the eu &apos;s <b><font color=""blue"">function</font></b> in the world , namely that of social and sustainable globalisation .",NN.field.discipline.6,discipline,field,"these issues are soon to be included in teaching standards for the university <b><font color=""blue"">field</font></b> &quot; law and european matters . &quot;",JJ.soft.limp.9,limp,soft,"in <b><font color=""blue"">soft</font></b> snow too deep to walk in , they bound , leaving behind a line of holes .",NN.field.discipline.7,discipline,field,"the keynote speakers would include leading authorities in a given <b><font color=""blue"">field</font></b> , such as under-secretaries-general , special representatives of the secretary-general , and special rapporteurs on human rights .",RB.truly.factually.6,factually,truly,"the bureau has been providing and <b><font color=""blue"">truly</font></b> reflecting all the relevant figures and with detailed explanation of the factors to be considered in referring to the statistics .",ctrl.RB/p/00000207.pp2.0,particularly,really,"i do not <b><font color=""blue"">really</font></b> favour energy taxes as i do not believe that environmental problems can be systematically solved with taxation ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.draw.attract.9,attract,draw,"the aim is still the same - to <b><font color=""blue"">draw</font></b> this european country into the sphere of democracy , a market economy and human rights .",JJ.open.open-minded.8,open-minded,open,"the committee took its own decisions , but remained <b><font color=""blue"">open</font></b> to discussing its consensus with the special committee .",NN.coach.bus.6,bus,coach,"my vote in favour of this report reflects the need for a european standard of rights for bus and <b><font color=""blue"">coach</font></b> passengers that ensures their comfort , safety and fair treatment as they travel across europe .",RB.near.approximately.4,approximately,near,"what little can be done at european level is established and solemnly proclaimed by the european council , and then three months later ecofin meets and does exactly the opposite , or <b><font color=""blue"">near</font></b> enough .",VB.cover.encompass.5,encompass,cover,"this programme must <b><font color=""blue"">cover</font></b> the whole trajectory of the food distributed to ensure that it reaches citizens in all the member states .",VB.dismiss.disregard.2,disregard,dismiss,"for canada , it would be a mistake to <b><font color=""blue"">dismiss</font></b> europe as hopelessly divided over the future of the union : the european project has surmounted many other crises in the past that were seen as threatening its existence and future .",NN.service.assistance.1,assistance,service,"greater price transparency and quick , personalised price information provided immediately on crossing a border will lead to a more customer-friendly <b><font color=""blue"">service</font></b> and a lowering of prices .",NN.field.ground.3,ground,field,"for the people , however , what is most important is direct action in the <b><font color=""blue"">field</font></b> , to achieve results that will improve internal security .",RB.tight.strictly.0,strictly,tight,"mr president , commissioner , baroness ashton , one of the main problems which we faced in recent months entailed parliament being able to receive all the instruments necessary to exert <b><font color=""blue"">tight</font></b> control over the expenditure for the european external action budget .",JJ.rude.rugged.2,rugged,rude,"i was being <b><font color=""blue"">rude</font></b> to a guest with such a well-deserved reputation as big jule ?",ctrl.NN/f/00019300.pp1.2,functional,function,"as such , it was suggested that that post would be held by a member from the regional group that has not yet been attributed a core <b><font color=""blue"">function</font></b> ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",VB.lie.deceive.5,deceive,lie,"frankly speaking , i tend to believe the data collected by the latter because they were provided by the young addicts of soft drugs and there were no reasons for them to <b><font color=""blue"">lie</font></b> to social workers or interviewers .",RB.closely.intimately.2,intimately,closely,"the concept of legitimacy of political status was <b><font color=""blue"">closely</font></b> associated with the question of political education .",JJ.sorry.pathetic.2,pathetic,sorry,"look , i &apos;m <b><font color=""blue"">sorry</font></b> i got so upset .",VB.save.keep.1,keep,save,"the main aim is to <b><font color=""blue"">save</font></b> the agricultural production of the 2009 harvest .",NN.home.dwelling.3,dwelling,home,"• a manufacturer or vendor of a previously unoccupied mobile <b><font color=""blue"">home</font></b> or floating home ;",NN.function.operation.0,operation,function,"the <b><font color=""blue"">function</font></b> of european ombudsman was introduced in 1995 , so 1996 was its first full year of operation .",JJ.sorry.pathetic.7,pathetic,sorry,"we need a serious , robust form of regulation so that it can not happen again that three large agencies can bear so much of the responsibility for this current <b><font color=""blue"">sorry</font></b> financial situation .",VB.decline.deteriorate.1,deteriorate,decline,"it was only with the breakdown of the peace process and the palestinian resort to a deliberate campaign of terrorism aimed at the citizens of israel that conditions began to <b><font color=""blue"">decline</font></b> .",VB.save.rescue.3,rescue,save,"for that reason , the commission , which had clearly met to react to the current tragic violence and confrontations , should exercise great caution so as not to jeopardize the efforts being made to <b><font color=""blue"">save</font></b> the negotiating process between the israeli government and the palestinian authority .",VB.decline.fall.9,fall,decline,"employment in the catching sector would continue to <b><font color=""blue"">decline</font></b> at the same pace as is the case now ; wages would remain low , which would make the profession of fisherman increasingly unattractive to the younger generation .",ctrl.JJ/o/00002864.pp2.2,open,receptive,"we have had a few discussions on the subject as it relates to being a manager and as of late she has been <b><font color=""blue"">receptive</font></b> ."
Rating Contextual Word Similarity (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Given a sentence containing a target word, rate whether that target word has similar meaning to a second word","NLP, research, context, UPenn",NN.ring.ringtone.1,ringtone,ring,"send i as an short message to 90274 and get the latest indian <b><font color=""blue"">ring</font></b> ringtone for your mobile .",JJ.rich.wealthy.6,wealthy,rich,"by extending its largesse to <b><font color=""blue"">rich</font></b> corporate farms , the us may not have intended to harm the world &apos;s poor , but that is the predictable result .",NN.function.operation.6,operation,function,"in some smaller airports , screening of hold baggage is performed in full view of the passengers , whereas in larger airports , this <b><font color=""blue"">function</font></b> takes place behind closed doors in the baggage handling area .",VB.dismiss.disregard.1,disregard,dismiss,"it is tempting to <b><font color=""blue"">dismiss</font></b> him as a populist demagogue courting publicity , but he has in the past outrageously called for israel to be wiped off the map , and israel would undoubtedly be the first target for the nuclear weapon he so much wants to build .",RB.softly.gently.5,gently,softly,"may i venture to quote american president roosevelt who said : &apos; let us speak <b><font color=""blue"">softly</font></b> , let them carry a big stick ?",NN.bug.insect.5,insect,bug,"- i &apos;m gonna show her the weird <b><font color=""blue"">bug</font></b> .",VB.decline.deteriorate.5,deteriorate,decline,"the public health situation in the democratic republic of the congo has continued to <b><font color=""blue"">decline</font></b> .",VB.treat.address.5,address,treat,"- a husband and wife who want to select a test tube baby of the correct tissue type to <b><font color=""blue"">treat</font></b> their chronically ill son were given the go-ahead on tuesday in a dramatic ruling by the court of appeal of britain .",NN.ring.circle.7,circle,ring,"we are showing how we can succeed in projecting the values that we hold dear into the international arena and extending the <b><font color=""blue"">ring</font></b> of prosperity , solidarity and security further across our continent and the world .",JJ.vital.critical.7,critical,vital,"proficiency in the two languages is <b><font color=""blue"">vital</font></b> to hong kong in maintaining our status as an international city .",ctrl.ADVP/a/00006078.pp1.0,finally,and then,"- her little heart beat so loud - <b><font color=""blue"">and then</font></b> ?"
