Title,Description,Keywords,clip,sent,phrase,Answer.answer,Answer.bad_sent,Answer.commentbox,Answer.question,Approve,Reject
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men rush out of the vehicles.,rush,yes,,{},Two men rush out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men rush out of the vehicles.,rush,no,,{},Two men rush out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men rush out of the vehicles.,rush,yes,,{},Two men rush out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men rush out of the vehicles.,rush,yes,,{},Two men rush out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men rush out of the vehicles.,rush,yes,,{},Two men rush out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",1051_Harry_Potter_and_the_goblet_of_fire_01.58.13.486-01.58.19.671,HARRY runs to CEDRIC and helps him to clothe himself.,clothe,no,,{},HARRY runs to CEDRIC and helps him to clothe himself.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",1051_Harry_Potter_and_the_goblet_of_fire_01.58.13.486-01.58.19.671,HARRY runs to CEDRIC and helps him to clothe himself.,clothe,no,,{},HARRY runs to CEDRIC and helps him to clothe himself.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",1051_Harry_Potter_and_the_goblet_of_fire_01.58.13.486-01.58.19.671,HARRY runs to CEDRIC and helps him to clothe himself.,clothe,yes,,{},HARRY runs to CEDRIC and helps him to clothe himself.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",1051_Harry_Potter_and_the_goblet_of_fire_01.58.13.486-01.58.19.671,HARRY runs to CEDRIC and helps him to clothe himself.,clothe,no,,{},HARRY runs to CEDRIC and helps him to clothe himself.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",1051_Harry_Potter_and_the_goblet_of_fire_01.58.13.486-01.58.19.671,HARRY runs to CEDRIC and helps him to clothe himself.,clothe,yes,,{},HARRY runs to CEDRIC and helps him to clothe himself.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men stagger out of the vehicles.,stagger,yes,,{},Two men stagger out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men stagger out of the vehicles.,stagger,no,,{},Two men stagger out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men stagger out of the vehicles.,stagger,no,,The word stagger does not fit the action of the men getting out of the vehicles.,Two men stagger out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men stagger out of the vehicles.,stagger,yes,,{},Two men stagger out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men stagger out of the vehicles.,stagger,no,,{},Two men stagger out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men dash out of the vehicles.,dash,yes,,{},Two men dash out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men dash out of the vehicles.,dash,yes,,{},Two men dash out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men dash out of the vehicles.,dash,yes,,{},Two men dash out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men dash out of the vehicles.,dash,yes,,{},Two men dash out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men dash out of the vehicles.,dash,yes,,{},Two men dash out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.12.028-00.34.15.674,"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",dissolves,no,True,{},"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",,
