Title,Description,Keywords,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights,Answer.activeTime,Answer.comment,Answer.endTime,Answer.possAlignments,Answer.sourceHighlights,Answer.startTime,Answer.submit,Answer.sureAlignments,Answer.targetHighlights
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",भौगोलिक स्थिति,geographical position,0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1,0-0 1-1,,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",भौगोलिक स्थिति,geographical position,0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1,0-0 1-1,,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",संकट मोचन,saviour from trouble,0-0,0-0 1-0 1-1 1-2,,,24246.0,,1395294646400.0,1-1,unchanged,1395294622154.0,Submit,0-2 1-0,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",संकट मोचन,saviour from trouble,0-0,0-0 1-0 1-1 1-2,,,24619.0,,1395274108192.0,,,1395274083573.0,Submit,0-2 1-0,1
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",हम काले हैं तो क्या हुआ दिलवाले हैं -LRB- गुमनाम 1966 -RRB- हास्यगीत,if we are blacks so what we have hearts -lrb- gumnam &#44; 1966 -rrb- &#44; comedy song,0-1 8-9 9-10 10-12 11-13,0-1 1-3 8-9 2-10 3-10 4-10 5-10 6-10 7-10 9-10 10-12 11-13 12-14 12-15 12-16,,0 2 4 5 6 7 8 11,136485.0,,1395389466332.0,0-0 0-1 6-6 7-7 8-9 9-10 10-12 11-13,5,1395389329847.0,Submit,0-1 1-3 2-2 3-4 4-5 6-8 8-9 9-10 10-12 11-13 12-15 12-16,11 14
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",हम काले हैं तो क्या हुआ दिलवाले हैं -LRB- गुमनाम 1966 -RRB- हास्यगीत,if we are blacks so what we have hearts -lrb- gumnam &#44; 1966 -rrb- &#44; comedy song,0-1 8-9 9-10 10-12 11-13,0-1 1-3 8-9 2-10 3-10 4-10 5-10 6-10 7-10 9-10 10-12 11-13 12-14 12-15 12-16,,0 2 4 5 6 7 8 11,94219.0,,1395400743335.0,0-0 0-1 5-5 6-6 8-9 9-10 9-11 10-12 11-13 11-14 12-16,unchanged,1395400649116.0,Submit,0-1 1-3 2-2 3-4 4-5 6-8 7-7 8-9 9-10 10-12 11-13 12-15,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",प्राथमिक शिक्षा तो प्रायः सार्वजनिक है ।,primary education is often public .,0-0 1-1 3-3 4-4 5-2 6-5,0-0 1-1 5-2 2-3 3-3 4-4 6-5,,,36100.0,,1395273863094.0,3-3 4-4 5-2 6-5,2,1395273826994.0,Submit,0-0 1-1 3-3 4-4 5-2 6-5,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",प्राथमिक शिक्षा तो प्रायः सार्वजनिक है ।,primary education is often public .,0-0 1-1 3-3 4-4 5-2 6-5,0-0 1-1 5-2 2-3 3-3 4-4 6-5,,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार का उपग्रह द्वारा लिया गया चित्र,the satellite picture taken of bihar .,0-5 1-4 2-1 4-3 6-2,1-0 2-1 3-1 6-2 4-3 5-3 1-4 0-5,,6,202632.0,,1395301179205.0,0-5 1-4 2-1 4-3 5-3 6-2,3,1395300976573.0,Submit,0-5 1-4 2-1 4-3 6-2,0 6
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार का उपग्रह द्वारा लिया गया चित्र,the satellite picture taken of bihar .,0-5 1-4 2-1 4-3 6-2,1-0 2-1 3-1 6-2 4-3 5-3 1-4 0-5,,6,253015.0,,1395291527154.0,0-0 0-5 1-4 2-1 3-1 4-3 5-3 6-2,unchanged,1395291274139.0,Submit,0-5 1-4 2-1 4-3 6-2,unchanged
