Unnamed: 0,Title,Description,Keywords,Answer.location,Answer.nickname,Answer.origin
0,Tell us an Arabic nickname written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name",I live in the US currently.,?????,It was the nickname we used to call my cousin with. Her name is Reema. It is common in the Near East.
1,Tell us an Arabic nickname written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name",USA,???? ??????,My friend calls her husband that. It means 'my sky' or 'my heaven'. I don't know how popular it is.
2,Tell us an Arabic nickname written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name",India,????,"yes, it is very popular and good"
3,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,????,Friend
4,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",morocco,????,among family and friends
5,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Jordan.,?????,"Nickname for female name ""Mona""."
6,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",INDIA,????? ???,MY MIND
7,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,????,one of my friend name
8,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",I live in the US currently,????,It's my niece's nickname.
9,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",usa,?????,egypt
10,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",I live in the US currently.,????,My cousin's nickname (Mai's her name).
11,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Jordan.,?????,"Nickname for friend ""Dalia""."
12,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",INDIA,??? ?????,MY MIND
13,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",morocco,????,on TV
14,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,????,Aunt
15,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,?????,my friend name
