Title,Description,Keywords,NUMBER,SENTENCE,Answer.COORD_X,Answer.COORD_Y,Answer.SENTENCEID
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",1,No se dejen engañar .,-85,8,1
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",1,No se dejen engañar .,-42,12,1
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",1,No se dejen engañar .,-2,2,1
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",201,Nos costó 19050 euros puesto en la calle ( sin afán de promocionar pero sí de ayudar a quién quiera comprarlo ).,40,3,201
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",201,Nos costó 19050 euros puesto en la calle ( sin afán de promocionar pero sí de ayudar a quién quiera comprarlo ).,-2,91,201
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",201,Nos costó 19050 euros puesto en la calle ( sin afán de promocionar pero sí de ayudar a quién quiera comprarlo ).,31,13,201
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",2,"Por el contrario , hay tres cosas que me matan de este coche y que no entiendo como Audi no lo ha perfeccionado .",-56,9,2
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",2,"Por el contrario , hay tres cosas que me matan de este coche y que no entiendo como Audi no lo ha perfeccionado .",-47,1,2
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",2,"Por el contrario , hay tres cosas que me matan de este coche y que no entiendo como Audi no lo ha perfeccionado .",-7,1,2
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",3,"Este es un coche muy bonito , sobre todo si te gustan los descapotables .",45,9,3
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",3,"Este es un coche muy bonito , sobre todo si te gustan los descapotables .",92,1,3
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",3,"Este es un coche muy bonito , sobre todo si te gustan los descapotables .",91,2,3
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",4,Siempre tuve que estar yo detrás de ellos .,-7,1,4
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",4,Siempre tuve que estar yo detrás de ellos .,-46,11,4
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",4,Siempre tuve que estar yo detrás de ellos .,0,90,4
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",5,"correr y controlar es mi lema con seguridad y fuerza , pero siempre controlando el volante y iendo con cuidao pa n hacer daño a nadie !!!!",3,91,5
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",5,"correr y controlar es mi lema con seguridad y fuerza , pero siempre controlando el volante y iendo con cuidao pa n hacer daño a nadie !!!!",44,1,5
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",5,"correr y controlar es mi lema con seguridad y fuerza , pero siempre controlando el volante y iendo con cuidao pa n hacer daño a nadie !!!!",-2,78,5
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",6,EN CIUDAD ES PERFECTO PARA APARCAR Y EL MANEJO ES BUENO .,74,4,6
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",6,EN CIUDAD ES PERFECTO PARA APARCAR Y EL MANEJO ES BUENO .,68,8,6
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",6,EN CIUDAD ES PERFECTO PARA APARCAR Y EL MANEJO ES BUENO .,91,1,6
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",7,"Pero en la compra de este no nos hemos arrepentido , ya que hasta ahora esta respondiendo como esperabamos o mejor .",89,2,7
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",7,"Pero en la compra de este no nos hemos arrepentido , ya que hasta ahora esta respondiendo como esperabamos o mejor .",83,3,7
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",7,"Pero en la compra de este no nos hemos arrepentido , ya que hasta ahora esta respondiendo como esperabamos o mejor .",49,8,7
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",8,"EN LO REFERENTE AL CONSUMO , TAMPOCO CONSUME TANTO PARA EL MOTOR QUE TIENE , AL SER MOTOR ZETEC AHORRA BASTANTE COMBUSTIBLE .",46,8,8
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",8,"EN LO REFERENTE AL CONSUMO , TAMPOCO CONSUME TANTO PARA EL MOTOR QUE TIENE , AL SER MOTOR ZETEC AHORRA BASTANTE COMBUSTIBLE .",64,27,8
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",8,"EN LO REFERENTE AL CONSUMO , TAMPOCO CONSUME TANTO PARA EL MOTOR QUE TIENE , AL SER MOTOR ZETEC AHORRA BASTANTE COMBUSTIBLE .",89,2,8
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",9,Tuvo que ponerme muy enfurecido para que me diesen un coche de sustitución ese periodo .,-59,6,9
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",9,Tuvo que ponerme muy enfurecido para que me diesen un coche de sustitución ese periodo .,-90,1,9
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",9,Tuvo que ponerme muy enfurecido para que me diesen un coche de sustitución ese periodo .,-74,8,9
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",10,Que mas le puedes pedir ?,-4,3,10
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",10,Que mas le puedes pedir ?,-2,2,10
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",10,Que mas le puedes pedir ?,10,12,10
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",11,En el conce .,0,96,11
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",11,En el conce .,3,88,11
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",11,En el conce .,2,90,11
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",12,"Por mi propia experiencia , como comprendereis , el próximo coche queme compre no será un Opel ... Saludos .",-39,21,12
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",12,"Por mi propia experiencia , como comprendereis , el próximo coche queme compre no será un Opel ... Saludos .",-90,1,12
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",12,"Por mi propia experiencia , como comprendereis , el próximo coche queme compre no será un Opel ... Saludos .",-88,3,12
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",13,Hemos elegido esta bonita berlina que por los SUS exigencias es más que sufficente .,48,5,13
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",13,Hemos elegido esta bonita berlina que por los SUS exigencias es más que sufficente .,0,2,13
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",13,Hemos elegido esta bonita berlina que por los SUS exigencias es más que sufficente .,66,3,13
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",14,"Cuando lo sacamos del concesionario la verdad es que alucinabamos , antes de este teniamos un 306 , fijate la diferencia .",79,5,14
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",14,"Cuando lo sacamos del concesionario la verdad es que alucinabamos , antes de este teniamos un 306 , fijate la diferencia .",1,5,14
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",14,"Cuando lo sacamos del concesionario la verdad es que alucinabamos , antes de este teniamos un 306 , fijate la diferencia .",1,10,14
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",15,El espacio y terminación es lo mejor .,15,8,15
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",15,El espacio y terminación es lo mejor .,84,3,15
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",15,El espacio y terminación es lo mejor .,88,1,15
Anotaci\u00f3n de opiniones positivas y negativas,De manera aleatoria se te mostrar\u00e1n oraciones que expresan opiniones sobre modelos de autom\u00f3vil. Deber\u00e1s indicar indicar su polaridad seg\u00fan se trate de opiniones positivas o negativas.,"opinion, sentence, sentiment, spanish, rafael",16,Hay que tener el cuenta que se trata de un coche de montaña y por lo tanto su mejor comportamiento lo demuestra por caminos accidentados .,38,0,16
