Title,Description,Keywords,ObjectUseId1,Beginning1,Middle1,End1,Step1,Object1,Use1,ObjectUseId2,Beginning2,Middle2,End2,Step2,Object2,Use2,ObjectUseId3,Beginning3,Middle3,End3,Step3,Object3,Use3,Answer.Step,Answer.rationale1,Answer.rationale2,Answer.rationale3
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",PbNPP96RMzBKeSoZ6ngzEg==,PersonX starts to paint something,PersonX likes PersonX's work,PersonX hangs the painting up,Beginning,brush,make strokes on the medium,LEuclBprR/9GvgZvOGwPsw==,PersonX gathers ingredients for soup,PersonX mixes everything together,PersonX pours the soup in bowls and shares with family,Beginning,broth,pour out,EjFeo++pFoQD322f+ntpAg==,PersonX is talking with someone,PersonX expresses PersonX's regret,PersonX goes on about their day,End,envelope,mail it in,Beginning|Beginning|End,Painting is applied to a medium by using a brush.,Broth is a common ingredient in soup. Many soup recipes require broth to be included.,"When you mail something, it needs to be put in a specific container. Often times, an envelope is good enough to use."
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",NQO6BrUIPmAqyxn0swCp7w==,PersonX drives to the party,PersonX dances to the music,PersonX pours themselves a drink to rehydrate,Beginning,driver's license,drive legally,D6VmMlimIfMoBP9h650nPQ==,PersonX buys tickets to fly to another country,PersonX is afraid of flying,PersonX eats some anxiety medicine,End,pills,to take before taking off,maSqxS8Rwz8PbVIfQWknoQ==,PersonX lifts some weights.,PersonX gets stronger and stronger,PersonX rests before moving to their next exercise.,End,water bottle,stay hydrated during the break,Beginning|End|End,A driver's license is a legal form of identification. It is used to prove a person's right to drive legally.,Pills are taken to make a person feel better. Anxiety pills can soothe someone before taking off on a flight if they are afraid of flying.,A water bottle holds servings of water. A person can drink from it to stay hydrated during a break from what they are doing.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",XsOLPQQlqXPUGsYuAYH/IQ==,PersonX cleans his room,PersonX puts things away,PersonX recycles unused items,Middle,hangers,hang shirts and pants,+vlBCbbhsDil2zF5usA2hw==,PersonX buys ingredients for a cake,PersonX is baking a cake,PersonX invites friends over to enjoy the cake,Middle,An icing bag,top the cake off,CFCcVUfCaEtowEojkhgpXQ==,PersonX is hiking in the woods.,PersonX feels lost,PersonX pulls out compass and finds way out of woods.,Beginning,a stick,remain balanced,Middle|Middle|Beginning,Hangers are used to hang clothes. Putting clothes away requires hangers to place clothes on to store in the closet.,Icing is used to cover the cake. An icing bag is used to transfer the icing to the cake.,A stick is used to keep balance. A person will use a stick while hiking to keep their footing.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",iRRyeSxF0EmXihKepy9WjA==,PersonX gives PersonY a diamond ring.,PersonX makes PersonY really happy,PersonX makes an appointment to marry PersonY the next day.,Beginning,a box,hide the jewelry,gLgKshnhEvMDXUfZjq+o2w==,PersonX spends too much on a new car,PersonX gets a second job,PersonX pays the new car off faster.,End,check,send with payment stub,hkv0cloFHMbIJCIas8c0Ww==,PersonX opens PersonX's lunchbox.,PersonX finishes PersonX's lunch,PersonX wipes PersonX's mouth,Beginning,a lunchbox,carry food,Beginning|End|Beginning,A box is a container that can store items. It can be used to hide jewelry.,A check is a representation of a person's money. It can be sent with a payment stub.,A lunchbox is used to store a meal. It is used to carry food with someone away from home.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",U9mzC6NB4z+VmqmwMQeRKQ==,PersonX takes guitar lessions,PersonX plays bass guitar,PersonX practices guitar daily,Beginning,guitar,play during lessons,+Ipf2sjShcLpKTTHyFpyEA==,PersonX meets PersonY,PersonX loves PersonY well,PersonX proposes to PersonY,Middle,chicken soup,make when PersonY is sick,X+oFF2IE7Ev0VzE9YFinwg==,PersonX sees PersonY shivering in the rain,PersonX gives PersonY shelter,PersonX offers to dry PersonY's clothes,End,A tumble dryer,put PersonY's clothes in,Beginning|Middle|End,A guitar provides sound that can make music that others would listen to,Chicken soup provides warmth and comfort which relieves the pain associated with sickness,A tumble dryer speeds the process of drying up so that clothes are dry quicker
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",oTEHuVmbuFbEcjoloB5SqQ==,PersonX updates the curtains,PersonX sees results,PersonX becomes a home decorator,Beginning,money,purchase trim and hardware to match,uGAD2e3fxEvbxIelV9eeWw==,PersonX hates work,PersonX books a trip,PersonX enjoys self,End,vodka,let loose,LQhvO8BLgM1m+AI55bTJUg==,PersonX is looking for a goo drummer,PersonX distinguishes PersonY from others,PersonX invites PersonY to be in their band,Beginning,telephone numbers,contact potential drummers.,Beginning|End|Beginning,Money is needed to purchase goods and services. PersonX needs money in order to purchase trim and hardware to match their curtains.,Vodka can be used to help one relax and loosen mental inhibitions. PersonX may need vodka to let loose on their vacation.,"Telephone numbers are used to call people on the telephone. PersonX needs to find telephone numbers to call potential drummers, in order to interview them and find a good drummer."
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",qixjuF+aVSfaiQqragvkbg==,PersonX makes a lot of money.,PersonX affords PersonY pleasure,PersonX took Person Y on vacation.,End,guidebook,to pick out places to go visit,vzSBLk09yHQuX0wBV09wrQ==,PersonX eats rotten fish,PersonX gets sick to PersonX's stomach,PersonX vomits,Beginning,can,take food out of,6M+TTjyMFwbD60vTcuSC8A==,PersonX sits on the couch,PersonX watches some tv,PersonX Goes to bed,Middle,Television,see shows on,End|Beginning|Middle,A guidebook gives you information about travel destinations.  You need a guidebook to help you learn about places to visit when you are on vacation.,A can holds food for long periods of time.  A can can hold fish inside of it.  You need a can of fish to take the fish out.,A television has TV shows to watch.  You need a television to be able to watch television shows.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",leakVIUAKu6q7L+sPZMuYg==,PersonX plays with the neighbor's dog.,PersonX really wanted a puppy,PersonX adopts a dog.,Beginning,treat pouch,hold the dog treats in,AX8c84ulb8Y4/XKen+6uEw==,PersonX makes a drink for PersonY.,PersonX spills PersonY's drink,PersonX cleans up the spilled drink.,End,towel,dry the spill,Tumkg+xCQaXMrsaNzt1jDw==,PersonX climbs up the ladder,PersonX reaches PersonY's height,PersonX sits next to PersonY on the scaffolding,Middle,Boards,walk onto,Beginning|End|Middle,The treat pouch has a containing volume to hold the dog treats in.,The towel has an absorbent surface area and can be wiped to dry the spill.,The boards have a surface area large enough to walk onto.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",AvG6cgKonadX7x1bN4A3mQ==,PersonX makes dinner.,PersonX eats pork,PersonX does dishes.,End,towel,scrub dishes,ChUTrjFfKZ1tNFGToO6QoQ==,PersonX gets a job as a salesman.,PersonX knocks on PersonY's door,PersonX sells person y a vacuum.,End,vacuums,demonstrate the features,eDfvQloe3QytuIO2mnjRrg==,PersonX plans a route on a map,PersonX goes PersonX's ways,PersonX arrives at their destination,Beginning,marker,outline map,End|End|Beginning,Pork is greasy.,X wants to convince Y to buy.,They want to follow a specific route.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",7iEQWGEXhpFQ9wl5T8GHfw==,PersonX unlocks the car door,PersonX drives PersonX's car on the highway,PersonX ditches the car at a gas station,Beginning,Key,unlock the vehicle,JZczVBeDr1sWFlNldBMdmw==,PersonX takes guitar lessions,PersonX plays bass guitar,PersonX practices guitar daily,Middle,guitar pick,play guitar,LLa3HCDsYffS+yfmjy1P+g==,PersonX sees someone broken down on the road.,PersonX pumps PersonY's tires,PersonX makes sure personY can drive away.,Middle,tools,access tire,Beginning|Middle|Middle,Keys are used to unlock things that are locked,Guitar picks strum through guitar strings to make music.,Tools are used to fix physical things.
