Title,Description,Keywords,word0,id0,word1,id1,word2,id2,word3,id3,word4,id4,word5,id5,word6,id6,word7,id7,word8,id8,word9,id9,Answer.confidence0,Answer.confidence1,Answer.confidence2,Answer.confidence3,Answer.confidence4,Answer.confidence5,Answer.confidence6,Answer.confidence7,Answer.confidence8,Answer.confidence9,Answer.na0,Answer.na1,Answer.na2,Answer.na3,Answer.na4,Answer.na5,Answer.na6,Answer.na7,Answer.na8,Answer.na9,Answer.rating0,Answer.rating1,Answer.rating2,Answer.rating3,Answer.rating4,Answer.rating5,Answer.rating6,Answer.rating7,Answer.rating8,Answer.rating9
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",amending the rules of the house of representatives to require a bill or joint resolution which amends a law to show the change in the law made by the amendment,081417_official,authorize a program of grants to states to encourage the provision of assistance to needy children deprived of parental support or care by reason of the unemployment of a principal wage-earning parent .,033962_official,repeal tax subsidies for oil and gas enacted by the energy policy act of year and to use the proceeds to double certain alternative energy incentives provided for in such act .,097648_official,montana rural aviation improvement,089316_short,clean alternatives for energy independence,097648_short,department of defense supplemental authorization,015877_short,"amend title 49 , united states code , to authorize the secretary of transportation to consider the impact of severe weather conditions on montana 's aviation public and establish regulatory distinctions consistent with those applied to the state of alaska .",089316_official,"authorize supplemental appropriations for fiscal year year for procurement of aircraft , missiles , and tracked combat vehicles , and for operations and maintenance , and to increase the authorized personnel strength for the army .",015877_official,plain english in law rule,081417_short,pro-family preservation and demonstration project,033962_short,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",amending the rules of the house of representatives to require a bill or joint resolution which amends a law to show the change in the law made by the amendment,081417_official,authorize a program of grants to states to encourage the provision of assistance to needy children deprived of parental support or care by reason of the unemployment of a principal wage-earning parent .,033962_official,repeal tax subsidies for oil and gas enacted by the energy policy act of year and to use the proceeds to double certain alternative energy incentives provided for in such act .,097648_official,montana rural aviation improvement,089316_short,clean alternatives for energy independence,097648_short,department of defense supplemental authorization,015877_short,"amend title 49 , united states code , to authorize the secretary of transportation to consider the impact of severe weather conditions on montana 's aviation public and establish regulatory distinctions consistent with those applied to the state of alaska .",089316_official,"authorize supplemental appropriations for fiscal year year for procurement of aircraft , missiles , and tracked combat vehicles , and for operations and maintenance , and to increase the authorized personnel strength for the army .",015877_official,plain english in law rule,081417_short,pro-family preservation and demonstration project,033962_short,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,,,,,,,,,,,3.0,3.0,3.0,2.0,3.0,-1.0,1.0,-3.0,1.0,-1.0
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",amending the rules of the house of representatives to require a bill or joint resolution which amends a law to show the change in the law made by the amendment,081417_official,authorize a program of grants to states to encourage the provision of assistance to needy children deprived of parental support or care by reason of the unemployment of a principal wage-earning parent .,033962_official,repeal tax subsidies for oil and gas enacted by the energy policy act of year and to use the proceeds to double certain alternative energy incentives provided for in such act .,097648_official,montana rural aviation improvement,089316_short,clean alternatives for energy independence,097648_short,department of defense supplemental authorization,015877_short,"amend title 49 , united states code , to authorize the secretary of transportation to consider the impact of severe weather conditions on montana 's aviation public and establish regulatory distinctions consistent with those applied to the state of alaska .",089316_official,"authorize supplemental appropriations for fiscal year year for procurement of aircraft , missiles , and tracked combat vehicles , and for operations and maintenance , and to increase the authorized personnel strength for the army .",015877_official,plain english in law rule,081417_short,pro-family preservation and demonstration project,033962_short,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,na6,,na8,,3.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",amending the rules of the house of representatives to require a bill or joint resolution which amends a law to show the change in the law made by the amendment,081417_official,authorize a program of grants to states to encourage the provision of assistance to needy children deprived of parental support or care by reason of the unemployment of a principal wage-earning parent .,033962_official,repeal tax subsidies for oil and gas enacted by the energy policy act of year and to use the proceeds to double certain alternative energy incentives provided for in such act .,097648_official,montana rural aviation improvement,089316_short,clean alternatives for energy independence,097648_short,department of defense supplemental authorization,015877_short,"amend title 49 , united states code , to authorize the secretary of transportation to consider the impact of severe weather conditions on montana 's aviation public and establish regulatory distinctions consistent with those applied to the state of alaska .",089316_official,"authorize supplemental appropriations for fiscal year year for procurement of aircraft , missiles , and tracked combat vehicles , and for operations and maintenance , and to increase the authorized personnel strength for the army .",015877_official,plain english in law rule,081417_short,pro-family preservation and demonstration project,033962_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,3.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",amending the rules of the house of representatives to require a bill or joint resolution which amends a law to show the change in the law made by the amendment,081417_official,authorize a program of grants to states to encourage the provision of assistance to needy children deprived of parental support or care by reason of the unemployment of a principal wage-earning parent .,033962_official,repeal tax subsidies for oil and gas enacted by the energy policy act of year and to use the proceeds to double certain alternative energy incentives provided for in such act .,097648_official,montana rural aviation improvement,089316_short,clean alternatives for energy independence,097648_short,department of defense supplemental authorization,015877_short,"amend title 49 , united states code , to authorize the secretary of transportation to consider the impact of severe weather conditions on montana 's aviation public and establish regulatory distinctions consistent with those applied to the state of alaska .",089316_official,"authorize supplemental appropriations for fiscal year year for procurement of aircraft , missiles , and tracked combat vehicles , and for operations and maintenance , and to increase the authorized personnel strength for the army .",015877_official,plain english in law rule,081417_short,pro-family preservation and demonstration project,033962_short,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,,,,,,,,,,,1.0,3.0,2.0,1.0,1.0,-1.0,1.0,1.0,-1.0,3.0
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",ensure that certain controversial changes to the environmental protection agency 's total maximum daily load program and permit program be subjected to adequate public and congressional analysis and review .,080587_official,tmdl regulatory accountability,080587_short,efficient use of government spectrum,019529_short,"amend title 38 , united states code , to improve the furnishing of health care to veterans by the department of veterans affairs , to improve the processing by the department of claims for disability compensation",028714_official,21st century veterans benefits delivery and other improvements,028714_short,higher education for the twenty-first century,074378_short,amend the carl d. perkins career and technical education act of year to improve the act .,023558_official,amend the higher education act of year to increase postsecondary education opportunities for hispanic students and other student populations underrepresented in postsecondary education .,074378_official,require the reallocation and auction for commercial use of the electromagnetic spectrum between the frequencies from year megahertz to year megahertz .,019529_official,perkins modernization,023558_short,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,na8,na9,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,,
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",ensure that certain controversial changes to the environmental protection agency 's total maximum daily load program and permit program be subjected to adequate public and congressional analysis and review .,080587_official,tmdl regulatory accountability,080587_short,efficient use of government spectrum,019529_short,"amend title 38 , united states code , to improve the furnishing of health care to veterans by the department of veterans affairs , to improve the processing by the department of claims for disability compensation",028714_official,21st century veterans benefits delivery and other improvements,028714_short,higher education for the twenty-first century,074378_short,amend the carl d. perkins career and technical education act of year to improve the act .,023558_official,amend the higher education act of year to increase postsecondary education opportunities for hispanic students and other student populations underrepresented in postsecondary education .,074378_official,require the reallocation and auction for commercial use of the electromagnetic spectrum between the frequencies from year megahertz to year megahertz .,019529_official,perkins modernization,023558_short,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,,,,,,,,,,,1.0,0.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",ensure that certain controversial changes to the environmental protection agency 's total maximum daily load program and permit program be subjected to adequate public and congressional analysis and review .,080587_official,tmdl regulatory accountability,080587_short,efficient use of government spectrum,019529_short,"amend title 38 , united states code , to improve the furnishing of health care to veterans by the department of veterans affairs , to improve the processing by the department of claims for disability compensation",028714_official,21st century veterans benefits delivery and other improvements,028714_short,higher education for the twenty-first century,074378_short,amend the carl d. perkins career and technical education act of year to improve the act .,023558_official,amend the higher education act of year to increase postsecondary education opportunities for hispanic students and other student populations underrepresented in postsecondary education .,074378_official,require the reallocation and auction for commercial use of the electromagnetic spectrum between the frequencies from year megahertz to year megahertz .,019529_official,perkins modernization,023558_short,0.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,na1,,,,,,,,na9,-1.0,,1.0,2.0,3.0,3.0,2.0,3.0,0.0,
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",ensure that certain controversial changes to the environmental protection agency 's total maximum daily load program and permit program be subjected to adequate public and congressional analysis and review .,080587_official,tmdl regulatory accountability,080587_short,efficient use of government spectrum,019529_short,"amend title 38 , united states code , to improve the furnishing of health care to veterans by the department of veterans affairs , to improve the processing by the department of claims for disability compensation",028714_official,21st century veterans benefits delivery and other improvements,028714_short,higher education for the twenty-first century,074378_short,amend the carl d. perkins career and technical education act of year to improve the act .,023558_official,amend the higher education act of year to increase postsecondary education opportunities for hispanic students and other student populations underrepresented in postsecondary education .,074378_official,require the reallocation and auction for commercial use of the electromagnetic spectrum between the frequencies from year megahertz to year megahertz .,019529_official,perkins modernization,023558_short,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,,,,,,,,,,,na9,1.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,
Indicate your political stance on political ideas,Indicate opinions towards proposed public policies and political ideas,"research,politics,language,opinion,survey",ensure that certain controversial changes to the environmental protection agency 's total maximum daily load program and permit program be subjected to adequate public and congressional analysis and review .,080587_official,tmdl regulatory accountability,080587_short,efficient use of government spectrum,019529_short,"amend title 38 , united states code , to improve the furnishing of health care to veterans by the department of veterans affairs , to improve the processing by the department of claims for disability compensation",028714_official,21st century veterans benefits delivery and other improvements,028714_short,higher education for the twenty-first century,074378_short,amend the carl d. perkins career and technical education act of year to improve the act .,023558_official,amend the higher education act of year to increase postsecondary education opportunities for hispanic students and other student populations underrepresented in postsecondary education .,074378_official,require the reallocation and auction for commercial use of the electromagnetic spectrum between the frequencies from year megahertz to year megahertz .,019529_official,perkins modernization,023558_short,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,,,,,,,,,,,na9,0.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,-3.0,
