Title,Description,Keywords,event1,durations1,event2,durations2,event3,durations3
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",coordinating activity,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,traded higher,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,plagued africa s largest country,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",sidelined with an abdominal injury,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,closed by us troops,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,taking another drive on mars,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",plagued the state,0.00|0.00|0.00|0.00|0.00|0.64|0.36|0.00|0.00|0.00|0.00,fell 04 percent,0.00|0.00|0.00|0.00|0.38|0.38|0.25|0.00|0.00|0.00|0.00,left many spectators stranded,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",renewed his contract,0.00|0.00|0.00|0.00|0.00|0.08|0.92|0.00|0.00|0.00|0.00,met together,0.00|0.33|0.58|0.08|0.00|0.00|0.00|0.00|0.00|0.00|0.00,built conventional submarines,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",sent harry  then 16,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,waging a   proxy,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,had nothing but disaster,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",suspected this  bird flu,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,gridlocked,0.00|0.00|0.58|0.17|0.08|0.08|0.08|0.00|0.00|0.00|0.00,lying naked  covered in,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",waging a proxy war,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,admired him,0.00|0.00|0.00|0.00|0.00|0.00|0.17|0.83|0.00|0.00|0.00,penning  for lack of,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",evolved gradually,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,grow only 01 percent,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,imprisoned by china,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",cared for him,0.00|0.00|0.11|0.11|0.00|0.00|0.42|0.37|0.00|0.00|0.00,serve in the army,0.00|0.00|0.00|0.04|0.00|0.07|0.89|0.00|0.00|0.00|0.00,held in israel,0.00|0.00|0.00|0.09|0.00|0.09|0.09|0.73|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",does the   lake,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,stuck in congress,0.00|0.00|0.00|0.00|0.00|0.60|0.20|0.20|0.00|0.00|0.00,alternating between explosive diarrhea,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",refrigerate in an airtight container,0.00|0.00|0.00|0.50|0.33|0.17|0.00|0.00|0.00|0.00|0.00,held forth,0.00|0.21|0.74|0.05|0.00|0.00|0.00|0.00|0.00|0.00|0.00,become public,0.00|0.00|0.00|0.00|0.00|0.06|0.56|0.39|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",starts,0.00|0.00|0.00|0.50|0.00|0.00|0.50|0.00|0.00|0.00|0.00,bake the pudding,0.00|0.80|0.20|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,betting,0.00|0.00|0.00|0.00|0.14|0.64|0.21|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",publish,0.00|0.00|0.00|0.67|0.06|0.06|0.17|0.06|0.00|0.00|0.00,suspend violence,0.00|0.00|0.00|0.08|0.00|0.92|0.00|0.00|0.00|0.00|0.00,held in france,0.00|0.00|0.00|0.18|0.73|0.00|0.00|0.09|0.00|0.00|0.00
