Title,Description,Keywords,blob
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","gutenberg_688_3.0_UNK:::Thou lovest to behold <b><u>this  light</u></b>.:::Thou lovest to behold <b><u>this dim light</u></b>.:::dim:::light:::nn-tier=topK jj-tier=topK:::Thou lovest to behold this dim light.###imagecaptions_1627_3.0_UNK:::A small boy feeds hay to a sheep in a pen A small boy laying on <b><u>a  sofa with</u></b> a dog.:::A small boy feeds hay to a sheep in a pen A small boy laying on <b><u>a white sofa with</u></b> a dog.:::white:::sofa:::nn-tier=topK jj-tier=topK:::A small boy feeds hay to a sheep in a pen A small boy laying on a white sofa with a dog.###control_giga_195_1::: <b><u>Ellis said Monday</u></b> whether he had asked Bradley to call Shapiro.::: <b><u>Ellis refused to say Monday</u></b> whether he had asked Bradley to call Shapiro.:::refused:::to say:::JJ NN::: <b><u>Ellis refused to say Monday</u></b> whether he had asked Bradley to call Shapiro.###imagecaptions_2162_3.0_UNK:::A brown and white dog walking in the snow near <b><u>a  fence</u></b>.:::A brown and white dog walking in the snow near <b><u>a white fence</u></b>.:::white:::fence:::nn-tier=topK jj-tier=topK:::A brown and white dog walking in the snow near a white fence.###imagecaptions_689_3.0_UNK:::An older woman with gray hair wears sunglasses, a necklace, earrings, and blue shirt <b><u>and  jacket</u></b>.:::An older woman with gray hair wears sunglasses, a necklace, earrings, and blue shirt <b><u>and orange jacket</u></b>.:::orange:::jacket:::nn-tier=topK jj-tier=topK:::An older woman with gray hair wears sunglasses, a necklace, earrings, and blue shirt and orange jacket.###imagecaptions_319_3.0_UNK:::A small child at the bottom of a slide <b><u>has  hair sticking</u></b> up.:::A small child at the bottom of a slide <b><u>has red hair sticking</u></b> up.:::red:::hair:::nn-tier=topK jj-tier=topK:::A small child at the bottom of a slide has red hair sticking up.###gigaword_2267_3.0_UNK:::<b><u>The  figure confirms</u></b> that inflation remains moderate.:::<b><u>The popular figure confirms</u></b> that inflation remains moderate.:::popular:::figure:::nn-tier=topK jj-tier=topK:::The popular figure confirms that inflation remains moderate.###gutenberg_829_3.0_UNK:::True, he had but slain <b><u>this  fellow in</u></b> self-defence.:::True, he had but slain <b><u>this big fellow in</u></b> self-defence.:::big:::fellow:::nn-tier=topK jj-tier=topK:::True, he had but slain this big fellow in self-defence.###gigaword_1434_1.0_NO:::Michael Dell praises <b><u>the  performance of</u></b> his company's Irish operations.:::Michael Dell praises <b><u>the lackluster performance of</u></b> his company's Irish operations.:::lackluster:::performance:::nn-tier=topK jj-tier=topK:::Michael Dell praises the lackluster performance of his company's Irish operations.###argumentation_611_4.0_YES:::The treasury does <b><u>create  money from</u></b> nothing.:::The treasury does <b><u>create much money from</u></b> nothing.:::much:::money:::nn-tier=topK jj-tier=topK:::The treasury does create much money from nothing."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","gigaword_800_3.0_UNK:::Yet <b><u>the  culture in</u></b> Tallahassee remains one of utter denial.:::Yet <b><u>the political culture in</u></b> Tallahassee remains one of utter denial.:::political:::culture:::nn-tier=topK jj-tier=topK:::Yet the political culture in Tallahassee remains one of utter denial.###imagecaptions_1756_3.0_UNK:::Girl double sitting beers Girl in front of building on a snowy day Girl on Christmas posing with <b><u>a  tube of</u></b> cream.:::Girl double sitting beers Girl in front of building on a snowy day Girl on Christmas posing with <b><u>a yellow tube of</u></b> cream.:::yellow:::tube:::nn-tier=topK jj-tier=topK:::Girl double sitting beers Girl in front of building on a snowy day Girl on Christmas posing with a yellow tube of cream.###imagecaptions_1261_3.0_UNK:::Two men <b><u>in  bike riding</u></b> clothing standing by their bikes.:::Two men <b><u>in oversize bike riding</u></b> clothing standing by their bikes.:::oversize:::bike:::nn-tier=topK jj-tier=topK:::Two men in oversize bike riding clothing standing by their bikes.###gigaword_1940_3.0_UNK:::Lay meat, <b><u>boned  side up</u></b>, on a work surface.:::Lay meat, <b><u>boned dark side up</u></b>, on a work surface.:::dark:::side:::nn-tier=topK jj-tier=topK:::Lay meat, boned dark side up, on a work surface.###imagecaptions_961_3.0_UNK:::Three dogs <b><u>wearing  vest are</u></b> running on the green grass.:::Three dogs <b><u>wearing blue vest are</u></b> running on the green grass.:::blue:::vest:::nn-tier=topK jj-tier=topK:::Three dogs wearing blue vest are running on the green grass.###argumentation_2100_2.0_NO:::<b><u>The  organization's</u></b> decision gives the European Union and several other countries the right to impose retaliatory tariffs on billions of dollars' worth of American exports unless Bush reverses his March 2002 decision to give American steelmakers protection from imports.:::<b><u>The terrorist organization's</u></b> decision gives the European Union and several other countries the right to impose retaliatory tariffs on billions of dollars' worth of American exports unless Bush reverses his March 2002 decision to give American steelmakers protection from imports.:::terrorist:::organization:::nn-tier=topK jj-tier=topK:::The terrorist organization's decision gives the European Union and several other countries the right to impose retaliatory tariffs on billions of dollars' worth of American exports unless Bush reverses his March 2002 decision to give American steelmakers protection from imports.###control_imagecaptions_1272_3:::A brown dog wearing <b><u>a collar is</u></b> running through some water.:::A brown dog wearing <b><u>a pink collar is</u></b> running through some water.:::pink:::collar:::JJ NN:::A brown dog wearing <b><u>a pink collar is</u></b> running through some water.###argumentation_610_4.0_YES:::Some people actually <b><u>lose  money ya</u></b> know.:::Some people actually <b><u>lose much money ya</u></b> know.:::much:::money:::nn-tier=topK jj-tier=topK:::Some people actually lose much money ya know.###imagecaptions_2898_3.0_UNK:::A small black and white dog is swimming <b><u>in  water</u></b>.:::A small black and white dog is swimming <b><u>in deep water</u></b>.:::deep:::water:::nn-tier=topK jj-tier=topK:::A small black and white dog is swimming in deep water.###argumentation_1585_3.0_UNK:::And to an old rodder, what a bargain price for <b><u>that  level of</u></b> straight-line street performance.:::And to an old rodder, what a bargain price for <b><u>that high level of</u></b> straight-line street performance.:::high:::level:::nn-tier=topK jj-tier=topK:::And to an old rodder, what a bargain price for that high level of straight-line street performance."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","imagecaptions_555_3.0_UNK:::A woman holding a girl, who wears an apple <b><u>themed  coat</u></b>.:::A woman holding a girl, who wears an apple <b><u>themed yellow coat</u></b>.:::yellow:::coat:::nn-tier=topK jj-tier=topK:::A woman holding a girl, who wears an apple themed yellow coat.###argumentation_1276_4.0_YES:::George, I'll respond to <b><u>your  post as</u></b> a prime example.:::George, I'll respond to <b><u>your last post as</u></b> a prime example.:::last:::post:::nn-tier=topK jj-tier=topK:::George, I'll respond to your last post as a prime example.###gigaword_1415_2.0_NO:::Hitchcock was <b><u>the  model of</u></b> preparation.:::Hitchcock was <b><u>the previous model of</u></b> preparation.:::previous:::model:::nn-tier=topK jj-tier=topK:::Hitchcock was the previous model of preparation.###gutenberg_741_4.0_YES:::I feel that there is nothing in <b><u>the  world</u></b>.:::I feel that there is nothing in <b><u>the outside world</u></b>.:::outside:::world:::nn-tier=topK jj-tier=topK:::I feel that there is nothing in the outside world.###gutenberg_2950_5.0_YES:::This is what is called a fair outside, deceptive <b><u>in  appearance</u></b>.:::This is what is called a fair outside, deceptive <b><u>in whole appearance</u></b>.:::whole:::appearance:::nn-tier=topK jj-tier=topK:::This is what is called a fair outside, deceptive in whole appearance.###imagecaptions_200_3.0_UNK:::Two girls holding up <b><u>a  dress at</u></b> an event.:::Two girls holding up <b><u>a green dress at</u></b> an event.:::green:::dress:::nn-tier=topK jj-tier=topK:::Two girls holding up a green dress at an event.###gigaword_428_3.0_UNK:::It holds me back <b><u>in  life</u></b>.:::It holds me back <b><u>in private life</u></b>.:::private:::life:::nn-tier=topK jj-tier=topK:::It holds me back in private life.###control_giga_376_5::: Six <b><u>regions made their</u></b> ends meet by securing food supplies from elsewhere.::: Six <b><u>regions managed to make their</u></b> ends meet by securing food supplies from elsewhere.:::managed:::to make:::JJ NN::: Six <b><u>regions managed to make their</u></b> ends meet by securing food supplies from elsewhere.###imagecaptions_2651_2.5_UNK:::Two horses standing in <b><u>a  field with</u></b> trees in the background.:::Two horses standing in <b><u>a sandy field with</u></b> trees in the background.:::sandy:::field:::nn-tier=topK jj-tier=topK:::Two horses standing in a sandy field with trees in the background.###gutenberg_2912_3.0_UNK:::The great trout seemed to dance on the surface of <b><u>the  water</u></b>.:::The great trout seemed to dance on the surface of <b><u>the blue water</u></b>.:::blue:::water:::nn-tier=topK jj-tier=topK:::The great trout seemed to dance on the surface of the blue water."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","gigaword_1163_2.0_NO:::Many long-distance riders are romantic about trains and <b><u>their  history</u></b>.:::Many long-distance riders are romantic about trains and <b><u>their recent history</u></b>.:::recent:::history:::nn-tier=topK jj-tier=topK:::Many long-distance riders are romantic about trains and their recent history.###imagecaptions_1349_3.0_UNK:::A woman in a black cap <b><u>and  outfit sits</u></b> in the sand.:::A woman in a black cap <b><u>and green outfit sits</u></b> in the sand.:::green:::outfit:::nn-tier=topK jj-tier=topK:::A woman in a black cap and green outfit sits in the sand.###gigaword_1949_4.0_YES:::Scholars say that this kiln is the best-preserved one of <b><u>that  period</u></b>.:::Scholars say that this kiln is the best-preserved one of <b><u>that extended period</u></b>.:::extended:::period:::nn-tier=topK jj-tier=topK:::Scholars say that this kiln is the best-preserved one of that extended period.###gutenberg_21_3.0_UNK:::<b><u>The  sound made</u></b> my heart throb.:::<b><u>The strange sound made</u></b> my heart throb.:::strange:::sound:::nn-tier=topK jj-tier=topK:::The strange sound made my heart throb.###gigaword_1328_3.5_UNK:::Miller estimates about$ 5,000 has gone into <b><u>the  production already</u></b>.:::Miller estimates about$ 5,000 has gone into <b><u>the global production already</u></b>.:::global:::production:::nn-tier=topK jj-tier=topK:::Miller estimates about$ 5,000 has gone into the global production already.###imagecaptions_2758_2.0_NO:::A young family sits on steps enjoying <b><u>the  day A</u></b> young family sitting on stone steps.:::A young family sits on steps enjoying <b><u>the cloudy day A</u></b> young family sitting on stone steps.:::cloudy:::day:::nn-tier=topK jj-tier=topK:::A young family sits on steps enjoying the cloudy day A young family sitting on stone steps.###control_imagecaptions_1302_3:::A middle eastern couple sitting on <b><u>a couch holding</u></b> their baby and displaying a gift.:::A middle eastern couple sitting on <b><u>a pink couch holding</u></b> their baby and displaying a gift.:::pink:::couch:::JJ NN:::A middle eastern couple sitting on <b><u>a pink couch holding</u></b> their baby and displaying a gift.###gigaword_1604_3.0_UNK:::And <b><u>my  music keeps</u></b> me focused.:::And <b><u>my classical music keeps</u></b> me focused.:::classical:::music:::nn-tier=topK jj-tier=topK:::And my classical music keeps me focused.###gigaword_1307_3.5_UNK:::But he reiterated the MILF's commitment to help <b><u>the  government recapture</u></b> him.:::But he reiterated the MILF's commitment to help <b><u>the central government recapture</u></b> him.:::central:::government:::nn-tier=topK jj-tier=topK:::But he reiterated the MILF's commitment to help the central government recapture him.###argumentation_2382_3.0_UNK:::End <b><u>of  story</u></b>.:::End <b><u>of first story</u></b>.:::first:::story:::nn-tier=topK jj-tier=topK:::End of first story."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","gigaword_1938_2.5_UNK:::<b><u>Neither  side disclosed</u></b> the terms of the settlement.:::<b><u>Neither dark side disclosed</u></b> the terms of the settlement.:::dark:::side:::nn-tier=topK jj-tier=topK:::Neither dark side disclosed the terms of the settlement.###gigaword_437_4.0_YES:::Osher sees such hybrid films as <b><u>one  way Sony</u></b> can differentiate itself from rivals.:::Osher sees such hybrid films as <b><u>one new way Sony</u></b> can differentiate itself from rivals.:::new:::way:::nn-tier=topK jj-tier=topK:::Osher sees such hybrid films as one new way Sony can differentiate itself from rivals.###imagecaptions_665_3.0_UNK:::Older man in <b><u>a  suit,</u></b> tie, and overcoat, walks through the street.:::Older man in <b><u>a yellow suit,</u></b> tie, and overcoat, walks through the street.:::yellow:::suit:::nn-tier=topK jj-tier=topK:::Older man in a yellow suit, tie, and overcoat, walks through the street.###gigaword_1340_3.0_UNK:::Emirates has <b><u>a  history of</u></b> confounding the doubting Thomases.:::Emirates has <b><u>a modern history of</u></b> confounding the doubting Thomases.:::modern:::history:::nn-tier=topK jj-tier=topK:::Emirates has a modern history of confounding the doubting Thomases.###imagecaptions_516_3.0_UNK:::Two dogs sharing <b><u>a  toy</u></b>.:::Two dogs sharing <b><u>a red toy</u></b>.:::red:::toy:::nn-tier=topK jj-tier=topK:::Two dogs sharing a red toy.###control_giga_799_5::: Clinton, by contrast, <b><u>always alters his</u></b> stump speech to appeal to the audience at hand.::: Clinton, by contrast, <b><u>always manages to alter his</u></b> stump speech to appeal to the audience at hand.:::manages:::to alter:::JJ NN::: Clinton, by contrast, <b><u>always manages to alter his</u></b> stump speech to appeal to the audience at hand.###imagecaptions_1260_3.0_UNK:::Someone sitting on a bench next to <b><u>a  bike looking</u></b> out over the sea.:::Someone sitting on a bench next to <b><u>an oversize bike looking</u></b> out over the sea.:::oversize:::bike:::nn-tier=topK jj-tier=topK:::Someone sitting on a bench next to an oversize bike looking out over the sea.###imagecaptions_882_4.0_YES:::A hot air balloon just off <b><u>the  ground surrounded</u></b> by people.:::A hot air balloon just off <b><u>the flat ground surrounded</u></b> by people.:::flat:::ground:::nn-tier=topK jj-tier=topK:::A hot air balloon just off the flat ground surrounded by people.###argumentation_1584_4.0_YES:::Thats <b><u>the  level of</u></b> racism involved- iraqis on par with insects.:::Thats <b><u>the high level of</u></b> racism involved- iraqis on par with insects.:::high:::level:::nn-tier=topK jj-tier=topK:::Thats the high level of racism involved- iraqis on par with insects.###gigaword_2237_4.0_YES:::JVC has yet to decide a schedule for commercializing <b><u>the  technology</u></b>.:::JVC has yet to decide a schedule for commercializing <b><u>the new technology</u></b>.:::new:::technology:::nn-tier=topK jj-tier=topK:::JVC has yet to decide a schedule for commercializing the new technology."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","imagecaptions_1744_3.0_UNK:::Several people bathe in <b><u>a  lake</u></b>.:::Several people bathe in <b><u>an alpine lake</u></b>.:::alpine:::lake:::nn-tier=topK jj-tier=topK:::Several people bathe in an alpine lake.###gigaword_1304_4.0_YES:::Then came AIDS, which turned casual sex into <b><u>a  form of</u></b> Russian roulette.:::Then came AIDS, which turned casual sex into <b><u>a human form of</u></b> Russian roulette.:::human:::form:::nn-tier=topK jj-tier=topK:::Then came AIDS, which turned casual sex into a human form of Russian roulette.###gutenberg_1764_2.0_NO:::There was an illuminating quality in <b><u>her  smile that</u></b> atoned for lack of beauty.:::There was an illuminating quality in <b><u>her bitter smile that</u></b> atoned for lack of beauty.:::bitter:::smile:::nn-tier=topK jj-tier=topK:::There was an illuminating quality in her bitter smile that atoned for lack of beauty.###argumentation_968_4.0_YES:::Those without <b><u>an  education will</u></b> be left behind.:::Those without <b><u>a good education will</u></b> be left behind.:::good:::education:::nn-tier=topK jj-tier=topK:::Those without a good education will be left behind.###control_giga_464_1::: Pro-democracy <b><u>legislators postponsed deliberation</u></b> of a the court bill until after legislative council elections in September.::: Pro-democracy <b><u>legislators failed to postpone deliberation</u></b> of a the court bill until after legislative council elections in September.:::failed:::to postpone:::JJ NN::: Pro-democracy <b><u>legislators failed to postpone deliberation</u></b> of a the court bill until after legislative council elections in September.###imagecaptions_1368_3.0_UNK:::<b><u>A  dog looking</u></b> through a gap in the back of a pick up truck.:::<b><u>A large dog looking</u></b> through a gap in the back of a pick up truck.:::large:::dog:::nn-tier=topK jj-tier=topK:::A large dog looking through a gap in the back of a pick up truck.###argumentation_2210_4.0_YES:::We all know they are underpaid for <b><u>the  work they</u></b> do.:::We all know they are underpaid for <b><u>the good work they</u></b> do.:::good:::work:::nn-tier=topK jj-tier=topK:::We all know they are underpaid for the good work they do.###argumentation_2190_3.0_UNK:::Everyone associated with <b><u>that  person will</u></b> feel better.:::Everyone associated with <b><u>that rational person will</u></b> feel better.:::rational:::person:::nn-tier=topK jj-tier=topK:::Everyone associated with that rational person will feel better.###argumentation_2489_3.0_UNK:::<b><u>Each  side blames</u></b> the other for the bloodshed.:::<b><u>Each dark side blames</u></b> the other for the bloodshed.:::dark:::side:::nn-tier=topK jj-tier=topK:::Each dark side blames the other for the bloodshed.###gigaword_2376_3.0_UNK:::Perhaps it would_ if every college adhered to <b><u>the  policy</u></b>.:::Perhaps it would_ if every college adhered to <b><u>the monetary policy</u></b>.:::monetary:::policy:::nn-tier=topK jj-tier=topK:::Perhaps it would_ if every college adhered to the monetary policy."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","gigaword_1790_2.5_UNK:::Laporte has to modify <b><u>his  team somewhat</u></b> because of injuries to key players.:::Laporte has to modify <b><u>his other team somewhat</u></b> because of injuries to key players.:::other:::team:::nn-tier=topK jj-tier=topK:::Laporte has to modify his other team somewhat because of injuries to key players.###argumentation_682_3.0_UNK:::End <b><u>of  debate</u></b>.:::End <b><u>of honest debate</u></b>.:::honest:::debate:::nn-tier=topK jj-tier=topK:::End of honest debate.###argumentation_1586_3.0_UNK:::You invoked Hitler when you said you put us on <b><u>the  level of</u></b> holocaust deniers.:::You invoked Hitler when you said you put us on <b><u>the high level of</u></b> holocaust deniers.:::high:::level:::nn-tier=topK jj-tier=topK:::You invoked Hitler when you said you put us on the high level of holocaust deniers.###gigaword_2575_3.0_UNK:::Now, however, she gives <b><u>his  effort generally</u></b> good marks.:::Now, however, she gives <b><u>his new effort generally</u></b> good marks.:::new:::effort:::nn-tier=topK jj-tier=topK:::Now, however, she gives his new effort generally good marks.###control_imagecaptions_117_3:::A runner on <b><u>a track</u></b>.:::A runner on <b><u>a red track</u></b>.:::red:::track:::JJ NN:::A runner on <b><u>a red track</u></b>.###imagecaptions_492_4.0_YES:::A lone skier is making their way up <b><u>a  mountain</u></b>.:::A lone skier is making their way up <b><u>a steep mountain</u></b>.:::steep:::mountain:::nn-tier=topK jj-tier=topK:::A lone skier is making their way up a steep mountain.###gigaword_1162_3.0_UNK:::Not even an asterisk in this moment <b><u>in  history</u></b>.:::Not even an asterisk in this moment <b><u>in recent history</u></b>.:::recent:::history:::nn-tier=topK jj-tier=topK:::Not even an asterisk in this moment in recent history.###gigaword_36_3.0_UNK:::They loosen <b><u>a  set of</u></b> wrapped wooden rods.:::They loosen <b><u>a fifth set of</u></b> wrapped wooden rods.:::fifth:::set:::nn-tier=topK jj-tier=topK:::They loosen a fifth set of wrapped wooden rods.###argumentation_1168_3.0_UNK:::Phunting used <b><u>the  term as</u></b> a statistical term and I agreed.:::Phunting used <b><u>the last term as</u></b> a statistical term and I agreed.:::last:::term:::nn-tier=topK jj-tier=topK:::Phunting used the last term as a statistical term and I agreed.###imagecaptions_2561_3.0_UNK:::A kid without <b><u>a  shirt uses</u></b> an inner tube for shade.:::A kid without <b><u>a black shirt uses</u></b> an inner tube for shade.:::black:::shirt:::nn-tier=topK jj-tier=topK:::A kid without a black shirt uses an inner tube for shade."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","argumentation_2227_5.0_YES:::In <b><u>my  experience USPS</u></b> is an awful lot cheaper than UPS, DHL, FedEx etc..:::In <b><u>my own experience USPS</u></b> is an awful lot cheaper than UPS, DHL, FedEx etc..:::own:::experience:::nn-tier=topK jj-tier=topK:::In my own experience USPS is an awful lot cheaper than UPS, DHL, FedEx etc..###argumentation_2067_4.0_YES:::Here in NY, <b><u>the  cost of</u></b> attending SUNY has risen to approx.:::Here in NY, <b><u>the true cost of</u></b> attending SUNY has risen to approx.:::true:::cost:::nn-tier=topK jj-tier=topK:::Here in NY, the true cost of attending SUNY has risen to approx.###argumentation_771_3.0_UNK:::Choosing to wear a football shirt <b><u>affirms  support for</u></b> that team.:::Choosing to wear a football shirt <b><u>affirms international support for</u></b> that team.:::international:::support:::nn-tier=topK jj-tier=topK:::Choosing to wear a football shirt affirms international support for that team.###gigaword_2109_3.0_UNK:::The loss was <b><u>the  team's</u></b> second defeat in friendlies during the inter-tournament workout.:::The loss was <b><u>the american team's</u></b> second defeat in friendlies during the inter-tournament workout.:::american:::team:::nn-tier=topK jj-tier=topK:::The loss was the american team's second defeat in friendlies during the inter-tournament workout.###gutenberg_2751_3.0_UNK:::He was too astonished by this sudden departure to say <b><u>a  word</u></b>.:::He was too astonished by this sudden departure to say <b><u>a harsh word</u></b>.:::harsh:::word:::nn-tier=topK jj-tier=topK:::He was too astonished by this sudden departure to say a harsh word.###gutenberg_22_3.0_UNK:::Rossmoved warily, alert to <b><u>any  sound</u></b>.:::Rossmoved warily, alert to <b><u>any strange sound</u></b>.:::strange:::sound:::nn-tier=topK jj-tier=topK:::Rossmoved warily, alert to any strange sound.###imagecaptions_1048_3.0_UNK:::A man in the dooorway of <b><u>a  bus looking</u></b> onward.:::A man in the dooorway of <b><u>a white bus looking</u></b> onward.:::white:::bus:::nn-tier=topK jj-tier=topK:::A man in the dooorway of a white bus looking onward.###imagecaptions_2842_3.0_UNK:::People tend canoes at the edge of a body of water during a dimly lit time <b><u>of  day</u></b>.:::People tend canoes at the edge of a body of water during a dimly lit time <b><u>of overcast day</u></b>.:::overcast:::day:::nn-tier=topK jj-tier=topK:::People tend canoes at the edge of a body of water during a dimly lit time of overcast day.###gigaword_1414_3.0_UNK:::Dealer's invoice price on <b><u>that  model is</u></b>$ 24,988.:::Dealer's invoice price on <b><u>that previous model is</u></b>$ 24,988.:::previous:::model:::nn-tier=topK jj-tier=topK:::Dealer's invoice price on that previous model is$ 24,988.###control_imagecaptions_1317_3:::A girl is outside <b><u>a house with</u></b> a pink hula hoop spinning around her upper leg.:::A girl is outside <b><u>a blue house with</u></b> a pink hula hoop spinning around her upper leg.:::blue:::house:::JJ NN:::A girl is outside <b><u>a blue house with</u></b> a pink hula hoop spinning around her upper leg."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","gigaword_1259_3.0_UNK:::Talk <b><u>around  town is</u></b> that he may combine them into one high-end restaurant.:::Talk <b><u>around main town is</u></b> that he may combine them into one high-end restaurant.:::main:::town:::nn-tier=topK jj-tier=topK:::Talk around main town is that he may combine them into one high-end restaurant.###argumentation_383_4.0_YES:::Sadly, schools are <b><u>losing  money</u></b>.:::Sadly, schools are <b><u>losing good money</u></b>.:::good:::money:::nn-tier=topK jj-tier=topK:::Sadly, schools are losing good money.###argumentation_590_4.0_YES:::I suspect inbreeding to be <b><u>the  cause</u></b>.:::I suspect inbreeding to be <b><u>the major cause</u></b>.:::major:::cause:::nn-tier=topK jj-tier=topK:::I suspect inbreeding to be the major cause.###control_imagecaptions_1167_3:::A small child wearing <b><u>a hat is</u></b> playing on rocks at the edge of a body of water.:::A small child wearing <b><u>a brown hat is</u></b> playing on rocks at the edge of a body of water.:::brown:::hat:::JJ NN:::A small child wearing <b><u>a brown hat is</u></b> playing on rocks at the edge of a body of water.###gigaword_2128_4.0_YES:::Milan goalkeeper Dida also played <b><u>a  role in</u></b> the win.:::Milan goalkeeper Dida also played <b><u>a central role in</u></b> the win.:::central:::role:::nn-tier=topK jj-tier=topK:::Milan goalkeeper Dida also played a central role in the win.###imagecaptions_1554_3.0_UNK:::Someone sitting on <b><u>a  bench next</u></b> to a bike looking out over the sea.:::Someone sitting on <b><u>a long bench next</u></b> to a bike looking out over the sea.:::long:::bench:::nn-tier=topK jj-tier=topK:::Someone sitting on a long bench next to a bike looking out over the sea.###imagecaptions_2088_4.0_YES:::A bedroom decorated in beige and brown colors with a large bed<b><u>,  sofa ,</u></b> and rug.:::A bedroom decorated in beige and brown colors with a large bed<b><u>, brown sofa,</u></b> and rug.:::brown:::sofa:::nn-tier=topK jj-tier=topK:::A bedroom decorated in beige and brown colors with a large bed, brown sofa, and rug.###gutenberg_124_3.0_UNK:::He had seen <b><u>the  woman</u></b>.:::He had seen <b><u>the elderly woman</u></b>.:::elderly:::woman:::nn-tier=topK jj-tier=topK:::He had seen the elderly woman.###argumentation_2770_3.0_UNK:::<b><u>A  form of</u></b> flattery, then, too.:::<b><u>A new form of</u></b> flattery, then, too.:::new:::form:::nn-tier=topK jj-tier=topK:::A new form of flattery, then, too.###argumentation_151_5.0_YES:::I've got another 3 words: get <b><u>a  life</u></b>.:::I've got another 3 words: get <b><u>a human life</u></b>.:::human:::life:::nn-tier=topK jj-tier=topK:::I've got another 3 words: get a human life."
Determine whether or not sentences are true,Read a some background context and then decide whether or not a sentence is probably true or probably false,"English, language, research","argumentation_985_3.0_UNK:::Now galton, here is a new thing called actually answering <b><u>the  question</u></b>.:::Now galton, here is a new thing called actually answering <b><u>the simple question</u></b>.:::simple:::question:::nn-tier=topK jj-tier=topK:::Now galton, here is a new thing called actually answering the simple question.###gigaword_584_3.0_UNK:::He wants to be with his supporters, so he's soft-pedaling <b><u>the  issue</u></b>.:::He wants to be with his supporters, so he's soft-pedaling <b><u>the important issue</u></b>.:::important:::issue:::nn-tier=topK jj-tier=topK:::He wants to be with his supporters, so he's soft-pedaling the important issue.###imagecaptions_2318_3.0_UNK:::The black dog emerges from the water having collected <b><u>an  object in</u></b> his teeth.:::The black dog emerges from the water having collected <b><u>a colorful object in</u></b> his teeth.:::colorful:::object:::nn-tier=topK jj-tier=topK:::The black dog emerges from the water having collected a colorful object in his teeth.###imagecaptions_2560_3.0_UNK:::A male and a female are leaning against railing looking off with the ocean in the background A male and female on a one seat bike ride along a tree lined road A male athlete is wearing a teal sweatband and <b><u>a  shirt from</u></b> Nike and is holding a tennis racket.:::A male and a female are leaning against railing looking off with the ocean in the background A male and female on a one seat bike ride along a tree lined road A male athlete is wearing a teal sweatband and <b><u>a black shirt from</u></b> Nike and is holding a tennis racket.:::black:::shirt:::nn-tier=topK jj-tier=topK:::A male and a female are leaning against railing looking off with the ocean in the background A male and female on a one seat bike ride along a tree lined road A male athlete is wearing a teal sweatband and a black shirt from Nike and is holding a tennis racket.###gigaword_1564_4.5_YES:::<b><u>The  deal is</u></b> expected to close by September 1996.:::<b><u>The tentative deal is</u></b> expected to close by September 1996.:::tentative:::deal:::nn-tier=topK jj-tier=topK:::The tentative deal is expected to close by September 1996.###control_imagecaptions_1314_3:::Empty barge floating down <b><u>a river</u></b>.:::Empty barge floating down <b><u>a small river</u></b>.:::small:::river:::JJ NN:::Empty barge floating down <b><u>a small river</u></b>.###argumentation_2670_3.0_UNK:::Cmon tuba and chester the molester, give us <b><u>a  source,</u></b> just one.:::Cmon tuba and chester the molester, give us <b><u>a main source,</u></b> just one.:::main:::source:::nn-tier=topK jj-tier=topK:::Cmon tuba and chester the molester, give us a main source, just one.###gigaword_440_3.0_UNK:::The amnesty <b><u>is  part of</u></b> the ongoing`` Strike Hard'' anti-crime purge.:::The amnesty <b><u>is first part of</u></b> the ongoing`` Strike Hard'' anti-crime purge.:::first:::part:::nn-tier=topK jj-tier=topK:::The amnesty is first part of the ongoing`` Strike Hard'' anti-crime purge.###imagecaptions_2364_3.0_UNK:::Man in <b><u>a  sweater pointing</u></b> at the camera.:::Man in <b><u>a green sweater pointing</u></b> at the camera.:::green:::sweater:::nn-tier=topK jj-tier=topK:::Man in a green sweater pointing at the camera.###gutenberg_1103_3.0_UNK:::He laid his little, thin hand on <b><u>the  girl's</u></b> arm.:::He laid his little, thin hand on <b><u>the nice girl's</u></b> arm.:::nice:::girl:::nn-tier=topK jj-tier=topK:::He laid his little, thin hand on the nice girl's arm."
