Title,Description,Keywords,SENTENCE1,QUESTION1,SENTENCE2,QUESTION2,SENTENCE3,QUESTION3,SENTENCE4,QUESTION4,SENTENCE5,QUESTION5,SENTENCE6,QUESTION6,SENTENCE7,QUESTION7,SENTENCE8,QUESTION8,SENTENCE9,QUESTION9,SENTENCE10,QUESTION10,SENTENCE11,QUESTION11,SENTENCE12,QUESTION12,SENTENCE13,QUESTION13,SENTENCE14,QUESTION14,SENTENCE15,QUESTION15,Answer.Question-1-why,Answer.Question-10-why,Answer.Question-11-why,Answer.Question-12-why,Answer.Question-13-why,Answer.Question-14-why,Answer.Question-15-why,Answer.Question-2-why,Answer.Question-3-why,Answer.Question-4-why,Answer.Question-5-why,Answer.Question-6-why,Answer.Question-7-why,Answer.Question-8-why,Answer.Question-9-why,Answer.ignoreMe,Answer.ignoreMe2,Answer.optradio1,Answer.optradio10,Answer.optradio11,Answer.optradio12,Answer.optradio13,Answer.optradio14,Answer.optradio15,Answer.optradio2,Answer.optradio3,Answer.optradio4,Answer.optradio5,Answer.optradio6,Answer.optradio7,Answer.optradio8,Answer.optradio9
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",They pounce on toys and chase each other.,WHAT HELPS KITTENS TO LEARN TO BE BETTER PREDATORS?,"When the Algerian War began in 1954, Camus was confronted with a moral dilemma.",What was Camus' moral dilemma?,This increases air pressure inside the lungs.,"When you exhale, why does air leave your lungs?","They have short, cool summers.","Which zone has short, cool summers?","After ordering the Otis fighters to battle stations, Colonel Marr phoned Major General Larry Arnold, commanding general of the First Air Force and NORAD's Continental Region.",Which agency did NEEDS contact to authorize fighter?,"The Christians, however, could not hold the city.","During the Sixth Crusade, what city could the Christians not hold?",Some substances cannot be dissolved.,According to this passage how do salt and oil differ when mixed with water?,Many homes were under water.,How bad was the storm?,"More than nine months later, on October 12,2000, al Qaeda operatives in a small boat laden with explosives attacked a U.S. Navy destroyer, the USS Cole.","On October 12, 2000 attacked a US navy destroyer, how many people on the destroyer were injured?",The aircraft pushed back from the gate at 7:40.,How much time lapsed between American 11 and United 175 pushing back from their gates?,The quarrel had been antecedent to Margaret going to Brent's Rock.,Who were the characters in the story?,Timothy likes to play sports.,What did Mandy do for her teacher?,One form of energy is called mechanical.,What kind of energy is mechanical energy?,Charges move when they are not balanced.,Charges can move when they are unbalanced by what?,“What goes up must come down.”,Is the statement What comes up must go down no longer true?,,,,,,,,,,,,,,,,on,on,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",They pounce on toys and chase each other.,WHAT HELPS KITTENS TO LEARN TO BE BETTER PREDATORS?,"When the Algerian War began in 1954, Camus was confronted with a moral dilemma.",What was Camus' moral dilemma?,This increases air pressure inside the lungs.,"When you exhale, why does air leave your lungs?","They have short, cool summers.","Which zone has short, cool summers?","After ordering the Otis fighters to battle stations, Colonel Marr phoned Major General Larry Arnold, commanding general of the First Air Force and NORAD's Continental Region.",Which agency did NEEDS contact to authorize fighter?,"The Christians, however, could not hold the city.","During the Sixth Crusade, what city could the Christians not hold?",Some substances cannot be dissolved.,According to this passage how do salt and oil differ when mixed with water?,Many homes were under water.,How bad was the storm?,"More than nine months later, on October 12,2000, al Qaeda operatives in a small boat laden with explosives attacked a U.S. Navy destroyer, the USS Cole.","On October 12, 2000 attacked a US navy destroyer, how many people on the destroyer were injured?",The aircraft pushed back from the gate at 7:40.,How much time lapsed between American 11 and United 175 pushing back from their gates?,The quarrel had been antecedent to Margaret going to Brent's Rock.,Who were the characters in the story?,Timothy likes to play sports.,What did Mandy do for her teacher?,One form of energy is called mechanical.,What kind of energy is mechanical energy?,Charges move when they are not balanced.,Charges can move when they are unbalanced by what?,“What goes up must come down.”,Is the statement What comes up must go down no longer true?,They pounce on toys and chase each other.,,,,,,,,,,,,,Many homes were under water,,on,on,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",They pounce on toys and chase each other.,WHAT HELPS KITTENS TO LEARN TO BE BETTER PREDATORS?,"When the Algerian War began in 1954, Camus was confronted with a moral dilemma.",What was Camus' moral dilemma?,This increases air pressure inside the lungs.,"When you exhale, why does air leave your lungs?","They have short, cool summers.","Which zone has short, cool summers?","After ordering the Otis fighters to battle stations, Colonel Marr phoned Major General Larry Arnold, commanding general of the First Air Force and NORAD's Continental Region.",Which agency did NEEDS contact to authorize fighter?,"The Christians, however, could not hold the city.","During the Sixth Crusade, what city could the Christians not hold?",Some substances cannot be dissolved.,According to this passage how do salt and oil differ when mixed with water?,Many homes were under water.,How bad was the storm?,"More than nine months later, on October 12,2000, al Qaeda operatives in a small boat laden with explosives attacked a U.S. Navy destroyer, the USS Cole.","On October 12, 2000 attacked a US navy destroyer, how many people on the destroyer were injured?",The aircraft pushed back from the gate at 7:40.,How much time lapsed between American 11 and United 175 pushing back from their gates?,The quarrel had been antecedent to Margaret going to Brent's Rock.,Who were the characters in the story?,Timothy likes to play sports.,What did Mandy do for her teacher?,One form of energy is called mechanical.,What kind of energy is mechanical energy?,Charges move when they are not balanced.,Charges can move when they are unbalanced by what?,“What goes up must come down.”,Is the statement What comes up must go down no longer true?,,,,likes to play sports,is called mechanical.,when they are not balanced.,,"When the Algerian War began in 1954, Camus",increases air pressure inside the lungs.,have shor,,"however, could not hold the city.",,,"explosives attacked a U.S. Navy destroyer, the USS Cole.",on,on,no,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",Shorter days signal the coming of winter.,What are the right conditions for plants to grow in?,"At the age of 21, Henry assembled a School of Navigation.",How old was Prince Henry when he assembled a school that resembled an informal modern-day think-tank?,Aleksandr II Nikolaevich; IPA: [aljI'ksandr fta'roj njIka'lajIvjItc]; 29 April [O.S. 17 April] 1818 in Moscow - 13 March [O.S. 1 March] 1881 in Saint Petersburg) was the Emperor of Russia from 2 March 1855 until his assassination in 1881.,How old was Alexander II when he freed the serfs?,"If you beat a dog in Schuylkill County, you'll probably get a $100 fine.",What kind of fine do you get for repeatedly beating a woman?,Sandy and Alexis came into the classroom screaming for help.,What did Sandy and Alexis do?,Smith and Sketchley helped Beatrice Jackson at the Smith Williams Center on Wednesday.,How did Richard help Beatrice Jackson?,What if the blowing pollen does not land on another flower?,Why might some plants hope the wind will blow?,Some fossils are better than others for this use.,How are index fossils useful?,"A fierce contest ensued with the Aspasioi in which Alexander was wounded in the shoulder by a dart, but eventually the Aspasioi lost.",What injuries did Alexander experience at the battles Aspasioi and Assakenoi?,"A fibrous root system has many smaller roots and no large, primary root.",Does a fibrous root system contain primary roots?,The population should be calm.,Why did Interior Minister Carlos Menocal say the public should be calm?,"John and his wife Sara knew that their son loved clowns, as did their daughter Jane.",What is the name of Sara's son?,She started to lose control of her scooter.,What did Michelle hit which caused her to begin to lose control?,"After El's car has a bump from a crossing train , the car falls apart .",How many times was El chased?,"Police officers survey the wreckage of Pan Am Flight 103 in Lockerbie, Scotland, in December 1988.","What connection does a Pan Am flight in Lockerbie, Scotland, have to Libya?",,,,,,,,,,,,,,,,on,on,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",Shorter days signal the coming of winter.,What are the right conditions for plants to grow in?,"At the age of 21, Henry assembled a School of Navigation.",How old was Prince Henry when he assembled a school that resembled an informal modern-day think-tank?,Aleksandr II Nikolaevich; IPA: [aljI'ksandr fta'roj njIka'lajIvjItc]; 29 April [O.S. 17 April] 1818 in Moscow - 13 March [O.S. 1 March] 1881 in Saint Petersburg) was the Emperor of Russia from 2 March 1855 until his assassination in 1881.,How old was Alexander II when he freed the serfs?,"If you beat a dog in Schuylkill County, you'll probably get a $100 fine.",What kind of fine do you get for repeatedly beating a woman?,Sandy and Alexis came into the classroom screaming for help.,What did Sandy and Alexis do?,Smith and Sketchley helped Beatrice Jackson at the Smith Williams Center on Wednesday.,How did Richard help Beatrice Jackson?,What if the blowing pollen does not land on another flower?,Why might some plants hope the wind will blow?,Some fossils are better than others for this use.,How are index fossils useful?,"A fierce contest ensued with the Aspasioi in which Alexander was wounded in the shoulder by a dart, but eventually the Aspasioi lost.",What injuries did Alexander experience at the battles Aspasioi and Assakenoi?,"A fibrous root system has many smaller roots and no large, primary root.",Does a fibrous root system contain primary roots?,The population should be calm.,Why did Interior Minister Carlos Menocal say the public should be calm?,"John and his wife Sara knew that their son loved clowns, as did their daughter Jane.",What is the name of Sara's son?,She started to lose control of her scooter.,What did Michelle hit which caused her to begin to lose control?,"After El's car has a bump from a crossing train , the car falls apart .",How many times was El chased?,"Police officers survey the wreckage of Pan Am Flight 103 in Lockerbie, Scotland, in December 1988.","What connection does a Pan Am flight in Lockerbie, Scotland, have to Libya?",,No,,,,,,21,,,Came into the classroom screaming for help,,,,,on,on,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",He couldn't find anything to eat except for pie!,What happened before Joey went swimming in Aunt Julie's pond.,They engulf everything in their path.,What happens when landslides and mudslides occur?,"According to fossils, they once did.",Did Antarctica's climate change throughout history?,"If so, you may have noticed all the holes in the roads.",What are holes in the roads?,Tina Allen said she is disgusted and mortified at her role in bringing them together.,Who put him in contact with the little girl?,"Early tales of Madame White Snake appeared in China as early as the Song Dynasty, and initially her portrayal was fairly direct, as a villainous demon who drains the life force out of her human husband.",How does Whalen Lai describe Madame White Snake?,"They call for the famous Hungarian footballer , n di , and order him to organize a team .",Who did the Germans not want on the Hungarian team?,"One of the most effective ways of keeping a tight rein on the country was to cut it off from the outside world, to keep Japan Japanese.",Give an important date in Japanese history that marks the closing of Japan to the outside world and give three examples of this isolation policy.,"She decided also that Clarke should retain the title of national counterterrorism coordinator, although he would no longer be a de facto member of the Principals Committee on his issues.",What position was Clarke removed from by Rice that made Clarke feel disappointed?,This is where the snail's eyes are.,Where are snails' eyes?,Roberta Adams skipped the thick how-to guide on child-custody forms and sat down at a computer at the Lamoreaux Justice Center in Orange on Wednesday.,Where can the program be accessed from?,The wind could even blow the pollen over the ocean where it is wasted.,What problems could arise if a plant waits for the wind to help it?,"Sam counted as mom made the sandwiches, one for dad, one for mom and one for Sam.",What were Sam's words as mom made the Sandwich?,"She and her sister moved to Saratoga, California, with their mother in 1919 when her parents separated.",Which two countries did Fontaine live in?,It would be several days before communication could be established.,Why did he need a copy of the paper?,,,,,,,,,,,,,,,,on,on,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",He couldn't find anything to eat except for pie!,What happened before Joey went swimming in Aunt Julie's pond.,They engulf everything in their path.,What happens when landslides and mudslides occur?,"According to fossils, they once did.",Did Antarctica's climate change throughout history?,"If so, you may have noticed all the holes in the roads.",What are holes in the roads?,Tina Allen said she is disgusted and mortified at her role in bringing them together.,Who put him in contact with the little girl?,"Early tales of Madame White Snake appeared in China as early as the Song Dynasty, and initially her portrayal was fairly direct, as a villainous demon who drains the life force out of her human husband.",How does Whalen Lai describe Madame White Snake?,"They call for the famous Hungarian footballer , n di , and order him to organize a team .",Who did the Germans not want on the Hungarian team?,"One of the most effective ways of keeping a tight rein on the country was to cut it off from the outside world, to keep Japan Japanese.",Give an important date in Japanese history that marks the closing of Japan to the outside world and give three examples of this isolation policy.,"She decided also that Clarke should retain the title of national counterterrorism coordinator, although he would no longer be a de facto member of the Principals Committee on his issues.",What position was Clarke removed from by Rice that made Clarke feel disappointed?,This is where the snail's eyes are.,Where are snails' eyes?,Roberta Adams skipped the thick how-to guide on child-custody forms and sat down at a computer at the Lamoreaux Justice Center in Orange on Wednesday.,Where can the program be accessed from?,The wind could even blow the pollen over the ocean where it is wasted.,What problems could arise if a plant waits for the wind to help it?,"Sam counted as mom made the sandwiches, one for dad, one for mom and one for Sam.",What were Sam's words as mom made the Sandwich?,"She and her sister moved to Saratoga, California, with their mother in 1919 when her parents separated.",Which two countries did Fontaine live in?,It would be several days before communication could be established.,Why did he need a copy of the paper?,,,,the wind could move pollen to a place where it is wasted,,,,they engulf everything in their path,,,,,,,,on,on,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",He couldn't find anything to eat except for pie!,What happened before Joey went swimming in Aunt Julie's pond.,They engulf everything in their path.,What happens when landslides and mudslides occur?,"According to fossils, they once did.",Did Antarctica's climate change throughout history?,"If so, you may have noticed all the holes in the roads.",What are holes in the roads?,Tina Allen said she is disgusted and mortified at her role in bringing them together.,Who put him in contact with the little girl?,"Early tales of Madame White Snake appeared in China as early as the Song Dynasty, and initially her portrayal was fairly direct, as a villainous demon who drains the life force out of her human husband.",How does Whalen Lai describe Madame White Snake?,"They call for the famous Hungarian footballer , n di , and order him to organize a team .",Who did the Germans not want on the Hungarian team?,"One of the most effective ways of keeping a tight rein on the country was to cut it off from the outside world, to keep Japan Japanese.",Give an important date in Japanese history that marks the closing of Japan to the outside world and give three examples of this isolation policy.,"She decided also that Clarke should retain the title of national counterterrorism coordinator, although he would no longer be a de facto member of the Principals Committee on his issues.",What position was Clarke removed from by Rice that made Clarke feel disappointed?,This is where the snail's eyes are.,Where are snails' eyes?,Roberta Adams skipped the thick how-to guide on child-custody forms and sat down at a computer at the Lamoreaux Justice Center in Orange on Wednesday.,Where can the program be accessed from?,The wind could even blow the pollen over the ocean where it is wasted.,What problems could arise if a plant waits for the wind to help it?,"Sam counted as mom made the sandwiches, one for dad, one for mom and one for Sam.",What were Sam's words as mom made the Sandwich?,"She and her sister moved to Saratoga, California, with their mother in 1919 when her parents separated.",Which two countries did Fontaine live in?,It would be several days before communication could be established.,Why did he need a copy of the paper?,,,,The wind could blow the pollen over the ocean,"one for dad, one for mom and one for Sam",,,,,,,a villainous demon,,,,on,on,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","It contained very complicated problems, deeply affecting the economic, social and political future of the nation.","Outside of posing the humanitarian question, what else did the emancipation serve?",Communities clustered around monasteries and castles.,"Since there were no towns, where were communities located?",Tim was sad.,How was Tim feeling right before he started opening presents?,"The British Nationality Act (1981) had in effect prevented Hong Kong citizens from acquiring British citizenship, and thousands of people, anxious about their future under China’s rule, were prompted to apply for citizenship elsewhere, notably in Canada and Australia.",Why were refugees from Hong Kong moving to places like Canada and Australia?,There are many forms of energy.,Do all forms of energy have the ability to do work?,We found no evidence that video teleconference participants had any prior information that American 77 had been hijacked and was heading directly toward Washington.,Why did the FAA and White House teleconferences fail to stop the plane from hitting the Pentagon?,"The officers unloaded 16 rounds in the shadow of the Empire State Building at a disgruntled former apparel designer, killing him after he engaged in a gunbattle with police, authorities said.",Who shot Jeffrey Johnson?,FAA personnel at both Reagan National and Dulles airports notified the Secret Service.,Who notified the secret service,One thing is to build bodies.,Describe this scenario of recycling nutrients in an example.,Thus developed the katakana system used as a vehicle for writing Buddhist names and concepts.,What lead to the development of katakana system?,The ancient Greeks called them the Cynetes (or Cunetes).,What did the Greeks call the early Stone Age inhabitants?,"TJ had been placed in charge of the children when the kids' grandmother, Katherine, left home on July 15 and will watch the children while the legal proceedings play out in a California court.",Who was convicted of murder and how long was their sentence?,Recycling stations like the one in Figure 2.24 are common.,What are some different recycling services available?,This type of change is called complete metamorphosis.,What is it called when an insect goes through a major change and does not look anything like it did when it was born?,So has a Swiss cottage or a French village.,"Why is possible to represent English town, Swiss cottage or a French village upon Christmas cards or the lids of chocolate-boxes without labeling them?",,,,,,metamorphosis,,around monasteries and castles,sad,,,,,faa personnel,,on,on,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","It contained very complicated problems, deeply affecting the economic, social and political future of the nation.","Outside of posing the humanitarian question, what else did the emancipation serve?",Communities clustered around monasteries and castles.,"Since there were no towns, where were communities located?",Tim was sad.,How was Tim feeling right before he started opening presents?,"The British Nationality Act (1981) had in effect prevented Hong Kong citizens from acquiring British citizenship, and thousands of people, anxious about their future under China’s rule, were prompted to apply for citizenship elsewhere, notably in Canada and Australia.",Why were refugees from Hong Kong moving to places like Canada and Australia?,There are many forms of energy.,Do all forms of energy have the ability to do work?,We found no evidence that video teleconference participants had any prior information that American 77 had been hijacked and was heading directly toward Washington.,Why did the FAA and White House teleconferences fail to stop the plane from hitting the Pentagon?,"The officers unloaded 16 rounds in the shadow of the Empire State Building at a disgruntled former apparel designer, killing him after he engaged in a gunbattle with police, authorities said.",Who shot Jeffrey Johnson?,FAA personnel at both Reagan National and Dulles airports notified the Secret Service.,Who notified the secret service,One thing is to build bodies.,Describe this scenario of recycling nutrients in an example.,Thus developed the katakana system used as a vehicle for writing Buddhist names and concepts.,What lead to the development of katakana system?,The ancient Greeks called them the Cynetes (or Cunetes).,What did the Greeks call the early Stone Age inhabitants?,"TJ had been placed in charge of the children when the kids' grandmother, Katherine, left home on July 15 and will watch the children while the legal proceedings play out in a California court.",Who was convicted of murder and how long was their sentence?,Recycling stations like the one in Figure 2.24 are common.,What are some different recycling services available?,This type of change is called complete metamorphosis.,What is it called when an insect goes through a major change and does not look anything like it did when it was born?,So has a Swiss cottage or a French village.,"Why is possible to represent English town, Swiss cottage or a French village upon Christmas cards or the lids of chocolate-boxes without labeling them?",,,,,,,,Around monasteries and castles,,The British Nationality Act prevented them from acquiring British citizenship,,They had no information on it prior to it happening,,FAA personnel,,on,on,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no
